bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
568100.8,242706.98,378.6325,337.9198,284.25064,166.2627,709.7727,398.13226,132.78189,7.0311093,118.86365,106.59459,321.41257,399.95267,171.32703,130.87286,201.8535,113.93593,170.05446,300.98886,191.59596,153.00131,192.38417,201.37566,143.2444,14.123211,318.79532,279.76205,37.535664,58.274387,31.584383,55.35877,99.136,183.89584,128.5201,117.29943,118.97693,567.1248,1126.9828,716.34436,103.9834,84.452515,38.33646,115.57699,170.11272,135.59529,222.19655,217.51443,193.36485,146.09337,68.82075,125.423546,197.64905,15.969456,152.63177,67.99894,89.38632,124.65406,5.2858515,92.49224,46.951572,29.160059,202.96657,268.8049,228.052,152.11621,58.89711,66.73853,137.09552,329.62747,250.70172,63.83894,216.19466,168.34038,126.87995,328.63763,421.43658,244.3394,92.40568,35.005405,39.079205,218.51831,101.46737,205.83632,274.0396,158.50327,156.58377,206.40948,154.08823,122.11855,81.57386,59.998417,207.63657,303.01065,203.92761,73.00719,95.78534,226.19797,130.47043,30.244148,81.346504,142.63625,100.18775,128.47571,230.07126,337.78613,334.45163,376.06876,289.91574,148.0861,147.27248,166.32239,254.88292,223.49084,129.0879,181.08334,92.001305,251.78035,706.27295,430.66263,478.40573,644.5288,381.59473,373.88266,341.9606,135.99443,169.82838,185.91837,68.3011,131.81337,99.539474,85.55172,165.87727,159.69034,123.30864,148.96571,157.50508,67.33457,162.36946,134.94809,114.18346,91.680214,216.48032,259.3219,227.13852,124.701614,202.22073,180.87451,306.05185,296.59933,262.97882,318.3208,146.11684,272.15775,126.950714,75.54908,680.1794,447.273,508.64456,627.65045,182.8707,192.0947,252.51816,124.2946,65.53719,86.68741,67.989655,137.62653,257.3171,294.43567,91.76935,218.36853,90.81497,121.86308,53.602253,121.9549,52.67453,87.92413,47.65178,268.72693,253.91475,81.19079,182.27843,97.93087,115.61497,127.27735,102.506004,108.81675,185.49446,362.3511,451.54446,486.29913,486.6455,380.52194,558.003,585.7719,687.1184,1082.4906,545.88983,368.19672,237.8422,331.60077,347.56552,212.94908,281.6512,163.92786,51.812565,290.0984,404.51437,186.68974,204.15309,203.21533,322.5147,345.85925,262.71515,231.99562,292.20203,242.76561,81.53107,65.498634,221.41536,142.55098,217.6788,143.12598,90.49506,51.17212,147.0281,106.92454,110.899704,165.23558,175.95958,240.23701,156.51016,134.11832,439.21362,639.96106,280.33463,30.12376,186.87646,116.81779,147.95615,203.70955,292.71527,205.04855,122.69248,152.03601,161.35187,162.8445,315.97626,271.58493,40.949135,147.65729,147.55618,278.50208,269.93808,90.00305,213.4375,none,
568097.0,242597.12,363.99362,236.8937,155.30028,83.46124,698.6772,543.4374,175.0546,20.520632,40.05376,80.77278,379.53152,262.54886,196.09511,318.1634,227.35489,145.57713,19.210882,206.62007,147.68607,52.429367,139.08328,252.41896,360.73993,383.96173,266.5137,213.08487,86.842606,127.09544,112.53265,41.526375,142.44594,191.6229,174.49297,29.121284,139.77823,520.8534,1265.8287,563.4103,312.87585,254.88882,184.38063,293.41644,293.5076,124.50185,140.0451,150.82747,61.41979,97.06524,93.013756,90.19205,84.13367,187.88939,173.16782,190.71626,245.33904,231.93704,146.0604,94.47916,58.470116,202.37668,45.399925,220.35504,136.80699,220.0019,138.17697,14.094493,126.71269,124.03256,151.274,260.4766,132.27223,93.617004,185.0365,146.7668,418.7819,359.92548,82.67804,143.09016,229.48206,267.09387,386.07114,273.65134,146.8552,262.44565,325.08386,199.736,107.59179,41.547264,116.668,292.12067,389.15073,115.98063,200.5225,41.96316,99.00646,115.38891,76.256134,123.35809,81.77185,107.99507,276.3409,186.91508,147.84311,83.81872,112.65675,34.136513,233.03458,236.26192,195.00833,275.874,107.27669,223.26675,132.12881,114.219185,242.61636,476.01938,876.1918,889.7102,216.50473,79.60674,45.51461,56.542408,178.07399,24.230247,218.93642,200.92628,164.98868,121.15835,129.25293,62.19306,213.57332,282.37604,133.6501,67.32249,67.05505,137.17072,67.8042,67.77116,51.51799,47.342285,70.94552,216.6046,234.0034,147.499,180.32372,390.97766,454.6638,316.6752,225.39584,75.02582,251.49036,214.16982,224.44095,243.34499,696.2026,843.1187,143.92435,423.5904,118.10671,380.595,445.40466,256.19705,76.102806,33.548244,127.528175,302.089,383.41882,390.80966,210.55092,186.46605,260.2642,102.917725,231.68448,116.13028,122.27884,153.21736,230.75148,118.1772,261.51547,212.9637,99.67383,339.4,289.43765,71.09045,25.428768,160.15254,172.13477,70.361206,83.245995,68.05166,212.99347,387.26352,476.94308,561.7877,391.25275,754.4479,335.03995,570.52484,472.71198,343.42947,398.5572,305.3068,194.65933,144.46558,117.02204,223.32628,196.7701,185.38675,170.35779,296.37692,218.59,54.80927,208.02005,188.14317,200.11668,190.74214,293.26617,443.76932,323.84137,331.68793,166.13367,114.445435,19.048723,44.54185,90.72528,8.03147,135.0153,128.51176,226.89032,389.5127,319.96442,356.5198,185.83984,468.05478,350.02386,431.3996,467.30444,361.1258,142.94106,206.82591,250.12961,96.20915,217.92218,146.38972,110.070946,179.53986,154.85332,221.37349,164.7526,86.97237,158.36464,108.98879,192.61482,177.36314,324.0,none,
568048.75,242603.81,287.98077,335.2864,166.54422,134.93146,588.5478,178.8689,133.82352,161.86832,146.21701,65.23143,379.0986,157.58333,116.47398,106.9492,90.91676,202.37799,152.81406,146.13383,107.547295,171.06685,108.47647,19.16243,100.07954,133.65715,77.644554,132.40482,181.42256,278.87723,303.45804,194.72859,23.865538,230.10112,442.9786,435.87582,339.86865,331.01956,801.2802,500.42468,415.04633,412.95682,349.23257,133.33086,233.86853,265.00516,111.146774,120.484184,146.43625,46.820766,20.810135,16.655443,148.35959,152.77737,58.671673,239.60013,243.36977,116.35329,111.5358,56.156593,119.35858,337.68088,279.19138,141.68922,173.28212,294.2203,266.19684,326.27347,184.95773,201.02094,302.7963,322.938,332.00885,326.47528,364.8361,264.7725,51.95163,391.09033,549.3526,525.4667,218.76654,53.937847,59.811256,77.07611,50.028942,182.30194,172.65762,292.13004,336.3304,261.99408,169.36041,44.057045,312.95557,324.96356,156.37206,330.20895,182.4957,157.24089,200.14467,148.19923,152.38913,210.84445,167.94307,50.653538,112.12623,194.24158,140.01207,129.17728,186.59578,55.488396,48.206303,275.30298,286.95746,235.83154,150.96527,194.74663,270.6272,299.06512,351.42288,590.23804,402.25055,366.06015,107.46384,219.97415,237.74966,181.76662,104.811325,140.34236,219.67891,154.76479,269.6751,314.0176,277.69116,352.14963,272.70572,91.80148,110.79925,239.785,221.41745,99.83322,163.051,62.989258,224.69333,194.09473,54.016804,97.88989,61.689964,267.34695,229.11472,246.93094,170.36067,286.9054,353.75504,181.63245,122.32484,304.61792,496.5877,1122.6576,612.2221,464.08563,413.95215,335.01788,247.2034,55.442356,39.28699,168.22154,221.76123,255.73007,199.5196,258.8879,213.32883,159.23279,75.365364,104.76739,62.697994,26.446613,202.38065,261.18433,121.54483,252.96587,256.7512,208.77325,347.19418,178.20932,141.79027,166.88118,340.05112,101.56575,37.591476,115.093475,264.23932,230.96416,232.79904,341.25595,229.3378,559.2977,521.6355,752.92096,898.38153,549.5915,507.39127,321.98178,199.14755,188.82074,164.58156,103.3777,186.83388,373.97656,209.89345,101.71846,219.2639,296.7207,152.67088,65.39127,70.880486,76.404045,144.4828,113.19193,120.02083,337.68396,357.08432,98.07168,81.60027,88.06734,273.75098,270.57938,123.10954,128.71394,174.73674,186.51944,180.85997,173.22664,154.71143,355.7261,643.38635,295.4637,432.9594,103.68304,206.83606,264.75824,205.21762,292.5229,216.20529,321.13327,161.37373,138.89337,126.20286,274.3479,205.1278,197.9212,235.85886,66.718315,154.33388,269.19962,135.38806,28.426878,30.25,none,
568028.25,242586.4,427.5795,110.80518,101.64479,104.66161,692.4979,499.15805,142.72351,106.235405,168.1682,159.03136,624.6453,670.4965,288.3581,243.74437,230.58812,200.66753,128.29945,112.55226,229.29243,204.28748,230.52917,236.24782,189.85942,143.34416,170.37692,106.14298,83.9311,222.51184,251.54898,101.76532,343.32568,364.32147,225.8581,183.82147,231.07733,157.84346,857.0375,752.6282,184.97223,301.8369,151.91766,156.92062,248.78378,239.13197,116.07395,135.05554,145.1749,134.06557,230.79404,254.24512,161.60277,245.58763,252.49983,171.5194,92.07923,130.1658,168.24573,92.85836,271.5798,282.26984,87.79689,31.818657,180.9839,175.10475,104.033936,127.10168,274.65445,200.4139,8.249512,195.5346,186.08034,226.66933,176.95595,258.31735,388.76022,268.3309,58.066578,355.48782,619.7331,443.87933,278.02377,261.76257,15.105524,194.4173,217.40416,186.85262,200.25056,214.7337,141.1619,54.4426,164.99854,100.41916,105.16316,230.06335,330.38577,144.80078,150.11458,73.60805,256.74417,252.02402,214.01096,225.94301,115.40092,47.5992,107.90888,95.496025,241.59358,177.93655,173.15749,67.38519,186.77313,225.75784,212.45049,228.48157,117.7453,245.90547,614.4287,838.90216,247.90282,275.84644,74.80668,377.1664,369.76202,373.206,264.28107,257.68692,282.5893,173.79109,263.6601,291.3907,233.32915,80.33152,141.8934,325.93567,115.56291,26.64309,149.89168,157.15395,166.30576,212.95842,116.66618,119.07258,215.5446,339.67487,390.18323,211.24272,94.33576,221.10532,205.41673,23.869093,250.83223,224.06252,204.49062,143.44225,285.13464,1057.3667,619.4916,435.02133,361.73618,89.71569,33.246235,22.51136,52.518444,128.35251,167.51743,99.59163,41.90413,132.5961,187.72343,165.76575,214.0771,154.67041,106.44038,203.6521,117.72518,171.62413,231.40866,358.69925,288.9677,107.27106,60.176525,172.7841,228.44142,384.63724,291.6591,108.374886,290.24408,327.6498,293.48795,146.46025,71.78428,255.47087,208.33336,549.29926,753.8046,413.58362,790.7348,525.5693,474.8517,223.41113,154.83449,123.44475,124.79085,126.64792,164.00598,115.2891,61.794556,164.95512,210.5705,116.96232,161.44804,88.69396,99.01545,58.606365,80.39293,127.61232,106.65836,213.11986,127.10021,105.130516,77.23272,16.422861,167.77518,227.09607,333.1216,142.9086,92.144455,182.21681,199.63725,183.39282,138.35368,91.42955,425.43683,28.05231,520.9253,506.92148,207.5816,93.46274,176.93727,275.06714,100.173134,159.8452,91.67277,281.86288,261.25183,198.1323,101.455,175.89597,248.50398,220.2325,220.13924,265.57687,174.80272,134.84108,149.75,none,
567964.6,242546.78,387.7667,122.27666,111.54087,135.35016,583.911,278.99234,146.16837,201.49113,223.27692,232.71837,481.00558,348.09512,39.19844,208.83443,251.71817,103.64117,150.61693,147.11685,119.378685,175.11852,238.05426,167.72142,70.99999,148.36691,111.69834,246.31287,115.342125,78.15889,202.43451,358.23438,224.21677,64.08118,172.71782,217.61072,272.7587,672.06976,1042.4591,353.13983,488.0362,384.55292,382.63086,305.8004,270.75232,248.62206,170.07838,107.37956,130.45712,304.09778,277.26855,87.845604,210.36958,103.45441,171.80312,188.97005,96.16035,164.40866,142.00919,228.3755,428.19687,276.6195,83.278824,69.93884,63.120605,120.923416,105.21961,124.81585,18.088215,81.60182,106.65125,64.76115,81.30811,76.234146,155.05359,248.53806,340.64456,423.36166,240.41203,311.29855,302.67245,310.64078,373.16003,353.84946,75.92939,248.68669,163.55817,142.72653,156.96735,94.25739,115.47775,153.47398,253.08336,142.58583,94.90874,252.06937,156.47012,139.79271,244.097,29.829878,90.94301,127.53404,62.69921,231.14894,257.60977,214.89812,175.42752,271.14798,155.65436,53.897797,88.47906,118.05741,80.51231,112.557655,156.5288,166.41109,177.5291,121.05759,288.81052,789.89905,487.32788,218.502,132.38377,27.01661,93.25112,208.39537,226.40862,198.29958,198.29703,36.205086,74.95144,130.50371,48.41739,168.90733,70.69999,170.39848,255.7554,55.153942,76.26121,119.29911,139.65456,27.90768,128.81458,142.15884,160.00346,120.964966,66.01656,273.86823,311.60645,245.8638,221.45467,257.61557,216.54793,70.432976,74.051895,76.90776,407.5366,1175.7775,604.3779,381.8281,212.20512,124.680984,211.00461,225.14058,253.36148,179.48846,183.11969,220.24242,240.48633,233.47635,142.44962,177.44153,278.2626,247.41081,196.03369,191.48878,295.7526,357.2975,392.0188,260.5655,113.00955,9.690202,100.248955,187.251,140.09998,84.9069,158.9827,174.04147,59.6285,181.8584,321.07773,324.16034,141.35263,102.91061,493.39545,771.5404,442.20456,825.49646,950.93713,621.3848,324.91565,233.56474,335.21896,255.10666,140.53885,32.19156,43.397964,111.68885,90.26612,62.765926,114.87875,110.69829,99.46987,70.171486,89.76805,211.56505,394.8394,442.7462,359.0991,216.3797,228.66537,135.61826,97.42981,131.48466,154.2245,315.58633,283.31528,173.18765,240.67612,88.16843,272.06985,229.12514,174.15881,225.53899,155.49243,621.87775,530.80023,225.73366,196.52846,229.3578,217.21043,36.195793,158.61751,147.00389,68.80427,41.406868,103.28045,192.00583,277.30472,325.34427,271.5408,213.06657,112.8827,98.64538,41.068356,81.804344,132.03125,none,
568023.5,242624.7,395.11514,70.75033,301.44333,78.63845,458.1436,308.16995,180.85526,186.20662,218.65901,192.28214,378.77847,245.30322,121.33675,147.1413,249.58862,369.06082,176.99596,11.586436,122.024765,70.37169,36.008152,55.16222,107.72441,116.714615,66.565956,70.22699,215.47755,210.83463,163.45085,70.303085,151.91212,145.22993,258.45773,254.3218,313.0815,542.6425,767.2698,548.727,429.369,463.7252,294.71466,145.26195,157.23897,127.67056,164.66226,182.12221,124.908745,146.07173,134.85765,125.33011,26.654705,151.28635,132.46857,180.81151,211.94995,79.41713,94.16389,250.44135,157.52878,105.119415,101.61731,21.572906,72.06303,138.02116,76.22008,155.5532,29.833605,247.09595,233.64008,80.2863,59.540974,244.32545,212.43709,305.74484,363.96692,17.297995,367.50156,336.7721,211.53062,136.0191,71.30682,88.35473,175.54007,77.89487,144.33986,51.081284,155.93994,172.83682,162.25862,90.32103,127.40679,229.04353,124.02514,237.58817,233.89418,265.92734,235.11583,129.0148,110.6331,95.67528,160.68993,160.12715,270.39215,141.3001,106.11993,37.061035,192.73485,205.36635,235.07391,389.21207,332.01624,104.846535,93.586876,115.521255,262.4739,476.47513,513.54596,272.9237,131.72511,219.99974,258.96344,262.7685,206.61125,203.53304,88.699,43.328217,78.9152,117.615616,113.35009,162.5546,32.724724,251.00084,235.11499,151.40222,187.48941,63.410503,214.19254,286.78046,302.8263,207.9328,122.20369,41.45833,229.24347,202.90848,183.64447,87.29696,111.07924,138.8827,164.11647,101.2738,372.39456,409.6063,346.22977,340.74127,680.7382,523.907,494.3096,767.9544,700.05914,426.23303,130.1993,125.878006,173.05177,166.87595,16.767368,161.851,295.28958,301.79166,159.94922,131.14334,67.556946,126.495255,123.81424,41.889454,44.579735,98.14811,150.01825,156.59798,91.47413,57.852066,84.087906,144.51031,45.3939,76.27119,167.99698,270.5765,219.5464,263.28653,282.87775,151.85495,460.18484,382.38202,253.13138,288.6854,749.79816,1115.2965,516.6773,182.67166,176.24213,125.13427,288.8177,267.5497,255.94,31.164974,205.322,355.0216,410.4059,314.59366,120.66319,197.67493,110.36562,176.73045,307.1348,212.617,38.89483,175.97597,195.74759,180.84935,230.43623,164.88647,179.72787,213.42534,139.29114,115.67146,212.14233,173.97833,259.278,250.67494,11.657317,140.41557,244.388,355.55267,232.16878,312.59366,378.72818,233.18214,254.96521,222.21576,222.93394,176.16365,281.07584,302.62238,107.69665,37.745796,134.60497,225.96338,206.4537,518.491,294.4884,107.39316,185.94377,111.437035,60.041393,55.161243,163.25,none,
568074.8,242561.42,324.15543,134.41212,208.771,309.99542,645.77704,341.97177,58.21312,53.22663,81.413994,82.29092,352.4034,97.946655,415.82214,376.06876,269.78983,41.487854,181.30475,116.6282,135.45993,66.294136,24.324574,40.285595,67.48862,177.48743,160.78418,239.25781,225.64923,97.209114,242.93677,257.69962,264.04852,223.38568,384.28717,565.4678,431.42664,323.4658,652.76697,1011.62195,430.89767,233.88774,437.58316,411.652,192.32579,296.60413,297.9715,127.208855,59.715595,92.16396,58.28968,173.70013,70.38096,65.81417,153.24193,93.53705,58.49178,69.67278,226.27277,237.55064,95.862335,262.152,215.06805,112.81667,64.91574,131.45729,64.05316,25.856182,103.369804,137.28484,119.53179,83.37248,227.26756,282.71298,82.80685,189.63055,483.05225,534.0585,60.893642,142.94455,188.70624,272.15344,126.35149,162.94633,111.09494,165.21123,214.29852,174.06435,48.53719,110.33305,199.5438,214.66776,77.48887,179.56851,188.07126,3.2959135,138.85135,175.21909,24.366138,210.7325,150.68011,22.149912,146.54509,172.11641,151.21664,113.13988,248.17047,419.13565,516.8395,384.77847,319.5011,49.434814,230.97978,86.13565,131.21495,55.983616,57.402126,621.8743,500.03607,353.68973,521.45276,351.4424,41.945087,197.40454,143.80507,133.88837,59.123135,78.70299,110.135506,238.5374,172.2843,88.5582,74.12974,122.25897,84.13259,111.02598,101.94163,109.84765,265.84183,243.83665,123.23021,69.094574,133.7602,261.14346,448.3345,423.62073,171.46805,154.61995,251.55534,279.21365,187.42871,273.94418,119.96004,290.79843,556.02386,600.0021,687.0541,49.65029,281.24054,359.9939,127.702545,202.57727,109.044014,298.63254,172.7278,226.88248,171.39418,21.739595,112.201546,90.12824,198.08778,55.87723,269.3609,474.57858,377.99786,131.15019,100.738495,144.95566,217.29654,207.42259,93.85401,301.22,193.43889,51.42157,151.0268,237.81032,409.74216,128.30252,185.61087,190.0837,216.42125,128.93762,172.91861,648.77484,848.85443,518.8633,352.1359,514.9342,207.3929,333.9156,427.1812,356.94525,434.65103,199.2748,151.37682,338.50626,157.94397,119.711,244.97014,176.10336,47.306454,129.04994,76.3429,68.839836,117.58686,150.69008,214.15382,202.11665,124.25345,75.02458,113.842766,13.080126,52.969643,55.91243,53.23707,211.1544,335.07635,120.63667,106.343605,262.28406,117.53734,149.72374,62.254234,167.56038,28.355186,294.3764,358.14902,260.41913,366.65717,425.85416,193.42671,49.31705,247.0087,180.02446,292.71414,185.5744,103.26976,134.28233,126.72588,164.2745,306.2373,384.6211,363.3325,224.55948,157.60313,81.4801,276.8125,none,
568058.6,242631.6,335.7009,269.31165,94.2524,381.70255,686.8223,446.61377,151.62793,141.55249,103.13548,93.71028,601.5082,616.99316,117.52793,31.83097,90.8866,198.00691,181.27937,87.545044,80.607605,115.80617,180.77649,249.11098,222.39757,73.86595,280.29236,267.99738,77.254974,239.69522,184.34906,69.65694,283.59344,408.61664,257.63297,200.0862,247.62476,150.79446,786.5294,630.0046,459.95157,674.1382,573.0625,284.47418,90.34334,87.92476,215.05612,127.436134,147.87726,159.7891,203.39035,239.4393,154.04637,143.72537,156.54501,313.99655,294.23474,192.21254,252.26804,255.15164,186.59619,145.78989,42.076122,161.8519,81.30969,164.3401,238.63263,118.43519,45.029015,104.44579,135.94836,108.813736,31.663483,88.68839,96.7079,165.00046,289.81415,419.82648,190.21053,500.1087,358.6843,209.78525,151.78577,130.29315,28.428263,113.62763,85.02713,49.22915,184.24329,182.05804,104.77987,95.464714,195.1529,155.63255,104.08077,171.61813,140.9756,243.03922,272.40414,122.27803,119.74504,41.557186,62.995914,116.50285,37.041924,203.51724,175.48163,105.989334,27.876026,123.06224,170.18367,280.43262,277.4469,250.11336,284.63852,222.39409,331.93896,261.01865,653.01483,282.3853,371.7937,417.31125,369.46268,127.39492,147.3867,115.45281,71.93119,99.64693,204.66423,194.53152,313.98645,231.34787,174.61699,136.60258,71.34897,38.725742,99.68726,175.05373,78.06901,110.39597,71.87435,123.24283,97.15166,161.3241,188.45195,122.94104,74.307556,27.199171,80.668045,197.62466,398.40933,464.22107,356.25497,379.7114,434.69107,460.68414,872.2188,786.3754,430.9251,485.43503,20.347122,134.51538,139.62172,110.87885,229.55783,230.12932,164.07109,155.54517,288.26697,378.28336,331.3666,190.11153,96.30994,179.03696,229.20897,130.95908,110.706726,96.500404,92.85954,143.13031,165.38539,145.26903,169.24712,155.08885,218.52429,222.64462,306.07703,302.12375,258.3928,324.9967,374.05374,397.93518,352.10696,85.11489,233.37682,373.70398,406.00378,1072.752,466.43036,44.577442,124.05899,103.39835,248.5197,175.20332,321.15683,553.66235,470.3722,353.50482,258.81396,37.411205,201.56653,238.10153,77.72441,18.830399,92.580666,103.403366,184.4525,120.219154,111.67722,269.67288,289.2655,113.141914,284.29,291.8773,112.04252,204.82759,366.59235,334.1612,89.531815,65.41946,90.83553,152.12067,228.58884,277.15872,261.23718,551.54553,485.3129,176.58122,385.1874,238.17638,67.0054,133.79153,122.76554,81.71533,156.90045,52.108925,93.62847,158.62193,304.8225,289.10083,89.80174,94.85835,166.35861,170.44995,136.0021,193.41739,174.0,none,
567933.8,242622.39,445.30927,64.29,157.97195,106.43318,515.8963,469.45203,216.45416,92.58358,63.475414,128.35422,572.17645,428.31668,97.321304,91.38667,181.76836,269.23367,184.41928,44.867718,107.9691,120.766884,232.3351,300.77338,6.748799,182.8277,146.3692,49.323906,55.708973,47.52034,49.43065,238.28891,204.4593,155.86253,44.376446,144.14021,273.22607,748.07196,1044.704,131.48387,539.3149,347.54526,141.29083,265.02383,157.72012,50.199875,83.63752,332.1373,295.51443,157.27737,159.50157,169.93451,183.88574,232.08527,39.602135,345.46533,313.35648,33.973175,39.627106,59.703304,40.327526,116.896034,96.58727,195.54265,103.400925,34.84019,159.85596,273.19485,175.76768,113.82955,158.67357,143.89992,209.70064,161.63928,105.143326,219.90282,160.98834,172.6953,393.1658,277.82373,97.7575,232.63329,470.8935,512.94977,285.2188,112.85259,125.6656,222.05534,145.56946,40.45124,207.37349,365.12662,214.97658,102.39855,127.934555,17.289545,65.23451,147.7942,288.53085,193.4276,69.44578,97.76434,166.18481,181.28133,168.34377,20.913364,41.034782,99.4047,155.42268,88.79185,189.71269,108.68359,41.573242,61.719425,114.83397,117.45235,216.22296,410.72827,287.7096,656.3625,925.23834,444.82025,182.32336,277.96887,249.88896,122.90725,57.102478,123.10964,239.97302,117.660126,142.249,261.3642,208.29218,97.37194,110.641525,171.47733,217.80946,211.70967,118.0201,34.565353,72.29531,161.54158,133.50136,103.67177,165.73636,23.21668,118.04976,143.6883,138.18843,266.40836,219.33504,52.835964,84.47898,188.77391,101.81232,87.85141,205.67444,983.6511,871.1556,164.16367,177.93517,124.345146,160.40991,213.85648,115.59503,38.152916,64.130974,112.6052,65.83822,70.89823,179.40543,96.82385,125.781105,93.825294,54.67281,126.38618,124.768555,167.66354,218.19217,63.40711,140.96925,211.3618,158.44534,180.92982,134.33836,101.772026,160.14752,175.69423,324.32648,523.1112,421.543,243.52145,125.15244,286.15588,661.5941,970.9169,373.35532,1022.05444,744.9392,224.8991,178.82089,203.90002,113.728355,67.88063,73.882126,173.01714,46.17457,128.18857,86.6599,206.35548,157.55104,175.76631,203.41309,98.4211,113.59528,137.01671,169.26709,201.64018,50.592163,226.60828,428.67007,282.40756,135.8839,266.4872,426.8869,198.99196,94.61799,360.39532,341.13205,267.88507,271.72882,220.34923,213.55469,102.451675,355.86963,597.81573,484.7861,182.12444,471.6548,509.71603,448.4019,269.178,143.72964,325.73865,292.91296,170.77968,158.53539,122.35433,114.115486,194.65884,42.30658,56.683773,115.00148,72.74543,127.981705,270.22235,289.3125,none,
567796.9,242471.16,257.47647,225.4549,266.49838,510.8739,912.07513,479.1007,94.0013,174.08376,165.01372,223.40337,588.7139,565.62726,222.04875,184.35007,223.71686,262.4204,119.44394,146.14427,179.37007,82.41677,52.877724,185.41689,191.66222,243.89842,309.219,240.82787,136.26431,174.36526,279.4139,406.58456,221.85046,147.45413,142.25462,164.74426,126.73935,226.45963,785.8533,469.72916,496.08282,273.44153,208.33192,362.4591,449.51108,230.77539,81.340034,226.39348,252.45503,239.63766,163.12842,91.58248,70.231834,88.64423,182.8765,148.36388,58.046288,127.91208,113.66634,138.8463,127.35804,175.1352,106.78023,88.04377,69.210976,134.61798,144.69388,258.36493,378.01218,402.4736,226.49368,200.47643,246.92162,32.211967,230.82567,341.11746,224.69122,155.3523,105.1347,223.98927,202.63277,182.89777,173.27716,117.16897,87.4021,171.20767,269.38223,135.0015,39.606792,102.500984,73.98197,45.597755,89.632324,84.437744,34.73679,47.659904,133.54852,132.01358,247.21335,111.739426,93.48852,129.54636,87.44976,90.17867,164.41023,172.58357,20.406334,127.607445,377.5723,403.73706,311.19174,284.82996,185.15208,189.23662,282.2462,271.53113,209.82655,225.8737,274.9995,572.81665,256.903,353.6892,337.04227,158.01389,39.510963,79.96508,159.64482,81.42814,227.99725,230.43622,282.47308,109.80247,183.31383,128.94458,20.124483,265.2823,434.5644,240.46063,110.53947,220.23526,252.62178,234.42976,253.86751,98.851944,211.98444,159.37589,104.58545,31.237825,87.04252,217.97809,128.78975,142.58574,73.612564,147.94933,84.48366,89.39764,241.54398,1051.7433,655.8652,271.49036,220.58476,183.10307,214.63869,48.930706,100.47737,183.44788,228.1429,322.1042,197.15753,27.433256,85.76423,201.96664,168.91261,217.84009,91.817604,75.484535,86.67078,190.35951,144.36372,180.18031,301.10327,277.30765,212.38417,117.563034,35.989376,31.309004,28.650723,218.60117,402.51294,241.05275,24.793962,28.494068,107.838356,157.45892,207.33675,660.8907,517.5947,1091.6714,1165.7458,628.29706,349.9259,214.68828,185.63805,119.657455,208.8584,298.41367,336.5396,287.871,202.19597,189.51146,306.6648,89.66784,130.51247,189.67058,165.11043,331.97562,474.52884,279.46426,124.20312,77.3126,45.725437,88.65471,217.01306,180.638,210.8634,232.60747,305.2744,177.72565,66.52368,60.53666,73.892426,177.10872,410.2016,533.3459,397.90933,176.80943,519.11304,577.1858,201.77591,204.3473,106.73603,316.6664,281.94943,242.01656,335.77188,220.6955,208.85608,162.04732,78.40721,286.20477,261.485,202.82388,46.55204,115.51064,102.488785,227.96991,203.125,none,
