bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566784.6,242252.89,474.56122,408.46832,361.62155,638.421,839.43225,403.36807,320.7589,239.17917,99.404526,178.95348,392.6871,265.30902,45.559643,166.67578,314.64548,169.5182,41.752987,132.52385,135.1861,132.68808,66.296616,122.75186,241.3494,205.01619,280.33765,301.08502,57.045628,66.209045,41.943798,337.469,198.9184,772.72986,893.01733,118.47188,384.37494,422.44247,409.5615,372.45944,410.55466,510.82318,410.5721,284.5627,174.40146,42.49478,97.46868,101.358894,68.53819,243.494,36.444542,184.12727,182.3285,58.34581,34.974636,98.16299,312.24182,233.53104,172.87683,141.97441,124.10697,119.40691,52.55013,283.2997,393.412,393.10617,235.57845,294.41562,156.23569,44.283417,170.02213,385.7535,319.46765,179.77097,146.78854,271.97873,214.97,232.83379,118.426056,186.36926,310.61005,235.16754,227.1459,310.93246,332.9636,291.53342,145.99474,97.77752,65.0691,104.96763,176.638,221.71576,371.65387,288.2099,302.14758,124.10033,245.94835,500.76917,388.54944,176.75548,51.88499,148.4825,274.40417,44.973602,128.68489,88.129265,13.780946,195.37248,401.94186,175.8897,131.30702,120.32177,122.924614,315.83124,438.27835,285.32422,253.55003,173.61623,50.142784,64.029434,194.19215,330.11313,234.92967,151.19022,129.59897,205.94,455.60205,496.82953,732.8193,554.3187,223.38899,186.09564,223.29784,187.19774,55.01398,143.48213,228.52286,316.06918,296.53137,222.0611,313.5089,164.73796,92.26532,119.62606,218.42906,412.9304,428.7909,184.31519,208.56035,183.49484,267.2723,478.76218,355.26703,292.19772,152.61766,150.96936,463.24976,388.60034,416.5907,538.2803,477.161,450.58896,295.11954,246.36946,415.19934,314.65836,312.17252,195.10754,179.68924,322.80365,257.04462,149.56648,281.50766,535.534,211.66617,154.38188,190.14838,353.3665,164.91237,158.27649,170.00577,115.021255,163.49493,223.65189,343.26297,267.2367,242.26454,241.39166,146.26375,18.223522,503.66968,631.4633,378.03848,1307.2936,587.4216,79.46081,160.48833,147.78285,357.3398,226.02296,343.99472,352.80255,377.6911,261.80063,65.39356,195.66382,67.09101,48.162865,44.783073,111.25342,213.2879,180.48387,169.01553,132.99014,70.93696,73.51133,80.49723,126.45023,185.64459,245.65582,359.70456,190.09007,50.100628,197.89458,203.27423,209.12636,446.138,487.91705,191.53766,205.22237,198.49797,230.18292,183.58716,69.757416,91.80104,204.46564,231.9558,188.66194,104.2835,64.8068,166.77885,103.056786,85.34215,74.1333,261.7193,323.08618,256.43686,97.7502,316.51242,230.01428,318.70276,251.02924,134.59004,127.903076,137.72523,83.470436,238.875,none,
567063.9,241977.44,209.70535,350.9695,122.93001,160.5109,173.97678,107.35672,299.8198,261.01913,231.60976,269.26077,526.9292,574.07074,196.32074,285.38516,226.3928,196.13258,181.82838,219.76942,216.58502,139.09209,82.75257,141.9415,166.17307,185.62268,72.396576,176.7086,361.90546,307.84674,403.40338,186.03108,192.5305,961.43396,618.1765,310.3031,506.99585,245.75073,90.85483,69.09052,44.199364,267.41882,247.8374,122.111084,32.859272,36.252647,96.64202,214.96318,335.83408,241.06317,125.72291,200.1258,174.37625,113.18035,137.50339,100.0903,128.60518,176.8478,31.539776,201.69626,203.48006,218.77252,428.78537,273.1088,75.80597,171.17117,163.99815,293.5519,104.72826,143.6168,332.85068,37.75841,245.26788,79.170204,303.44656,280.4493,186.19113,190.21707,81.53054,248.16162,16.392101,130.59105,136.41785,188.29506,168.35556,209.82588,210.47247,136.24522,174.03331,165.77888,35.30404,45.840508,42.169937,148.38605,272.30243,280.2548,79.940155,283.63815,336.2509,303.01706,245.38988,130.71104,111.38044,31.730251,177.3063,57.4505,159.74835,240.08052,171.72662,359.46307,281.89575,75.60082,266.03757,230.94548,391.04156,190.1443,167.65843,285.04358,206.62485,115.83216,54.60257,134.57541,164.64537,308.8997,320.5527,471.31174,511.5223,43.772793,127.00328,316.2774,138.21915,85.758156,258.67023,35.209053,67.24804,109.47616,161.1349,135.78714,126.295586,67.28214,315.80255,317.48456,188.75359,219.93658,206.28427,155.52591,319.01468,465.8689,224.06314,101.57471,205.46503,277.91327,337.29236,340.1859,128.67546,239.78415,346.26596,333.68884,811.7759,1086.5793,265.39825,617.7894,186.6835,111.88302,318.22162,334.65445,269.8702,239.20038,49.96797,115.74497,29.854261,53.13749,167.23279,324.1637,327.0704,25.843243,162.69957,181.84859,383.51553,466.56232,384.23483,399.56543,262.19916,92.787056,53.00167,90.0108,258.45612,274.46802,358.10556,581.1681,484.4796,472.2116,1194.9238,179.11324,933.46313,696.8701,391.87393,285.52515,291.03732,228.43016,364.0038,296.9629,153.17557,144.8335,142.44217,202.07504,333.28265,321.8625,268.52716,65.256165,122.214966,108.22027,119.23062,360.4293,393.58127,293.68622,285.39633,318.7912,229.16185,112.844574,217.10162,174.6604,368.6047,66.44909,212.56802,147.54211,316.3913,566.55347,471.93546,90.24104,192.99422,164.01166,89.108055,126.155846,111.920616,263.55295,257.89978,131.74153,84.561,144.83754,210.56015,348.34122,427.03253,353.88138,216.94748,205.20424,126.6536,231.40208,287.05673,98.05301,178.80252,239.30057,183.2742,104.359344,44.453365,170.05821,347.78125,none,
567778.7,242424.1,153.66435,234.88034,166.82681,372.02783,633.3397,280.53406,152.19188,42.92939,78.30726,234.59735,822.5143,615.216,175.8838,158.2074,74.96656,112.64982,151.2876,40.067684,48.791862,40.984528,122.01904,38.73231,226.95314,402.12598,278.44205,167.67946,48.9081,208.70836,268.70856,384.63742,369.87668,713.9552,866.76605,483.46054,317.22354,194.86401,239.36473,279.39487,251.39813,292.54504,248.04953,92.33335,217.04225,253.1942,204.71213,368.6041,190.89972,84.51949,92.97448,339.1113,472.54004,257.60306,189.31947,115.887245,82.9549,138.70518,161.65167,176.82594,168.108,209.24934,155.29333,213.05586,191.3945,307.07285,170.33667,540.00476,276.94983,153.44386,268.3273,143.81668,151.34117,425.45395,226.49486,120.4869,112.43202,91.91735,259.59995,322.73578,255.79703,238.93237,265.37494,315.9127,358.12747,356.37738,304.77448,108.20901,128.39093,209.45457,113.8368,32.571255,117.099686,149.26874,150.64497,159.97398,320.6321,354.87485,242.0647,126.38722,161.6422,173.44861,211.8949,314.54068,271.27252,44.619015,171.8824,378.0731,214.89595,212.9148,126.466484,224.792,174.98503,199.46736,252.55243,232.205,286.76096,50.766636,97.90386,116.61305,134.12987,204.94455,457.70932,435.47647,84.310974,32.163673,512.1034,443.58774,463.36575,162.35963,163.33308,268.3953,370.17026,224.34511,52.57875,221.3684,186.48804,43.438698,119.0905,121.86217,214.90613,174.89273,80.10673,111.152145,194.55716,274.26437,363.30963,127.642624,274.3318,191.26259,294.01004,377.04993,320.54315,319.45428,449.91827,439.30365,355.56125,350.14526,526.64374,103.99574,610.6169,761.3022,314.48273,113.01197,108.96448,1.3832865,121.2205,410.9257,481.2282,233.86511,97.04479,70.66627,124.33075,207.43582,65.70434,265.3794,148.36745,39.31095,50.29387,62.33591,94.74545,256.13443,282.9214,208.71208,98.22227,255.55475,361.43552,221.03917,87.94469,402.41043,601.59296,834.02466,325.04712,1064.142,876.04297,619.9289,700.34204,489.7655,96.03212,88.74088,160.96033,64.26527,225.0809,187.85814,65.99246,175.79088,155.89386,53.49688,241.6204,438.9612,291.24496,7.625083,238.45122,409.58728,158.62523,187.32317,187.9168,144.51006,171.89638,194.66095,296.39578,243.54921,113.481445,323.28345,396.84775,408.83615,296.88177,411.00366,216.94481,233.41699,352.45752,236.323,73.789856,156.22194,283.0231,231.80945,137.51056,96.74949,101.66783,132.81949,330.338,291.04095,113.31284,111.93416,188.91899,319.00977,177.23796,103.763985,192.43509,239.5139,85.99076,15.193601,331.42703,408.43542,159.09012,153.4168,63.1875,none,
567730.6,242330.78,195.31374,184.86488,254.3721,106.297966,571.1934,674.2676,292.60812,156.98938,214.79327,241.50421,674.15155,480.45752,124.15197,152.75163,101.85643,96.0704,158.07295,360.84036,257.74237,272.08145,349.49503,225.95781,45.64138,205.49753,217.52539,203.03401,93.38661,68.38911,458.8942,630.52094,771.01514,1234.6086,427.0832,556.1061,208.83705,333.0865,292.21417,153.40535,273.20016,292.03723,302.3356,174.16788,72.49593,141.68259,212.63217,176.91214,200.57733,365.27734,315.8214,193.33144,93.41495,238.12984,193.42381,146.46376,108.54657,140.35072,108.64968,211.29782,63.690025,227.69125,150.73952,233.64052,422.18243,229.73853,404.69394,320.2017,427.9263,279.7405,234.74583,226.37279,197.57158,263.35165,465.12735,245.55096,23.621391,13.7647915,133.36494,158.54161,79.533325,90.67794,132.06444,75.68316,131.87373,52.653976,163.16928,260.75677,236.15094,185.45522,149.64043,105.66765,170.88263,254.44313,345.3367,423.79422,296.22467,209.90338,60.58628,154.77835,58.74486,139.72145,256.53287,226.2731,40.72133,149.55267,121.17618,170.74896,58.728123,209.69028,141.02563,90.520004,188.9495,281.0598,303.76694,284.35294,210.37956,178.24144,164.01788,246.17644,253.48798,214.39998,382.23666,457.4926,299.18918,602.5543,407.20554,317.9869,545.0828,246.19254,268.1966,261.72922,318.5096,288.37625,74.009094,109.63454,215.96126,198.89424,196.46484,158.71474,112.35852,170.12079,182.15205,327.15372,163.75986,52.150043,112.54808,65.48795,160.05595,334.59595,339.17706,180.11217,115.34306,207.99158,288.54572,306.00912,399.762,617.9015,863.6158,314.32074,320.2502,463.09006,288.70834,378.69916,306.35345,387.17776,494.56155,214.85574,56.38934,186.7285,305.5672,243.11711,146.92282,193.17703,192.84454,163.31955,109.33508,171.6366,211.66818,262.84723,245.0286,245.14597,218.00757,148.79396,48.647926,230.16713,111.5463,173.46379,342.08685,533.5568,527.3368,899.1941,412.67538,624.89087,531.97705,167.43642,186.16321,122.333824,298.7739,402.79904,341.71832,229.51468,115.58988,64.61496,240.25296,235.97916,256.80942,61.212173,159.26408,100.39998,242.64056,279.8455,436.99066,300.96262,58.08605,126.644905,84.189766,39.123432,72.21699,146.79576,186.07999,103.08445,194.603,334.80814,476.1284,128.10992,399.49527,143.7822,260.53705,199.9814,286.16135,389.9498,336.67722,296.92004,193.89677,303.74142,201.44821,95.164,140.78198,193.0246,151.99614,301.34375,340.97095,219.10564,88.833954,177.78526,175.1553,250.97809,411.74506,152.34753,95.47293,32.716087,193.20747,191.18053,297.88126,266.79095,177.5,none,
568203.94,242786.17,537.40186,52.756138,99.15788,328.73648,154.86266,262.7017,316.7094,243.75432,196.91121,157.66048,413.88223,238.696,253.80923,355.90463,136.30927,39.435043,232.2693,74.28815,38.484364,97.43307,98.072754,82.758064,136.99063,199.65135,149.62703,204.7531,227.09,97.177605,182.47066,494.42673,980.1939,1035.5365,57.022053,85.63002,224.57703,126.047615,342.0959,36.755478,16.955757,93.59255,128.66495,82.869026,46.688328,134.13956,154.27843,81.54373,72.77013,141.38835,348.6441,157.2997,74.253815,67.92791,120.383606,62.3365,199.7825,178.97363,179.30034,193.86234,362.6984,169.40898,113.02076,114.14181,384.76294,390.54776,137.47629,145.79979,143.54063,305.37927,240.23245,281.48865,349.9235,319.0375,237.49226,151.29929,131.06795,171.57048,98.65002,75.13537,32.240326,17.405674,266.2473,357.3857,107.792755,81.952866,123.140564,123.73888,161.7727,116.20408,96.493515,260.92456,256.78494,329.3801,621.415,707.16394,525.4111,315.1309,52.344402,310.46075,259.79178,177.71729,102.35328,211.76006,197.87297,90.06374,69.76468,228.15854,234.4979,221.94962,132.03564,128.70425,296.46033,206.27672,232.05893,253.92397,118.12724,40.55031,125.23168,35.722336,81.09794,97.80373,93.33686,144.74796,178.58987,182.1213,904.1009,930.92395,262.9079,348.9821,454.52832,218.10172,186.48128,302.71613,170.91223,124.967285,137.17798,204.70267,148.18452,94.14332,274.04205,421.481,257.05453,166.59982,266.36295,91.07985,247.19101,340.359,303.46158,312.86005,238.1883,119.83903,171.63939,226.17702,244.87198,290.27728,290.10498,173.04309,359.63992,975.8437,527.07404,504.71265,306.63458,37.640705,94.32631,69.750084,225.63826,315.0082,160.961,121.14129,132.1887,177.40762,75.84386,60.630783,56.635628,170.28415,101.00532,106.47566,34.338837,256.64627,141.03694,129.39653,206.17155,240.26167,299.61844,74.94191,70.38498,201.2727,264.98276,358.57462,575.02924,819.26984,879.7222,385.58923,874.37787,449.6184,342.89667,282.12653,281.54984,433.3265,354.90485,278.4867,199.476,256.88657,334.3044,282.81693,124.38212,187.88824,207.70775,233.81485,190.20166,72.89469,183.45619,280.68167,144.91954,145.6752,166.21616,126.85137,239.50005,257.47842,125.221176,131.41902,252.38057,366.86484,208.52496,298.6534,710.6019,536.83655,223.18936,329.54504,398.23663,366.45267,233.56427,192.8013,142.31961,236.67694,129.26784,96.82313,124.59352,362.34537,294.87814,235.57854,166.64906,105.802414,106.542274,329.89114,245.35141,151.03856,153.92838,144.84428,98.50974,311.37094,292.23013,139.40851,157.6748,128.2812,141.8125,none,
568045.9,242580.42,446.1998,156.83405,332.27863,182.09813,524.4366,518.792,322.2241,396.57483,308.36365,104.90975,694.7627,770.2163,287.424,403.08286,354.56354,230.15344,33.423767,331.88123,387.90756,220.2749,125.56894,309.04642,73.430275,234.20874,131.2633,59.870872,197.29033,207.06975,298.10965,277.51697,489.39774,1075.7396,876.1515,157.96329,396.88434,270.58783,180.33447,423.40652,172.50285,106.936516,216.4271,208.67845,333.66333,236.27647,148.82367,126.11019,294.2387,288.1678,148.35669,124.01969,231.67633,169.69167,100.170525,285.72064,336.0898,86.97074,383.6756,265.27594,220.14763,246.8298,212.04065,135.51564,159.3818,160.45137,117.13128,338.08984,162.37799,395.65982,247.61864,318.26248,453.32693,202.04677,311.36124,311.99277,142.37271,309.69073,208.12897,91.40584,98.39445,46.241173,245.83315,271.14676,193.97655,359.80283,345.1056,139.89905,129.19151,318.94434,218.88422,52.140553,191.86308,133.96176,161.18144,118.90256,282.8286,329.64313,325.77057,91.233,177.91832,97.60275,397.61526,334.91656,236.61163,118.400764,120.887764,228.6341,245.23311,219.74158,424.22504,254.52887,168.53365,173.01529,215.11624,187.52275,166.40955,168.7472,247.9796,49.494877,45.67254,226.87262,279.3234,404.92535,556.9739,423.78696,386.61102,402.74155,130.76622,359.2166,521.6788,226.33047,138.58449,123.28342,110.161705,127.46784,140.1208,115.482445,158.22755,77.70435,153.85956,164.2021,195.06696,260.44568,94.03549,109.665375,140.8243,269.79077,176.3712,186.59116,290.10773,197.45573,225.9796,148.22774,294.4331,352.28314,288.77243,390.83725,827.12177,477.23996,515.1239,411.85767,210.33382,159.83252,116.29917,137.45908,120.27997,325.25916,189.80295,16.679585,157.5541,214.22945,94.86169,156.9464,166.10469,117.45595,240.03197,344.84317,302.97903,175.78291,36.39988,99.69855,101.03209,93.044876,82.76639,159.69089,359.29068,292.80692,253.79126,356.7306,441.20682,582.7507,541.60504,764.08,1158.3173,552.361,230.80537,188.00137,310.8383,190.15656,200.46255,244.09415,220.84074,187.28674,137.15349,42.015686,236.43387,400.49045,345.8382,317.58386,389.76883,148.84468,162.43347,170.93861,551.95276,377.81134,118.47602,404.82318,315.84222,221.45633,126.597404,136.04185,224.46745,137.59012,140.79173,17.830198,168.82779,537.63434,330.91666,55.14855,212.3621,237.36893,99.55539,236.73865,128.24973,106.4089,46.22726,168.68098,80.51037,74.69991,141.49547,290.38196,255.03644,241.826,191.17215,76.73288,18.77274,62.390495,146.97131,118.509056,186.70975,164.06485,238.9368,72.83973,42.654446,68.907295,26.28125,none,
567953.2,242698.98,594.6701,257.99408,11.227117,392.56842,647.86273,279.3441,326.33307,293.20352,127.591675,199.38933,844.7406,497.90738,146.6143,150.88535,246.85486,258.5046,177.4551,93.4379,190.25519,107.83749,114.00521,266.03348,180.20734,76.8265,206.5094,185.0491,211.49524,46.222412,122.68474,193.22144,236.55925,465.73196,989.083,387.07086,551.9253,530.59143,480.32025,249.80045,238.21346,97.22761,163.32886,236.19409,211.80669,113.03263,301.14578,381.23138,146.8504,193.23149,151.0469,172.24057,143.68024,123.84726,117.06145,248.3256,243.83833,230.34517,298.98047,243.4888,115.08689,127.93945,180.59637,107.01415,14.988072,155.85046,125.50428,400.96896,578.21313,210.42046,384.28018,416.04544,246.81978,105.88899,272.6883,156.06927,91.45142,285.6467,217.8826,207.24242,340.7126,142.85483,251.0408,300.04587,252.2849,283.7986,267.0206,318.62552,105.781975,217.82759,381.10007,291.0537,77.65338,254.43478,185.21115,193.37808,124.064964,135.85583,213.21906,183.45355,260.0363,108.0318,319.05038,190.87524,245.80144,403.61383,327.5348,278.64807,260.2627,30.95791,219.1004,189.32433,181.54713,171.41061,100.706856,245.0408,158.12741,177.9942,385.95956,142.015,147.60272,378.4768,391.45242,335.14008,434.00003,694.6091,270.33905,44.004005,26.37854,170.85272,383.48853,451.7009,105.657234,78.35182,126.39115,45.737118,242.93008,257.25998,129.45602,92.23835,110.82957,142.34258,46.573963,58.803368,63.46901,50.980526,21.788095,71.469536,30.385748,198.9251,98.13745,110.61379,47.852467,54.945072,218.04764,107.229515,519.6815,338.30862,953.7035,983.6344,264.9777,311.47964,264.31967,305.6704,289.68112,264.01132,375.69827,139.65207,218.06136,164.26814,77.80394,189.95605,116.9544,218.57526,454.26318,356.47604,180.60202,86.70623,184.07964,123.83217,29.830233,110.42477,198.03601,62.301178,177.59093,181.59285,210.50728,192.81538,237.83438,240.84259,256.0021,199.91335,622.068,816.3769,432.60703,956.89667,591.151,491.20547,498.57523,243.85104,177.60263,225.97575,85.1224,82.16428,181.25775,336.2641,209.3187,220.50949,400.11813,228.23474,520.052,477.10428,99.97946,126.55493,81.25129,339.35532,265.52866,284.48892,249.89896,89.840706,161.1865,124.82561,111.29803,164.26299,194.12836,109.09909,145.2841,407.3578,101.01518,721.8115,730.21954,367.5566,107.360275,136.49487,157.69214,111.60657,212.12138,271.59366,154.74213,11.156508,147.64551,245.94815,139.02551,181.88947,221.22696,197.04291,326.48996,247.79288,231.38164,231.56879,136.57918,252.8925,141.12679,126.94895,86.238625,164.44826,61.8125,none,
567927.1,242600.28,587.71985,417.5629,289.81128,211.4611,532.7744,440.41208,171.48517,247.82217,380.12274,90.21166,692.61633,460.39233,355.10532,337.63525,186.57443,120.24181,78.18444,92.60907,233.32053,238.00381,86.40547,30.599697,108.56345,139.81348,205.25139,268.86618,219.97665,83.95984,65.78651,60.016182,87.97929,210.64755,910.7313,1048.7007,245.31665,232.5413,107.24114,219.15874,393.79846,397.1625,217.56102,57.329983,89.122986,173.8702,294.698,225.89183,134.99062,214.57095,211.81694,14.92297,63.275887,116.968185,206.69821,225.26543,127.0556,143.7181,150.89302,275.14548,149.24474,126.33556,243.69098,63.19942,169.01924,280.8298,151.59781,174.31912,282.32147,386.502,247.76968,171.96805,280.6758,235.1719,305.96466,321.99673,185.54239,92.79228,57.283047,103.252335,324.43323,218.60475,242.4852,279.5394,321.93408,44.615177,190.0091,380.68607,303.298,67.07307,210.84364,207.98486,30.094685,118.452614,280.35956,114.218185,46.310627,79.008385,193.97285,266.7641,254.92401,150.51337,269.1298,206.10776,204.04091,118.59169,245.45265,298.53616,372.72217,397.37277,425.70224,239.87144,211.96606,51.964546,155.37778,159.74576,154.42595,163.72557,46.878925,239.39485,294.2532,433.02606,708.0751,605.9309,305.5552,798.45856,311.66028,112.59726,291.59393,354.5101,378.55173,322.86343,421.5727,369.47946,153.26033,59.859653,196.58496,97.06484,144.24496,114.78718,291.14514,225.06216,213.77779,279.14514,152.65332,59.264088,121.86477,135.8288,33.671978,299.38992,340.37894,252.46725,19.49089,99.56611,180.00006,566.5662,783.72284,742.8504,673.23315,382.27713,534.5591,238.56523,106.104195,157.82568,208.3541,226.52763,184.2299,241.84433,270.7516,341.78775,279.71912,145.31607,205.82973,401.52042,354.73923,289.62885,146.67601,57.97125,176.97548,297.14514,208.9491,297.7048,186.81151,193.69623,189.4552,199.87177,296.85202,69.23657,158.8497,59.025124,162.42488,340.51904,721.15295,636.7995,721.834,660.67816,247.51572,237.64507,242.56749,226.7609,181.4132,135.48792,60.97698,25.666037,246.909,304.63083,164.8904,243.42816,377.91824,326.7467,229.67572,191.25478,199.40048,212.88097,115.76689,290.89127,142.1101,56.237354,71.97878,144.011,38.349922,413.33472,368.31128,138.56157,244.90363,290.9434,214.01477,193.09875,227.3215,797.5594,569.3752,254.54202,250.51251,170.38802,254.88936,268.24612,33.608852,103.27778,220.01309,164.34187,188.51895,201.83919,116.97223,137.02538,288.44788,192.11984,290.9288,181.1246,481.79474,374.04358,123.45791,266.01,133.11519,209.5209,182.27599,93.09069,218.40625,none,
568026.6,242598.88,306.83295,292.77258,218.61024,246.6161,905.78143,461.3351,266.56613,155.0253,198.25415,259.04684,456.11432,361.19647,327.57858,317.9863,199.81688,66.544846,24.51745,223.29808,509.0262,267.44742,131.03706,269.29904,312.76804,264.63428,157.71107,263.3349,261.49283,229.2053,428.8895,661.5486,768.92395,662.4286,781.79144,140.88782,779.5932,627.2476,405.27252,272.6725,105.78737,129.07774,333.47183,232.6202,166.37602,197.6476,302.26285,376.2641,489.10727,298.89148,218.43517,242.6376,278.863,174.46107,305.43253,227.87073,286.8227,257.14935,198.92801,119.06296,141.31209,182.71785,111.93636,176.3798,183.01643,116.99162,104.83461,268.4287,448.95676,396.67133,20.45967,153.59972,61.111637,90.750435,171.24957,166.2138,226.2911,318.0189,187.48929,133.02902,167.56056,70.80729,184.54272,168.1738,284.58853,380.67715,401.37216,457.84906,472.28757,227.86665,365.43716,346.4738,53.20258,107.73905,77.14546,209.49162,157.12794,75.94387,201.20425,149.39003,143.11497,64.514496,195.87283,90.466866,306.41495,417.0775,225.53224,163.38335,252.75592,310.2982,308.2716,444.58017,361.238,281.1279,44.25684,140.90758,193.91367,240.80319,190.12878,225.56953,91.207954,160.12941,107.944695,340.09772,584.99805,638.8964,357.98282,579.8697,508.2829,279.7174,300.18073,385.99115,587.7382,331.73462,279.57272,327.33905,183.80606,150.39906,38.230896,260.7579,387.81247,365.63107,231.00626,366.92007,149.94258,140.0596,162.19197,128.115,109.48761,291.41818,345.17026,432.66336,489.12814,318.96457,313.98148,306.65906,206.87592,299.31235,621.52936,346.11508,677.8609,263.51303,380.41254,383.95572,274.58768,105.63255,114.143364,177.02678,97.13498,63.84605,72.23843,91.07045,150.10278,175.9848,177.93951,181.26628,17.321213,158.2984,361.38153,309.7828,254.82205,398.9065,483.20105,403.75647,130.80591,188.52339,129.04532,425.39853,511.2216,422.86508,82.93347,360.22107,840.785,839.90704,1121.9521,481.96182,171.66174,294.6639,341.6633,337.43756,282.26578,311.68613,146.78033,161.29376,128.34918,108.57434,266.90274,242.58202,121.795135,151.13501,289.07315,178.09726,126.51625,115.76533,71.40015,340.91867,276.50122,144.66129,176.3079,185.27213,208.07729,247.45518,90.498825,139.68958,157.76636,112.2168,328.44696,281.73065,205.7525,168.60492,274.48813,259.4687,318.78552,154.48723,306.02933,335.10056,315.8316,138.07985,178.39954,228.3194,209.52554,181.42937,181.19753,153.29254,148.37883,142.84831,87.93412,27.090153,111.814896,237.59538,149.39381,142.05812,122.06315,112.3104,251.11842,78.21662,45.09375,none,
568119.6,242714.7,607.87,112.67703,217.62654,203.55305,606.99677,353.28882,106.888275,144.89581,303.381,51.732586,704.686,634.6623,59.480995,86.62802,310.71738,228.51163,172.04124,157.50436,213.37538,195.24245,172.98186,88.78146,131.16783,197.71835,224.78844,185.5102,92.372925,129.579,63.51858,370.74155,252.79443,150.0886,841.4483,1206.315,338.91006,451.43304,162.84325,77.05817,210.4444,212.17859,287.28262,359.00687,282.4245,338.3661,269.19156,91.70038,95.555824,106.460915,170.74599,214.11035,249.94444,165.83609,100.72564,8.835474,154.6616,168.07031,197.47311,399.2551,178.72131,160.62193,292.63766,374.0653,254.24925,78.36406,93.0516,168.4706,179.43425,405.60837,296.2796,66.25683,300.37305,299.8785,281.37857,269.40527,353.3611,310.81384,163.26077,175.73012,91.864296,74.83447,223.21338,164.07906,57.020878,120.688545,68.98291,255.8626,222.13351,43.345085,205.87822,443.42725,395.73013,289.65155,181.41116,218.22443,171.44244,209.87065,110.74632,108.41386,155.8985,17.850061,260.93585,227.67761,145.506,244.08205,381.08517,387.73868,260.368,254.24782,375.7799,278.26453,107.32854,200.05144,86.769775,285.20688,270.89865,193.7655,363.31448,240.51785,216.65874,421.43707,574.56195,456.07523,167.46918,393.11374,494.70657,391.58093,376.40314,289.2905,270.89865,244.20451,290.22568,345.49545,60.26582,159.44847,134.68745,163.33408,108.50637,48.996254,45.93959,105.99152,164.92755,66.03638,160.80061,210.42809,110.019135,71.73559,166.02562,269.3254,162.5405,144.9675,27.640728,54.314297,60.70124,244.70483,709.21094,748.9302,238.64902,538.44745,595.9544,772.77454,321.6425,188.48982,114.33752,73.04668,115.49344,223.98082,83.226105,19.624594,18.638603,109.96213,109.823494,63.92007,187.6009,126.84682,28.438137,91.14409,195.62305,206.10129,207.99525,192.31696,163.82753,214.43353,94.433624,205.8793,349.541,206.8623,114.14044,124.15237,164.63887,449.00327,581.0595,389.33804,1027.4193,978.9307,698.8077,258.50607,270.2523,268.68573,231.08159,76.17539,228.17677,86.82899,195.8693,188.29689,70.9781,189.93068,267.9947,112.17116,231.12914,276.98505,339.78088,351.78406,303.68558,166.90092,210.3188,100.674644,159.286,113.7439,192.05396,49.832283,98.826965,123.04954,58.27471,145.71796,214.51456,102.83808,632.6404,884.9658,673.15576,392.064,382.36188,405.3819,318.50168,349.01193,238.94305,53.891106,79.67007,90.36816,93.613,130.41228,232.02742,165.13268,239.32434,175.13644,190.4301,338.5056,317.22107,284.67285,308.59225,353.4788,327.68045,201.2993,202.67932,136.05968,100.09375,none,
