bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567939.44,242574.28,293.66586,275.1889,269.29907,66.241325,732.5159,409.10107,224.34108,247.51468,163.58331,143.41231,722.333,492.79007,202.55562,271.2935,158.77626,67.57069,148.8427,57.229004,242.15733,280.4392,273.3175,152.24374,260.32306,275.93704,281.97885,251.64308,325.503,234.05872,208.47699,318.55203,219.03511,94.94536,477.8177,832.6148,747.3567,295.54578,498.43106,459.46945,245.0013,299.72614,207.32014,77.77522,261.27988,273.0888,178.07883,139.84225,102.190575,199.62238,127.66331,340.3078,184.96265,66.618996,162.92607,111.51948,199.6432,225.49022,213.08867,227.513,313.1277,107.81681,62.706707,69.490234,154.10837,211.1598,314.29868,175.76445,87.97156,135.75682,260.85782,170.95226,98.66753,143.01527,400.50082,332.084,90.85907,232.44493,45.01231,209.11194,52.70956,84.395134,123.55356,242.59036,237.55261,228.09607,301.038,202.22807,206.56102,192.92825,75.75924,84.80755,158.36484,205.89069,241.14973,302.43817,182.5639,225.4233,181.27602,141.78934,228.16017,283.73148,84.16752,345.2139,247.04457,94.23506,229.15999,149.61462,83.49924,124.08505,120.14677,131.39668,181.11584,337.0338,145.39767,81.142296,220.3611,145.13197,49.85118,116.98361,152.31653,341.33478,414.28458,682.51697,610.86084,293.50256,74.534966,176.9529,162.87746,102.93268,229.32584,94.229195,135.44928,231.52635,153.24307,112.67785,109.733,137.22234,84.45179,53.668747,163.92445,210.9419,109.83218,137.67961,222.50056,340.13016,234.21858,241.7184,131.97388,155.23613,196.7747,101.03516,217.83534,221.52383,142.84647,205.67543,250.62909,796.6042,976.602,715.39124,43.691753,347.376,282.477,181.6601,196.10649,194.95035,79.15174,108.4104,121.576866,26.906008,162.29768,346.96024,336.2042,196.15038,41.31143,111.2016,219.10522,218.42685,230.80339,242.47403,244.05856,343.9686,359.44333,368.54745,236.98169,39.92133,82.406395,114.33988,190.42804,248.00372,302.79178,211.91582,190.03287,802.5645,658.40454,545.9831,590.34106,589.4102,473.17358,223.3611,160.76398,255.03271,316.95822,300.96906,165.64212,152.39587,407.30322,266.82022,70.04192,89.30538,87.65221,123.40116,99.2986,211.57501,243.23672,157.66858,60.426704,38.496315,148.34056,115.80447,139.96211,338.26794,146.21605,266.5638,274.8915,68.01724,114.05166,35.59629,138.88623,79.64015,136.20149,447.03244,724.2147,468.23126,197.15877,184.10588,213.2555,165.1194,81.151794,134.72475,201.59477,298.3186,220.99054,65.48009,40.339336,77.535095,205.7868,192.20522,176.63083,206.01807,299.58926,408.42004,276.18063,329.244,187.57462,95.00727,38.9375,none,
567940.94,242567.81,503.7363,296.398,334.13193,157.35152,724.8429,398.22748,98.28729,110.74444,58.838287,47.659996,635.4799,389.27524,161.75694,346.77014,246.02269,308.07425,519.11597,426.65173,188.95041,156.21544,102.015144,24.816557,237.90576,267.50092,308.92618,221.97034,121.56944,116.12591,137.33748,158.80266,95.98661,184.79674,589.4738,792.56335,615.7329,347.52347,440.2531,352.41373,101.428696,113.15723,51.853462,258.39194,360.3358,264.59283,174.7857,201.02692,238.40312,112.72159,256.62845,399.45233,212.35403,108.27414,202.73337,104.583786,58.55541,22.478647,39.779087,133.12042,110.77591,202.18098,182.61305,77.343575,279.93823,397.39685,322.12088,259.97372,192.10979,252.78476,159.24829,105.184,52.91624,203.2144,193.65878,214.39957,261.63867,77.97761,407.72232,372.16278,317.35013,301.59464,171.82095,164.93538,133.30252,173.26353,121.716705,177.9541,426.46085,178.84756,163.55814,184.70074,62.171097,98.25782,160.93758,50.26726,63.67113,105.511986,138.15073,218.99297,167.91031,171.60881,351.00674,346.96942,47.213757,119.28391,15.573367,70.37255,105.83967,69.24239,17.52665,135.25958,153.29263,100.344505,222.2001,121.73286,149.4905,141.37167,183.52408,294.36496,228.06133,287.5835,426.6732,729.42786,411.1945,198.35483,86.32176,152.63614,176.97949,36.966698,197.33482,235.82448,73.40145,81.393776,54.16493,177.45735,153.11086,279.91943,101.699905,175.86662,248.30367,94.67107,103.35759,208.83443,272.41626,177.22733,126.25333,88.93247,209.61452,185.48296,36.937057,108.54842,196.63307,308.67578,128.56169,171.91339,376.56155,918.7759,1067.2102,647.1143,51.076637,512.6436,276.33353,256.7784,329.0101,260.92172,48.008682,16.63419,145.36359,222.42737,28.708982,168.36424,156.34087,213.59987,246.1412,265.49646,323.08078,360.17004,341.2641,166.9735,194.99136,77.68762,253.79321,201.16644,138.04956,37.213963,74.443924,98.7573,276.88776,118.61259,181.54308,151.19255,564.23254,1116.0812,518.86176,663.3291,824.8271,620.08215,490.78168,232.10182,52.63563,236.91447,293.05255,171.7421,228.84981,322.4355,62.634075,116.47379,136.36578,233.35332,231.27312,201.85286,64.96379,225.42781,215.3409,103.82139,248.12985,249.47131,161.35088,55.65763,38.63817,134.29782,229.14473,204.15834,262.93747,286.74228,192.2633,130.94028,132.01897,121.56969,325.86957,588.77747,243.35178,315.5508,318.03076,210.75066,80.03076,174.22426,160.3506,47.921116,133.69716,248.2108,212.36255,85.37192,40.301567,68.98175,84.93112,124.66342,160.87242,89.29459,166.64865,73.00218,69.52114,151.53467,56.54079,150.48573,73.8125,none,
568471.25,242716.94,209.83847,301.24915,64.03548,298.45935,763.6797,516.602,167.15742,94.64986,131.11263,202.30777,506.88177,454.08475,118.43667,110.72787,158.2057,70.02444,116.88732,147.34837,39.33248,181.25009,350.9847,193.19168,80.64872,62.222397,86.4612,266.4084,264.9709,255.27615,142.49548,146.81776,167.43549,347.84592,802.47437,775.42096,208.42302,283.52734,135.7884,170.039,149.16077,168.2473,198.63707,239.34325,220.504,352.10178,257.7475,139.35077,139.86584,197.64832,175.03705,21.703318,83.59461,107.12861,101.06931,216.23466,180.3499,125.57497,136.66754,104.56849,154.14432,136.2937,247.68701,45.12696,124.13738,332.28662,160.95355,115.736824,186.10712,304.68298,107.37822,287.7586,161.91554,154.93834,233.66684,292.00928,175.33662,187.2778,275.1024,240.50621,120.37743,155.95316,82.922,192.42464,275.6368,283.29535,346.89703,390.90894,68.52322,273.19653,239.01512,217.6436,177.40979,131.19368,82.079346,180.51073,329.08548,232.10844,48.29919,157.22054,91.6035,114.97989,214.712,269.00983,230.22928,384.46683,330.5528,183.72096,89.23713,62.12885,106.683914,95.13823,192.13301,269.40976,204.33649,299.70322,312.2061,368.13165,273.33905,142.5741,284.85312,329.8467,226.38094,707.24133,628.99,342.8175,300.66254,199.05844,155.76828,78.83749,166.17862,334.25034,195.48636,114.77341,218.50543,108.728004,150.0432,161.28513,55.377254,129.88344,28.304806,170.32858,201.11838,230.67744,298.59158,131.23717,77.07056,92.26216,70.63666,80.5707,61.328377,111.19094,51.28443,165.59706,168.21034,282.1707,244.53949,347.36002,700.8425,199.72319,382.877,129.29942,290.33334,427.4236,469.61108,263.18384,115.26722,130.54076,99.24853,235.8737,379.37714,423.71457,232.56415,137.17273,118.13605,193.77362,220.68192,215.2285,151.87872,228.15663,255.96338,273.9744,265.5996,108.13409,66.76973,203.29062,254.94789,177.01404,132.54146,208.29976,182.68317,670.4173,834.59326,543.2152,481.69998,446.01718,413.5707,391.9645,273.00397,396.04584,447.1985,267.09436,164.51274,299.0317,476.36267,392.80017,232.24268,132.59805,11.122673,146.24852,33.453,101.433525,130.951,33.08886,146.12547,200.16354,78.42673,153.35161,109.5147,62.967022,202.55693,295.70953,215.48787,94.073494,96.99144,237.80898,233.54214,211.5541,341.2443,547.4838,198.99074,308.94394,162.40317,431.2416,288.01825,105.60276,235.44432,137.15782,269.6599,253.9479,145.12581,314.8541,165.5623,45.242367,60.239574,80.66712,22.158632,173.3807,112.349495,195.2769,60.023163,136.6068,103.71072,43.913895,45.00784,157.55046,158.71875,none,
568428.25,242759.62,203.43938,229.90068,105.111435,298.96036,700.6688,456.2234,23.991606,263.3792,408.0765,442.68176,504.34033,374.66095,88.205124,223.96231,46.137756,178.49805,252.86116,127.10724,62.09013,61.484367,258.6178,338.7786,137.06349,98.424095,173.49232,83.66949,84.52075,174.49754,204.3147,248.4901,285.08698,310.40738,286.17456,587.86255,178.1896,710.21594,583.852,185.78886,107.35738,134.36853,257.6364,190.70294,150.64803,94.77459,274.34366,156.58138,192.44435,127.4138,146.16122,227.5157,280.35706,302.2467,75.585594,56.75042,48.596584,48.86005,190.51784,229.64752,158.98244,224.09258,385.54965,351.78937,185.42787,171.7827,96.55639,107.47731,100.73303,219.56412,558.369,524.67566,289.345,18.818317,10.587956,66.84029,46.85532,144.10164,152.93279,230.89882,425.03146,81.692474,202.6432,171.57698,167.4339,211.75888,264.79807,69.265015,300.0084,142.56883,168.74557,118.36776,59.76032,48.433376,146.61035,131.8406,238.34595,379.0531,119.493866,150.878,49.57229,134.92036,158.05936,152.71796,66.943794,88.30013,112.825066,80.17934,266.81284,359.4309,252.07294,299.44907,222.33276,152.49942,146.07368,138.77965,83.99845,239.45616,168.1265,101.834335,253.318,220.38614,534.25073,711.9748,677.9841,199.87572,52.550247,87.63667,89.06994,145.09778,47.615173,186.20416,57.006355,185.185,58.86462,108.26963,83.747826,115.65015,114.173836,308.98538,238.66623,293.33014,314.63263,199.11667,188.83107,164.49344,114.4132,126.88808,216.27621,265.4014,310.98373,223.33978,205.13766,255.9922,295.93262,294.52713,443.30078,637.58386,221.00021,475.3731,155.1897,454.29733,424.63272,324.26086,240.30164,242.8938,69.58521,171.90524,244.82185,224.86232,278.97675,301.3386,175.04694,153.41629,121.27282,44.910145,85.127174,137.02255,325.95825,372.8495,376.97153,160.83276,152.90689,242.4145,185.58092,229.88698,123.33209,78.75948,226.29199,173.23656,389.10196,161.77023,234.43047,618.7431,1224.4559,426.75433,381.58795,478.79285,434.87384,460.18613,330.51236,51.56705,98.240486,262.22638,145.79817,163.69478,99.359985,114.914215,125.48243,212.00803,167.47775,249.4907,360.48706,222.68925,42.779373,61.203262,136.10384,265.95798,300.6249,341.16568,303.14743,198.71422,86.029785,303.48764,431.35306,273.0141,208.96284,177.78839,294.33142,336.07965,163.1241,324.13654,144.74849,33.90498,227.92598,331.77814,118.27026,24.451605,222.65833,291.6301,140.54941,63.085354,101.30984,197.43903,154.20169,60.068733,343.2739,290.45554,85.29664,195.9831,207.50594,114.73452,129.81706,181.98128,69.35223,197.27106,306.90625,none,
567484.4,242235.19,351.3594,21.655777,143.90892,176.56664,644.4234,446.15115,24.868572,49.144276,245.25502,229.07642,361.3618,295.92847,245.64331,310.01364,147.27579,98.72405,179.42073,220.1086,99.60389,115.3649,106.28379,77.44433,37.041092,71.54114,161.08981,309.48123,224.62184,92.29602,192.17494,314.61108,259.19702,276.729,339.0849,961.6605,697.8133,473.30035,515.28076,27.064642,152.09306,76.02528,109.42029,196.86748,206.12117,339.03934,296.16183,150.68343,193.42134,182.64093,229.66855,311.68835,324.36957,374.06403,295.03268,204.84996,254.33913,118.34107,74.35064,38.613262,47.006313,187.44765,137.90298,171.19415,59.21559,124.36311,127.60389,127.59445,167.33711,265.1282,278.1125,288.63077,87.94802,84.29751,207.18042,215.96431,72.88578,104.20107,70.522316,114.62498,420.10178,523.8473,227.56989,171.03333,253.40305,167.13939,297.5254,302.90323,115.85931,372.528,266.00247,73.1989,112.0014,197.80885,252.53609,241.3114,409.87106,427.88815,161.65591,190.5521,100.66534,141.52362,89.51226,80.068954,126.78943,98.57896,112.46289,150.37492,272.09918,349.02274,188.48021,143.26683,135.3009,94.32422,240.4544,96.00263,245.75545,260.81638,110.86504,90.76099,312.31445,185.872,300.09363,193.09349,551.70593,578.739,342.08417,171.68614,187.93947,177.98553,93.172485,66.57035,189.74994,96.198586,51.738503,126.17537,222.72427,352.18054,189.86673,79.824,212.55264,240.47456,97.6635,137.61647,137.73018,199.09384,148.44624,151.10194,142.5672,207.67838,296.5142,216.67888,365.66476,565.303,313.9343,319.37512,236.89595,473.66116,335.3155,666.063,866.75824,261.86435,87.241295,172.7033,148.99455,114.37899,290.4683,343.81442,259.33698,319.42987,342.6707,255.65889,216.69792,272.43344,227.51581,284.77118,399.2686,441.89545,186.18083,102.25371,94.56775,90.218346,10.808773,15.222344,120.231415,154.05812,310.71515,314.90265,392.59155,304.61206,618.0871,556.79504,527.6551,719.4253,470.5413,1068.3853,290.70148,196.04485,237.57205,372.6813,85.73521,43.12112,124.81709,358.4386,281.4472,466.22693,284.1868,106.150055,201.31519,178.94618,194.20938,197.01213,356.31943,415.85645,347.90875,275.99075,294.06628,28.631762,191.05301,137.77347,186.07953,157.81259,172.2862,161.07367,190.63829,316.56787,282.82977,317.5212,385.05954,199.3918,287.42923,307.90353,292.91068,144.89946,120.7801,152.19351,88.306145,120.7729,190.82942,167.51591,188.72899,129.37599,101.48598,139.3114,86.69508,286.2133,504.45804,426.51974,110.6346,110.91272,94.09207,173.61264,209.09782,268.11945,370.41357,122.78205,154.25,none,
567867.44,242643.53,405.45667,166.86743,66.64927,377.73297,720.54877,516.5383,223.72108,125.521324,130.51349,96.09352,476.08316,366.8961,131.64804,138.03897,159.9614,166.62111,121.26234,115.4521,51.007736,202.00313,300.5236,202.70535,180.82463,237.00146,105.594574,106.70326,51.670757,248.24469,198.3881,91.49991,330.5398,521.73676,983.06744,946.33325,109.936516,43.48574,211.44269,134.38435,149.47984,224.91354,129.4562,185.54303,193.99025,221.41869,240.77669,266.87378,74.33271,71.58472,168.53708,47.038708,62.000816,213.3272,106.39923,187.67001,209.32123,49.66436,122.1317,36.7576,26.46427,160.84676,120.07083,111.00161,240.25005,127.97443,43.673103,127.80568,209.70569,254.39453,237.65604,219.17035,150.63794,329.2266,354.9856,155.4572,88.32839,62.07729,101.21793,401.64124,155.41058,203.64917,308.66965,223.44438,72.36,91.25361,57.617043,106.821594,178.25066,374.44632,207.24489,14.324678,97.78954,132.22682,136.44447,54.78754,126.31442,110.752365,117.85984,89.677956,317.26593,187.03163,125.12818,225.29773,149.75134,144.1523,162.19316,51.85171,172.33876,168.33018,44.525898,52.93334,149.39821,180.10797,261.042,84.71163,130.14958,167.70375,202.90962,281.3171,189.73192,256.30392,182.32362,465.34457,988.58466,529.7591,80.807625,216.26141,220.55878,43.18552,77.62675,341.24103,277.35446,165.54907,86.89492,36.007286,187.0304,249.94928,211.08351,173.30472,101.21358,72.540245,132.63339,89.45612,205.80746,155.38408,30.391258,28.063189,178.59714,251.94167,204.1548,257.46085,62.757248,135.48654,189.02998,293.24637,238.12985,253.1482,989.2967,964.9075,225.09125,376.35226,92.46491,15.829514,31.179974,40.259594,208.2362,171.2379,164.3052,131.05771,286.2428,275.9389,148.95511,112.83849,124.954636,118.251595,138.8487,115.41465,141.45775,95.86735,79.8902,73.4165,117.03289,85.90281,210.55359,301.3559,127.515114,117.435,104.29569,188.6981,300.93204,177.77452,724.4641,1254.6141,203.68689,955.55347,623.83105,378.72223,417.56155,310.80725,217.84608,195.14043,261.38885,388.3141,281.7513,124.42111,287.97894,241.64507,44.095753,240.7665,255.18689,147.50711,99.94672,109.486916,76.571106,185.60579,197.84578,173.92398,283.7931,373.0868,377.943,291.04138,295.5118,178.02777,15.771302,56.737034,183.76482,272.35986,289.22452,388.6168,584.6297,328.89008,321.5362,292.03354,131.12453,245.72443,197.8008,116.31686,83.25852,156.2549,285.98267,221.71405,191.23232,218.56296,177.55748,297.07242,284.3571,431.79785,450.71933,203.52986,73.633125,69.04562,233.56503,376.27792,291.5613,226.74,27.1875,none,
567890.44,242399.39,143.00214,250.37868,144.02626,271.9161,504.88275,251.4307,93.65947,80.19421,106.79784,92.90287,611.2619,455.2921,65.71553,79.65768,97.84949,127.2949,85.8903,84.99051,163.4022,148.32379,179.51936,103.62029,144.04733,163.52615,129.17033,74.24364,106.62325,284.0287,324.0213,124.41241,368.71704,370.81097,806.666,914.1736,319.78174,549.6611,285.51422,161.65067,143.57661,202.29225,227.6495,96.84003,135.71606,134.74013,170.88573,219.11247,168.86961,133.51181,82.722466,168.3351,280.15128,160.4782,31.480598,70.644485,66.468636,235.07858,246.68367,24.973724,136.50977,71.40832,43.64741,33.61407,94.279945,185.95567,289.7658,346.15973,270.50824,212.29349,45.60518,270.01572,422.4755,140.6872,35.552578,126.06783,148.18152,237.91997,268.35257,171.81815,393.69864,429.2734,374.53595,148.36171,68.482124,141.9163,160.35051,233.67032,227.97186,394.45322,373.79236,252.5874,197.22583,135.96632,316.30148,291.6703,87.50138,99.03241,196.38408,254.21994,202.06427,204.1543,85.491646,62.51749,20.95118,159.71211,265.52704,227.68861,179.21747,290.9952,238.71626,208.37483,218.85663,95.63901,241.52469,187.77156,225.81348,228.48,263.20856,272.5453,286.43988,353.72256,210.93425,485.16702,709.9232,313.91675,201.29016,184.57317,406.10712,456.9454,282.7863,279.04837,131.61844,29.834421,64.98451,63.45866,196.35593,139.44649,61.32158,64.007126,52.383778,194.78847,370.71014,397.1906,242.18913,62.15611,88.12852,161.83374,89.76146,66.509445,125.537415,137.42113,300.1669,258.10822,217.40952,144.87875,144.47229,381.98798,1161.7336,926.32965,349.0816,475.85828,272.08496,188.84903,93.35173,70.422775,70.22824,173.32422,265.03818,176.26782,195.07701,66.08336,137.11479,297.65277,248.33456,149.20847,165.71562,148.65575,187.27321,150.71864,107.67446,168.79826,184.37553,275.15298,226.51643,223.34673,273.77292,279.77692,341.42963,281.63727,423.06915,329.0502,482.5263,908.4132,217.23419,1089.4131,636.767,235.387,173.22731,195.67093,318.2099,261.71234,120.47973,29.92138,163.76233,310.94678,306.71973,192.3222,119.86539,25.325241,290.5483,229.65695,54.229736,109.54459,109.68941,141.17934,190.13652,147.89714,59.866726,146.93524,104.68862,127.66968,218.02333,268.62094,272.80743,355.27026,214.64508,214.2225,296.27945,228.89859,336.42065,168.48729,136.62479,279.18637,247.53012,165.80516,43.164803,65.84218,107.74907,151.26093,201.53256,252.74625,139.03232,41.89548,217.42255,312.5842,175.80215,105.51996,111.48872,226.46074,124.07752,143.59068,166.35419,287.50772,233.26161,245.83842,156.25,none,
568055.5,242669.9,387.8433,258.67358,53.396317,216.4086,634.4257,423.27753,150.75146,54.14091,99.26495,52.09279,644.9589,477.14624,383.47226,354.1248,270.99622,218.5527,131.39833,109.27276,186.22057,38.24587,145.57939,340.39612,323.3041,122.86076,171.90375,138.04012,131.74036,153.60086,273.39636,344.89413,316.786,262.65106,294.15378,993.31085,448.40955,362.07114,238.84653,333.3641,433.49554,417.82083,272.13632,112.82962,37.411247,176.91737,386.85742,260.11978,63.40115,89.372055,176.21577,160.12236,79.00056,139.46199,210.5578,169.73656,44.028446,134.43254,326.79745,140.08687,118.68182,118.91533,95.83931,93.14865,143.24823,107.42655,177.95242,151.08363,47.386066,130.0136,261.1073,199.5468,156.65097,236.1859,235.52704,223.3652,237.55609,248.96628,152.50499,150.01662,250.35924,126.14541,127.14493,71.17077,148.24074,128.45988,153.18272,71.54825,221.20761,353.77884,6.934053,189.75996,286.27725,144.52385,143.89682,202.6365,106.36582,168.59859,86.62462,187.61636,201.28262,46.287468,236.60022,269.4748,165.06226,100.64267,266.46356,303.53735,99.615654,85.91059,114.363335,63.958317,122.877396,95.82678,264.87015,347.67673,191.01201,165.92003,288.60284,297.81158,290.1674,303.15054,399.62595,399.398,443.98038,297.4537,400.66925,292.811,247.56299,230.19403,97.82478,88.56975,170.3565,214.17436,260.29965,112.88853,57.003098,152.13579,175.1229,23.867512,87.01642,120.44749,92.05757,202.79176,123.45871,121.531204,96.85558,309.6645,369.43558,211.96501,287.77133,379.21732,187.75542,511.9128,294.67032,176.32521,137.40416,57.45894,572.4116,1142.1804,571.2103,347.67142,185.48508,159.51155,104.031136,191.40987,220.14046,156.63417,26.337088,52.03292,63.203465,210.0398,68.80544,321.91464,309.3167,177.68181,299.78952,239.50882,140.6286,91.38881,173.60387,368.787,428.14844,357.1586,243.57669,65.909225,12.944158,276.2103,59.085884,388.3085,255.86546,353.27353,423.37405,360.03445,1052.1919,746.50323,432.2498,504.71048,418.3515,542.18427,513.69995,336.20798,341.3147,316.4072,175.22174,150.52983,290.37012,226.88751,76.74307,116.15175,143.86452,122.05155,36.41095,115.47298,67.44133,98.46157,39.70981,16.082531,206.46707,434.9618,356.19623,224.01442,266.27905,248.41016,207.78842,304.61713,501.11017,382.1854,201.15826,421.61163,239.35118,143.0706,261.41327,251.2928,304.75626,271.66043,224.74934,262.74863,208.33813,122.0986,134.0202,145.95499,145.88687,136.4383,111.57176,178.7225,345.23386,167.1809,165.32361,318.08008,198.56627,130.07936,70.77675,115.166275,311.74393,367.2628,230.96875,none,
567958.5,242504.14,238.12482,403.34296,319.60986,109.11596,510.06512,355.99957,266.29718,328.41907,191.05418,191.54489,622.9205,589.05164,52.158978,91.726685,130.58795,206.72765,281.61224,206.83026,127.22909,230.97896,161.14798,120.2862,61.85003,269.04263,198.44072,149.17317,85.11751,160.56943,160.16176,197.6471,281.89597,367.30508,962.90485,810.83234,208.266,99.23266,96.60772,258.80185,80.954025,96.59721,226.08418,220.37663,57.739597,135.01079,259.8406,414.73654,199.1644,102.69143,207.51564,259.11493,103.471,118.2931,59.296432,78.34401,186.84267,162.28886,125.26301,12.650164,49.353626,194.65535,242.9938,324.44183,242.489,190.08257,112.39028,79.82495,289.05615,450.02902,159.85896,17.56856,88.04722,111.33965,118.43073,143.7238,150.50629,172.13933,95.57708,133.79489,227.0441,302.7275,125.173546,115.3636,66.23665,100.32204,218.31232,265.19327,278.78592,125.282135,174.14081,260.5209,247.1731,242.82112,209.16992,63.47088,159.12856,190.57924,113.235245,139.1063,164.13904,183.72336,124.64564,161.82677,25.65653,314.8047,306.52042,184.51779,177.59866,85.76571,163.11816,82.16935,262.15793,346.1125,311.41376,97.177704,96.22604,258.63724,311.48035,206.63992,285.12,399.79318,251.22227,273.05652,140.77954,645.04333,592.6429,111.63764,220.90834,148.22568,204.48453,281.2839,106.00226,63.667698,85.29871,65.55167,104.41955,199.71596,110.94742,121.69991,25.233604,86.78633,245.07256,236.89003,83.04889,97.69405,261.1089,168.6354,134.03033,328.78952,379.2105,262.16666,253.53297,625.2333,617.4608,418.4868,229.59415,216.31566,269.70737,397.43,583.47876,177.36984,369.0034,610.6905,506.0967,391.2197,253.654,195.38168,145.6924,107.96219,51.21183,193.66223,391.1812,291.3378,202.5881,321.30463,155.1917,237.79512,278.1667,223.65558,213.64403,382.39105,389.66852,214.8945,119.8725,181.85466,175.46802,288.9452,420.94937,629.42206,787.36505,326.12402,238.77792,394.38498,778.25415,272.49554,42.081963,360.3658,577.4409,427.89975,157.65756,187.69499,291.23895,139.16635,272.00186,254.6453,184.9982,223.37395,82.02089,157.08992,216.50705,202.23065,229.36029,219.83488,128.38963,214.325,180.94424,172.63564,318.58554,151.54445,47.391563,117.051216,293.3419,247.8952,347.7349,312.08987,135.34866,384.21933,314.78345,405.15198,128.3015,225.35678,186.32825,115.63921,89.96498,127.63909,248.29361,141.41568,173.08775,148.9535,165.08904,156.59169,193.9687,221.93907,226.77412,163.09471,175.39603,331.36328,224.25417,83.08491,65.67903,59.95571,73.03744,50.873875,98.95752,201.15259,293.59375,none,
568004.4,242550.14,418.8363,253.6481,252.02982,298.3873,746.6249,474.3298,201.81021,152.56296,135.91647,140.99377,545.9033,509.14352,203.86598,47.749462,222.60196,306.86807,260.40924,152.47614,213.27606,49.581646,203.08722,216.94473,154.3141,135.90717,132.46667,94.94712,62.49905,151.35661,239.6753,253.29199,406.88828,527.4982,1056.9058,702.59326,263.8469,139.95074,42.634884,192.06241,340.24976,366.79147,259.4217,137.84932,173.435,68.37031,162.08607,101.68279,101.555115,101.32194,189.42802,164.74509,109.98734,143.25446,200.50941,278.02225,238.42363,222.96985,261.66956,288.50156,208.02945,210.20859,153.37698,236.08894,100.37257,49.30008,79.03495,179.52199,320.5112,249.21396,122.502785,276.66605,239.65462,127.34155,106.12415,172.05122,193.8698,172.41266,275.27072,314.9413,282.91907,201.82199,197.95338,204.97343,156.59175,89.67507,89.65375,95.123405,33.650936,141.25836,246.48303,226.22757,107.550514,296.40002,157.37827,151.9899,191.93642,71.80912,116.37824,127.84065,25.04995,80.07566,16.870562,60.76983,134.41454,244.53178,167.55066,102.85479,84.58673,173.51573,185.98705,134.50397,232.534,269.85138,232.3751,194.03885,121.47358,215.46579,69.41674,295.8848,412.1619,303.83182,230.22778,422.67975,919.293,628.70435,303.72067,127.40649,219.70213,223.40056,91.0116,214.84335,58.676735,73.37206,144.57175,123.98492,22.032505,83.65179,152.24686,182.7481,52.365356,48.488483,212.80823,282.966,234.21786,377.849,350.43756,62.72123,258.38373,295.77948,220.7461,138.79665,122.50165,187.61342,119.83659,8.840828,71.75638,199.64291,887.6804,902.69275,286.66605,565.3565,354.6375,174.31169,149.74391,222.92647,125.9343,179.22966,95.27096,103.10574,210.48715,212.14267,5.0076394,191.3241,252.16649,96.96009,236.99776,123.7396,95.39137,102.80869,118.878204,63.320393,210.38893,94.27182,168.6644,367.64322,313.23376,205.50859,302.93845,266.0993,247.19211,405.45978,569.25464,1002.7303,104.6809,903.06104,609.67035,243.50975,401.96515,472.92352,378.26486,309.063,74.434555,95.302605,256.51318,348.45227,179.17065,111.823685,71.044,81.66143,90.11301,109.658226,62.78922,110.94617,88.647736,250.6059,152.74261,103.23285,102.55589,77.18908,57.245728,158.95485,166.23233,140.09122,384.60425,347.41278,119.23657,222.05261,148.35707,570.38196,512.5671,180.76479,101.45939,396.28384,516.86255,280.53598,199.27649,251.94803,171.08568,173.16118,156.73274,244.065,316.0554,40.46022,152.14238,94.586365,33.985386,107.26952,198.22336,105.943275,99.8984,71.44012,24.11419,145.66568,108.85119,27.608257,4.625,none,
