bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
569090.2,243052.77,291.96805,100.5585,172.0826,567.6594,641.9245,313.38672,76.72767,241.94823,157.16411,304.01755,722.1985,109.001785,110.67367,174.87457,46.6846,138.68068,113.38634,225.63954,60.829414,133.89128,76.19555,45.324802,144.01906,183.34933,170.60251,73.92128,51.589016,78.337296,20.308992,136.94936,243.53087,504.5727,643.82697,662.38983,329.86307,744.2682,468.59253,220.09639,294.33917,263.79562,220.61884,218.07489,309.68665,209.49231,213.60625,206.72723,249.6569,187.49069,127.24351,24.94632,120.75783,32.717827,27.6315,73.19306,101.33688,197.3454,205.07555,123.79488,41.744606,28.627031,82.91614,94.42857,147.08488,211.26845,233.09279,194.2681,310.1579,150.20813,296.65427,368.29385,266.15195,195.70947,136.60522,88.16193,138.78665,56.311264,146.45554,120.38263,109.87883,82.787735,105.943886,284.83432,355.4427,259.82623,253.13611,207.89815,365.47427,564.99396,295.84494,103.0085,214.78801,153.83792,224.03958,185.05577,126.340935,168.43867,113.48266,55.799908,47.001087,55.390503,114.49346,171.99103,200.34187,198.94139,178.69144,185.30797,146.27373,65.30828,91.01873,214.99774,240.71446,143.89171,131.19882,240.91522,160.34737,173.86263,190.14096,182.03865,189.75887,396.69727,717.0227,780.5216,587.3178,97.75834,386.9361,292.49573,190.32446,126.13831,86.35562,165.9801,96.59344,21.305178,34.458977,131.28203,124.44942,32.278557,53.273552,114.103714,211.28995,143.24313,134.46556,89.204765,73.17218,181.86583,175.33632,42.243095,84.57408,167.62337,44.44054,199.61086,292.86505,367.53394,217.18987,130.90189,310.59744,554.7731,439.06064,602.0269,622.199,484.5533,246.35887,95.005875,74.09107,29.354954,226.96263,217.69817,184.79759,237.91505,122.295944,22.299704,99.39003,7.3540297,113.5612,22.30558,76.53417,76.543076,141.95715,23.6848,46.148228,77.99861,347.86514,280.6747,32.332355,180.27591,127.13795,187.7249,393.5453,157.18958,194.33664,101.68666,215.06006,491.47415,1115.599,678.8164,400.85928,277.78088,77.92578,209.23613,326.2948,39.461327,218.7944,199.32251,5.7991796,173.97983,117.36177,146.50653,107.72042,111.908295,55.837246,73.24527,137.62132,154.13559,108.62844,272.24484,195.41907,124.042656,95.01328,37.005436,100.78597,95.50609,158.72372,94.119316,29.77822,34.04218,124.65619,287.45593,609.1706,691.47217,154.71625,179.13112,42.558605,179.56882,248.93925,206.41743,100.98712,65.05321,62.72216,101.48366,209.31459,97.099144,139.15889,71.28858,101.919304,111.665596,223.24307,242.1515,112.05047,69.035355,130.20941,139.95659,198.5986,219.20279,156.23587,193.74066,283.8125,none,
568531.25,242631.8,239.41339,260.52078,644.69305,1090.0725,1998.4028,1206.1603,481.68686,188.77028,158.22107,802.7845,1728.1838,1542.0643,530.78754,249.26642,86.29386,442.5063,579.6424,521.93677,57.98488,342.90292,140.3731,147.92589,329.31186,323.99252,140.95152,102.35864,102.05407,332.40842,776.18774,933.87994,814.5106,525.74316,445.1129,751.9051,532.3424,1053.3619,575.7143,131.33449,142.46608,216.11868,138.39474,111.56779,308.6503,272.80237,94.996796,54.796036,148.64903,355.68866,157.11804,215.85608,421.41162,347.60706,224.58838,245.67024,277.4355,219.68028,175.69633,134.64223,133.24586,349.08212,435.68512,352.82684,155.3793,72.43113,101.89,140.96582,110.65565,311.26617,296.9294,190.53757,305.06366,186.19695,470.32413,451.2018,127.707146,120.27122,163.51878,288.7241,283.4097,161.07028,162.4192,276.48373,158.21167,201.61345,154.5916,139.17093,362.081,400.68964,168.02345,112.15882,68.205444,179.15706,314.94147,384.00754,223.49487,52.2031,86.29287,162.3914,189.9427,143.2373,76.03785,117.065315,197.16534,110.97177,145.98392,95.23892,177.34262,296.04153,104.22951,111.47438,95.97467,98.403175,43.73371,205.1609,284.2693,154.84564,34.104527,179.11272,457.77783,331.19125,336.20282,569.61786,202.19089,623.20056,448.21335,259.41574,365.8188,403.58575,311.6311,126.78521,54.93628,79.89882,87.479904,110.254,186.23674,200.24405,126.34377,72.220604,104.20591,90.06659,114.18292,71.29577,108.49246,94.74614,126.43122,38.696007,20.558414,123.8895,280.0608,247.25255,138.0807,104.66047,250.26729,156.55894,427.3789,788.2798,448.14966,342.73837,633.0616,455.54584,256.50183,297.04095,98.58946,185.52179,206.61913,66.729935,352.48438,324.99377,152.85313,122.233154,150.22215,239.45937,194.41713,184.10147,117.71937,209.72041,208.5117,295.34314,252.08517,130.59103,218.80756,421.99957,202.51575,126.83772,162.44978,310.64508,541.34717,308.53882,144.12639,481.20746,752.61115,294.23337,811.8549,726.2268,141.8998,449.29837,202.8267,190.1209,435.2132,375.36588,229.76897,155.45201,150.07901,142.76746,215.57578,216.57762,185.77515,136.27649,85.29866,68.029076,165.21782,147.38779,234.66641,330.77762,357.10843,157.89696,60.168842,69.59226,48.957375,155.39316,60.93206,146.19754,187.47156,274.9262,291.4561,320.4856,359.5989,692.86707,485.30463,151.82774,318.85098,276.9269,62.87486,60.461384,175.1791,277.11844,177.05789,75.59113,101.32808,100.921585,207.58463,327.4777,151.11862,296.4276,421.3562,156.48036,179.96573,83.5109,161.15982,234.61,245.54456,227.79779,185.89996,194.76875,300.40625,none,
568443.5,242985.55,528.018,1052.0713,2250.746,2905.693,1710.9827,686.02356,546.0545,453.84982,582.76483,201.79788,224.64671,484.20822,854.2193,825.9871,502.49683,56.460003,284.05945,572.0954,408.16174,132.66121,148.36708,235.23187,93.4765,431.27872,367.80173,138.7714,327.11084,532.00836,475.5389,51.293083,97.44508,157.73213,713.67267,618.58777,864.56995,318.2268,214.04785,460.66187,568.5923,501.3474,152.7296,104.8806,77.58478,107.562004,182.75049,73.57509,172.64352,322.79846,398.281,261.01013,258.52997,359.76062,92.66434,127.10113,102.45991,51.53657,138.41402,99.660995,141.26665,236.28134,136.19597,228.8065,322.528,223.55112,81.52249,131.60612,272.74698,410.59106,170.96288,120.99103,227.95697,185.82417,117.2957,246.43088,406.8986,440.2614,333.6336,47.16088,153.23161,119.31954,113.60822,98.845856,220.42166,156.16469,143.48952,220.80002,220.38948,46.264698,233.31454,121.65611,7.398015,42.089638,41.55936,39.7163,139.40353,158.31404,67.79414,85.51302,224.8904,339.33572,319.90442,94.490715,76.37103,145.17897,231.1797,237.71843,196.53706,149.55185,106.52401,273.74356,248.87233,242.89688,250.50768,347.3693,415.90985,396.74243,242.18634,189.65254,175.35818,335.06647,284.54343,495.74506,616.0766,198.70401,172.09032,277.55026,270.75342,344.05045,225.22089,135.6625,160.4381,114.26824,110.87664,69.42479,160.78174,216.51062,224.38435,238.70294,195.75244,193.81117,113.41219,218.74889,208.06764,210.35004,264.89972,276.26218,211.39658,128.13693,33.28357,231.60059,193.01245,145.8716,290.50955,258.42853,204.08342,28.05981,478.7369,103.9199,581.3233,248.71169,191.98137,119.15928,70.068954,229.78827,134.70566,39.600887,18.197416,127.03878,36.865467,34.35594,30.458542,196.79749,216.38147,102.290436,159.52672,258.6972,181.19908,86.85772,128.51321,116.098114,122.60668,138.65967,154.05873,127.06369,105.88656,169.12886,178.58023,285.17963,308.11203,138.18207,280.54868,441.04333,1149.8877,519.97833,663.96313,470.3534,209.54906,118.18708,162.16797,224.91905,155.46649,149.25499,196.85065,271.88403,411.55884,245.32607,96.814606,35.37628,36.320034,216.65514,197.08708,95.16509,207.04373,96.39711,117.49599,175.81999,144.01067,139.02058,157.71373,273.69998,334.44678,282.57404,197.87823,45.631817,54.64264,102.99835,170.08652,397.62534,710.69086,417.498,252.11984,100.86041,211.63553,270.53226,193.14705,236.62485,237.89098,91.20189,108.21688,384.17355,406.085,116.3301,118.84169,131.82483,241.64992,215.37604,109.21279,101.320465,141.63625,196.7256,123.561295,88.42823,45.88805,35.605755,86.78125,none,
567534.6,242119.17,205.74422,380.90048,261.3652,333.4398,670.05615,77.71882,252.87828,244.91042,206.04031,334.25296,583.5049,505.3096,150.02202,67.08167,169.76033,82.23634,217.19922,277.7358,181.80798,42.960747,17.400618,31.337023,252.2381,220.57523,93.28,136.14174,145.37563,316.04715,279.83334,348.42242,277.36404,96.05344,652.6978,1050.2274,673.1437,284.01505,344.3894,619.8463,276.60522,203.3393,194.29839,44.836338,150.52849,273.27045,183.52165,62.905323,68.08392,129.06363,195.898,153.7568,74.38602,197.23027,103.01679,356.8904,347.99878,123.20707,220.16489,110.31728,139.03458,88.00252,190.26648,134.16342,149.80673,60.48804,292.6546,270.8489,177.73454,86.79063,68.40053,160.66599,372.34695,324.10574,64.974205,132.28139,346.67538,189.54015,161.2861,57.704998,96.25523,274.42294,189.5227,145.8143,142.28172,199.74165,129.93349,54.18716,40.76679,72.73826,181.55707,353.8658,389.1456,315.28815,340.1767,266.9662,173.54353,182.15497,291.5998,332.1966,256.25018,334.91916,266.34476,34.783733,52.905037,249.5043,200.94756,127.89777,114.343925,384.51004,201.76369,115.62405,42.957672,77.67945,108.16136,152.69957,221.66458,80.66114,270.0074,250.19905,148.38249,71.49964,580.48517,539.9486,128.85562,449.01324,258.50253,113.53249,253.57187,151.30524,274.47043,248.00328,206.20137,229.83412,135.83165,230.92014,59.93632,190.5804,363.7541,211.95471,81.55345,184.18155,226.77917,93.53781,115.64092,135.19226,80.3561,131.06914,97.69519,53.00268,106.62689,173.59714,188.65778,138.83887,246.78914,439.96735,486.17352,773.4477,418.04742,351.056,741.935,577.27277,198.36447,15.772449,85.76248,198.10837,47.567867,262.74316,201.88902,207.63727,179.00818,87.82056,123.884575,127.32075,28.090939,83.750916,201.9807,298.75067,306.24844,254.56635,101.5481,23.610064,72.399155,141.19254,222.0774,414.72147,461.14386,413.2559,263.4485,277.26877,585.5555,435.24213,354.7023,458.2341,709.6303,1107.6746,353.07776,201.21857,119.6451,200.15106,239.17874,300.50702,385.7412,251.33485,21.31735,75.66734,179.50987,237.46877,88.235825,216.86446,246.80043,280.13248,120.839874,149.21127,42.470066,107.75437,373.08417,416.9424,271.65945,341.11856,354.007,278.406,225.16019,169.83429,178.47972,106.53046,256.14117,317.6955,80.38532,272.64154,608.2876,199.97952,277.35587,224.32863,215.94731,308.407,274.19122,180.78458,95.04743,434.5218,399.0979,69.28908,23.699608,76.39274,117.16217,36.150616,225.50494,262.2917,227.89438,26.555592,210.91537,217.90582,253.25743,173.88258,116.324135,166.75653,222.15625,none,
567862.6,242411.83,281.56543,194.65573,262.77908,346.8336,672.28687,420.66504,87.06382,15.39814,194.65405,29.822832,382.03094,346.08893,131.63432,181.091,129.60739,133.55699,75.73537,36.73511,132.1978,180.37343,158.46959,163.56453,181.01956,104.22556,71.003105,175.3202,52.348522,127.51801,94.296196,77.687485,104.27268,371.1368,384.7533,527.184,1169.8651,648.9251,230.20972,460.97937,368.75247,118.216095,97.66685,160.7735,203.22948,327.74765,113.067444,159.97794,231.5453,344.86514,140.49054,170.35184,76.26875,231.53769,67.30813,257.8837,280.53006,135.30997,280.38272,170.93817,135.54074,55.219387,271.09534,271.82986,52.29043,161.24203,331.39224,248.32721,324.4246,246.3738,139.5772,128.0594,237.02338,237.89186,353.90652,468.45364,76.86314,137.18987,160.90982,231.00517,213.93196,118.550415,213.90308,39.117798,242.40846,344.95462,283.39188,397.9682,397.91724,206.9343,201.8994,249.1775,90.1383,36.940685,176.03616,245.80666,175.5054,175.32115,180.88771,119.82963,128.98024,303.53183,262.96674,173.35757,413.60242,245.70273,116.0827,81.94977,215.91214,402.1763,176.4045,177.9614,295.31882,317.15176,186.31244,57.807003,112.655815,235.51399,236.00314,486.39096,762.54803,362.30002,376.87192,435.22928,337.20325,534.84503,230.70049,207.80812,313.34308,208.63026,41.215214,158.20964,157.20567,182.91273,74.79141,276.96408,136.88666,266.55673,118.11291,183.34885,130.07642,37.599068,81.634865,254.36272,204.66519,34.273853,129.6937,251.7572,217.53444,229.29012,47.82187,138.53883,135.12708,63.87024,78.18527,392.7587,691.49756,591.3419,416.71167,388.56534,304.45508,97.27113,285.571,251.81323,165.49837,254.39194,466.67636,303.3415,89.62011,79.599106,47.42606,23.851427,139.12225,146.3922,201.06186,109.98025,152.57263,297.1265,166.37866,96.380936,120.83139,172.3611,261.338,261.09427,255.11261,189.8796,89.807365,70.329254,138.79561,257.58286,200.94188,368.3383,840.81476,977.2231,397.6837,516.2726,234.72157,244.9749,301.86447,400.96457,452.3013,358.7514,246.32861,299.54498,125.617386,149.17555,111.28389,149.09357,351.01865,357.08685,162.59192,76.777176,75.7098,120.47128,135.93283,331.337,262.16452,97.60173,385.69077,441.54016,182.95624,111.651726,75.934975,48.875626,118.351616,62.107254,282.19873,305.85065,177.02324,232.8234,227.55733,588.8692,348.82,297.29526,169.3271,193.09604,126.85155,39.41928,87.517235,184.89142,50.52989,185.661,129.94095,102.481255,164.0722,411.42963,345.60095,189.50505,123.473145,101.05148,122.921394,224.72275,103.62221,50.80777,79.406,96.38433,35.78125,none,
568770.5,242838.45,252.13466,218.51445,410.79025,380.1191,607.9153,609.8062,272.6949,114.39381,165.47797,154.01788,465.67392,360.30292,124.46966,176.64676,235.45975,148.5405,463.52878,428.64816,257.2361,261.5459,147.9413,48.149147,62.129414,229.90465,328.326,177.81223,88.433014,107.49725,83.81793,218.87119,240.05244,180.59422,258.8778,805.1437,886.15454,239.88922,421.51324,269.47412,284.20993,195.57458,199.44753,163.80585,272.7734,217.15936,216.5742,32.50957,251.76767,82.6209,218.86302,112.07933,182.40874,207.69214,101.817215,227.84082,443.07312,190.8301,115.56104,79.32725,89.87169,108.24861,114.1748,270.67236,284.7301,154.84583,211.0637,228.52136,119.457695,149.05272,382.20596,557.2809,215.40892,293.79932,244.45546,111.0286,220.9204,289.95532,265.036,271.09305,233.56454,129.2907,59.545155,333.11682,394.3773,252.75867,199.55283,188.06912,167.44025,256.3499,91.35815,174.01027,28.916407,245.83586,332.7237,317.75916,295.96478,214.06378,201.61671,164.93416,99.15623,167.58093,172.03029,321.28784,153.35394,67.83704,101.44584,99.99786,160.28629,211.03648,275.36877,193.58023,183.39287,234.75479,215.82327,203.48909,266.33652,235.70587,148.68831,250.38979,366.6321,88.332886,710.5425,709.2907,244.03625,388.35266,394.9662,248.96196,93.317505,166.74385,156.72571,167.84596,152.6376,197.64934,118.04434,22.917313,45.477062,232.496,105.54913,143.693,128.29465,58.130833,113.82933,163.35286,296.29135,311.87018,61.544285,192.35835,127.27563,29.372025,270.06845,95.32716,111.93068,100.78437,199.37173,100.42125,176.12425,848.69464,1003.13153,313.6303,187.3026,376.33328,288.41852,175.51332,126.852036,118.56042,90.215195,33.367146,237.86713,165.82353,130.1072,224.86894,71.23505,19.816635,129.79636,356.88998,365.43872,186.40723,150.09425,183.91382,143.28079,130.52023,265.88843,385.94556,221.02702,195.9415,266.32858,176.77328,114.472115,302.76822,427.13077,184.08194,259.2317,873.5168,295.51974,575.03033,848.7853,704.52155,416.62296,282.51004,268.41577,160.5031,55.44106,414.55008,442.5886,210.58144,110.34231,46.30084,62.42311,216.07579,329.14923,145.26042,46.394604,94.13999,161.82971,30.655882,129.07347,38.738796,190.19232,314.86398,127.46582,162.02328,246.2544,216.93556,81.74845,149.59956,234.49765,206.35815,450.04126,340.78497,224.43657,504.25787,452.5812,150.08534,36.46273,102.25386,124.54983,134.6565,20.186056,41.443306,143.46613,115.3501,134.89386,49.559628,79.04465,208.9142,126.032875,202.1013,133.21301,59.310955,83.98519,221.85147,157.9654,204.80421,171.5852,145.32687,172.21875,none,
568150.06,242569.31,403.93765,744.0965,525.6108,2000.2616,3992.3284,2680.0818,519.9824,251.86421,20.170876,126.588905,326.55954,464.20883,176.31653,252.51276,120.047325,313.40067,979.3529,916.0392,246.07884,177.11198,71.5023,89.43824,342.63782,604.4624,361.02927,124.00454,53.80957,130.76385,449.89508,688.6178,529.25964,435.0058,708.0643,728.1665,99.62741,680.0996,350.4422,136.61389,147.76596,302.35214,261.9878,373.5833,302.67422,88.07409,182.8413,164.0474,38.008858,509.39032,546.3831,213.82448,222.0989,148.41649,110.70026,338.9124,159.46135,191.52675,157.92094,127.214516,270.46606,439.78864,371.9514,115.4771,123.66644,265.24323,119.681114,195.49124,213.36707,275.14297,277.43924,156.98653,106.19302,137.24791,73.35289,141.49829,216.53293,134.41508,295.31534,177.29701,145.75597,353.3335,366.29382,75.28057,173.72905,86.21644,229.88847,102.320145,68.75896,147.43706,151.05576,74.87438,108.07592,91.278,211.79877,30.057903,141.08572,82.52547,136.12267,266.95587,255.59512,263.5853,84.196365,238.88496,267.23428,171.0761,86.75589,171.08125,131.02267,80.678795,189.22276,221.24066,32.243767,157.63834,263.3011,61.049965,255.34558,110.64341,336.28015,274.16766,155.1356,27.82534,605.73267,685.46454,229.6932,131.319,321.91623,151.30879,236.59242,267.1326,254.28033,206.99391,121.75115,121.20835,158.79182,76.796364,126.47851,106.39315,133.02942,104.80616,130.99495,62.10246,81.31435,168.74855,224.4866,195.24115,147.09435,213.5376,285.2506,183.0848,134.01778,207.80025,72.77201,333.99258,354.43335,188.45619,156.29135,729.284,437.76825,277.12698,160.01376,190.05672,255.59468,275.17984,187.93059,139.56114,35.80944,177.51549,33.956974,227.31317,162.73569,174.26056,87.69092,57.804604,18.06469,189.1377,29.551342,129.31459,161.68121,157.51387,65.008575,198.33093,368.00027,342.43405,53.929005,205.48973,260.0466,100.6763,99.03347,220.11272,290.63892,566.7499,620.331,362.3413,440.09998,237.60489,38.987682,554.6272,375.29837,154.49213,279.93622,333.28003,351.63486,386.85272,133.6006,68.241776,185.78288,146.0008,70.32653,241.30908,456.54654,364.0177,17.492416,141.52724,23.631563,10.269878,128.8341,124.002464,120.288414,129.47992,112.492805,67.67391,89.80755,27.254827,120.72345,92.11917,121.34429,214.56252,508.07428,436.75168,132.79344,140.92126,181.76253,316.72748,61.320057,300.02783,392.18942,349.3187,113.90207,153.72989,67.17445,262.8316,188.46431,121.95615,179.1961,193.91153,158.02591,223.15239,121.31759,205.69647,143.49318,320.7205,287.0387,132.64668,155.36887,108.899574,36.8125,none,
567096.9,241744.0,561.4162,724.15594,884.89136,1651.6792,2204.992,929.7182,585.88696,414.23196,132.49318,250.98964,315.61737,37.152096,182.56712,279.3318,365.82855,323.93405,406.3199,523.5175,349.00076,254.32846,181.53352,175.12701,317.0506,407.55838,292.80173,298.84256,231.21823,290.19815,418.107,124.46896,209.62105,303.41727,140.35019,270.39038,245.53882,659.02734,916.76447,164.07935,415.10507,216.28798,92.87843,59.490364,141.67465,269.94574,205.23828,51.33066,110.37404,302.9483,285.34036,147.17505,99.456505,36.516388,47.450226,273.36176,301.58447,197.74481,194.78685,312.7677,233.12048,100.63776,248.2211,239.99878,268.10043,336.02737,197.34123,170.84915,149.37297,163.43169,277.59326,135.92683,146.78067,281.19315,332.09366,278.97525,116.194336,235.7904,188.18573,283.36984,243.95573,342.23523,512.91455,130.91843,101.06933,92.907005,178.46577,251.77808,140.29285,97.41072,22.987797,183.78535,258.4037,202.41554,76.52772,126.34383,182.55461,458.55453,439.87057,252.89346,93.33709,252.07043,262.9017,365.06592,334.72632,188.5963,383.1491,334.66376,263.90582,211.55438,161.7445,211.36075,270.21558,68.81898,118.68932,263.40692,484.52704,444.5427,128.6622,563.908,559.48865,206.95584,244.73488,274.9695,196.12283,82.86518,176.84987,192.13501,225.62614,197.38948,156.42476,83.50751,181.1291,228.24886,305.88962,267.20477,309.51825,405.33752,205.49638,103.77596,165.54254,400.3783,259.04266,56.392643,87.87327,155.36815,94.25006,84.69745,102.80843,89.598274,224.5972,235.93369,329.28137,218.9068,360.79703,471.6004,467.0661,646.8753,490.19705,113.0167,183.16452,130.0914,56.98188,116.26333,225.59523,164.85896,298.61496,127.365326,113.17885,21.699064,207.31767,212.7471,161.98611,130.96327,33.422054,97.61649,172.9787,360.616,410.1848,271.65347,288.76172,234.38628,91.73481,158.02203,215.6637,227.20155,95.072945,261.39243,248.0505,98.03527,135.73885,329.74292,658.4449,391.62256,281.6209,376.8244,143.86458,548.6964,548.20966,644.8151,542.4996,429.25574,329.94424,209.51518,53.654995,128.60158,116.81845,170.79138,159.52255,259.06973,265.25592,350.65482,136.0422,126.14222,240.91153,169.61517,136.91252,158.81953,159.82884,315.817,249.12013,179.29445,306.5921,314.9752,143.13869,100.137436,144.76912,177.63263,123.01136,174.51488,401.99194,242.51875,101.39595,276.85352,184.03842,305.9338,189.97818,114.32273,293.21756,325.52155,144.93196,127.45763,171.14856,235.07274,232.55013,160.83296,133.5402,47.87515,70.750145,88.39049,186.0349,188.80952,109.14186,194.26852,244.51271,205.4167,141.09375,none,
567977.0,242496.28,302.49673,156.5854,118.95052,223.82181,715.4658,308.69672,122.42211,118.63968,276.01306,405.9348,656.69415,573.47864,254.1198,155.66895,33.0576,204.99403,199.2163,178.79744,90.49615,114.57587,216.66194,104.396095,192.90353,339.65192,335.32562,101.16566,134.45189,104.503494,158.16898,127.50634,182.10475,295.54364,232.68048,218.75613,167.2733,922.3279,1060.6844,131.87372,281.76343,41.96177,244.54741,99.64828,76.44524,191.09666,127.317024,105.03738,116.27988,230.25072,328.31827,282.0975,187.6618,155.01262,178.01244,299.06577,358.63907,271.9067,153.29634,166.34967,238.71347,255.44281,266.5832,146.40723,30.74079,165.42355,133.83234,208.3314,188.43112,235.74077,435.51456,212.45323,126.41306,64.140755,132.12611,64.140114,164.50471,103.66886,271.80487,246.5672,225.22704,131.24057,208.00246,198.39757,148.31972,94.24751,147.21951,276.5896,327.7488,131.21545,127.95405,300.86508,286.27313,309.01782,291.65985,159.36098,271.75903,256.21246,65.513145,157.40608,310.0669,260.1764,121.95373,17.784662,217.75809,253.80028,238.96971,42.45137,123.97746,108.26769,294.3943,258.85278,45.36606,197.88542,61.695534,302.27808,145.5091,111.03805,406.17395,267.0429,417.51907,261.8117,328.72092,180.59286,161.32253,168.31679,274.54648,161.54665,113.5733,61.077717,108.6261,265.90543,282.35144,168.71849,255.13828,346.22836,87.79843,292.59058,204.84996,136.44957,171.82646,368.11234,171.87535,31.275331,120.31769,51.16357,269.10477,249.39297,73.67894,132.9088,279.743,454.16473,386.3636,462.64163,546.3998,424.33176,264.22345,454.36346,593.93097,263.1532,242.63914,643.3982,552.10364,74.32511,65.21097,106.18447,131.41943,109.11522,146.72299,208.47223,110.302605,99.48977,57.279408,229.14316,182.54234,146.02107,72.13494,148.37476,231.32176,88.18493,334.92746,301.48746,83.86457,194.94833,385.36108,180.92747,290.05,418.9246,223.48734,410.31418,576.5224,604.6161,467.7813,722.32654,474.95218,423.22403,375.89664,195.50563,270.40173,616.57556,575.82745,72.08921,42.77267,120.56333,192.53813,149.90262,28.764023,119.3919,117.32402,270.3199,516.8251,337.81628,195.33914,202.74388,185.66638,119.14319,86.716736,333.74344,304.49268,155.34688,95.2688,103.28322,363.76648,371.31903,65.77037,121.90623,148.80476,412.02084,323.55283,314.72125,320.68878,444.628,85.253876,320.53354,208.97533,74.228775,139.53746,131.9109,93.333786,97.58799,139.02457,153.50195,124.207985,73.5693,198.70404,291.03815,137.14543,119.5081,239.57115,263.3366,165.97057,173.37746,221.45052,343.30695,255.29575,169.98697,164.5,none,
568238.0,242788.44,474.04822,28.722849,57.894173,213.83261,770.8251,383.4379,65.82344,253.05869,333.89227,190.15686,556.18994,363.36588,17.438026,44.75346,191.04062,227.54416,326.2573,421.93747,244.10257,112.28262,11.725787,227.99092,362.02377,226.39935,189.74988,255.62288,394.97238,376.10123,158.16672,113.150505,82.14856,60.065426,157.87363,324.6495,347.38208,689.51447,616.81573,366.58667,465.7947,214.59026,309.38074,133.25156,64.11366,160.31137,208.40515,37.63985,161.79779,216.74934,90.842926,28.548208,10.133578,60.81562,110.202644,135.55133,170.60289,266.3712,112.80506,197.85873,236.91951,60.78809,117.75619,72.10239,133.76262,18.983894,213.4227,252.3337,202.47801,204.59277,248.20642,275.1271,241.4426,173.48343,395.3741,210.58035,282.76416,229.43582,216.61763,250.25249,165.62645,152.22919,181.60155,248.9081,221.92865,100.02516,99.80003,126.27508,43.47184,226.49072,270.31445,163.23486,89.26313,76.24864,97.320496,78.438416,162.46153,69.03536,141.39795,220.32886,153.72476,130.69841,141.1321,109.32981,55.969364,141.435,24.62576,29.660265,57.848423,218.08151,385.67307,225.83615,125.04798,242.66682,40.146893,291.1373,246.63515,441.36526,344.27304,530.88104,386.14685,1.1324922,202.31647,302.38892,195.8707,253.36765,244.78323,157.45164,195.06459,152.43575,142.70377,63.182804,41.275173,255.72205,130.64366,229.48332,241.33954,117.02805,39.758987,249.55077,255.26376,343.15085,221.39522,152.91165,239.07378,339.39288,218.00948,49.322388,67.690445,42.555534,225.35806,172.18288,326.44046,523.31104,442.14407,259.32202,655.43585,418.2587,298.60977,347.44113,304.90784,174.2809,249.8749,328.6396,268.02115,114.879745,123.151764,101.36106,147.96837,61.20011,286.2304,297.92496,317.41406,303.7503,321.46335,250.06712,121.26054,99.7713,173.4394,131.94537,96.37152,236.6146,175.24547,166.1598,200.9774,392.2659,331.63077,203.41777,195.25958,231.83824,331.3218,269.36493,434.24716,630.9247,568.66595,159.56691,758.5863,833.7789,392.32343,257.48306,81.09609,73.75884,187.53857,195.70482,243.98407,258.2945,317.5227,246.21683,301.39215,392.51248,403.56046,209.18965,244.86357,277.636,75.155365,152.72847,155.01302,113.879265,33.052246,95.07993,207.8708,250.21828,103.96439,145.47762,296.91843,386.98596,173.65991,254.50737,281.2441,383.98117,500.95496,252.9405,199.00331,213.70105,62.69876,244.05565,318.6467,167.02107,119.19691,124.38713,58.03542,185.30214,158.19275,77.96042,171.97293,74.61865,191.86325,256.47638,101.6096,203.74864,167.79588,68.684074,161.8081,76.05165,122.24744,214.94957,306.5,none,
