bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
568528.25,242729.12,345.78372,76.35523,261.0077,185.04843,588.25964,466.32718,67.36126,102.7053,65.764145,119.86203,490.48553,440.7198,153.44753,93.26877,237.90108,314.60544,259.541,274.5922,221.68564,205.71461,93.941124,59.80203,208.57892,213.79697,17.361366,124.260605,178.99153,193.47688,241.67554,118.12979,211.73859,41.953712,208.98715,774.97644,579.84955,351.7533,124.55485,259.78537,330.66293,201.76271,196.88011,375.67825,369.70828,270.03827,163.88846,88.65876,195.14034,201.6697,85.79793,99.19426,158.3151,112.38087,210.55443,229.86816,140.0221,177.8731,312.78394,174.62093,147.8452,60.85449,171.22762,192.18678,121.33445,240.12698,314.69046,248.45937,203.99158,205.64091,145.46677,144.51384,229.17856,373.09854,458.5755,125.68844,55.639824,99.11229,195.32414,197.47435,261.2156,218.34323,131.67848,197.05023,122.51916,105.77035,23.233221,137.12462,260.63477,292.36044,244.38316,137.0064,209.79163,244.20752,230.42892,146.77747,223.65182,50.87345,94.62548,97.93306,105.30926,75.43265,141.79532,128.56941,140.00246,39.40515,124.05299,128.98154,84.741066,137.81462,159.59642,94.40266,283.02383,317.87704,236.45006,87.67131,82.98011,215.58392,185.01974,123.34367,179.25024,265.95056,540.4191,897.1194,716.79645,179.19261,112.34421,391.67462,341.2008,199.09085,153.15883,212.05896,163.3199,214.39212,221.6044,188.48573,327.72244,247.05984,109.44087,104.70884,232.62077,37.82377,148.08643,131.0615,213.86197,157.7145,64.78247,115.15736,105.51991,160.86176,313.14005,295.00464,269.30704,137.26656,132.25899,183.04984,122.249245,333.4355,936.0354,666.50867,218.89796,266.9171,168.54398,262.39557,118.18373,166.771,278.18137,51.537807,165.88193,136.78989,231.02808,353.7607,377.04678,68.78185,149.16772,55.77985,232.80185,106.41678,177.95961,183.30086,150.166,182.81319,167.02997,287.4565,97.5148,89.326614,101.44326,172.48047,208.37193,260.54132,261.60413,388.7554,582.2011,974.0045,587.5296,620.4445,743.34424,510.58115,242.04399,248.7316,128.88293,230.24174,274.48843,259.6523,243.10355,227.32224,144.82263,27.457443,104.51274,239.72594,305.67227,51.446926,190.04506,205.11833,268.12173,250.8612,200.30087,156.49646,22.579735,140.61163,64.439255,113.95877,105.150635,74.06317,189.04362,218.62785,205.39003,180.49161,261.5291,72.06048,371.60767,487.10767,634.77106,290.50308,117.906265,140.7105,171.54321,235.27528,199.35059,154.99474,172.45923,192.47182,112.8687,65.448875,259.15543,412.50186,259.24197,136.73811,189.18852,151.95898,39.048492,69.45459,163.8055,104.11986,155.74493,267.2608,262.25,none,
569013.0,243121.39,401.4965,38.66661,359.60318,116.73611,381.6784,252.83246,105.15002,30.96914,129.67169,154.4423,396.55173,305.32846,28.114117,56.17054,96.2275,58.503582,86.47741,155.26282,69.204216,101.19093,63.687725,174.92159,234.21146,232.2735,219.8719,111.022804,24.508875,188.71191,303.4253,307.22443,313.31485,459.87796,601.76746,689.5513,201.95877,486.38248,457.7252,177.27615,234.3925,284.87982,242.56451,158.74495,106.70659,305.54352,288.8459,154.26178,61.93266,212.94003,250.73297,225.78387,205.65887,140.75452,41.862724,102.81633,137.8246,195.48364,213.02945,97.781845,98.33367,46.53526,164.04633,220.65706,66.92272,87.051186,121.59268,287.11154,292.84787,97.27695,193.43791,110.33521,209.01976,111.21734,425.53113,477.59552,338.83182,182.39429,111.69485,125.95782,206.12662,124.9277,29.106022,83.957184,69.482994,213.41774,217.96535,162.59904,295.3159,194.51387,395.80356,293.8128,108.55069,115.45411,66.52135,111.87682,262.25186,169.28726,57.74538,121.5723,281.72498,220.70752,138.24866,85.848,165.98352,74.364334,242.93544,258.3346,31.638832,150.43642,182.17545,128.86044,39.259796,24.509733,70.65134,101.878334,48.66411,66.53812,210.37967,392.45892,497.1486,335.9948,199.78659,449.96057,317.12534,869.49445,387.006,118.92098,168.95526,86.678085,25.926678,174.112,268.1313,172.13846,27.419733,92.95281,273.31122,282.99597,91.49432,313.35184,294.65555,352.13104,347.1071,154.53319,87.367355,177.57901,181.37843,266.4931,308.5628,241.49007,127.80493,200.20703,82.316124,55.616154,221.6218,267.62018,304.56577,348.3075,465.27664,377.88776,605.4645,171.3192,169.47234,259.1866,224.27776,140.78427,139.34982,182.66594,91.70868,26.581367,157.58443,246.2966,53.38613,231.35628,250.61728,112.786255,387.22037,179.61043,213.09332,197.69621,271.31302,274.7046,182.02533,312.2576,246.05653,188.35957,211.43663,202.90463,275.9609,380.6511,417.4312,178.10687,433.38596,544.68665,715.87854,737.90216,152.79082,182.3893,104.27068,128.38005,96.14076,86.28159,49.477997,90.71205,124.140495,30.670815,116.61112,21.38105,53.76566,164.18773,145.63881,312.97937,281.4644,192.98035,54.291893,117.4705,96.77921,65.75559,187.138,137.62267,51.80046,57.03176,49.305756,267.78412,267.28696,204.611,283.04007,302.30875,118.10404,743.2997,556.54565,120.86562,197.51688,218.25443,310.3437,324.92438,430.41394,349.96133,208.39542,142.35994,136.3863,205.26265,265.07043,305.79858,367.18808,287.09412,156.29335,298.32016,355.49576,237.03455,254.88693,203.34027,199.14833,149.43053,139.02112,198.97165,41.625,none,
568314.0,242549.2,349.66956,217.85112,128.20438,306.31625,714.2577,502.31793,215.4802,107.860344,26.77233,46.261253,422.21555,294.77225,138.06953,21.370283,55.253555,32.37666,78.50927,4.6500707,102.25864,245.7025,281.54135,135.76071,92.87077,146.44325,122.71869,72.2056,106.86067,206.76225,144.00641,192.2501,329.82324,204.78082,709.24445,897.67017,125.19328,343.8989,242.25479,207.52171,118.396935,127.44423,146.15991,166.00734,171.74442,331.75238,171.0542,89.67953,132.37347,233.97278,102.825226,52.80258,67.04767,65.90046,172.66972,252.27505,143.77951,211.05484,211.77463,142.08214,126.15903,147.76855,196.46109,138.42055,77.04164,55.726776,36.793903,194.34209,333.36084,464.8271,296.72607,142.08328,432.42422,282.54144,187.25288,89.04589,184.68976,83.24264,194.2022,164.68028,89.08178,133.64264,116.62911,29.428823,107.64833,81.24995,205.79602,93.7153,170.48026,529.326,350.79605,128.22687,236.53491,192.71402,104.45534,134.39984,90.08902,200.06923,317.1264,141.4696,158.198,154.67126,88.082245,71.9145,174.13715,177.31407,143.61565,144.04875,64.422386,94.15475,16.414103,142.01973,195.47737,235.34239,204.63809,43.961765,63.91808,93.67958,190.9891,325.7553,391.17,307.54178,96.84296,338.44568,869.51886,427.0687,349.7183,213.2087,139.81116,224.35014,163.61192,155.17249,57.532566,219.2327,135.37965,183.25221,198.85812,278.726,62.59436,212.867,276.24622,213.1257,241.89304,251.35895,148.43158,234.17001,399.7234,309.0287,70.53382,173.9642,197.2936,144.2622,107.45178,135.03577,411.3117,491.0369,459.5544,261.28436,693.22784,813.8949,113.954124,250.68475,394.03394,505.3799,376.924,329.69876,349.85397,203.23117,86.77942,43.92132,227.88997,384.3601,211.04904,165.98854,95.03772,280.37173,115.97486,290.77142,312.3009,72.79262,209.8237,307.9825,274.51035,207.45615,311.73224,205.66725,148.35907,138.46553,488.11008,616.32477,658.6248,787.0325,508.98587,582.3398,633.35626,454.56873,268.77426,385.47964,316.36786,267.0129,196.78444,126.70154,141.38681,215.34383,77.6788,93.064224,98.8272,25.442993,137.78098,49.19494,102.37703,65.12153,117.45408,181.40285,243.08406,306.58685,125.411804,211.18222,357.67892,222.85417,173.68695,194.53677,188.59639,148.73044,162.97444,233.47313,332.93802,187.05415,322.2795,475.62964,218.53255,107.026505,168.29832,408.18344,327.32495,249.28284,106.43164,75.35198,135.58026,155.31342,162.57489,209.96158,126.19098,153.12268,120.77677,253.60172,214.27734,162.76987,190.36658,154.11755,66.16518,116.016975,83.099815,141.46692,187.94667,133.48486,164.25,none,
568087.6,242581.17,265.88736,171.04236,277.424,180.05652,671.46375,509.6621,214.01427,173.3082,153.42885,196.55013,551.41486,497.31662,230.1658,270.53677,151.27086,82.958786,111.04757,101.858406,45.486897,101.63734,68.07555,41.909855,166.06561,140.96042,262.28247,167.34222,214.09016,132.44806,86.32753,279.15222,333.90714,553.091,899.4218,269.44614,458.8228,350.38092,271.69244,73.7537,120.11494,151.8889,125.185165,159.28415,238.35907,227.99113,282.01096,259.38055,164.39587,227.15094,149.48854,35.38883,44.4269,191.21623,385.17606,166.59378,134.83551,178.90501,119.32161,200.78987,278.73157,228.30455,44.657776,131.25899,37.594147,127.8559,65.27424,45.072487,139.72545,79.669815,301.3558,331.17773,283.48462,99.73276,198.95378,207.86253,294.89243,85.37141,229.38394,207.86961,125.81662,88.7745,184.11186,90.28808,112.769905,121.00125,38.16838,166.41801,327.6532,190.36218,206.3036,240.98537,174.70856,64.29999,167.60321,178.60736,93.16051,118.4236,221.8151,157.84161,138.68211,128.05447,125.38449,159.8125,269.28925,162.7869,142.21715,119.91395,61.05354,46.552685,157.48865,253.67218,193.94157,32.73621,147.5791,101.113205,143.34229,149.73337,112.61111,192.74495,105.636116,260.67566,378.19916,35.662605,850.7591,815.41205,261.1452,153.6658,199.52162,241.55287,139.30386,63.949486,306.05664,219.02266,104.02816,56.40015,74.67557,177.24287,82.71013,81.65437,81.2598,27.71851,79.9184,251.00092,47.371883,81.56832,274.20468,108.77132,192.80046,141.335,102.24946,226.78197,300.5289,147.55374,208.59065,250.873,109.526924,439.02716,1065.4097,852.07404,196.31477,368.71945,413.5959,83.00884,35.92224,23.914133,98.36931,106.65352,48.26241,116.40231,36.527607,149.62047,100.8013,58.27446,165.16122,253.94016,157.61383,204.79306,184.86208,114.03818,160.43979,212.35071,177.65388,196.30424,121.85013,115.45699,178.75984,264.47125,266.88504,375.36588,222.01945,621.4708,754.3237,452.76617,460.92343,901.4738,746.0485,343.80557,174.9116,159.93195,78.8947,277.652,252.8127,349.87347,210.05841,123.521484,74.11997,150.06696,80.637474,129.01292,155.899,65.43779,32.118412,151.3447,285.5495,407.80276,301.81418,140.2995,261.53662,168.57738,162.80327,364.68408,95.92897,37.447315,304.7683,346.1833,454.0032,143.4884,280.3491,484.8674,285.28137,176.04768,293.79718,103.18656,89.775635,112.63708,177.47667,247.50252,138.29492,151.47043,245.01483,102.02333,231.06544,211.02284,131.48148,147.17758,286.5473,162.59253,142.26817,268.46414,279.02716,65.24294,40.13862,146.14967,264.77344,261.3565,41.25,none,
568311.25,242708.55,291.76743,349.86917,84.383224,300.71832,632.61334,135.9263,295.04532,369.70938,316.4557,77.49446,307.04877,232.62083,79.537895,125.116325,175.59586,237.55981,292.2863,366.02448,328.463,171.94032,71.091194,240.39157,285.4835,142.78961,277.56122,370.6208,125.368286,281.02133,461.9416,488.85626,280.63693,557.20636,426.35413,453.35785,730.46106,258.72125,152.04068,88.32012,156.05937,107.97594,37.657078,133.24216,272.98392,301.68835,194.98535,118.17738,94.14518,83.93768,112.30684,230.74916,231.2534,162.783,227.45934,123.406006,71.17498,52.146408,168.52916,305.98834,390.61212,152.65675,78.706,170.56812,179.2339,86.99488,313.8266,215.63982,213.61539,305.19366,98.53726,330.3007,362.04593,219.59106,132.56294,24.836025,174.46272,165.97244,72.79021,138.26404,204.60362,194.29836,79.23846,188.52415,18.554062,153.27592,86.972046,144.52696,119.911194,221.28174,216.76186,118.88639,174.17723,99.66508,103.13152,230.47174,138.43121,46.974884,49.11988,155.23375,267.8211,238.49185,119.33686,71.77689,61.580345,166.50648,278.71692,232.24687,81.21394,79.360146,75.04683,115.32367,188.01541,237.14226,241.12181,123.44625,204.7954,380.17657,291.6103,352.05084,352.28247,350.29642,294.06085,489.55627,342.37567,600.0664,522.3178,356.77432,231.4223,124.7233,119.41572,287.36865,409.17978,270.59534,23.893078,139.80222,180.3117,193.46594,195.90312,157.28494,222.2727,256.24564,279.54996,281.12683,244.68071,88.81967,310.95135,283.10577,245.19531,281.08374,230.7811,404.77103,378.56274,395.38098,159.34357,216.96324,632.95197,706.45636,197.07475,66.281166,381.29886,672.98126,373.23178,269.51694,269.8954,196.37167,125.74763,127.47186,308.4662,293.63092,213.59023,196.76228,143.61308,29.9633,106.26796,92.35573,141.7176,107.42112,39.130352,236.7022,203.87067,161.04597,168.60454,135.83589,108.0915,198.31451,76.931816,254.26105,366.4399,437.29153,586.4277,474.04193,593.2708,159.30495,921.3264,898.2773,359.86826,213.1978,481.90836,531.0581,268.4511,185.28362,320.6385,556.4423,414.98077,323.28436,339.34933,317.25656,197.93654,146.43861,315.95914,261.2044,131.18993,316.54172,327.86462,311.38327,208.80965,122.85852,209.13922,141.14226,204.25824,306.09317,370.62628,267.4242,55.933918,244.19223,293.29965,252.27739,544.17883,322.64005,331.0559,288.1335,312.2207,348.65594,301.59814,158.15512,53.806583,114.41813,174.3916,311.99835,135.98381,131.52122,141.1274,125.98457,79.833176,84.04826,80.748955,121.76747,196.90486,124.55899,264.07846,326.31076,260.478,44.65585,157.84523,54.306107,195.5,none,
568700.7,242919.81,453.0043,203.73717,304.61545,125.48586,643.2339,465.4364,103.11545,108.675354,92.12965,93.473,245.44176,113.11095,119.38454,28.31287,276.44778,275.54294,247.8766,115.49115,29.450628,111.520905,11.407959,123.32026,87.73641,167.33261,107.92083,113.755165,75.57828,111.37795,99.457,143.3344,458.78348,309.99792,494.25153,843.6109,85.190735,569.50464,409.39832,169.41281,171.14262,103.85619,237.65265,278.0636,162.11536,86.82927,248.80351,146.73608,195.31876,151.69476,39.783722,168.57695,238.74791,50.68467,118.499504,162.9936,221.8969,173.08115,200.19391,92.966545,74.70131,99.153534,188.50044,136.69176,48.476734,152.9817,212.03784,279.36588,176.95811,191.59442,35.959213,279.08792,478.69244,379.92892,347.03302,241.5815,75.022385,180.42635,239.46523,203.11186,237.41745,181.91968,167.47443,268.26288,318.5357,132.37881,173.50966,243.65147,275.2802,343.33218,194.6072,116.53471,164.76878,68.7269,52.499866,89.87465,58.65997,14.665349,46.309246,180.1707,125.475174,112.850174,89.808266,119.01102,307.01236,223.48428,273.52063,351.92462,446.7491,180.30327,57.817947,159.9759,180.6032,282.55124,190.0437,216.6017,58.231827,268.87268,186.88255,68.551834,184.74272,168.19194,384.06088,539.576,468.56015,215.26984,390.70966,254.04964,179.8166,226.6326,209.36356,131.85573,90.60904,81.75468,62.38265,133.35727,311.18164,294.33417,158.25145,96.25122,290.36816,131.84688,85.1601,84.76174,51.658974,194.8857,78.48816,260.01953,217.34433,142.30421,158.6526,233.59079,286.46872,477.51907,93.028915,129.7821,421.97153,604.44293,353.6045,341.92654,666.5194,504.25034,338.1789,296.2333,16.449774,117.08366,167.8727,235.98337,64.251335,117.71732,49.53834,89.4725,146.98738,176.26073,131.40466,87.91291,75.2848,22.721539,270.16803,221.98732,113.48668,295.38632,351.9982,306.8561,233.63263,237.6899,210.40471,346.7044,483.17978,674.98737,626.9803,323.79605,439.98035,210.81567,864.6751,605.79346,334.98248,85.07472,300.86185,266.0069,311.92325,131.8221,140.70638,394.47156,341.23886,206.10025,299.4174,386.0777,453.41055,318.11703,243.46811,149.55147,236.94002,131.02762,280.33896,200.0716,171.01257,229.8475,147.87717,145.12537,202.92218,122.48855,183.62614,305.60205,294.96747,11.396873,163.53152,283.708,204.57089,504.1167,205.4786,143.32556,249.81604,126.712135,200.49817,49.171246,94.431046,100.71344,161.10938,74.781204,297.0419,326.41913,111.23532,167.00928,136.77466,135.91803,193.43895,130.84697,102.673584,40.60044,212.03116,231.53603,42.864414,191.86287,92.55057,270.9258,274.6875,none,
568324.6,242603.45,250.15445,269.271,155.3158,193.31964,911.57416,560.50305,74.027664,219.18079,210.23451,211.82411,598.48206,377.2127,74.696556,191.29256,30.198261,106.230576,61.56282,95.41282,99.28527,44.992516,123.39339,237.0685,339.57852,351.97287,184.08405,85.74897,228.59521,226.41516,85.37526,386.46057,389.0881,568.42474,976.4381,662.53314,178.02,345.55048,174.74472,300.7295,262.40186,71.60673,159.49791,118.622215,136.87057,119.49674,86.4916,152.07188,151.03122,62.28474,37.86969,77.89965,106.2421,65.66757,92.21848,122.94851,8.980632,216.97218,268.70807,150.31541,38.650276,52.331165,160.14835,110.68379,107.75457,245.30397,501.46732,309.37518,266.00702,280.47147,177.89917,314.77155,306.64706,290.53256,295.17642,82.53453,73.49401,163.6302,289.52972,228.60768,238.56143,200.70882,166.0823,121.5452,85.15756,100.6835,318.9057,248.3612,292.25778,188.919,114.49365,282.7074,389.6357,343.00665,140.99416,212.78642,325.05173,191.533,56.31069,87.2298,120.12515,169.40921,220.56326,214.55821,127.24089,109.17099,87.43718,254.92235,426.15298,154.76086,173.97195,106.216385,192.19926,221.51537,100.55643,167.17873,239.24039,435.90378,238.4009,262.61633,369.3653,248.434,394.64807,558.4094,369.1664,102.75711,430.2535,242.9174,178.13933,213.41982,172.68471,66.03527,117.87054,211.00995,185.206,162.50735,254.58247,429.51016,140.58601,105.5185,190.62157,183.66331,163.97296,119.37492,125.98936,216.2518,190.04124,263.84866,257.8835,133.24,13.451842,59.43083,113.36103,389.37787,569.6387,472.63947,468.44458,538.907,704.76715,302.81268,610.868,195.83876,61.501335,47.749973,96.16753,57.759197,203.34055,329.17548,189.31213,77.85688,104.663185,51.57067,43.248333,60.813507,143.98709,179.73131,192.85255,148.49501,75.85116,51.66445,185.66466,231.85799,226.8454,52.963314,224.19586,222.9811,248.96288,293.42786,316.22546,143.76445,24.720243,372.3968,681.2833,239.00838,863.27075,718.39215,356.37878,175.9311,11.788294,130.86989,144.17441,142.72795,118.33454,173.1515,121.74645,156.17908,255.15926,184.32489,81.23934,64.779655,32.767536,109.72883,82.94684,369.36264,251.53676,200.60927,134.7852,45.715668,52.711002,233.78079,289.695,98.25375,122.133064,253.66336,487.0243,204.70128,232.94298,142.64143,491.9035,519.177,250.95706,48.437424,58.133316,187.88766,142.47304,122.681496,114.20412,199.6825,245.11105,431.1225,514.80237,132.77727,12.86592,192.61644,152.37193,120.348274,96.30704,79.2556,134.27034,334.59488,84.173096,129.6546,199.33261,297.3167,376.9104,74.21834,169.125,none,
568211.8,242752.6,601.6278,162.82478,139.52667,341.07666,1195.0758,714.0533,255.90622,159.04393,242.09988,136.75746,395.0389,357.4897,94.51178,63.36609,136.95782,90.14468,136.31268,149.09068,83.18711,171.45831,184.79839,77.77791,197.59361,237.21173,92.7747,137.68916,60.105648,196.09088,224.34601,215.96312,147.54932,193.53128,904.22516,824.7664,304.05807,214.5529,247.77043,265.26645,277.72168,290.21063,220.51332,209.02443,275.73828,248.92943,185.31956,170.78548,217.80226,170.49959,61.58463,43.009724,136.43692,17.987856,134.14752,253.06052,211.4881,49.88889,94.21482,14.976428,114.711006,165.0388,212.87181,268.03952,53.327347,182.75726,209.46368,355.9197,158.41557,248.66757,187.9649,102.63518,220.88606,236.62323,150.2485,117.1756,240.29517,196.8963,234.7575,490.5105,356.57837,93.85906,115.79856,132.17198,164.65273,158.55644,97.66856,203.50012,242.37459,107.11856,166.90836,240.77785,153.83676,232.4976,280.1136,229.18518,142.41362,170.93565,159.72192,3.4043057,103.30993,67.79361,137.32857,74.96105,263.23923,188.67004,122.8227,250.08383,172.52422,291.43802,251.41219,231.57611,159.6732,37.631714,117.789024,134.01863,204.37712,210.53883,138.00827,153.38467,152.7048,305.64886,396.9778,338.17984,376.23184,500.86414,453.35785,191.88919,324.53397,299.8507,90.64499,203.3803,194.65637,79.004456,169.38843,143.22798,155.91212,281.13458,216.40605,176.05061,171.81955,53.38443,219.25952,203.16515,110.44023,145.54283,158.4991,255.18097,324.4769,223.6061,82.251396,66.86052,224.93182,265.3847,313.10208,343.20847,358.75424,482.9439,628.37134,319.4128,832.2438,329.15216,57.927856,114.67415,162.77747,104.37657,179.63246,147.28514,42.1252,95.816895,78.74993,205.47118,143.76416,100.699936,191.84584,50.517,47.746006,138.17705,141.61386,137.86304,189.39542,203.9786,223.2987,94.8471,41.525246,62.481808,118.25475,78.57517,173.59471,214.02315,257.54617,566.5692,956.49347,251.63904,908.8924,808.5286,628.0015,291.94928,102.57382,63.499615,163.29831,181.83727,254.99782,199.26482,116.53681,247.12268,333.70483,342.99988,229.40646,40.10766,53.966118,156.79886,213.79156,63.16618,202.98691,187.17758,220.78488,103.85788,142.02313,95.12637,159.82156,150.12987,96.08113,262.80322,264.4302,14.150232,264.2516,360.97888,133.72731,301.9066,434.81024,312.08557,163.76949,41.927402,56.421894,218.10738,164.766,154.40483,211.50774,314.96432,227.46207,17.343287,166.05559,247.27989,144.67819,156.45168,17.83729,153.00601,252.36562,174.4485,436.76654,494.64267,197.5783,344.378,190.90764,168.5242,102.8125,none,
568246.25,242791.19,517.2432,185.64148,140.18735,310.0653,914.72406,470.4091,142.87132,291.72818,220.70854,354.3855,625.4732,446.46008,78.99816,124.761246,15.958089,89.49537,166.68616,327.2687,270.6564,65.66762,35.84345,106.86924,175.5972,273.87387,109.700455,117.0323,45.804565,179.45999,190.99968,256.3823,451.99524,773.4173,943.6554,95.70879,580.08765,262.84827,87.666756,18.238106,103.736305,298.84613,213.52194,92.2537,104.1943,165.24336,143.37984,101.43466,143.35095,136.34627,163.3087,114.88115,62.034023,72.81727,53.213573,72.96847,98.03523,128.0433,248.13617,268.56265,162.17213,60.30875,168.96628,219.7259,159.93594,106.60498,162.44388,389.8231,308.7856,389.12122,370.08047,171.36057,92.80597,52.673325,68.43557,109.92738,261.77542,292.60193,190.85622,196.54477,274.34598,170.82501,115.1605,156.99483,155.09605,28.839424,134.42537,114.181786,252.85403,324.4608,299.4624,204.1002,458.30957,566.902,387.22028,231.48407,190.99988,44.83677,47.06573,124.57699,240.97714,226.16672,104.01179,133.00923,24.284874,115.74362,156.11217,296.85403,172.03326,159.91528,54.42062,120.35084,186.29123,73.36815,93.67611,151.35269,102.41535,40.08237,60.66273,65.070335,250.80583,203.7868,65.07349,157.79166,494.5441,1187.7556,692.7518,237.95976,157.32338,267.99466,154.28975,115.56277,142.4633,62.209816,109.81741,277.89352,193.4459,148.51167,153.9822,137.33772,268.02466,279.75198,145.54558,155.85123,159.02463,99.40059,124.413475,229.94652,164.12866,141.23022,205.25687,57.073402,233.05138,334.6337,263.3235,233.69269,176.32858,159.00089,629.4664,941.29767,117.14256,205.20001,175.25266,184.9213,183.12747,341.0355,196.85722,93.14562,49.652775,178.83133,144.52255,140.7645,215.81104,145.29283,39.86765,33.100506,94.89337,23.195438,291.3396,270.8785,112.58138,64.41665,69.31677,128.83257,96.4706,33.24692,158.59526,162.86954,190.73798,248.67844,343.73215,422.61807,817.40063,695.14557,762.70746,791.2925,325.70828,204.79057,189.22273,233.25188,152.1557,38.89962,394.2104,302.45624,145.21982,25.195879,119.42698,336.57333,279.4019,98.381966,110.93262,158.07323,121.36212,286.55124,127.85317,40.210064,80.82368,217.53235,177.59949,31.977362,135.68506,130.78262,173.33281,114.78081,186.29143,276.06097,289.78223,283.56778,713.6668,540.8419,431.35623,132.26573,121.228325,222.59451,365.28494,300.32397,85.49388,112.86565,139.4572,26.993538,49.467773,75.39585,71.01262,172.36018,219.52216,107.78354,109.40681,171.22313,202.88571,65.32508,301.43503,328.99426,219.39941,158.9709,171.04478,257.33624,334.375,none,
568310.75,242875.69,538.44275,218.15294,143.6416,104.429825,452.29236,282.26355,204.72546,121.44954,108.51671,102.64503,378.3108,322.9326,55.616013,179.26495,89.13695,50.926876,224.79637,361.04526,155.90718,209.53337,180.99876,63.42863,222.57393,127.74127,155.2464,90.661995,238.49924,292.33417,255.16315,121.45902,333.97684,916.77954,817.8261,235.63383,32.598293,248.38387,203.40535,205.56972,348.14166,454.66916,367.36566,335.55493,134.01784,98.19558,194.93163,151.55144,56.842922,147.09369,153.79001,127.054726,83.019394,124.39718,28.275742,90.761314,93.99394,41.89981,79.48351,89.71875,106.20969,26.767332,56.52262,83.50007,79.3231,134.62564,57.481106,99.92269,255.8567,379.97803,74.97557,129.34973,68.28962,111.93397,103.85734,142.78647,158.58485,183.40202,176.80562,204.6348,234.61922,207.90213,307.37793,322.65408,132.08453,113.05339,285.09903,216.616,76.62085,118.37507,243.32387,107.338905,100.62718,204.64597,307.96024,266.62866,141.21205,32.681644,133.6065,132.26247,49.28568,115.488434,165.41354,86.61292,151.4183,74.2538,217.92264,239.81006,92.91962,135.67398,170.1362,104.06987,27.00345,124.6184,97.34105,154.02046,151.01572,101.15345,249.65115,255.51959,382.66678,484.29468,268.86127,370.7869,663.93756,507.07278,379.05438,376.3105,606.47626,405.90988,24.144161,199.25594,284.97812,125.010635,126.26963,152.4124,105.35033,161.44405,110.61595,80.4319,209.72212,28.704466,195.339,205.5437,136.99124,81.67826,145.44102,188.25757,125.3236,35.158268,265.25528,369.8695,55.518772,327.2544,486.82663,512.7424,526.6013,368.57437,419.43073,1072.4673,389.69797,458.06296,255.2467,368.76312,337.80792,424.3387,179.02286,23.649868,281.66995,336.329,234.61606,80.48522,40.486454,87.98371,133.80444,125.47007,112.41119,250.13516,184.6235,14.590341,93.19667,60.733807,126.15591,130.93318,23.813528,132.01796,31.562777,70.0958,76.88739,141.09741,114.16047,390.37515,992.59283,816.2672,574.2161,476.96323,733.39734,540.47217,543.85675,434.65704,231.16856,101.41316,104.41266,189.52605,292.27188,313.76782,387.20386,348.1291,234.85114,138.30162,189.11774,52.107777,208.51257,336.01144,132.64708,106.28769,130.8293,155.19958,100.41198,40.677776,103.38453,258.4122,371.70508,278.5424,248.41054,176.85997,267.6949,2.819713,312.2915,272.66104,63.12318,311.75146,336.29688,182.18906,218.20464,126.28717,53.998024,140.36127,73.034004,164.7347,91.12967,250.76167,320.42065,66.6582,37.754955,95.659775,130.85115,14.656756,153.38457,82.155785,147.53075,185.56996,278.78568,284.21204,126.88417,101.30286,93.375,none,
