bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
568332.25,242689.89,735.7757,1237.4208,954.81305,574.4641,473.03406,516.0248,204.33655,584.30286,415.12103,49.961273,310.70532,180.82387,134.53372,314.26944,152.68471,264.1515,380.83844,514.48236,507.23495,295.19424,327.65466,193.07065,476.47076,528.61456,493.00662,94.07749,336.48148,445.27405,556.51086,375.40848,230.5064,103.03057,109.19159,154.03008,43.84181,209.53061,140.24567,230.80315,537.8426,555.7541,423.30197,210.88945,100.55806,286.85562,436.60754,441.7035,156.77782,162.60957,91.96881,208.76903,165.33316,284.59183,408.3046,397.03632,219.24556,138.59029,135.50963,102.1057,288.35464,134.76328,170.31337,73.30213,128.42517,212.94499,294.03552,203.47603,237.71223,442.9831,482.5889,478.07962,538.5641,241.40346,1025.387,619.64075,203.13861,262.41074,398.95767,282.98962,191.32185,266.85098,286.8727,299.14212,272.9486,122.33132,208.97504,144.6682,106.443375,108.38177,237.31204,287.21494,245.96341,108.04481,64.753685,202.7895,121.83146,57.509895,253.0048,371.7642,357.70938,197.98396,48.884155,131.20944,72.22525,113.92325,81.963394,222.43294,186.65556,165.16945,253.12854,132.08012,42.85271,126.30826,61.515347,95.61009,6.5927362,81.60569,103.29842,149.30965,189.83249,192.38239,223.2905,52.467716,40.634254,236.15636,190.42155,160.33936,34.421215,160.79597,114.60935,132.36024,205.09637,286.06934,126.153885,49.635944,186.00446,224.70999,135.13911,52.06665,62.096817,62.47747,258.50616,140.85017,466.19238,791.9673,517.17114,351.5717,223.63293,334.55676,198.80888,27.414757,82.09701,104.69785,52.365234,98.502396,187.3733,62.533543,219.17548,212.16847,192.72017,170.07112,80.526215,94.30486,112.17435,136.55722,180.35876,112.84746,95.30014,97.5286,108.665085,121.54491,179.52759,199.3152,273.12598,340.17786,411.96515,235.66902,113.57203,140.57843,156.6456,287.82968,233.10513,264.55856,131.52794,181.35724,130.40036,159.74461,231.18138,215.65941,142.73544,95.76314,159.24702,260.20706,184.26918,189.86238,109.6892,271.0399,195.1767,136.71512,170.29843,58.059975,115.61772,141.58652,163.33005,201.84518,291.3976,181.15869,207.4904,291.17813,217.34581,177.85779,202.81349,245.12709,252.19865,167.60847,384.5886,463.88882,315.82785,727.65894,21.67135,531.9365,732.6561,579.194,392.54547,496.08777,274.23993,324.546,306.70956,210.27463,221.24083,343.18463,227.81479,111.97245,117.85823,140.51523,140.61732,97.38744,333.0689,307.1511,53.49305,134.74785,139.30067,106.32753,48.848,194.5211,251.64018,279.87943,278.87756,241.12968,167.00406,107.34525,131.86159,175.4048,301.53738,312.38354,87.21875,none,
567875.6,242517.56,769.7053,282.17557,156.40646,168.9965,289.16058,136.82834,73.43152,153.63315,290.51984,174.90665,236.3139,473.8151,255.78838,238.36899,104.15735,498.175,695.83356,541.82385,449.8076,565.70416,584.329,164.31296,481.15543,103.28693,262.52045,199.26498,160.62517,340.4517,436.97528,238.4952,244.95013,317.27997,423.98154,434.93625,196.41873,116.68728,252.54784,209.38364,252.84526,209.24295,122.47604,216.82455,166.56729,168.02916,205.52382,180.27287,55.571815,183.04753,218.85362,254.65755,232.97264,220.0283,211.28975,267.78665,209.02365,222.92624,155.42384,88.69548,202.47852,200.93658,7.9665895,75.18487,73.08643,301.47803,349.99988,94.82962,346.4804,204.12129,381.73312,790.4613,887.92255,799.8925,611.6674,402.04584,372.24258,525.27704,634.13916,634.17395,339.85376,230.86818,313.3246,370.10364,140.4004,250.07224,143.21896,40.687943,24.409142,156.18993,253.61479,171.51605,12.729923,122.378586,96.789345,173.74026,195.7054,237.88438,242.25462,166.7787,179.39624,124.858315,121.19364,57.10057,75.74918,153.61429,188.4557,10.235248,48.580544,182.96431,238.17499,249.87682,92.49968,142.83043,249.5238,201.07573,176.19911,266.06326,94.06651,248.49498,44.694275,189.6994,134.3082,231.87428,211.53915,74.131996,58.312305,116.33647,39.907948,99.9455,130.58264,349.36658,175.85309,41.475346,52.27374,205.5863,187.07294,78.77661,126.4701,193.0032,234.9686,390.53436,416.82507,363.34976,1002.3343,724.0235,576.3144,512.95605,555.9515,501.47095,126.58704,202.71207,319.099,234.40164,247.03749,370.54352,316.07697,178.66109,414.90585,280.08896,124.52721,132.88393,141.48488,197.72336,249.38652,292.52258,161.60794,3.2752013,96.410355,64.59339,62.15365,90.80275,225.63191,328.08078,250.93198,96.29113,264.0304,124.04708,131.69193,48.585674,173.14992,176.96526,148.36972,227.92387,243.85187,197.90533,60.324467,161.69872,186.92433,25.556046,119.774956,85.46171,160.05954,42.184647,90.59193,144.60492,66.821945,239.8699,350.99234,286.569,191.49513,55.50534,118.36389,57.922123,123.27921,112.74205,65.99909,205.93631,290.99597,166.59865,245.3077,172.34634,427.67664,486.93463,342.00986,348.11023,701.97546,732.44836,415.4204,650.1094,580.37915,1212.1482,890.34973,155.42262,229.56274,176.01627,345.41074,260.14673,122.85881,170.62198,253.8643,180.7452,195.49345,153.3406,121.73213,112.06323,118.95112,56.63185,122.32909,59.943504,108.3457,95.72573,130.02386,171.79918,125.783,58.64798,31.983757,123.35211,35.341698,86.450005,57.927948,154.55748,160.10889,85.362946,228.27257,118.2321,133.375,none,
568005.0,242495.94,277.97812,582.5782,278.83218,143.05817,249.27261,347.2007,325.42853,252.99495,294.0028,405.21255,755.2895,728.30756,416.26968,327.941,601.3675,445.56244,434.69504,68.10454,536.98944,572.043,550.9978,396.3008,83.86862,173.12556,142.13228,144.8652,77.74495,166.80298,297.51147,323.7492,148.76582,153.87387,122.857704,147.50616,69.73109,128.24783,234.51642,158.8125,60.674164,17.679558,195.21198,306.0477,240.03185,57.78222,236.53073,96.73312,167.9781,114.5946,144.81003,265.8056,221.52113,69.32301,146.38521,224.05736,199.10161,333.46686,197.30736,21.023853,132.44351,438.67935,571.0702,523.2517,376.1296,346.51498,484.45197,79.87132,476.5676,316.14307,272.78766,290.98245,302.5046,201.52841,403.8349,549.13556,334.88727,701.58435,671.98145,187.03093,387.59964,264.1241,100.777725,203.1426,424.7298,311.7215,119.288826,95.79275,162.35701,256.27032,295.92514,279.64468,105.72416,113.71486,66.05636,81.093475,47.168346,79.02996,55.920723,239.15903,255.80125,117.93313,117.0483,53.508533,70.89675,180.5236,103.996025,116.51527,94.38861,258.39383,108.0829,266.13272,304.07498,288.44937,287.60553,149.16115,135.69992,237.3609,348.21475,83.20098,180.48352,138.40367,114.61635,158.2216,209.06697,223.83064,177.27733,39.209484,47.31885,43.658413,225.18103,237.66914,186.03203,105.145935,71.82817,104.60117,70.25301,30.451475,95.82024,319.80344,455.48422,541.2462,509.22955,930.3759,306.73413,590.01733,700.6777,339.62607,43.72344,261.55038,199.59839,206.65227,423.21634,287.56284,123.98646,261.3386,179.23248,211.81601,250.28358,79.8041,355.8465,434.12668,346.64496,347.4895,226.25249,160.84532,107.65876,84.02919,253.66483,254.55714,112.22304,73.44205,117.09412,145.07372,267.02643,249.03915,235.0285,89.66477,80.80236,296.1066,161.48457,8.640988,84.00516,173.95926,167.57849,76.713646,44.02283,65.253944,179.13918,133.01343,202.84833,131.50414,201.96033,371.26218,359.41876,244.1598,188.24794,103.4163,145.18282,148.88597,269.44025,147.06699,107.70441,52.98554,137.44557,210.4325,286.09943,165.5424,310.4098,408.26288,123.34381,167.37875,165.7564,266.9316,434.46036,352.31293,210.18721,321.4426,501.30484,213.80725,435.80957,609.6772,347.84024,930.2531,790.8418,368.9856,271.67813,270.68048,177.3509,129.87894,307.18045,337.2505,268.24567,128.59897,195.57748,117.44041,228.7016,162.34334,198.14243,180.52179,271.85577,66.110664,145.09892,289.26678,377.55957,181.85347,123.58287,160.9206,164.72087,387.74356,257.47153,121.90023,155.29855,188.83229,299.35217,328.90884,132.34375,none,
568065.44,242575.72,234.35062,412.18375,614.4607,335.04752,132.94598,322.53976,218.25061,331.00186,504.54395,527.9456,655.1839,494.19617,543.9265,419.87195,507.1314,216.64178,68.447784,371.06732,468.5318,209.93028,322.35446,335.2738,180.60167,51.50317,120.59498,419.3812,375.17047,131.80916,230.00479,278.45358,334.78845,174.68942,21.482769,192.67798,234.99352,126.11027,35.14605,144.26396,264.41263,192.90741,224.76904,308.16052,252.61276,83.99435,268.66602,316.2881,94.688,124.57756,282.15604,297.04868,281.72635,52.92996,195.41249,299.49255,218.8073,184.123,43.44503,151.20784,76.13145,135.5585,310.05234,234.38968,198.88863,326.99524,459.3869,537.1613,161.40616,211.1382,270.08884,312.75214,187.24731,243.92091,220.38387,349.14008,782.609,509.7031,481.55753,562.2919,501.42,374.4989,257.01242,248.37477,184.39957,212.45007,240.6705,341.6104,25.5232,189.96149,55.028824,211.98653,260.81366,138.01741,33.507977,138.7185,265.14758,213.68973,95.9246,206.59882,164.62138,231.49547,91.78274,64.57338,41.24005,90.07581,137.10602,143.3086,180.40111,402.6377,382.5172,225.5286,252.79298,287.24008,188.93259,91.541084,239.11449,130.89754,140.73367,307.471,190.40842,141.90216,98.03167,195.88712,269.7982,271.47177,144.64285,228.17503,73.10403,101.14242,314.52383,273.04553,293.80545,343.87036,261.70712,76.676155,76.07122,128.23964,153.33344,139.94527,297.97052,362.75406,287.59457,1006.8541,574.0437,304.91003,387.77594,460.05048,284.4622,269.07275,281.45853,223.18091,206.63878,395.9718,318.37216,396.3507,223.30911,155.08731,125.12443,216.52998,260.6376,119.36478,137.31302,90.235664,161.46745,174.2565,200.32985,17.72908,167.79744,164.49791,299.91806,132.21043,125.75154,258.80435,136.4015,139.89674,29.942183,137.9321,231.57591,214.84091,382.12125,206.80295,86.96506,103.60618,133.5478,97.21858,174.35335,265.09283,160.19873,94.95733,105.113716,110.06877,99.51768,198.4333,280.56424,115.13519,124.15692,142.42436,126.137665,306.4379,276.74423,208.72527,40.673954,43.0426,80.84915,57.488167,92.10379,77.288025,131.2935,210.54478,346.715,123.81795,230.81523,524.55475,745.36914,377.56253,107.48334,202.33498,232.86426,551.24774,432.29504,503.68585,732.08685,603.41516,642.7078,173.36934,201.77335,227.21016,320.7696,111.39188,119.32106,129.17683,143.49774,223.17351,219.14882,376.6334,360.22308,229.6993,229.28917,225.55867,186.33397,114.13456,298.76407,156.80653,216.44695,271.4956,307.1263,422.7691,385.2505,410.32516,335.0,161.77628,107.16701,172.76299,202.85248,78.80716,232.25,none,
567797.1,242267.84,339.0158,120.99879,404.7754,347.85757,494.24353,294.3838,140.63539,276.33807,667.40686,890.7325,807.677,372.9694,371.86194,401.36987,507.42786,592.7867,175.25664,166.93756,538.514,407.23865,532.5937,504.0634,287.0633,393.60873,117.58801,423.3292,202.05565,94.74845,85.39008,285.01376,363.37405,49.601837,83.63657,84.69195,206.65327,281.78705,198.35579,324.7464,427.62967,330.98495,211.58275,90.30714,27.303808,123.309906,233.76959,234.51741,137.66423,403.8591,307.2173,251.79509,275.14703,195.98442,69.94259,67.14815,180.30106,220.45761,404.97565,445.9231,306.7636,181.26479,221.30556,283.83945,186.509,233.55354,368.05045,353.6451,138.99368,310.37857,462.46994,273.31033,351.56894,335.66513,119.01549,325.58322,898.51166,915.8452,293.6902,290.92035,194.46487,340.16962,462.8851,357.24744,161.43335,293.2382,352.58044,157.41248,58.9054,182.62694,369.51645,369.30322,263.58887,306.85248,211.33907,67.56552,80.88033,224.97476,229.75723,359.1713,319.654,302.58282,196.8021,59.45105,143.61964,119.88542,72.59844,86.96875,229.81407,243.99614,95.64649,50.17772,39.619904,174.48274,257.43008,353.73035,57.446774,106.47151,168.41675,298.4121,301.77545,125.07123,149.58809,124.06026,107.80544,123.62126,222.28104,221.78537,3.9959168,82.57706,273.38718,309.2765,162.71098,217.4208,150.38795,133.73051,175.48544,257.61514,251.5135,109.60156,164.29031,468.0186,545.012,980.72955,391.4894,236.75081,102.31913,184.48816,238.97911,395.01862,408.3522,351.59747,281.4543,351.065,82.25467,438.14078,385.4528,148.32114,210.65106,405.991,423.80386,266.6734,203.80324,84.336266,163.57172,161.21066,227.60573,143.65831,113.00025,114.97007,344.94357,231.25742,202.63947,23.034035,231.5377,195.52046,219.88597,242.10118,259.68094,306.50238,172.63176,110.507195,179.19868,118.17748,313.71204,182.80864,155.12819,136.40323,133.38216,125.39889,91.26849,109.40999,108.90127,169.24893,175.33382,183.18358,147.51671,185.7855,267.2501,223.08481,69.32085,65.04979,108.17509,171.00443,190.49239,210.26184,194.5392,175.8125,236.87181,95.90094,82.63426,108.01317,383.6649,535.6422,545.0202,58.611874,73.70322,242.93709,436.62546,671.9277,1066.4055,251.62062,410.64297,434.74792,264.7902,102.456024,311.3599,400.93704,357.8405,384.34833,466.20862,142.7214,167.79207,184.34154,487.72043,300.71313,157.61777,173.94666,62.54398,81.270805,105.52598,82.793015,133.85558,102.84413,109.92766,82.902374,105.33858,86.881256,101.48829,170.1891,72.92336,151.12834,352.80768,407.19122,238.35019,104.89537,182.625,none,
568480.06,242907.95,538.8977,271.32394,485.0703,286.31104,365.37418,184.64268,651.728,523.58844,184.74715,267.73602,394.1354,589.02496,523.41626,419.0349,115.52821,407.6597,518.667,109.41621,305.64545,561.48553,561.42194,112.57788,93.13212,42.39185,331.2896,544.4238,197.89017,87.41137,177.12108,189.13214,204.13672,370.0299,34.775173,163.41277,214.67099,196.14021,376.89597,146.77724,66.34564,220.0355,252.19197,83.6677,117.6908,216.2013,287.3797,282.3081,298.46436,72.64042,189.42755,161.325,264.19403,134.655,201.03929,193.11412,178.45253,76.1145,176.42474,281.3894,215.52806,182.25517,187.61896,280.5996,221.6897,348.16885,364.67075,213.27196,297.81277,378.09317,423.74896,270.59552,387.33368,540.41736,286.08655,216.87321,544.9042,729.6532,257.6131,247.35484,109.02431,259.13992,89.44854,138.08047,168.99033,49.089355,31.232712,62.848957,109.489784,380.1623,393.59528,262.3609,423.11337,395.2388,168.16014,166.5379,201.08008,146.56313,75.146576,179.3792,29.912373,182.22493,198.86172,55.721367,99.37806,322.832,212.75745,75.386116,108.88013,112.07899,32.6149,204.44493,128.33812,237.51532,452.75388,122.27244,226.56454,264.81152,192.20969,209.69217,142.62518,60.708393,228.74559,431.546,354.13474,194.61156,129.0917,140.818,286.4763,254.6426,165.65494,208.9558,341.31995,446.7588,297.24637,183.15439,163.45561,236.96124,82.46468,284.06168,371.66937,440.01416,212.46304,677.6031,935.1302,142.92119,257.15134,222.44643,333.6883,272.35474,55.43386,164.89888,118.60006,91.785774,128.12822,384.35846,176.77217,226.1336,123.48814,116.272415,51.146458,82.73716,98.28765,305.54642,305.708,216.88261,174.24815,195.27719,262.83167,275.3972,104.92675,122.316505,305.74496,158.05034,218.39525,171.13759,104.13522,137.55788,178.53697,171.04233,137.84885,102.62147,77.76768,151.32524,94.73242,132.59702,47.386925,91.37718,79.07695,72.0746,58.27802,13.071027,146.391,128.66824,58.149876,229.81485,317.23074,49.895187,60.626915,138.67194,165.63628,215.91896,208.3763,215.14304,241.93591,58.535686,108.60199,219.57175,297.74792,125.84635,153.2159,171.82744,367.3666,161.83913,238.36871,156.16876,396.92273,271.2862,225.00522,513.70953,932.9717,384.88904,505.1728,73.47803,258.277,184.71944,389.1465,373.57022,480.11798,450.58194,239.92166,150.57547,211.75797,326.022,355.50424,243.30156,227.11943,214.3121,262.3275,63.01102,78.07428,235.08607,256.65497,95.1673,137.23544,296.7758,238.34598,204.06532,88.28148,115.76902,203.74915,281.34778,75.19765,61.318176,152.54483,142.55731,70.0625,none,
568165.25,242677.23,431.39325,187.11586,278.32028,329.947,112.8968,238.41852,317.66357,436.65445,224.25726,210.66162,204.29904,532.16864,616.28613,474.4151,387.76016,236.85687,367.58267,420.1627,534.8216,443.8341,94.66201,136.83788,275.5524,294.64734,207.29506,136.5332,185.22412,304.34308,267.76422,202.07755,353.47772,369.4898,251.23596,209.78618,157.05962,310.18915,273.54294,192.28535,139.19919,65.77811,201.04689,166.82526,76.821075,71.643196,87.39637,43.234158,117.94135,114.963104,268.0751,254.35446,118.575096,178.13753,247.1225,216.09633,192.93913,50.928646,70.94312,88.93737,103.33556,7.268762,75.69136,29.954596,240.85168,310.27786,97.563385,395.0806,824.343,561.3746,189.31342,286.76218,332.85764,326.89432,308.08594,579.2053,1069.0022,723.17816,147.50069,478.58783,405.39532,169.08224,81.89866,38.63119,184.92407,185.26308,160.81003,217.58662,289.2231,62.825584,36.656437,86.22174,244.93587,182.80302,49.208427,256.59845,152.46855,161.75786,249.09969,237.67723,246.77321,44.50895,143.56291,280.25717,212.66731,404.06485,103.92338,64.657295,162.5839,115.493416,195.48375,181.15549,172.64568,188.58801,113.25704,139.01953,174.37012,111.49678,111.012825,91.19022,201.33598,84.75293,80.22319,61.205566,54.87318,38.01909,86.433815,129.8309,117.22889,157.32295,101.27196,61.70136,109.21068,288.64087,146.80191,176.41142,118.45992,168.5034,127.641685,36.162354,173.99648,195.08781,99.902435,378.4974,1250.7411,1043.4713,230.99954,616.5506,332.67935,286.49158,7.7378087,98.803276,103.25195,94.60957,196.26015,264.9884,293.90466,260.56958,357.40048,295.03717,289.91037,211.07922,126.09711,35.618145,246.34506,187.81895,63.360546,138.8428,190.43082,193.774,143.32512,118.868004,399.29126,355.2461,142.02322,150.10641,162.37157,38.669582,43.47015,57.211483,30.957289,235.4186,252.6574,178.52419,195.38933,165.65315,179.23514,193.3956,130.25311,149.79526,208.98433,238.1004,276.32077,120.30757,219.44284,213.81801,214.74004,240.12352,246.6483,163.67848,91.3822,41.367035,177.52766,158.52448,280.6043,166.19533,223.40753,289.15067,190.31235,474.44736,411.6707,420.19507,685.4313,667.05664,312.41925,149.96555,298.8988,164.22342,81.451546,245.32773,681.299,948.8305,321.39117,1130.6381,921.7868,407.06302,280.467,332.1686,94.10676,152.61703,187.2888,73.44632,127.09257,181.34644,293.72766,331.23895,194.66905,128.26149,11.332693,160.7158,307.312,332.90128,121.82241,92.68362,155.2677,157.97304,199.16098,86.478355,79.22141,223.23256,232.25644,31.260387,166.76425,162.16585,36.396347,205.12448,7.78125,none,
568217.0,242828.48,691.05316,373.9767,326.39386,362.71542,362.55313,73.75897,301.7325,898.5724,875.999,222.0265,731.54364,676.9947,403.92102,106.47838,354.82553,378.26114,397.25162,497.71024,499.2514,58.29476,265.25504,185.23303,151.69667,114.7681,183.72609,62.11603,182.28131,298.92212,37.601074,168.92082,54.807304,144.73215,105.5638,31.555122,123.87118,128.92303,21.210117,58.238693,68.56488,43.21732,131.43759,80.5325,49.92516,73.287315,32.839577,94.167595,220.66508,234.80495,263.5684,127.5842,16.172129,136.77278,98.585335,114.110725,224.58394,137.95026,43.073093,187.00465,289.93747,218.74342,245.47626,126.248505,195.31306,189.90642,119.60145,208.96313,477.37424,408.03143,238.10925,657.8477,270.1145,101.96074,482.27658,943.1055,594.36926,406.88483,342.07803,353.00684,501.65735,163.32596,96.442986,223.70044,130.42073,92.495224,56.424236,135.99998,213.5191,211.59254,226.39775,113.393135,125.853546,202.48851,68.88149,20.384327,96.03254,160.80188,28.878216,231.63002,113.1269,194.94426,178.77339,82.45251,187.03622,370.67688,305.43756,90.32202,276.5597,206.047,90.33618,28.834114,72.90813,168.76205,141.26175,152.39516,83.64312,205.10793,193.38869,101.995865,238.77402,242.80026,12.664494,142.19505,176.45627,157.40181,136.1056,115.61138,48.4624,167.65717,116.961784,160.47028,172.0268,113.21913,52.833923,189.82234,340.0901,265.53613,85.96857,160.87318,145.41801,308.6629,459.10107,328.21793,374.14655,356.4134,705.6012,382.29282,230.98984,537.7882,336.79178,86.98753,151.60732,355.27545,376.2782,197.12914,60.277073,160.51054,168.26326,55.815273,143.68155,282.74252,57.528027,229.00761,279.89938,227.85573,306.11957,164.82584,277.6015,456.99258,325.86795,198.33826,71.04022,287.7692,264.37943,81.49565,63.18523,73.45642,198.96283,167.49834,126.82589,139.76302,76.53522,103.33899,171.0139,125.210175,81.08259,70.359436,150.32837,237.31445,311.7426,160.26724,196.84999,20.864077,264.5754,258.45142,156.56277,141.22972,13.138058,244.72981,180.06247,38.807594,246.89629,252.0166,199.34383,412.0151,444.48865,232.41998,116.22409,152.18231,248.40561,399.4749,342.51587,268.4919,480.21338,278.95117,284.46695,552.7809,556.3667,570.979,342.20953,635.957,1140.1318,668.97363,336.25455,188.50739,172.79436,313.45358,270.39944,222.6323,324.00467,364.592,215.75755,49.92436,98.948006,174.00081,91.42762,56.576664,120.499016,74.94585,51.81749,186.9066,146.33383,135.79767,104.44255,86.02175,139.60556,167.21698,164.59334,95.84979,331.0439,341.71597,173.20174,69.91327,197.6263,257.73474,60.625,none,
568191.0,242789.89,621.0522,304.18845,313.78128,805.62195,780.4892,394.92358,305.0751,313.7349,353.34158,625.9327,876.2222,618.3309,332.88232,412.79218,320.4214,329.94217,369.51453,314.30957,300.06503,197.62158,88.88733,99.18911,321.03918,312.12717,282.01376,330.77444,139.91937,17.897537,207.5036,175.52711,109.15714,7.351289,108.71008,153.9672,169.5183,201.30136,166.46407,91.32458,140.58237,263.50308,366.56842,205.89244,94.63619,94.02929,201.64043,264.59628,144.07529,34.020237,58.134884,76.51164,174.56235,181.1499,75.14556,110.70495,198.42188,108.51196,99.589424,178.11128,192.30818,147.9927,157.88837,7.9087853,239.87746,419.33765,309.4787,462.7661,655.0518,559.6911,280.2786,330.76273,341.06567,139.3699,309.59106,312.13675,941.36017,562.581,342.54752,388.85632,284.30396,119.335266,73.9417,212.2776,324.6021,130.85112,291.87094,112.78302,148.1359,201.59886,340.2316,209.77017,199.86111,159.53897,175.58673,172.07942,99.95935,80.43062,143.86786,5.198082,153.8122,81.49583,92.48973,102.430046,141.97934,157.96312,143.31874,62.780106,125.31466,116.49725,86.232544,47.732998,87.96,107.047935,134.18462,86.3362,237.97043,224.70021,231.10025,203.61328,199.77116,185.0978,173.25264,282.70627,172.75633,78.08236,45.2289,109.58505,263.26807,63.78785,108.48882,214.83473,89.2557,168.31068,112.50373,162.20372,217.46823,437.9392,380.87418,78.32607,277.67627,202.26506,48.165005,623.6128,963.7016,528.2877,103.34609,190.07724,455.81497,356.67255,252.87192,167.02158,81.388916,185.42705,278.74152,226.94453,233.00522,164.76219,221.25249,250.41476,183.89415,106.91377,343.1936,102.278145,124.010506,154.27469,100.57578,120.8216,271.0183,125.13113,195.00061,269.43134,151.74248,119.868614,293.35306,217.11766,108.66658,155.48616,145.49706,24.093248,78.631775,100.20922,214.32573,285.9732,211.28954,235.91753,227.17816,259.0762,284.15704,113.17125,37.082436,90.76459,70.13008,170.94353,178.3249,220.17125,183.3116,181.02148,293.42578,299.30695,126.85043,168.81477,179.74304,148.28453,143.08089,207.32997,131.45131,232.69156,126.8774,301.41116,300.59116,259.23343,450.83942,536.76886,201.47102,212.24231,206.7285,85.03943,376.65024,502.77844,1220.2625,724.19574,178.37051,579.2617,563.0276,418.51968,191.68889,204.16829,265.31354,150.49382,307.35318,392.45062,198.16742,171.36316,330.30762,342.44046,243.18446,84.788124,79.138756,127.17884,185.61655,200.22693,81.960815,140.31339,232.27782,212.1224,133.01108,83.759514,197.57764,233.35431,43.439896,94.46794,47.103024,180.359,70.76764,217.23189,182.71875,none,
568068.2,242718.61,804.4388,407.44815,765.8887,106.29212,428.51456,440.48425,590.914,476.3909,329.1061,633.9737,448.0861,88.913414,266.90222,224.71834,116.36049,322.2786,168.8305,26.530819,75.47091,158.28288,77.22921,159.42433,70.33724,143.30492,102.38505,116.67353,139.69743,163.47708,28.497276,189.0211,142.82185,59.055237,176.54314,266.9459,181.54015,114.02702,41.821037,146.98807,135.16713,24.900627,85.17634,220.15561,59.14135,105.04657,118.036125,169.17322,209.14494,147.76381,80.80644,107.03098,106.08727,192.4681,144.26576,168.83656,284.63937,287.79883,264.64633,11.979029,225.72408,389.0053,278.63248,125.44181,396.43936,326.55576,255.3154,233.76656,490.93112,685.0487,202.86703,79.861336,318.64886,541.658,352.617,278.51697,778.6828,198.21011,681.81433,479.01428,31.231165,336.3401,534.0403,363.3418,314.4628,287.55768,432.002,322.18588,366.57822,427.6698,453.23477,398.37323,222.80807,94.695625,139.8458,55.605938,84.0097,161.43594,174.39932,160.03798,49.910336,87.40278,66.66091,23.897974,112.61817,111.44139,151.31625,102.09704,79.57947,192.80652,239.32323,207.10191,198.79619,307.37103,241.24464,171.58592,79.10217,249.31714,214.81235,353.36768,173.26326,91.43911,81.208115,141.74864,176.42122,184.91916,201.02957,130.23936,221.60663,325.34756,235.34328,249.31638,276.64508,149.22688,30.723404,116.73627,194.89784,215.91115,293.63306,443.6718,639.96576,477.29828,320.83566,291.59683,295.7346,953.7081,293.78745,233.14688,309.7647,85.74827,284.5479,294.17236,211.43463,127.89244,241.64082,161.02068,292.08362,293.2984,458.04745,357.9206,161.85857,169.58731,125.69715,347.84467,254.69919,242.33109,169.1551,24.315063,150.07701,124.77934,198.73524,266.86255,112.5359,33.8921,75.767975,92.197754,105.85593,165.2494,282.56143,207.95578,198.21233,241.66566,382.3683,253.43527,49.095715,74.760666,97.223976,187.6526,169.70381,263.84753,332.09293,197.77167,113.188995,145.22102,118.47342,26.697952,187.85046,288.7428,189.28606,126.94026,22.437685,111.08626,226.66643,336.08798,341.10095,271.9291,190.767,302.491,297.0672,346.72623,108.936745,466.04248,611.1499,65.76423,328.167,425.34262,411.89893,582.7305,577.91895,542.97784,96.64441,682.9358,456.16278,258.09128,549.8691,395.6496,220.93758,501.7257,198.80252,39.367405,231.5942,358.41974,230.5238,164.34897,284.55203,339.93195,173.94293,125.856995,235.81616,283.30084,194.47632,149.23563,158.50691,194.64175,285.38864,195.59402,250.4876,115.957016,62.751125,73.24935,132.40852,108.5177,153.22887,187.14877,208.87996,138.07211,51.625,none,
