bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566551.8,241889.92,1577.0715,6204.618,6344.308,2851.1226,3607.5964,1764.7749,968.9667,569.6197,903.21814,1505.58,2413.7097,1987.8542,1013.1839,1203.6217,1685.2665,1533.7579,918.6721,1175.7653,1547.9832,1492.6799,163.84525,688.0085,605.66235,767.3112,843.4229,229.95416,648.75836,675.7271,387.54382,1088.3241,527.66345,178.61818,415.87933,287.27545,456.71643,487.61084,511.3415,473.07675,85.08717,263.40906,572.77783,1350.9791,1093.6965,252.76822,247.56119,215.9929,301.7676,216.90048,374.62054,954.49414,842.4876,407.8651,79.32202,1001.7574,1038.819,336.71835,290.67456,213.63809,88.00665,72.77623,265.89536,319.00372,216.26703,409.75616,415.8743,395.03622,776.9046,563.6258,192.20866,218.60245,194.64038,156.86777,285.80423,335.38214,154.84927,124.57378,286.48334,522.3199,314.34592,22.067791,355.25357,173.67577,165.25026,145.92462,123.06862,67.16233,313.96713,434.86865,496.13345,215.98514,290.74167,513.93524,277.2096,251.6996,84.94468,309.87436,243.0984,68.487885,101.4414,241.35817,515.0879,348.96176,164.65652,82.580086,186.28455,525.4311,316.1639,289.00824,411.8879,207.25116,135.469,355.95724,328.26678,222.36609,42.70964,258.6752,594.8673,537.4314,40.479767,165.42145,163.56898,287.21036,250.19466,419.5233,199.18584,274.33096,31.687073,394.13712,328.65875,207.1673,298.3305,502.2755,155.81606,192.4232,184.30666,162.2268,229.94943,203.07457,121.900185,217.421,242.71265,16.007088,156.37514,15.394806,362.92264,398.70526,262.0902,106.93557,63.837677,377.0315,482.11658,508.56235,574.1859,227.68887,477.94598,290.09296,286.91418,287.4188,77.78351,388.9818,432.18707,77.20627,251.57132,259.88858,98.78053,282.12314,30.3647,62.524464,107.2292,131.79385,208.66246,51.575428,271.98065,202.50122,315.84317,332.28534,146.44186,98.702644,224.07939,203.74269,244.49966,448.00412,232.82152,168.7433,168.5475,191.37048,217.42902,614.81647,378.58868,344.8695,486.0404,61.856537,315.11676,260.63303,227.16289,235.14806,110.07254,254.27243,238.3064,88.44576,395.73453,395.83664,222.48578,506.9583,219.89592,322.01288,550.27686,622.5042,248.06561,652.3428,472.057,110.53519,224.85744,430.5275,367.42786,188.33078,153.96913,289.11768,352.00024,32.57121,262.85345,153.91075,293.8206,293.1103,218.2239,267.39795,103.46589,252.8714,176.30928,261.27768,125.6494,266.79327,251.93521,131.4466,72.9391,288.9208,170.50897,172.30031,103.66064,277.73993,93.46057,149.80826,92.34143,154.1574,246.80626,502.18146,465.8424,307.91406,262.70264,418.0589,398.2802,509.3682,435.4949,129.55447,55.125,none,
566552.1,241623.95,1467.0503,4919.1147,3159.0295,691.46454,3024.4963,2565.4214,579.09106,654.1293,1689.5779,676.9582,2103.2012,1969.837,439.8153,1110.631,1608.3889,1468.5347,1769.0605,952.4188,318.0013,987.8539,601.2282,355.1849,379.89868,917.2732,593.69037,301.44812,436.01596,375.4066,611.5565,618.7605,270.83554,529.4261,222.26859,453.22806,540.88574,350.73257,196.71188,261.28345,61.474957,80.56825,345.73032,911.3116,513.0704,51.85722,46.978302,87.92193,217.3305,405.39294,558.5162,595.56964,736.2256,231.24,131.8314,936.2648,683.9714,68.00904,204.26912,537.10095,288.94055,156.50372,124.379944,101.84364,53.415413,152.9111,251.24615,771.8532,879.51746,67.94487,242.02507,194.86255,153.64772,227.51968,214.8728,252.83557,245.28145,273.67868,322.51004,600.251,577.3618,312.4068,104.06462,110.03401,208.99449,147.07011,92.14443,219.5359,346.5875,375.4443,115.77271,483.83902,413.7402,233.06929,415.65778,296.50995,388.84985,620.3208,590.8209,649.5713,456.24008,377.71265,688.48157,337.27106,195.9818,267.1078,106.42696,378.73944,225.51553,157.69443,438.21585,360.9511,279.12582,222.82446,78.129684,92.60701,324.16138,251.78535,302.56903,217.92618,111.315636,134.66127,210.29283,279.46527,370.0365,232.4324,396.8555,412.7382,328.1017,178.77936,76.26338,302.3194,487.25223,213.1344,49.81632,257.45563,514.44946,579.7491,326.66852,14.657314,215.34892,301.6408,188.27815,254.54204,508.86267,503.4555,74.79852,190.62296,368.15625,246.13562,277.30057,536.3243,568.29785,186.71408,497.24716,418.79254,465.99985,263.22263,259.75595,271.45456,342.01202,264.9855,370.61484,349.74524,178.18285,525.7039,362.59427,121.16017,422.28598,366.26868,221.06712,287.2993,444.30243,478.28403,376.7125,434.38998,116.12509,239.60823,92.031845,226.59799,236.08345,157.53984,163.10506,269.32455,159.46349,156.4229,182.2323,307.9376,388.53354,260.90637,401.58237,164.48402,191.99673,289.3641,340.46024,438.80426,197.77446,236.32578,427.69925,287.4071,71.89865,225.6563,43.199734,454.94843,344.04736,527.8679,218.02238,648.0598,678.0085,747.48566,233.78319,131.69173,380.88797,363.8353,289.67108,391.79712,509.5887,439.20767,383.2992,160.35185,382.20682,159.39856,237.45801,107.91598,173.16647,406.10437,324.6564,114.93083,38.862034,177.01158,326.5396,388.22125,379.36685,281.76947,275.64093,289.87427,233.37619,343.95496,183.16238,183.93776,245.07838,268.33118,45.35758,272.34372,248.06755,332.12817,599.3355,397.22876,344.90106,269.7757,204.15773,127.08066,76.242485,331.0194,425.41467,386.32697,76.09375,none,
565905.75,241496.27,1666.8313,408.10095,3010.1724,3654.0498,5063.2188,2546.6914,202.56876,262.7968,1243.8488,1315.0653,1572.9586,1094.4973,840.76666,207.83623,1151.6265,1077.005,313.26212,490.8534,383.2124,907.2142,1194.9775,510.15683,766.18036,1445.4497,523.50946,306.28824,475.7443,657.53314,799.2265,743.9183,438.58737,444.63248,332.3748,385.72015,795.8845,770.1378,187.91858,559.47314,521.8974,289.39252,475.07883,969.5149,681.1991,340.12662,265.95584,226.39453,193.45285,184.24644,234.16023,156.0297,480.72894,424.92303,68.5128,731.59064,906.00696,284.556,185.95798,652.82935,659.3538,419.48636,446.14645,119.21493,202.6148,255.0768,146.8572,305.88736,873.0197,305.06674,146.06871,133.61365,230.93134,442.7288,340.3323,148.79518,215.71753,257.73804,269.92728,204.52037,260.28745,429.33987,371.043,270.02805,382.11984,476.43616,231.47398,124.309,202.45502,348.67224,443.11176,351.51505,57.142162,220.30872,459.48413,490.71216,272.4061,266.41833,358.74908,748.8986,433.5553,263.42673,546.62585,425.87622,348.68533,483.93948,29.681282,388.6529,284.47314,180.98036,278.05624,385.10687,198.96237,334.96088,397.07983,181.51562,156.4357,157.0057,375.39117,176.67186,199.49431,251.86725,309.80856,415.89026,437.51706,133.5066,176.15427,364.963,146.75873,154.88051,363.25208,501.96393,184.32257,219.47505,69.70667,457.21036,297.8185,56.728764,63.697998,318.3775,463.5615,241.5497,294.44894,438.73715,178.96658,206.99507,244.96098,461.81677,614.95593,411.25934,220.69498,401.20755,275.32886,499.2623,466.04184,379.13812,341.89816,109.9947,249.77664,22.08861,193.6957,270.52087,84.11349,313.44254,393.7766,391.8123,314.1915,251.7018,338.59897,119.77909,159.73521,255.83485,532.9904,395.19897,476.30457,578.5461,718.0061,504.7288,162.70256,99.085655,17.290596,58.90266,90.74023,266.79916,98.864586,186.08403,306.7337,256.0813,63.843315,183.32237,198.90405,230.30914,195.87039,222.55858,181.96031,174.49283,228.021,321.8092,182.67964,409.66183,298.78314,64.74999,27.549444,534.9725,683.46234,751.4231,213.81189,635.84784,348.56738,310.6094,131.02011,191.76584,184.1033,300.19098,259.09097,137.3047,427.03113,259.78,247.11923,385.07074,170.34288,194.54062,447.18048,192.33188,258.7946,57.932724,171.40602,270.54565,266.6419,205.16656,329.05057,253.61295,62.18569,375.5156,318.21753,195.04735,304.85947,282.3668,242.36264,264.942,302.46152,257.6315,180.5632,320.6834,288.23355,175.35637,601.26355,474.11774,132.80583,171.12985,103.41476,351.97354,417.86774,204.57684,274.21628,183.70056,213.15625,none,
566033.2,242129.98,1527.6748,4546.4067,4364.32,2456.642,5531.151,3821.0645,1134.9956,1404.926,535.5578,2059.7795,3658.4702,2156.2556,706.1537,450.09048,530.27264,1110.0295,1176.7771,553.9776,329.17908,876.5381,514.82635,34.114918,980.5195,1303.8987,378.62784,117.31069,122.338005,338.07077,792.63104,1145.4655,620.9072,449.30008,48.13884,431.6797,250.83469,835.34283,459.12967,290.49533,363.40738,205.425,311.82822,715.4109,676.4299,247.01712,496.6176,510.2028,440.32513,348.56207,124.126015,326.74023,400.01468,235.42532,414.23645,717.66266,797.8852,176.2998,242.84174,586.0615,365.48376,93.289085,149.38214,345.3108,184.80457,337.63806,691.7936,640.76886,742.9891,201.56247,149.35297,158.16457,229.20235,133.8724,327.65198,233.89478,375.38034,268.10522,266.2618,526.8013,581.68243,466.59238,293.74893,400.2005,416.44925,265.36737,478.23068,521.2741,467.05035,365.21237,231.9955,507.53223,239.9289,355.62396,466.6889,413.17804,201.25598,389.7956,206.18413,159.0991,360.70575,383.97354,253.05965,131.28058,206.79141,251.68327,190.00465,419.2294,397.91425,432.58176,491.3932,619.3124,447.33374,401.2271,283.988,133.81967,155.09503,420.27518,158.65195,254.51163,114.30003,302.93936,360.98404,361.04004,408.72122,490.2143,271.12366,688.3688,555.6337,94.907364,185.59416,314.37476,319.15085,164.63925,432.75107,447.55658,258.37564,261.80997,223.32349,166.39731,177.1756,324.58972,618.41,250.28668,27.329332,179.86128,308.49112,301.57428,352.67398,298.7268,391.08978,341.32602,582.8761,409.13892,499.1662,304.53638,378.56717,504.00888,179.51826,123.26267,466.33145,340.57083,54.688213,114.60303,294.8216,201.45905,175.55531,391.80545,644.1791,517.74,235.18872,281.56296,159.95012,100.76605,497.4422,614.34845,519.7335,469.31848,550.54504,383.25015,397.02335,212.23001,247.21832,161.36661,443.89642,410.18185,402.3467,376.39996,314.9391,227.88474,280.7732,301.6721,374.1324,411.12094,479.2228,416.35538,374.54996,225.8188,262.091,205.50772,132.80624,192.67722,397.21164,529.8997,595.92004,410.95175,417.81082,580.4022,271.63983,483.5085,552.9305,230.94632,212.18637,390.16434,254.53276,557.67804,448.98273,154.74127,113.76057,279.02347,93.98334,158.9034,202.8791,482.03113,717.0582,311.72348,192.06117,512.72253,319.63,253.20146,315.0129,77.90642,158.1245,199.92627,122.40051,106.872406,50.478855,283.71445,508.5282,428.37708,274.45663,196.65483,227.05942,229.32416,377.7701,669.4712,415.06326,210.82138,242.66422,412.79135,359.27222,195.89948,264.85135,455.86542,622.9247,399.56076,128.9375,none,
566011.56,242089.61,868.1777,3104.413,3576.1018,1453.6697,5532.6704,3217.0862,796.62524,1866.8505,746.9414,866.20514,2047.0841,2241.8147,521.548,167.8045,137.1436,563.5817,753.91876,936.77423,400.7673,165.74269,217.07584,143.17465,670.07886,523.8639,63.66706,202.65628,358.8777,219.06546,126.1811,395.04343,171.9599,381.65262,325.83105,442.64954,306.00095,425.69525,30.34563,52.940765,427.4548,449.50314,474.11783,1098.8624,536.9852,369.84937,370.9669,320.90796,279.82523,156.57542,390.43713,578.70233,348.50998,222.84232,339.996,715.9566,671.6153,185.24724,171.02797,85.21403,262.0428,275.70328,149.9097,107.08797,65.35584,268.8139,431.28497,531.468,524.38116,197.13914,196.1339,329.4558,278.55307,204.4797,286.5568,167.61035,174.40657,214.41602,62.86876,196.95213,109.59512,184.9812,238.55818,278.97968,191.84479,118.161644,38.502853,303.8804,309.19495,355.87347,232.3551,71.60932,695.3426,794.7264,216.89746,114.14818,250.6497,11.530295,292.69757,387.5022,578.93396,580.1377,599.75964,508.90985,286.7243,79.2824,175.93663,430.16266,386.89725,73.58226,109.65845,234.21628,99.981636,48.477203,131.49596,338.40305,486.38068,411.01,125.66813,336.7077,209.16946,238.37419,196.0336,32.403687,257.9233,408.2093,73.05924,266.2511,362.06055,161.63037,287.88757,236.87637,191.32184,132.29747,389.0825,176.13976,322.26794,436.95758,392.79355,448.80817,318.49,201.84454,288.85867,334.42093,185.64474,262.4141,285.46146,191.12643,337.22018,384.63895,304.38516,449.38968,223.66595,643.97144,523.1495,76.70914,229.64583,526.2715,382.74683,285.93674,253.13933,499.97733,243.68849,183.91682,198.61038,623.4986,448.9849,255.56546,261.67218,176.31042,319.16992,369.2078,371.8791,264.16672,111.92758,65.18649,101.521866,351.42233,117.07203,411.66888,576.0376,358.41788,226.97461,213.41435,174.49672,110.67207,249.38736,299.85895,136.26477,230.28748,108.77056,79.65183,169.6704,114.75215,357.87167,260.5308,141.1099,484.17874,467.39435,126.68016,142.29608,155.69608,170.45024,308.8154,466.71198,423.39725,203.86107,321.97897,178.92587,316.7314,363.83832,541.01447,491.67554,495.2876,416.8097,368.42764,340.51996,308.45395,20.119644,150.57695,289.70288,329.04825,531.8933,329.1636,386.77148,514.26074,319.89453,67.40729,416.5499,506.86563,460.34888,315.6225,191.8951,311.8091,332.38843,312.26263,231.44856,180.18097,223.42374,258.8422,153.16377,198.34775,76.54881,122.58134,17.630602,447.41815,700.80304,395.65836,172.73763,377.2999,131.51326,148.88829,291.3237,472.82855,474.09943,923.93945,883.1875,none,
565923.06,241935.34,2902.691,2790.568,1290.7659,2967.754,8098.055,3960.4268,872.344,1882.1061,2107.8352,1047.1234,2771.977,1791.9049,175.8686,485.64975,308.3097,398.1946,186.70348,373.124,681.1681,82.52085,699.52985,665.1762,322.12463,381.46484,317.75323,270.5579,344.53116,225.69183,215.91519,231.25722,60.801094,390.59235,438.4025,331.34143,784.1504,659.11743,341.9627,496.08704,300.78534,393.23618,371.40802,861.87683,339.28018,261.5692,170.67279,413.78445,532.2824,387.98932,481.1262,258.2028,363.27136,734.1727,563.22754,701.68463,476.1263,93.25782,69.57123,92.82619,193.325,435.68265,440.73895,230.75058,91.617195,71.78051,218.87462,458.88504,537.55756,321.03754,153.46616,277.5327,365.5665,426.37228,309.16446,300.2752,183.52303,310.8873,295.2558,297.68356,554.0308,290.57895,211.36409,183.19006,247.17947,230.09091,259.26172,505.00787,423.05478,213.82304,86.23516,54.540333,199.54729,335.10062,69.36026,56.59028,327.00168,373.9209,359.2304,240.25143,415.74298,458.93732,438.97842,276.54547,384.0921,146.9218,199.24307,211.1896,403.93335,193.713,272.3009,537.2385,320.31555,116.12926,75.85706,168.27695,169.48232,48.6475,375.65952,670.53845,379.972,187.52827,444.03326,422.36856,375.46323,147.64558,68.69982,35.970066,145.49962,352.562,388.83362,335.63113,273.43384,209.05249,126.017296,143.16599,339.88458,709.459,275.75772,240.29343,422.64532,509.21173,389.3571,304.57593,293.166,430.2528,80.35044,263.34937,349.48993,344.2759,186.18185,291.5754,175.99422,366.8645,519.7849,443.029,132.44014,480.04837,318.94205,212.79906,419.91992,148.99153,237.53865,284.683,261.14148,163.45035,336.10645,440.12546,285.04636,376.6747,408.74268,312.99634,282.80157,251.84212,343.47284,192.81537,351.38254,477.34515,273.4115,459.652,350.11087,447.04184,296.64136,135.3642,317.40027,278.97244,85.980736,16.19865,392.9871,590.59406,231.02429,80.32943,285.90677,551.0756,311.02618,58.256577,163.43855,124.681564,277.5357,133.01265,402.50928,562.9028,188.73808,559.2321,909.5518,433.74722,256.15564,232.43027,168.17,90.31056,373.1719,66.59066,291.15448,106.23539,216.65463,163.91791,158.34409,11.500698,252.25731,319.97903,142.80063,109.99352,97.2256,255.16776,237.23593,175.3774,139.70836,209.3761,148.20578,259.7902,437.3027,309.4541,70.46783,345.3302,333.25452,205.74158,271.128,214.61597,32.54257,188.41582,231.07787,255.56456,183.48294,223.13246,230.89641,471.3336,412.99744,436.78934,274.0486,541.3748,553.91473,224.85483,236.14893,417.5065,445.12524,644.6029,243.875,none,
565328.6,241612.36,3299.4119,6322.1265,4139.055,3081.1313,8604.066,4304.771,212.52147,407.0905,222.464,849.4552,3286.9648,2685.086,186.32095,1321.5286,1674.1533,1159.5996,726.51666,337.681,1067.8475,814.7915,1056.5477,547.4246,356.667,267.76813,29.905968,312.18515,125.766655,159.1727,377.37073,598.2005,505.8094,692.58954,283.06622,203.5651,777.4068,432.78815,571.87823,526.75006,331.18634,334.8039,56.90987,888.0572,1030.2167,552.9004,221.1749,458.35156,547.62103,557.65814,459.0749,233.5003,759.32086,785.55835,208.86353,758.31195,885.3767,299.0907,309.61725,552.17487,508.12952,161.10626,471.84937,402.45834,101.48666,154.02473,99.81784,113.80443,347.10565,166.5933,215.2932,370.46036,116.05181,227.43953,233.1807,353.28607,735.04486,460.5708,45.479748,255.37526,283.34152,189.5279,163.58098,43.61038,338.75137,215.22385,212.42099,373.39355,39.087906,153.72552,242.35268,305.11197,285.08606,61.766647,294.31107,346.58664,139.54141,545.32794,182.85516,213.2497,517.425,242.7088,361.29785,160.68298,215.70361,281.1809,353.00583,279.24707,397.57953,326.74503,419.50266,437.27927,250.30782,194.06694,223.28432,276.90393,145.84517,163.23961,274.16946,52.580193,194.0568,212.37062,261.8118,317.51016,177.52597,242.83855,258.61887,25.624598,67.95432,140.15967,134.38577,227.1552,384.2397,65.53951,146.6558,248.43327,178.86743,361.1275,273.57794,475.74966,565.2205,440.43613,246.52298,139.11572,5.8683214,246.5297,129.98833,263.5424,264.79874,227.62901,490.3582,462.7128,425.71924,237.17638,443.08398,351.14722,294.31412,298.24426,343.85696,402.73538,166.43173,202.19463,240.31236,199.56277,85.64437,380.8764,68.163376,202.35513,162.65863,194.47852,165.18407,174.4641,370.45135,278.86395,146.90112,263.06085,142.49966,179.42961,135.57787,286.08566,79.84146,296.7925,299.1384,32.250748,31.542677,140.39526,140.02948,165.94037,313.06055,218.56691,450.98178,374.93652,264.6221,313.25293,393.20453,184.27075,104.43654,40.108284,177.94913,522.5686,488.18997,496.07938,139.8065,185.05959,265.9982,519.7813,122.185104,477.08322,441.2317,354.7505,467.78012,409.4452,238.72046,274.2267,34.854786,49.12979,128.58742,18.364605,168.02844,63.56771,354.94266,234.06328,187.70047,150.76688,122.952095,161.43414,151.24316,211.98218,127.55096,305.9238,189.95898,260.5197,98.9095,165.89099,158.32417,380.65265,250.48967,121.96122,163.10791,65.98677,61.641605,1.8806095,79.53349,75.984,122.667076,67.04964,243.54048,88.98964,260.1186,283.36392,315.7792,477.17828,594.63745,388.95718,395.6937,188.09178,216.59375,none,
564632.2,240996.14,883.53955,2256.412,2104.1604,2474.3901,5980.067,2310.2688,1812.7958,1662.6482,265.34726,1033.3618,3295.7603,2917.83,1384.6813,1132.9833,269.57776,463.7544,636.42426,215.66393,603.08185,222.38055,237.62242,429.1471,890.36975,933.5298,457.8939,317.8253,476.62097,81.70302,189.457,353.84528,315.12973,295.03214,271.52554,387.84125,397.43625,609.5913,194.48589,60.102345,264.2642,230.47752,363.3445,1010.2093,596.02765,188.52052,63.73946,141.08344,155.13791,111.37931,209.48479,28.820593,508.76172,1041.045,607.9717,1045.213,962.20044,137.57391,182.9233,171.11417,57.460037,173.17589,449.7077,332.79395,307.07434,173.05817,156.39763,248.18823,440.92297,339.4406,124.45215,247.47899,75.625275,460.99515,663.3688,540.33826,47.407085,247.95108,71.35844,19.54357,36.34016,24.709538,86.57998,334.46915,432.59546,278.1051,429.09378,275.40515,106.012535,159.58986,229.57143,198.92961,459.961,471.69424,254.92056,420.36044,249.18501,550.2251,946.23596,789.219,322.5652,380.64633,363.24158,85.294266,249.23764,438.16318,410.3518,174.60019,121.28168,171.47696,167.17076,247.04953,321.1821,195.27626,290.30316,223.82674,160.8356,293.18423,348.34454,317.49454,180.08557,209.93396,229.48346,249.84514,267.74036,411.1983,304.83286,78.92234,182.63316,304.01138,318.2358,183.73415,309.1763,251.85965,241.47833,365.53934,192.9341,250.26527,259.91257,208.61642,138.16428,349.4136,564.8189,384.73322,211.10284,82.22974,217.9994,359.54175,493.63147,227.8638,152.42938,104.373634,512.20056,557.0802,103.38897,232.60335,137.64952,95.83017,133.1569,144.86931,236.26872,218.82076,175.57567,107.96754,207.16277,373.07303,110.13482,277.9602,321.6351,271.28668,272.00433,388.88794,178.21231,291.23248,162.85847,181.45697,313.59885,428.49396,490.21112,447.04874,126.0753,171.89935,141.04825,200.0633,158.84447,161.60896,236.0404,241.63591,259.1127,119.03454,85.22911,66.4931,213.69733,375.00516,368.2652,238.29082,260.7427,211.81805,401.6558,136.49995,290.3733,131.46938,102.74265,318.5775,522.36316,597.81946,388.50983,296.97134,401.53662,402.18698,284.4662,301.21515,292.46277,75.56994,99.76855,197.87793,258.2009,248.235,185.3115,243.02452,309.92303,416.5241,450.84198,293.46283,157.8363,52.45016,278.2558,286.59628,117.63259,355.5134,656.5464,729.53186,512.177,405.70456,324.56912,333.47284,770.7183,665.48474,197.3422,227.70416,395.43283,358.2776,160.8051,289.3461,397.4628,341.12555,144.60602,234.89662,34.490105,342.77112,464.15393,436.97766,185.31897,391.83557,315.06943,117.10439,197.1875,none,
565038.6,240229.73,1608.2559,1441.8531,2222.151,985.4662,3365.8032,2959.6477,555.5567,1934.4403,1351.6747,2069.805,4046.676,2213.1638,741.50775,391.8987,422.31592,790.71564,534.84265,686.6283,349.35397,296.2631,316.95044,112.5137,247.23434,451.54163,491.98544,527.4132,357.2066,555.9527,657.3645,741.1363,638.9539,424.09894,174.7317,75.90419,386.1085,313.11777,103.636055,182.89566,445.14627,334.37836,466.09427,845.71515,392.7214,414.9524,342.3344,366.3709,191.64201,123.63256,235.6078,214.1928,475.29733,81.34574,406.13345,1107.8851,1342.9928,302.56354,29.898712,169.05505,382.40668,726.49915,623.76227,302.23148,320.00092,214.65523,398.34503,393.92004,478.26254,83.35191,162.57965,93.258354,226.05269,256.3503,101.465096,140.75168,277.23068,241.87112,257.07254,245.41669,239.93506,334.4985,368.78113,165.65146,96.735565,293.70816,431.54575,566.1087,293.07306,251.84311,216.35094,182.3864,215.69882,453.0682,289.12732,180.14633,339.5198,489.51144,52.030334,119.660995,284.6415,336.64514,297.4535,13.59711,313.8398,351.5693,134.57834,140.94765,299.4006,391.17667,395.36905,420.5566,327.46884,81.645096,169.10464,253.62256,142.92123,161.58086,382.22238,332.43906,166.1356,118.70374,169.02008,123.174324,108.91227,146.2699,360.00803,227.69946,136.78334,135.67805,103.76967,222.19435,493.38812,436.6616,316.5095,224.02274,182.53845,244.34137,97.77979,137.8593,71.39005,91.70475,400.89194,275.27084,155.59535,312.6676,450.5319,480.2762,352.0738,300.9756,281.57492,142.67032,429.35312,282.3213,509.11127,164.95082,120.258415,36.740696,203.93088,72.86001,306.39316,300.10413,204.00659,274.81448,362.9838,168.74832,179.95665,116.37259,97.76946,151.2951,276.4087,257.9417,187.6886,81.486824,35.43286,271.574,326.90195,198.08629,272.37933,421.4557,498.18558,387.69342,322.35446,284.55634,19.326607,175.8925,199.25928,106.889786,80.169106,288.11053,267.4141,50.954628,87.21975,77.28615,57.807816,82.46473,270.9273,207.63446,385.63678,363.3422,39.964783,11.894716,253.50465,192.01793,414.35538,267.1606,175.62492,260.19635,358.44464,498.96652,324.56128,315.15225,161.92238,130.00566,114.90347,70.73141,135.39182,154.03786,379.20084,516.85565,290.6818,53.881912,204.51001,262.42026,105.306335,148.04266,404.11346,536.8899,509.19684,313.3888,194.20036,135.23349,196.68903,162.6939,310.6836,279.73706,288.6374,175.21658,154.63933,238.1566,293.2992,292.39572,251.62431,177.9311,226.13986,269.9454,357.94012,340.68436,93.857895,166.28154,71.422356,253.14606,538.0563,548.30994,188.05814,176.5636,19.96875,none,
565768.25,240998.27,2382.6182,4910.9956,3969.8267,2936.6982,4378.827,1867.9763,526.1956,1272.27,1716.1858,820.1999,2572.9656,2331.364,508.62817,447.3329,1030.1455,365.20825,428.81735,490.6147,263.89075,268.83786,312.65106,345.36166,648.3402,384.8297,454.87125,398.0575,361.3399,112.88807,505.97122,474.30185,250.38684,540.22015,357.3507,160.59583,267.78882,417.21606,485.6806,364.54483,408.65247,200.82253,229.85411,722.477,592.49603,244.97232,562.75616,434.0835,136.23521,140.84985,428.6607,750.6373,988.8501,819.3808,169.11343,1092.8337,1114.8463,144.32678,60.371655,178.48256,248.15933,289.57755,94.2733,317.1069,167.01039,484.89487,378.78314,311.5406,169.81891,41.944637,287.43515,250.45613,65.16497,31.309427,81.52911,147.75487,99.26171,120.8146,186.39894,212.45793,235.57297,58.32664,57.30837,106.47063,45.95564,206.05537,268.1035,501.29355,306.16858,56.387695,172.43408,184.63797,228.30554,171.3044,165.12492,168.98837,144.419,92.24511,216.24763,240.05562,381.4752,690.98895,519.3227,522.87067,645.4949,463.9227,32.7385,280.40884,125.9882,414.3049,292.8829,258.27158,248.1371,13.4815,147.18385,85.71791,138.88177,146.78914,288.25632,27.918007,38.130993,150.25443,110.33073,44.410194,124.6741,345.7326,290.99847,176.46175,142.61235,189.78313,211.9968,273.01187,264.7663,312.36362,494.32236,390.48767,106.89681,239.18472,94.52725,101.80467,314.81024,373.03976,159.36264,131.51498,262.84338,317.58636,156.06245,488.23206,227.66649,179.23386,339.08652,477.56808,778.2206,435.04276,317.79446,183.28873,126.27755,275.30896,65.0896,195.26123,247.47066,527.92065,470.86792,360.85037,134.5108,278.34058,259.1413,342.8379,178.87338,75.24498,445.72928,694.4437,444.41733,137.64153,93.69024,136.82805,122.79454,353.11395,286.19476,157.11342,130.33151,284.3919,263.69293,41.848145,179.99292,146.11656,185.11636,204.54607,129.38124,197.1009,399.69104,399.6535,196.85681,40.41043,47.13594,84.55885,191.14317,70.50012,143.55023,90.01127,228.1293,211.85541,120.98731,337.11444,819.349,366.75418,358.76013,356.29968,401.03537,432.41202,192.86708,103.11294,273.5402,178.74455,119.350815,110.7707,50.964733,133.19533,131.8632,345.15765,306.42935,197.43558,352.2265,363.73337,200.1577,154.49547,208.83397,193.28407,132.99725,138.79372,137.96179,183.1237,195.87485,361.0423,294.18222,177.5967,198.98701,328.45853,182.4671,177.32379,97.00856,186.08461,85.08165,150.98065,242.88599,314.94122,253.51233,129.42233,389.66824,363.2517,194.87352,256.2733,390.40765,378.83655,12.837995,373.9925,558.90625,none,
