bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566899.4,241233.61,638.49457,1775.7126,2444.773,3058.3909,6079.194,2981.9905,1280.9772,710.2413,1250.0303,1621.1699,3669.324,2569.658,735.08887,482.10443,249.9617,23.466562,237.75412,428.96295,567.42017,600.53217,365.54382,357.1467,411.83905,445.3967,224.85263,113.825165,164.58649,149.88194,295.2064,617.40607,279.68634,585.0678,663.0033,492.73773,277.95312,158.62845,189.28935,220.27826,381.08133,485.7956,167.05675,484.23,420.48743,309.35782,211.5996,18.462292,32.679394,119.34277,208.35963,322.49805,308.38223,276.40262,644.541,762.4523,534.58057,161.79031,254.95468,406.43408,262.43045,241.69745,271.5025,164.24644,123.60003,200.13612,113.45606,142.64645,470.90628,276.6862,84.33555,75.671135,131.68863,127.05423,15.000295,237.21957,353.36362,454.70734,369.422,187.68723,117.475746,181.19211,293.6046,164.69807,244.3134,160.2186,224.93518,190.03342,223.18044,94.167435,45.631615,166.15445,183.93027,218.92824,171.25897,485.28635,567.633,515.09314,223.94,252.1415,94.99159,201.98343,109.92209,243.13123,63.800945,74.78611,143.06271,38.90166,212.80208,183.74782,119.42966,256.59293,355.4433,414.51666,319.26407,254.02759,225.78455,249.46501,68.6135,181.18147,134.9599,292.78693,483.65698,258.63284,121.58149,131.40596,194.95439,314.48004,273.12872,306.086,207.21321,167.2399,64.22047,81.95198,121.55405,258.4569,266.8632,240.8308,218.88036,230.79143,140.43608,283.70535,413.44336,387.56558,191.14609,133.92761,354.7345,381.8976,343.48938,127.46546,750.7464,922.7153,137.40569,406.76913,317.69687,237.45058,171.99292,279.19257,308.0017,162.2925,109.74565,417.37772,461.44553,465.3138,278.53967,205.69505,179.34091,81.42406,235.59634,437.39056,419.8539,184.15002,183.10103,236.64554,209.85867,142.76451,102.05165,241.02022,278.0937,218.7504,72.81325,162.46495,167.38898,120.18373,132.17413,183.25395,136.06566,102.93922,41.99602,103.65155,102.26942,163.03499,145.4269,93.61571,40.74564,204.27002,197.03091,201.34305,124.69505,280.51425,302.75473,256.44363,168.76593,282.78647,380.82477,389.5299,258.3094,448.0085,580.26825,343.28522,387.02603,326.11014,121.15718,321.3338,418.4337,524.0085,425.28348,214.56192,242.16795,334.35187,246.24332,71.04874,119.33908,168.61374,32.88062,47.75174,25.371977,108.44897,48.17186,190.3199,110.45883,104.42647,49.55739,326.4739,421.32123,306.43832,211.0811,97.40593,178.41185,103.88378,128.7722,170.26428,106.03624,144.26268,296.61725,239.43784,230.72394,455.7884,275.7952,105.385864,120.93293,137.48444,160.12427,396.88623,326.30344,211.26625,61.125,none,
567408.0,242711.31,1699.991,670.6399,478.29578,1534.3784,6079.5347,5371.046,2068.3372,680.8338,1904.7944,2779.3523,3432.335,2677.6492,1186.9622,1214.5344,958.98413,566.3169,102.15605,226.57483,580.6511,759.2626,863.61676,122.763535,454.7749,424.55862,595.8103,377.3281,523.6055,721.18866,785.596,807.47687,436.65747,464.27057,348.31985,236.6611,462.1092,446.804,456.71088,368.01154,427.42786,354.6595,448.48175,770.23615,497.60263,321.20465,136.27435,109.467964,164.98387,201.03609,470.94104,395.31958,494.13947,647.8221,721.96765,374.17807,939.1231,477.68332,462.60303,362.63977,385.9726,457.03763,370.15256,95.14096,110.36914,261.57144,190.44258,372.54294,478.2432,259.2547,145.24529,135.42818,189.18239,205.60004,186.52953,192.40768,247.1492,115.33208,287.3543,364.98495,292.6378,296.90558,103.32525,222.09903,108.18188,296.31696,349.63544,142.3861,142.99327,93.638985,180.87935,104.27288,208.28696,289.4397,68.359665,77.44054,439.23682,675.905,550.9297,201.05423,28.114592,254.62587,192.28925,331.14337,50.55799,306.9522,173.25201,105.14013,90.42298,141.99792,149.97931,349.1513,288.1006,199.25351,226.18538,21.014307,330.45184,322.11954,285.82153,70.825806,99.09005,199.88647,165.23647,148.54411,120.16999,386.64087,415.7286,476.7649,332.70428,241.31468,280.0756,267.9718,272.8127,85.59575,225.97305,268.39966,247.04317,86.21291,479.56625,356.34106,327.007,275.28735,193.3717,170.01813,158.5766,104.16808,350.76303,326.9535,396.94495,140.83429,236.75601,202.92151,362.01645,277.764,185.71152,386.58984,205.83815,484.233,310.84555,187.23552,182.28731,476.3504,354.29294,325.26974,379.33218,208.13602,13.590912,216.63303,256.42603,240.02048,165.13509,56.055744,138.3584,343.4414,310.41345,146.8309,102.57019,364.452,379.47858,376.23337,317.72113,267.68677,258.50732,168.91858,70.55259,137.10152,247.61261,336.6069,307.58722,209.91235,91.6704,108.543884,68.54573,132.48793,185.89821,143.7175,320.89023,324.11517,248.48553,371.64017,319.63782,413.07614,165.38193,108.71052,148.08183,325.45755,551.01324,98.26468,597.221,770.76624,448.8425,194.59084,189.47638,133.01152,188.36327,167.99535,160.11621,111.39396,236.90114,446.63602,306.47015,148.32188,389.0719,407.5007,231.8913,127.96956,84.61264,96.42605,119.98828,257.26727,162.05931,69.615036,97.65091,281.58762,357.23947,121.20153,94.35229,145.73465,175.87605,38.702843,107.97549,81.196915,148.90747,331.5592,319.49872,384.43362,299.60703,499.55008,494.57062,499.2916,461.78442,196.16461,190.32152,318.58124,118.383736,305.9038,597.5,none,
566631.5,241975.17,1358.2562,983.74805,847.67993,2297.828,5562.112,2068.5305,997.03,1388.019,874.2887,1233.2681,1942.3302,990.7229,1618.2462,1768.1943,1273.6191,408.6221,1124.3097,1116.9146,357.44244,1030.5277,953.38293,1146.6372,1393.0472,1110.0985,684.5915,796.8081,182.68448,377.75272,370.0479,541.22144,241.1319,108.03398,255.62617,91.72586,344.63022,458.10913,650.6742,339.3309,319.73615,483.6308,480.22134,797.1681,566.8135,231.05423,250.1549,305.21597,216.08751,323.39304,444.5655,299.8478,13.653903,331.50516,522.5031,1349.8877,928.14496,241.0691,531.6103,370.50366,107.15399,171.32413,81.82978,336.74258,306.31494,332.129,206.76633,308.6809,388.54327,263.90814,310.91595,156.94318,143.46469,322.4483,387.11584,240.13124,96.85302,203.32195,146.76938,72.43374,137.11151,89.50142,182.58131,298.85944,213.43958,143.73807,163.21497,93.560875,120.598816,114.8169,225.48929,141.70856,294.5538,164.2702,217.46194,405.72998,668.85297,375.12665,70.800766,352.5938,188.80293,187.6741,284.54626,343.80264,428.3982,368.74396,69.69248,121.73072,344.00842,383.1352,417.03638,507.95084,407.82562,181.35023,366.45743,167.5299,196.36476,52.608326,48.996265,287.7,237.59114,184.37111,226.2555,321.7622,141.47838,81.46037,169.64906,416.36206,218.62102,81.125824,34.589558,177.90063,280.76514,347.65253,231.3016,58.750874,268.61734,432.09854,441.85608,520.70514,653.5917,407.65363,86.11932,93.57643,129.51509,121.65043,217.16087,203.26741,355.47806,346.20276,496.5322,753.1358,438.48447,89.45643,470.12305,589.5522,236.34497,259.32697,185.96071,249.63782,146.7312,161.03008,60.069874,185.82098,235.00668,243.8388,136.39023,47.92313,308.6166,381.12845,159.6313,134.2785,164.61073,218.63022,164.89821,203.2194,334.9488,143.92682,147.19528,63.413807,155.51384,352.8183,342.7568,98.712654,188.04694,163.52011,98.45823,173.89333,228.29213,39.06688,45.36719,225.91173,431.4506,515.0603,228.34366,55.150723,184.1612,188.07103,48.681694,197.30515,352.3289,380.81226,204.49913,154.93083,148.28294,357.96445,638.7408,287.76288,363.78027,268.5278,625.8061,510.4065,322.92422,168.254,197.97461,276.47037,151.65874,14.450976,105.54161,58.203255,94.39219,88.38309,58.38017,168.8351,132.53458,123.63235,105.16949,109.565414,141.17065,119.098434,223.75911,134.93343,46.441895,138.79266,142.83502,251.468,323.01736,289.02264,155.66696,110.54864,223.45413,197.99449,99.05844,121.857666,249.04285,236.46677,134.01962,432.0081,422.63983,229.66373,282.93127,503.13904,340.7807,179.1044,314.25732,274.77,246.5,none,
567520.9,242663.69,900.5416,4070.9397,3810.4521,2807.8115,4997.823,2892.1824,1648.754,1091.3374,676.9461,802.3272,815.39764,2112.2786,1289.2878,417.5584,287.85074,733.9292,1226.007,2129.0388,2433.301,1526.306,747.4807,808.10925,473.5576,1446.8713,1774.998,647.697,257.0386,488.36954,426.78314,331.3518,812.3206,485.303,235.49986,512.11774,194.56046,252.39336,304.17032,416.04337,292.11807,464.99228,278.8359,509.27762,442.27515,437.86472,453.6174,363.76434,212.66725,97.06252,69.12745,291.69785,265.12244,426.37262,346.5888,1398.4958,1408.9548,258.38492,340.80893,282.23245,148.2758,268.1139,372.05847,275.79364,73.30808,27.067686,56.59686,90.16651,366.52634,352.59085,251.2413,302.07013,403.30115,297.59732,72.49409,158.2048,157.23477,248.05615,235.45103,33.222343,78.69099,20.520155,104.99886,169.75885,228.13158,126.254326,15.191815,91.90857,248.99477,321.46194,443.85156,421.02933,427.7314,467.35242,128.61089,252.04204,224.86913,273.25,296.77634,321.94202,172.70302,37.058407,151.61185,129.24911,77.53985,297.33105,468.72357,279.01862,103.574295,221.92531,427.29477,595.2537,106.925514,427.86618,323.75607,300.69296,67.737175,267.86435,302.62253,231.2918,19.171772,249.89485,288.3308,210.27197,130.64128,104.157875,71.60543,188.40501,323.61465,274.04285,251.22496,297.6623,290.11826,345.39542,281.3138,188.91745,161.63551,81.958664,238.36606,46.711594,256.5854,106.88533,63.21519,90.223404,66.87963,169.34625,161.93416,254.93768,296.63818,238.99347,370.3865,490.72925,373.8908,429.72208,224.07454,122.458405,286.1801,205.16574,130.83392,185.22948,140.53441,95.12518,308.74487,171.05219,24.11289,291.28583,489.62317,268.66196,146.72385,128.58485,215.82948,240.90086,128.7672,197.50456,342.40607,497.4754,399.58133,109.90729,87.437614,162.3596,300.555,134.52904,221.31882,80.60647,76.14204,350.5599,257.36884,500.8716,374.00174,242.45747,203.51031,101.61122,68.425125,96.58625,236.22658,326.6819,447.86917,305.70276,447.63632,473.5862,257.37744,219.3712,193.12988,218.84604,304.22128,743.50275,982.763,600.2551,284.60034,184.9669,315.00723,292.3316,281.18137,318.31476,210.2537,118.39461,140.20433,57.938942,79.82221,166.189,192.13148,247.38356,116.73211,96.862305,152.2167,169.19426,102.2111,181.96297,116.6349,83.081924,125.95288,168.23024,67.1072,121.90276,280.19147,208.89964,175.22841,84.52517,62.31955,112.93371,163.72563,165.57823,260.2872,329.23254,233.49976,227.30042,547.69904,358.5564,192.7565,593.7164,259.29004,184.85522,225.63193,202.38026,227.92697,191.4501,133.71875,none,
566706.44,241584.92,1713.3751,1983.0724,3301.521,3567.2607,4983.977,3782.176,1627.7041,1618.9462,1219.9396,1929.9989,2193.9553,827.7609,1608.6688,570.5702,302.71188,127.08615,395.2095,548.23645,1147.14,195.77132,147.94257,429.4918,608.1579,558.7184,1121.1425,634.01117,857.25116,339.74738,621.0647,383.00906,1223.7026,298.75482,515.4512,140.32364,245.52583,251.09427,421.49014,434.5049,109.54751,145.9899,537.1557,605.7684,271.65616,499.7712,276.7461,69.89494,194.15709,310.4554,340.91055,273.2921,463.7316,309.267,438.7371,1252.0593,1291.341,228.9328,398.5024,179.5735,98.76443,345.33972,286.90497,96.16329,193.28822,194.0127,355.01993,596.16406,475.8361,272.59818,237.30923,102.03569,151.36813,307.44937,94.40544,66.37591,142.9873,240.84299,262.4616,200.34444,61.63622,121.19193,135.64592,281.08646,178.08423,117.75594,30.871916,159.58208,121.069496,88.41444,128.62434,170.26186,310.4731,203.23372,259.84106,431.75122,193.6498,88.639305,101.07564,137.07838,128.40881,50.27741,163.37793,122.760826,26.227156,184.47835,251.84184,290.6273,305.95496,98.58099,103.52455,140.27248,238.26683,281.66644,186.18272,290.84097,253.38202,298.15753,237.05638,113.77173,268.24463,361.5561,112.83182,157.7626,371.53384,394.3167,302.30246,200.07953,306.22885,109.6023,127.42242,186.742,201.06735,277.65094,195.3013,195.96501,74.631294,140.61491,116.13454,176.74883,153.18822,141.8588,154.67552,412.6076,434.52603,254.682,181.19568,75.43088,392.15543,588.6878,601.0192,218.959,166.48726,200.29355,258.5629,293.0417,255.16722,367.33728,333.82748,189.92696,189.06706,408.26187,320.56912,590.1409,536.0296,202.25201,185.94571,309.06448,35.377758,175.28275,226.38963,255.99658,130.78938,168.2231,109.93297,258.34235,465.8754,221.54843,161.79893,201.12161,33.1734,57.57965,233.41872,224.10379,461.83234,385.81317,62.441006,138.06967,143.79413,236.00151,221.22382,86.729164,245.89781,269.13593,195.22733,46.933796,339.7701,194.50485,85.44027,142.30016,257.54166,84.80502,246.8135,343.1618,382.52643,715.6352,170.16,365.5976,446.14392,358.88483,351.65012,411.87814,489.8273,410.7235,358.07382,340.00623,170.91742,206.81104,121.627365,103.05134,224.56255,189.47934,247.73691,159.30017,67.00875,221.26633,239.6347,99.654625,296.26526,112.80549,89.790405,101.12244,56.3167,68.64286,197.96306,64.96519,110.31337,215.66765,179.45557,64.196236,176.68755,211.45856,33.95851,158.65671,170.37427,209.8632,46.693825,354.32364,161.96207,392.09583,142.4237,227.59671,113.27549,173.20901,244.57387,84.70359,75.4375,none,
567817.75,242703.92,892.7687,3691.4604,4029.2175,3148.0684,5484.3364,3255.1501,2205.6343,3575.878,2331.6062,972.61395,1558.4998,1049.2393,698.3213,518.6792,514.3268,1107.4847,686.0774,761.95764,916.7498,249.87398,537.78845,503.28085,381.7644,584.54504,336.21387,870.2481,950.1089,497.28754,1044.3446,874.91766,628.3133,776.46423,631.5725,468.72296,207.06914,80.4319,85.55834,76.148926,224.57169,77.50629,207.83037,445.2946,503.78464,58.508244,135.21747,56.976963,11.843958,84.27318,172.6442,269.83142,315.3586,232.95421,362.3902,703.4048,991.6233,239.23833,474.5169,600.25195,543.57135,235.32187,73.7588,106.86115,302.10278,228.10716,137.6043,111.87185,500.55386,476.01266,279.57147,218.2687,25.977547,244.69882,310.73218,221.65947,22.651102,140.09546,48.603012,119.58743,114.2373,106.6767,237.49663,277.27945,105.69635,127.719765,336.9257,477.42697,291.7342,115.78513,132.7528,59.401432,235.95282,242.27078,136.29573,354.3853,305.23215,35.948143,166.79362,220.02844,183.17702,172.25537,66.47166,111.9445,286.00632,311.28464,184.05695,70.45071,338.25104,146.75037,136.53963,148.02513,237.8214,349.2011,352.67636,185.11938,80.01871,280.51736,194.44907,98.80316,91.91938,189.86229,273.71143,276.3127,213.16039,133.54604,214.94614,245.03003,172.83296,308.29608,146.49843,202.6364,211.4558,255.54034,334.7029,297.62308,75.26473,234.25688,107.84423,108.43076,335.2243,425.54184,198.16374,243.53311,247.72017,407.57303,404.27216,423.43027,240.13333,273.3808,395.02332,143.95142,414.3617,565.8089,516.75165,507.8464,319.58282,68.56748,183.80118,240.63986,187.19159,342.2523,381.9549,204.98862,332.04272,50.28517,210.09442,211.04205,308.45053,259.56418,327.48093,169.42181,106.57253,72.11061,208.81442,274.94424,4.9818344,252.08789,150.55069,398.64594,439.54428,212.2998,137.88257,87.805435,194.91524,31.05806,208.32857,114.11808,168.23203,318.27167,329.47195,120.257385,146.2536,201.34969,407.2451,118.58793,357.50775,165.33032,67.148445,113.33357,27.645754,111.18261,266.42358,114.80337,290.9121,560.9266,202.57277,131.36609,343.26578,536.095,525.38806,52.711,418.82007,152.96286,218.8126,229.54073,164.14792,440.15475,397.3948,93.983986,169.67992,94.82085,130.1018,266.08627,166.57724,117.26501,199.83667,169.97218,204.294,345.38742,248.04108,106.799355,54.23306,79.66429,220.77654,263.53177,178.38962,91.79587,109.84102,9.048792,275.1838,171.26297,112.09119,159.65932,148.00443,81.0952,170.21432,238.06512,138.45546,360.06696,142.76895,103.05366,16.631876,66.97379,98.04856,19.555182,113.40625,none,
566524.25,241352.11,1948.8702,1826.329,755.6349,2439.807,6875.9272,5066.746,2108.9424,782.2686,1482.6659,2254.564,2500.2427,1777.1144,588.50696,574.46106,675.69446,984.59607,216.74075,483.8727,629.87286,206.25148,319.2445,274.04214,650.8842,942.5381,492.98303,516.88837,22.702158,282.92395,525.6715,519.49713,470.53683,97.082954,348.96292,178.51805,249.4904,44.82374,129.40791,349.44742,186.81172,285.52283,386.81125,821.3655,506.13116,72.830025,163.54427,295.73984,207.02571,52.544106,313.4902,447.47388,176.88461,360.6242,557.9226,982.7421,498.1611,569.99976,267.436,193.18364,91.96667,110.386856,128.4895,225.24893,354.09097,272.38202,221.4199,352.16348,366.1569,207.48157,323.19635,158.38681,190.26743,207.40894,32.98342,97.14494,270.24973,224.09183,360.12717,331.58325,245.72385,111.452324,218.07243,77.7568,223.03098,183.35583,261.38312,155.19463,141.25464,185.22043,131.88528,129.664,59.147926,195.082,253.86612,396.47754,204.05725,155.5114,65.212326,173.5348,108.900505,191.46901,275.93665,336.79218,352.2365,59.581085,181.51106,340.66412,445.50098,158.31836,113.31853,149.19226,140.34882,28.215923,215.07297,148.80971,204.10037,511.96594,602.1176,431.20996,154.11285,105.08472,5.844544,71.52985,121.296814,211.7936,278.05563,12.343798,52.38121,218.25943,288.94528,116.16504,334.84146,57.302174,61.1135,26.33869,246.31033,155.11365,133.68517,154.46101,247.4944,316.5066,227.51692,192.96527,122.484344,148.4462,237.35657,111.34116,378.4887,322.67926,194.36783,564.7528,214.81052,95.97865,599.17377,637.1557,303.43854,172.95293,20.661064,117.47621,151.94365,81.45266,170.1986,303.2777,313.12643,307.52252,33.363937,279.91592,443.18207,288.04843,76.73018,231.9498,256.43732,352.41034,130.42943,59.330803,164.63947,285.63815,331.5328,96.984116,163.00398,74.40683,119.59737,76.9982,71.86768,225.31792,232.64723,15.008429,104.022095,148.88547,272.6535,18.950462,90.884514,160.88861,349.67337,498.2252,182.73535,174.88823,400.43927,407.0403,210.50874,340.0003,491.3285,487.7504,371.68985,345.86166,412.9933,233.13423,309.84982,158.32234,419.23846,524.03656,332.28763,274.71265,515.68933,354.6179,69.861664,184.46896,250.43831,39.182762,96.80676,77.13151,142.823,141.2636,124.4769,172.26865,235.03633,358.24585,220.85825,155.50255,52.4815,165.29366,156.06206,169.90852,125.13387,121.93731,323.23013,335.5516,161.52835,147.28122,192.8163,233.68138,256.84933,183.94437,211.06593,74.48307,118.92617,207.64694,120.33688,65.45591,180.46803,258.9197,235.5169,313.5544,191.29042,284.78937,502.40625,none,
567315.44,242500.14,1009.5277,4511.0522,3696.7815,1998.7721,7192.7886,3746.5388,1195.5952,203.66217,885.925,505.18738,1726.3234,1163.324,1022.25555,780.1957,1300.4525,1946.4958,1251.5564,257.33582,597.0572,335.76544,973.9733,1502.7639,1455.5377,1097.0983,281.05365,620.47894,774.9682,715.0803,797.57526,178.00526,860.97534,801.3807,144.04065,621.9493,599.8876,204.54599,253.81877,386.27054,361.1475,148.0375,579.40454,1161.6934,649.72974,338.46732,218.9973,57.023125,208.41252,179.6157,244.58356,208.84189,423.11948,649.0541,213.90335,704.7426,706.2754,394.9671,410.20776,88.963715,245.10371,153.38664,401.48798,447.83615,184.32639,348.09613,460.3988,620.7058,576.2519,407.48984,279.0629,125.82374,78.09107,238.95241,280.61902,223.98877,265.8562,175.06953,240.93222,140.11113,228.87166,110.98403,148.47784,256.40442,256.74548,174.09607,124.03555,271.81598,132.72919,216.99507,132.20473,237.47395,385.61465,447.71228,202.34578,243.62721,207.01018,283.53647,386.07892,158.64554,258.57684,372.9067,309.5092,363.49973,184.53287,257.0632,216.87617,78.055954,147.68774,237.82472,198.44006,249.81918,285.70618,196.23244,196.85834,69.33511,86.556435,127.5771,147.78276,209.74258,143.19652,82.00689,117.53041,86.77367,222.74397,270.3734,353.1801,325.2262,220.42929,180.5685,61.251873,184.94038,276.9484,248.67944,224.90703,232.61075,203.78452,249.72203,353.1754,212.47859,148.39394,261.04465,144.51003,273.35202,216.58942,154.17958,207.59694,249.75194,309.58167,11.581962,565.7161,941.2877,362.18942,463.66074,616.2482,416.3953,348.89804,148.43001,212.37677,242.90515,191.4494,127.4484,172.05026,313.14474,81.29993,143.80753,159.80553,260.58548,102.24487,189.42833,322.06528,264.73184,261.18375,476.71954,567.47284,335.8821,132.3511,154.71805,158.2043,112.08923,118.96344,219.0315,189.5858,62.516518,149.51477,104.760765,186.2071,146.25685,118.07035,139.59259,180.2365,106.175,358.7911,402.9559,215.07088,50.800495,166.5451,111.05396,194.58487,160.76062,165.37042,327.12225,243.53119,219.63417,234.77287,483.11197,420.8116,162.45094,568.60364,837.2816,402.03424,72.1482,134.7263,91.216156,78.41908,228.80003,230.79698,79.51135,168.38309,109.33357,79.806,72.104515,101.49091,94.69731,255.16861,223.63087,241.79182,253.80771,363.8658,132.28651,372.50217,494.05405,358.1252,182.0697,148.38988,374.10162,291.6005,63.14443,174.73418,122.92441,164.73166,296.34784,226.6864,155.59706,228.80336,141.36118,231.74641,193.17772,72.27889,234.822,471.60425,404.32022,337.3141,352.24863,404.59644,280.0302,32.4375,none,
568215.1,243224.67,2205.4648,900.5576,3505.655,825.9299,6380.872,3628.0398,3130.1023,75.51027,1510.6698,971.44946,2410.587,2196.727,289.58865,534.4698,230.56001,367.74942,1399.5258,719.5868,344.9398,220.44258,693.874,363.5389,686.01587,535.83185,310.21298,346.64682,269.42822,153.2997,722.57086,793.554,269.14767,65.543884,289.2421,138.11113,252.03696,281.57718,134.87285,218.32036,155.62157,32.909042,419.95184,1160.5248,684.51373,216.67517,175.80682,296.0545,243.54066,115.42885,270.00745,434.4626,543.69977,395.51614,357.16565,1250.9344,1143.7606,283.94604,359.59027,572.0238,332.37027,163.82988,185.21753,117.50941,55.150265,53.877743,143.5217,200.34802,359.23166,203.86584,100.62301,184.31313,153.35146,68.99331,172.38644,342.0139,224.6074,156.57361,192.2436,89.024254,253.58144,201.96448,161.13274,149.7433,74.76152,84.62859,313.64294,394.40884,509.55655,389.43964,262.6501,218.58519,405.79004,435.19202,277.62662,222.72496,258.2663,305.7471,173.9981,252.18912,280.56564,462.91934,280.47833,214.1067,369.06808,276.46808,269.80368,203.52242,150.60864,354.52255,356.88138,430.48795,425.72418,132.10754,178.13483,158.86409,90.78158,221.24913,197.35977,49.9694,170.22511,467.67432,461.15164,230.2667,319.76102,213.95694,255.75429,363.54556,345.29572,340.90555,133.74518,42.187366,65.489815,97.967995,179.51205,116.621765,132.0707,136.68533,286.23618,300.58304,120.62263,330.00055,238.25406,257.31366,122.7449,242.1506,310.22763,113.35853,135.79243,265.12122,514.3109,315.01242,480.9328,393.40454,105.93049,487.10602,494.7042,462.09137,362.75314,296.84586,184.82489,159.36989,123.43633,183.15726,87.0542,55.050125,559.74316,558.9408,132.11856,161.09457,451.0138,220.99078,102.9704,78.684845,157.59169,405.54294,218.72034,178.02023,216.72433,233.2547,189.84259,175.6569,155.01584,202.94966,85.12015,167.60637,230.62286,96.57834,246.5952,228.23141,119.186806,141.48512,136.2843,208.01927,150.29985,103.83812,137.3726,104.30455,400.9056,336.40878,272.54007,406.61957,360.49518,352.7313,436.39734,270.0499,380.66037,521.5594,591.4077,72.3658,332.84888,352.61127,337.64688,323.95184,144.27121,381.69888,232.63065,135.07037,137.68326,16.066221,38.118935,166.56581,238.58388,151.06805,158.33571,107.60588,231.22314,311.13336,157.23148,432.45013,123.723305,160.10628,53.239887,87.09194,252.8821,198.3166,348.27454,17.002047,80.589096,293.41785,152.62773,240.6805,236.2005,86.03257,118.727715,6.3730097,126.67842,303.3704,291.17087,417.2288,209.50175,269.56042,175.67987,346.0885,359.17603,222.47296,99.84375,none,
566925.4,241735.39,813.09546,2420.4456,1781.5607,2108.5056,7253.3105,5621.465,2159.5488,920.74457,987.2946,799.544,2091.418,921.2974,156.56618,1404.008,1599.4824,1552.768,1915.8206,445.66995,516.2154,212.85931,763.1501,96.70607,622.99646,466.47516,399.6283,411.25143,332.5722,590.8424,615.5801,754.9568,265.80542,173.05333,167.41144,258.47733,407.6318,388.22653,166.4095,318.04477,120.66997,260.99615,203.70166,957.6672,750.20905,349.22818,317.8561,393.14108,203.58412,314.2335,303.63013,253.86386,448.97766,590.91064,598.19464,661.7599,1103.4636,404.98,188.08557,186.49968,250.14113,301.86264,100.545494,110.3575,341.5186,450.3453,196.90015,242.76797,436.25833,44.656513,236.28304,247.20367,224.90164,107.95086,136.80219,289.99976,111.87586,268.32434,152.10556,262.79495,296.9378,52.80633,198.82503,106.90956,369.29922,233.62344,147.79243,118.57716,90.47978,114.61446,80.65155,111.16479,134.54185,275.7585,168.01732,193.8341,300.9626,431.17014,287.14108,324.48947,319.31793,339.16812,314.0389,218.01474,159.72661,221.5939,160.3649,308.80405,260.44397,122.31245,358.64584,314.81152,183.66129,237.9465,323.72723,213.01764,135.38243,239.16588,63.94446,44.23459,60.513065,276.4147,402.9285,185.7618,154.00865,258.998,207.40802,463.2925,315.44397,33.492424,323.1846,148.16057,196.47144,294.76544,174.7298,42.65249,154.8359,199.1391,203.57185,276.1046,361.4698,233.98486,147.6725,78.27789,313.694,420.98587,307.9744,357.15106,451.34225,662.6231,1065.677,731.7969,278.02875,419.35794,344.73975,535.2822,413.78613,290.19577,311.9388,285.08493,93.93848,102.9551,13.215994,292.9297,411.32922,38.899338,332.86145,185.6201,337.9294,119.36324,237.00157,168.05598,128.7531,43.041817,118.74356,208.53104,147.18604,102.30268,88.00722,141.94923,395.2801,405.72784,84.816475,387.509,429.63538,88.18991,274.29852,141.87968,202.07207,256.4897,219.08443,473.32156,266.72052,298.2913,128.33347,64.04595,236.59497,466.34213,216.95529,210.62347,224.36928,82.00969,41.816025,202.12961,714.7733,626.1763,329.1284,409.05563,464.23843,324.97955,186.19983,463.80328,626.60254,548.9996,102.46847,334.35532,143.09023,221.90883,162.26556,219.47577,110.295815,126.19394,202.15633,173.77026,101.526146,247.05742,217.64198,371.9257,240.08401,136.19492,167.65602,62.93083,44.42299,117.472984,349.8969,467.53976,249.90402,255.94331,111.67614,152.53883,234.87364,193.58214,310.18378,51.90694,208.43991,353.05716,420.25833,130.5736,257.5273,233.50838,228.42564,455.50552,291.74017,221.902,241.50066,45.99236,27.0,none,
