bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567298.1,241736.44,1132.0776,1262.2773,582.72546,4860.3223,10215.98,5604.068,1927.2406,1438.3394,1428.568,2115.0613,2323.9998,564.8076,1297.9689,421.2388,231.51392,309.0834,897.5046,797.8382,148.26874,586.03046,1087.4971,729.4943,1182.2687,984.85767,549.58307,438.94107,90.3703,330.91345,208.48288,1108.7448,958.17096,594.8192,309.81198,795.8797,401.24045,541.9272,149.60332,202.2924,303.50308,109.405495,243.62592,666.5945,166.0816,488.1841,527.8949,186.74657,586.29333,582.09625,326.06348,415.6274,248.51329,544.7672,638.05884,320.54697,450.6834,242.0832,690.65564,461.27957,416.9763,748.0827,658.4812,531.6987,263.67722,22.85979,203.65587,161.45517,426.2649,318.77344,259.5608,430.60812,385.4655,153.80078,152.48688,295.9392,287.66742,272.58908,293.66602,378.13336,453.52322,239.45442,230.83388,152.2021,245.7599,355.2281,258.03745,232.43362,355.20328,285.36078,190.58318,588.0841,548.49603,244.58939,34.814392,240.11682,537.0791,569.99347,303.87817,271.94946,310.08517,311.15637,221.19705,160.54425,549.1912,537.39404,149.86102,270.25903,178.88666,490.14087,370.5057,308.18408,305.59943,544.95013,495.80505,278.27863,136.38658,316.62213,149.83447,467.5824,593.4064,83.23578,153.64987,212.38818,99.65731,564.76984,625.0438,224.52257,220.2709,130.03282,244.75674,458.25876,268.80197,258.39325,309.9509,462.16,266.0937,273.40778,469.49255,286.77402,336.43835,240.80418,356.57535,426.56,445.91827,72.770546,282.29828,658.57355,475.30627,179.0293,588.4757,497.177,1050.7375,986.41187,463.4963,327.9704,386.98685,239.07639,381.51367,527.6355,659.3615,517.9308,492.96628,395.76508,186.22269,62.856277,268.11392,267.0071,409.14075,230.27168,441.16913,546.66504,215.73091,584.18274,698.2232,375.9836,232.62677,260.91498,99.981384,229.44197,308.4395,457.81754,454.42795,285.5028,372.2663,347.68097,465.159,475.74045,265.70096,231.95398,601.5475,378.47803,167.30562,314.64276,427.33884,338.66156,161.57874,349.16174,104.165215,238.23087,696.60583,582.1855,459.42215,531.58105,738.956,329.36353,752.7336,784.00385,53.09524,348.87778,298.16223,562.9402,821.5723,480.21686,204.14374,92.90806,187.70387,198.32494,121.82492,196.3037,63.25159,132.0753,175.82005,319.77322,333.43698,132.58498,509.47128,325.54147,221.51118,247.57657,519.0238,450.20294,377.21033,667.4968,628.35455,244.94147,231.05179,73.189896,287.2923,328.5084,247.63577,531.9256,533.3809,234.01106,58.75258,150.2359,94.128685,172.8886,52.830254,249.28928,370.86392,361.30655,116.16946,460.4074,517.46234,602.3328,683.09375,none,
567824.7,242417.9,1282.8472,2131.563,1727.9199,489.8398,7487.741,6995.445,2520.2136,1622.9899,650.03894,1604.1187,1983.232,1155.1709,521.56525,158.59663,892.08636,1131.9392,763.1268,509.3725,369.3306,611.3503,331.30673,604.9509,307.26782,302.1133,150.7382,337.7219,520.9036,668.0443,1582.0863,1599.719,312.06607,301.07373,473.1223,564.1387,438.5098,488.6807,326.75452,294.4544,372.56216,199.7095,68.62922,924.08246,893.46234,655.47723,597.5382,337.04865,342.058,412.02515,460.98294,482.74835,412.03952,409.45074,477.3846,458.38388,653.285,461.14832,208.12808,152.39421,212.11021,289.0778,105.439384,508.32285,527.40625,367.82706,144.5438,166.13716,461.3608,145.91525,139.65152,346.96283,493.8686,580.65405,367.6974,253.86046,449.81998,358.61163,240.5465,323.0987,344.93036,369.30325,303.76266,67.77915,71.9006,113.88135,174.21317,241.22574,380.5851,487.34625,355.54608,249.71573,378.44464,320.27374,215.26778,421.26117,341.85358,240.01973,208.24786,244.2217,262.24326,234.91685,350.05368,62.042526,225.40625,259.62778,743.93823,490.4704,360.15662,531.84503,24.55627,296.3202,64.8241,249.72073,197.73517,206.61028,177.24466,377.37555,60.21801,106.379845,282.8484,406.483,173.78206,182.77138,389.06134,299.54846,402.9936,526.7086,205.56088,57.974403,91.29196,7.716847,314.36783,279.02277,330.47244,417.82568,259.04022,374.7263,302.61975,235.47992,241.74281,178.6357,239.25359,319.17877,355.94998,375.04993,427.29773,213.18333,185.82562,572.7252,281.83096,202.61067,204.97542,157.80566,479.18558,523.7938,278.90918,357.7017,449.7953,706.30426,459.17798,652.3175,255.71675,251.32942,197.59822,128.59769,127.28273,73.372955,218.44662,351.11798,374.42096,535.4528,563.5096,239.39444,84.82361,304.15988,412.54706,80.837395,62.939625,203.07158,424.36514,376.12448,463.45163,573.7246,460.19098,365.05023,91.02743,204.33798,75.69938,410.95416,368.95926,240.45355,201.9625,334.09497,315.70062,282.17358,120.51611,172.25642,177.11125,310.3938,257.89587,408.2406,640.5729,543.7487,380.6619,766.90796,297.97626,521.86414,545.81995,284.37915,372.94974,407.41812,97.284874,98.64002,201.50082,157.68382,25.196499,37.29589,133.79129,186.84087,223.02748,256.26413,213.2225,367.39685,322.12543,183.27533,31.190828,353.14413,472.41,113.03399,364.6181,404.5064,387.16016,327.79907,376.7178,415.02847,557.4351,218.57304,187.83125,443.11627,129.30223,424.37402,213.6823,166.27322,216.57143,281.1425,292.81146,179.23444,298.63596,341.1613,234.74161,272.45377,323.5315,311.59967,328.11835,63.471622,224.8125,none,
567596.9,242358.3,1683.4391,623.3908,2165.359,2896.217,4361.7095,1263.553,2966.2546,1598.7001,560.69354,1104.8496,921.594,1092.804,545.5084,230.24069,495.8383,366.76993,731.1273,1145.1876,642.4589,150.27228,1190.5227,1098.8291,160.83214,184.47557,75.29177,348.96445,760.74225,250.93959,526.32764,705.62854,114.081436,490.499,417.80893,324.10745,392.6841,197.4259,397.53976,663.7351,228.04263,400.9586,546.38,1049.5676,615.00256,187.48311,267.0452,294.0761,449.5313,293.73502,485.7294,1023.3479,782.49347,344.4603,677.2336,618.0473,742.03107,377.45572,317.30005,248.15576,432.46704,516.7262,280.6344,389.19293,633.89954,700.26337,595.74225,396.88147,507.18112,327.9712,361.14154,68.461555,294.09805,413.3679,302.56067,408.81705,141.07008,128.9208,379.14536,388.89673,601.25714,334.7858,254.11314,164.58461,251.53717,130.55008,70.495056,145.70686,82.74936,329.6155,400.35294,342.3921,255.41861,222.9194,147.23914,100.77719,245.8799,261.1646,265.63892,279.62372,655.91046,623.7256,214.76263,449.4697,640.9614,33.76395,422.03244,174.68727,361.25412,428.41727,250.4931,501.68246,296.676,651.44385,774.9046,247.94217,382.3546,315.16928,215.15259,247.94489,175.70268,387.49985,569.85,311.86255,433.61942,348.902,335.9752,342.29395,339.53793,481.55585,418.59906,109.24241,220.958,67.444984,268.3793,322.63602,199.84088,249.10541,130.52222,281.5968,321.32086,209.97508,140.93648,555.97437,681.88086,317.19366,303.73322,289.1777,136.28693,292.18967,201.73212,154.84508,363.01022,160.71362,143.07942,307.26877,352.29364,393.30386,251.91585,313.24338,516.2227,130.23656,130.19064,353.48447,435.93417,262.81354,385.19592,267.38205,156.72589,298.6067,234.89447,74.97428,251.95854,309.54407,71.082695,87.99359,368.19547,412.4019,204.85936,147.95883,203.55524,268.26505,235.04883,214.01375,190.5603,367.3079,193.99583,360.95648,394.42636,322.6443,368.28513,407.70514,474.01074,368.86313,167.8883,186.53009,265.41013,273.65466,249.57,484.12537,743.9424,660.8587,324.56714,464.21088,418.62512,1090.4725,679.4248,635.3873,622.3636,190.26335,211.09254,332.24445,294.63422,408.23166,168.71744,75.67286,184.2115,279.48236,232.58116,282.7203,355.33893,294.5667,40.834404,106.057884,116.74853,140.84872,209.50037,417.1478,204.43748,295.7604,371.57504,81.63742,202.843,187.2258,241.17365,209.48093,155.41403,278.74362,497.01483,696.0438,493.27567,461.00842,409.58646,247.1386,254.06372,124.81112,324.58664,367.55963,385.58563,272.76337,256.12943,439.57684,482.48007,369.08005,189.69641,355.8909,637.875,none,
565920.9,240554.03,1367.5282,1908.6313,2192.1228,2573.982,5314.35,2865.7085,1308.3917,325.21512,1853.4779,1580.2583,1625.5573,1345.0802,514.71313,1317.2426,532.31494,649.913,522.01825,1254.6616,810.9041,77.63976,1085.9751,520.8557,412.49768,199.26947,264.03223,262.36102,245.40955,223.0192,684.9628,843.86285,277.46085,217.96704,155.61902,75.95147,265.76254,478.22684,682.91846,666.805,448.5363,431.30798,831.5044,898.8472,728.90814,240.6971,157.42981,85.733665,366.3805,455.67514,43.938103,641.96344,673.71356,669.38916,478.88638,1053.0233,1387.6439,662.55096,414.68933,194.9243,199.50449,427.8913,231.71672,313.5857,324.07523,96.27084,209.60616,561.23755,750.4435,436.21698,259.2539,420.84177,242.28488,248.78212,519.6859,525.26416,343.0978,385.42477,358.29483,408.20477,304.024,182.09264,107.16191,44.229477,202.31273,175.43222,93.49252,411.6174,326.65427,228.27475,405.59024,146.94685,521.4547,460.74228,46.24508,169.012,23.821856,140.8664,92.331604,218.22614,354.38675,608.3255,592.0951,731.2857,578.02655,322.1302,295.15472,189.23155,356.48822,202.91774,344.26294,234.9357,276.8,266.05725,206.2057,244.36247,500.66476,449.68054,110.51112,180.47997,80.53251,69.65276,378.63663,293.951,104.86372,202.55235,215.8799,15.649876,155.33748,83.75207,303.07083,579.5876,545.80566,364.84842,224.3703,103.33486,200.04793,598.0716,552.18866,116.2568,193.10643,76.94739,238.35292,175.55037,460.24942,264.47607,224.03476,316.18317,308.91702,222.39449,442.36636,680.32294,630.3814,321.41217,550.40497,518.14,158.28738,109.69528,255.2642,175.15387,166.48763,386.77158,297.88785,498.84244,562.96643,39.035645,209.33125,314.8008,340.50504,266.62314,249.13954,282.61407,307.07703,523.8314,372.80643,380.7751,527.9331,257.1504,227.49821,191.52646,227.56424,182.26227,132.49335,247.37665,299.86862,236.8505,267.2116,266.49408,196.58664,404.4274,216.33043,133.35703,67.285934,151.3976,335.06454,275.9436,196.5794,163.10727,229.66559,275.93796,130.66347,98.8228,464.453,685.5566,657.99817,215.3039,76.75913,320.4984,393.6396,568.5682,338.84882,241.05202,351.70355,406.29984,158.05608,372.74762,549.9973,473.93274,510.2718,518.2785,278.9748,299.82608,195.46013,152.7963,99.293915,91.14062,106.12146,203.36227,416.61014,429.06238,498.8241,415.18448,127.41845,89.63173,202.21646,224.2104,119.47432,515.6022,420.34006,369.38422,179.50017,164.57022,306.74973,248.80052,143.73734,446.20917,435.82852,342.94977,161.04561,91.56432,354.31628,667.67114,705.02026,621.8096,326.32785,241.59163,222.25,none,
566758.8,241826.2,2101.7795,2037.5062,2062.23,887.16003,5394.7095,2211.1333,2965.653,3090.285,1323.2545,2202.2769,2187.4688,725.73676,713.1393,1028.7355,2256.6472,695.94385,1909.0977,1326.6003,464.47012,879.99884,720.22363,291.16992,337.03958,923.5098,625.2202,150.654,137.03783,305.64862,450.27145,962.26416,279.75363,314.64136,406.98587,280.4886,149.09166,232.61823,556.82074,426.53067,442.0293,250.10973,467.0261,435.83264,374.2641,116.64607,148.69453,210.32921,520.7567,489.05103,466.8087,772.0701,437.8122,711.75555,557.37506,1210.2107,873.6181,238.92528,217.78862,255.40572,154.62714,289.41138,397.91483,396.13342,215.72034,371.1667,336.5075,407.8832,878.21643,349.8104,112.70627,258.56985,326.63562,240.49112,335.9225,425.32037,291.06143,466.38095,289.08902,153.49323,312.8238,422.97424,363.6456,415.9495,325.987,241.39085,340.84647,488.73383,515.4865,755.18005,656.6258,614.7844,148.9933,349.44205,99.69254,154.03384,295.27402,262.00507,255.04178,356.83633,169.41614,271.06848,193.71906,136.89662,285.0904,439.84418,187.4362,437.46295,186.00302,590.7931,471.39877,438.0966,612.3368,581.5818,465.1654,489.91028,470.2781,171.83401,187.92604,224.76418,173.16104,203.334,274.82068,157.95494,120.352974,402.85022,381.65024,324.09753,353.29565,189.34305,298.80804,260.4985,124.409256,260.2156,188.88083,291.90906,424.80234,239.02487,219.96349,397.92645,132.75635,433.73566,276.8903,274.58508,34.24949,143.71855,153.60657,360.89746,367.22565,309.5553,225.1886,209.23628,377.62537,491.16574,131.16006,121.67508,262.47015,314.1198,331.53323,305.16394,380.22833,129.25537,76.495476,367.15607,413.45633,118.98648,285.0549,406.73578,347.50952,314.4032,371.76044,288.94113,479.17764,56.101013,494.35364,351.91104,47.46098,252.82271,423.42325,641.6463,410.87344,133.00488,49.357616,139.344,286.9812,459.04205,439.8808,86.265625,424.4422,447.19876,367.14993,421.8901,245.16817,129.65945,181.69843,296.33685,416.95993,203.79272,104.22239,416.28625,321.10867,448.77213,633.1289,486.23468,438.59824,443.5164,348.08807,558.5684,273.62466,497.15433,606.3653,414.84,206.42242,333.39697,363.50845,582.44904,480.92383,387.76056,581.5371,107.109634,223.54762,355.76733,142.73375,330.68277,490.10602,410.98984,313.32892,294.10196,171.39601,129.62552,92.22763,32.76315,137.03065,244.27406,218.72382,162.14111,155.70903,347.1958,232.11938,102.44261,275.21802,216.28181,319.43704,474.52005,160.47356,13.835642,382.0164,336.0083,153.45454,104.18859,318.70728,594.1584,374.29633,702.7569,431.92715,151.28258,151.8125,none,
568313.4,243307.47,1114.3167,1218.8057,893.3248,2875.6472,5170.317,1929.4255,2462.6401,2070.9019,1766.6659,1018.80475,1267.6064,1657.6202,1422.6906,2087.649,1607.8693,452.52963,1369.8451,846.1752,675.36066,921.6415,589.059,913.56335,1367.5835,835.6711,696.2458,623.96094,149.97202,422.92142,997.5412,944.6342,222.31117,114.338455,228.1451,256.534,453.58438,425.92484,617.6989,557.7273,441.7801,257.952,270.38675,395.63483,513.4153,781.4577,427.25104,170.12965,403.34067,533.4544,760.7427,184.49434,320.63486,211.82031,158.91411,763.2183,868.1812,282.29794,451.14023,477.39853,177.64108,167.7198,139.17075,117.63846,271.99368,155.57826,557.7361,430.62018,338.25543,450.11823,298.31,276.69595,446.68735,231.96681,223.73236,301.20508,272.36478,236.69049,332.91113,316.1091,62.59543,96.6663,266.7891,216.09915,314.95328,487.10336,422.97842,133.83102,169.77272,231.122,157.21396,80.649284,590.0022,445.80685,453.06998,227.30931,180.3141,152.4427,239.66,618.1948,819.4309,591.5683,259.4523,108.801956,242.79118,544.2463,671.9819,413.94205,234.32024,248.52519,301.73325,338.41998,442.1999,556.39355,377.121,214.02957,134.46028,98.33529,209.57088,207.62054,95.02663,289.73358,229.27682,238.32982,193.94765,249.42763,214.90633,362.66388,450.45917,72.710495,181.93355,274.90536,342.96625,391.64124,475.70624,479.2173,399.59412,437.37894,480.12222,629.9554,631.25385,454.87238,399.13623,72.056145,267.2506,660.73096,480.2633,206.15588,262.80215,64.67778,267.78152,429.73022,176.05473,606.4526,845.1101,549.00397,638.44147,367.3959,57.830765,130.48871,658.51764,449.172,285.44962,338.37073,228.5795,171.22948,54.09283,95.17854,66.9632,111.59936,329.59607,233.11775,67.805504,194.66309,224.4,224.29504,318.18265,158.87962,412.5724,659.0124,457.43747,89.23332,114.68045,163.41234,233.6681,340.90292,559.20795,320.0841,50.17276,270.3667,139.74054,320.319,550.36536,313.28384,333.77957,525.3569,633.1199,174.09026,80.38017,25.381046,426.2961,307.69193,725.3999,143.24855,222.69092,453.4655,470.2307,354.29044,69.24874,255.26285,401.43152,500.5891,282.2625,215.09213,385.46875,243.38838,373.13458,335.23328,335.38287,460.65308,496.3485,419.33347,193.45856,273.25116,186.72243,38.4044,27.717304,254.74805,604.09576,411.3547,157.58902,146.6052,182.93465,283.64413,181.01108,291.5794,353.94644,519.488,473.8096,162.48134,73.33113,192.59126,507.19897,339.38104,342.165,454.91092,314.3267,301.74796,424.46344,248.6084,248.9799,368.2172,647.99475,670.8105,571.1578,305.9289,286.5,none,
566420.75,240909.78,684.3778,1874.3446,2810.9043,3335.183,5415.7954,2696.8508,2017.2883,1530.9069,2269.6304,1637.3073,1854.1393,2124.293,1355.3223,1472.5598,944.17523,483.12344,570.291,250.46147,968.15497,1429.5734,1057.566,657.72125,721.41486,921.9078,299.6795,557.2925,515.75006,168.45573,91.63889,548.0726,233.38997,476.6035,530.56915,490.99435,506.1284,167.34496,269.65826,243.93282,290.2708,867.62537,445.5126,508.04492,723.67523,845.78955,490.49634,146.10812,227.30879,166.21834,593.3943,181.77806,254.2322,321.32697,482.72632,261.11572,719.5355,218.04614,169.79393,370.90414,257.71426,506.67047,166.52469,88.986,201.5158,529.888,446.32474,433.77548,507.7949,418.42993,193.46338,222.7053,307.95303,107.2652,62.15294,97.21385,102.47989,306.2699,197.06602,429.488,605.55054,431.9643,296.95822,77.62418,371.1369,698.2951,384.49472,342.2238,222.24977,64.929,121.374756,165.04865,469.3777,818.72205,763.6892,203.06364,340.39584,363.48514,80.42699,499.65527,548.70166,394.73032,470.554,575.5444,214.73251,260.42117,213.09238,215.29234,215.59233,191.57219,487.88544,749.8469,89.14305,339.8783,218.12651,265.96378,389.726,363.42545,224.50233,174.45515,380.18903,294.22665,328.63864,303.51202,382.26303,256.37448,317.1316,21.174538,321.54184,147.42213,307.30106,284.00323,150.09438,41.56355,267.9712,152.35378,162.31119,280.09634,229.37505,396.37363,331.44345,602.9596,526.11304,97.101395,215.34966,570.63806,228.32152,467.1556,747.3667,683.95667,567.9523,170.13263,499.1382,622.0957,258.8612,86.52548,600.62836,755.70496,457.6137,474.8204,267.86096,484.51782,537.1976,170.77682,137.92934,275.89963,296.94885,207.42392,346.74374,149.8975,115.71499,107.74843,56.071873,220.45927,255.71576,286.91202,134.5149,253.0346,122.04562,105.11844,126.39031,202.9468,128.25673,157.37004,71.95495,153.68741,311.74255,59.349174,173.30295,75.227745,221.1437,170.44756,308.92383,507.20288,400.9571,110.16734,213.63074,470.5095,507.4612,400.60336,478.7099,111.0336,673.03015,618.5634,566.93756,655.5186,295.34644,222.62367,447.02655,392.39758,371.94424,23.546307,169.3385,423.50507,351.19125,100.05014,262.09766,306.92288,241.57634,220.51581,255.8873,187.10873,228.29506,385.74515,409.68057,330.64633,234.55971,313.1001,490.77875,733.61206,740.65326,494.6274,236.4811,187.15718,281.33566,187.52179,74.49072,386.07935,533.0045,291.65674,154.0822,195.7993,297.24817,108.64991,412.99548,295.4866,308.12537,355.64346,404.71985,124.02089,25.248943,135.0179,301.0951,283.86862,389.4535,410.34692,177.875,none,
567387.0,242243.48,1191.7947,1969.1599,2573.5906,2322.0784,6468.8857,3902.0728,1166.0358,702.67706,1802.3679,541.3545,2791.3767,1824.8192,1657.2211,1049.9513,561.1641,1076.906,815.7204,675.9258,544.1742,677.9827,393.00735,502.0332,1082.0825,613.42615,322.43124,312.1903,257.9417,385.09616,626.5141,693.7843,626.9919,581.39276,495.6891,267.37744,435.38184,328.23898,200.68506,172.4713,534.5025,813.41754,419.34933,1143.359,697.50446,650.6223,444.85785,207.68489,61.36584,243.78532,148.38365,403.71997,423.88275,407.9177,752.7292,1183.1946,985.0915,441.0545,571.76953,535.8471,101.832275,230.13371,143.62387,121.78,238.28961,483.24738,466.37488,409.88806,615.73175,54.42344,134.37993,276.1874,278.83423,25.044529,290.20892,542.2593,669.2697,325.42102,532.7575,553.42523,270.65277,295.23306,294.73825,473.2967,407.5108,277.17294,204.5235,211.2533,288.1844,335.30032,340.18445,175.34099,184.38869,376.93164,249.36191,107.47238,317.92386,245.34453,260.3393,275.76154,64.03667,275.54077,197.69437,391.54935,203.5174,210.70985,160.93594,209.93918,474.9349,698.6831,571.08154,413.2665,361.70468,161.16922,607.05005,585.1271,169.39941,191.29729,119.82563,337.48636,215.97429,408.09918,421.91156,79.68382,265.34024,274.87637,483.0347,630.37317,544.97723,508.37006,311.6471,306.5325,169.97903,22.116476,373.03174,465.11526,285.36685,293.47565,88.54667,287.55356,257.9404,306.78232,362.3061,199.8915,360.41104,273.49564,621.9842,354.23743,580.3998,708.91486,727.58356,269.517,177.19641,580.7699,718.357,415.16934,355.2961,275.21338,214.4116,198.67563,209.06906,201.50902,194.18686,98.039696,151.65701,68.087074,334.41022,139.32759,579.4873,400.3311,141.32272,181.10913,191.61188,447.50836,575.1241,396.34067,548.28326,601.40564,268.86646,357.5286,551.20154,521.5111,257.73352,79.42141,98.22274,207.88766,226.01884,301.5329,181.10654,140.5162,127.89033,512.2006,400.94122,186.02985,396.33517,202.66013,305.75235,216.80096,129.67126,291.4146,398.00827,151.00887,478.2475,410.83603,464.4268,193.39233,443.18103,218.422,407.3722,532.55396,463.88333,204.74327,75.15104,80.6431,317.7483,210.98523,231.45438,374.68738,102.8789,242.90938,180.52388,238.24878,211.16159,206.22997,536.2545,336.53677,249.30548,220.6291,94.79791,77.841866,404.088,496.2619,109.136314,301.67917,127.74703,205.74696,410.16962,176.25427,214.83002,135.6358,226.77248,454.99185,415.9458,532.60736,540.4214,326.65634,733.44403,578.80994,287.16718,191.3678,108.57287,117.38251,160.2813,251.11606,193.83284,645.0955,79.46875,none,
566879.6,242171.25,1029.6096,3197.7205,2007.108,3080.753,7169.4243,3533.6147,2209.898,1757.7764,1253.1306,602.61237,2258.8743,2490.2148,848.7757,388.18903,505.1188,1289.7996,527.5591,997.2622,472.03702,390.8733,947.2315,803.442,499.4369,614.12317,169.93738,555.6309,525.76276,114.699615,831.4468,1184.8849,277.07333,362.1702,760.81635,638.5982,465.97202,464.12488,552.046,294.818,215.19055,481.2531,231.74765,840.43713,765.7406,79.89895,236.08449,368.29297,503.46567,579.2344,587.8458,287.18127,296.6244,124.5683,394.962,310.86957,258.48032,240.6678,149.17708,31.329037,387.8181,219.45601,300.35794,441.69327,535.36597,580.9704,362.726,317.37283,656.4023,744.3906,567.1954,244.31146,152.36746,262.69415,252.95607,101.50948,151.0658,196.80556,87.72411,307.536,388.5595,316.20792,65.999054,575.7061,494.4844,207.01149,160.63931,166.11159,241.39896,150.51306,185.05133,561.9506,724.1484,670.56213,506.2476,719.76984,758.54407,342.4235,350.83633,323.00616,371.25803,384.44638,578.6304,322.7956,160.30576,274.564,97.8826,204.87466,176.90164,190.96947,160.2084,103.50752,183.13123,173.4165,159.14348,482.28558,600.4991,448.59525,266.0621,269.49905,323.60397,575.1997,353.7145,457.95474,433.28674,620.4003,435.09763,255.44572,339.4005,636.5201,557.87396,470.89145,195.20737,88.59162,150.65997,357.52637,362.83865,416.7924,308.00473,269.2786,322.05423,407.85147,285.62338,439.2888,257.2805,197.8185,305.24536,731.33386,405.11932,247.5883,794.72485,226.69113,311.8489,94.31153,236.18027,275.89752,36.664814,181.6663,477.24564,343.49332,172.26364,219.86853,68.62273,114.049286,96.414825,255.09055,85.49883,123.38537,187.50829,486.03064,295.14636,436.6858,494.76385,490.60132,462.59583,586.5657,423.1182,483.44867,645.7371,369.61768,318.41434,195.03049,131.49057,214.75523,234.27835,52.808826,315.4809,180.06934,283.81406,306.94608,111.041794,503.33545,167.32495,263.1965,602.5144,627.00476,264.71835,343.12366,227.30348,179.10544,412.9411,288.77985,365.30496,449.59067,361.52646,106.20225,172.93495,717.4279,748.0203,764.8522,589.80725,240.1086,383.719,534.28674,126.70459,293.65787,376.11877,214.74382,95.15356,158.5458,165.76654,150.5745,305.8339,446.5995,247.74203,146.44641,17.574236,236.38037,337.14154,62.804432,180.9803,192.73943,436.99454,320.84,144.34956,378.65292,339.47,361.95248,287.0814,142.9781,350.63928,484.72705,328.86612,324.22083,260.4407,280.59302,749.6084,258.9391,371.19382,192.13367,277.87476,543.8366,249.47594,229.48938,289.34265,444.51346,32.875,none,
566985.6,242274.72,1693.2977,974.212,1334.9749,1515.99,6095.4497,3454.5244,1227.1462,1760.9971,1727.1866,1476.8848,2722.3445,1686.2112,342.484,1149.555,870.63763,1251.7719,1434.7544,958.27655,834.15265,930.9122,382.09662,211.84956,147.98944,440.50934,451.74014,239.67711,472.2854,277.0555,476.19653,887.6386,253.40506,187.0302,159.77013,530.97656,640.17834,413.83395,492.80295,495.77274,418.97012,435.54367,352.38293,360.78186,23.401701,467.30878,496.93784,353.2579,467.70956,364.25336,336.80045,179.16615,99.75352,348.67926,703.71277,973.98267,285.39203,445.491,676.1185,757.6341,416.8442,396.10995,449.57477,438.29877,275.04105,46.574543,47.633766,76.36302,287.53726,438.05902,354.45642,123.45384,183.3088,309.51328,255.2515,198.57462,208.05446,421.0025,381.08133,237.62517,222.57797,258.66928,106.33454,502.6177,367.29132,353.26904,232.56294,99.03125,45.781395,119.710075,143.62616,301.9768,245.57706,188.5166,434.26984,277.3553,473.04697,363.20456,61.879704,219.1274,413.0653,234.1476,145.81343,317.92105,41.26906,236.60243,243.71764,435.3103,346.8918,239.58641,294.0751,74.35198,82.10566,118.63957,370.0169,517.9005,286.2152,281.52362,172.72044,150.4197,305.4071,443.67325,71.02241,261.22626,195.70096,270.308,651.90356,679.12946,196.11536,327.64215,292.2846,243.06258,126.07312,130.79941,320.16855,404.03528,379.80905,657.5214,594.7405,550.2698,267.4509,10.992559,344.62802,378.48083,302.62933,281.32352,408.0245,209.55675,547.61505,354.2421,1013.7253,891.10956,109.55345,464.52744,701.1809,509.8498,260.48987,357.7486,362.12885,276.8626,203.05229,452.73373,276.30347,228.91985,382.58014,180.00952,84.815094,379.06702,520.4783,225.84514,241.11551,128.87207,65.097115,402.6551,483.80276,286.75232,278.7597,461.831,146.18437,367.53668,215.7479,308.7056,245.39052,504.63397,340.39893,211.6648,94.48382,407.43732,671.90137,495.32056,273.51776,410.37537,145.09618,271.65247,33.291496,128.40053,351.87302,572.6366,241.24287,260.90576,227.5619,22.606596,182.60161,303.16464,349.6565,351.26285,714.9403,924.2077,621.17145,605.52094,330.04703,203.34769,423.4007,367.11703,178.44225,396.10965,342.731,229.31099,301.05035,466.8118,501.33157,290.21924,132.6985,151.77536,202.32442,430.30032,713.51483,587.0935,450.8379,295.67572,313.4681,148.7735,475.1648,320.74673,328.05887,408.72678,274.31824,335.33942,282.12408,349.55576,514.67285,351.75772,110.438835,270.0471,99.41558,398.54828,347.82278,643.39026,333.7204,274.9328,411.9551,440.19507,281.53214,372.2447,24.29477,276.54562,268.25,none,
