bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567825.6,242462.34,881.4442,682.02734,660.8598,499.46948,1796.1847,1589.3083,371.38013,531.23315,603.67316,347.86908,744.91437,544.0632,146.90768,145.44528,116.65232,292.7679,159.85089,283.28958,258.55905,105.26975,280.64285,387.7448,260.29657,173.21194,164.16127,91.48221,70.037025,95.605194,178.57841,106.19665,201.9371,142.69324,102.999214,162.78886,137.40634,112.33626,114.25047,148.24605,140.45274,177.00156,163.20763,212.58986,69.28728,25.795996,119.22452,121.79065,81.65913,62.730003,136.72903,125.495964,139.48123,134.04536,136.61778,313.60706,363.42572,100.364075,125.560425,67.55256,189.00337,323.0275,390.73734,181.33241,175.66566,181.20564,327.1396,80.20426,203.00899,96.198555,163.93942,213.55879,199.69586,126.39016,33.63377,61.088234,116.8802,122.24124,227.83237,159.98703,496.94067,832.8038,439.2436,122.3416,325.285,150.58562,134.73872,144.447,207.0057,322.36063,318.02353,165.36693,468.46738,470.9144,9.394111,29.524027,212.38052,193.3457,167.26694,163.49095,105.18126,153.41284,145.95839,119.93319,81.30089,64.605354,187.90793,170.71863,40.926277,83.44497,60.668674,142.96873,106.83823,80.62062,101.111046,81.86605,149.28206,245.83635,205.9851,82.04932,163.5405,44.807114,201.98299,205.7526,115.81608,55.393764,122.25458,149.23573,98.119415,314.38556,304.28607,134.73027,123.43843,186.7172,169.0001,285.26376,149.18433,178.4869,337.11322,281.54684,139.11298,285.68854,560.24084,631.139,377.06543,135.45914,263.13004,280.5575,180.83287,179.31923,256.85068,182.90932,147.616,267.87244,4.688882,140.77763,53.29098,85.127655,124.155365,153.64406,101.77655,180.89622,216.01735,146.61194,111.24437,358.77805,225.21126,81.12767,103.337875,223.7832,126.172035,95.7777,272.40128,157.24016,164.144,53.287964,107.30104,63.169502,77.001396,22.950981,30.522442,99.67777,136.27272,84.76487,87.86282,102.54219,29.020094,124.18352,216.62102,170.63968,176.25658,139.06277,50.20915,125.744804,74.820656,50.73958,77.31362,240.41971,209.83061,43.687645,291.1052,143.23611,107.1333,245.65135,412.05154,451.3362,107.22518,242.97,65.63685,253.04393,183.09026,269.50674,270.39163,105.40364,164.04965,212.50276,239.55925,122.25933,76.16836,218.03607,282.94873,131.98555,163.03926,367.84244,708.47754,128.61691,286.84665,298.50348,281.7196,219.71512,209.48357,333.56494,305.5975,247.1128,172.05217,267.75912,144.37117,50.01305,145.12405,215.69987,152.84177,219.59009,115.08363,201.07336,99.3057,117.72955,89.91011,158.20393,151.01439,201.43094,143.74191,33.367676,78.07359,44.632442,162.19875,236.09145,66.375,none,
568496.9,242894.48,509.7539,172.27145,396.5195,270.96765,1202.1587,621.4463,608.22833,44.252903,182.25844,347.2538,1010.22577,711.97955,121.39005,195.54268,213.36075,249.02081,142.78896,137.80246,202.95898,128.77383,197.0075,182.44392,76.09165,271.82925,324.95526,193.85828,83.82511,79.00038,164.99373,73.080086,83.31189,114.777504,195.03033,143.53802,232.73264,40.089527,172.16382,125.42462,123.782715,165.76996,159.31462,156.86154,47.695683,125.54087,81.847626,113.54139,154.74217,165.28914,117.51088,125.73944,128.74496,35.92947,61.972095,589.15564,639.4929,149.02426,100.53679,203.64629,310.29776,250.02168,278.2142,297.04514,94.97243,222.54828,129.177,307.60004,133.47852,101.02701,97.238625,26.694407,62.561134,122.48877,113.854576,141.81116,277.00543,330.42844,390.80725,402.2931,762.0658,520.72675,247.43896,361.93738,392.23328,171.17143,189.32742,261.1561,187.72023,96.640144,141.74144,18.168718,264.98468,398.15393,78.56116,157.93683,200.55733,138.73921,96.435555,79.00411,39.05548,47.58627,44.101437,91.589775,169.2928,141.59439,77.64509,114.80424,243.15736,216.94588,82.25511,151.6825,44.486736,76.75435,117.25922,151.98685,163.2218,186.43575,82.22408,41.17696,127.33675,98.14971,107.3592,221.94514,151.51823,76.64727,193.98608,281.07037,58.92881,78.23447,87.35795,97.12489,64.30829,171.03958,114.02492,176.7983,158.80281,150.02405,120.639244,21.91915,60.92265,311.64926,567.2904,459.2628,362.77954,570.4088,282.7646,143.6929,14.302641,163.37279,258.63803,228.6336,212.11363,272.45068,220.83376,7.317237,193.22058,166.319,59.85835,177.72003,248.72371,165.34875,133.38617,241.28261,264.14377,207.12729,74.15029,90.30253,231.50714,269.41193,17.737719,184.32352,285.29926,78.20088,29.228573,162.20386,30.6294,18.143354,70.88472,103.55982,156.40465,101.89695,88.72672,36.089043,56.46461,83.419754,96.865456,155.63477,186.31798,297.50638,277.8835,121.96009,164.42238,184.51045,49.632084,20.349234,116.7441,115.708984,123.90519,106.32291,151.58635,308.56668,388.60046,402.10187,396.14374,320.8346,107.31964,145.13583,173.97916,302.9064,159.51807,158.92648,140.25366,161.53142,92.30411,246.8301,209.1435,164.56808,259.0625,293.39227,348.3352,367.22144,320.89975,370.8165,269.24615,641.36926,356.07202,545.9485,528.50543,381.9906,288.5579,210.43105,200.43867,202.14569,130.49893,221.6138,178.26146,49.544888,176.91699,147.20168,60.046257,207.97891,198.03784,55.062424,61.70848,132.45058,115.67261,64.94034,94.774864,93.47955,135.21661,60.984158,114.32109,189.24232,92.10104,61.307568,84.375,none,
568117.25,242490.55,95.93216,499.35416,281.9953,470.59488,1326.8878,1077.2878,778.985,533.50287,575.7616,329.96487,719.051,590.58496,398.85242,328.1745,179.22408,108.87737,222.19797,221.15399,198.80579,186.66675,22.004717,123.95179,198.78854,74.85534,117.7957,59.948883,163.4687,89.7056,18.451147,57.78475,59.24674,113.5395,123.53337,45.548862,195.68663,185.8692,166.1256,134.33627,112.833916,143.79736,50.10048,143.42924,276.06952,322.74554,246.21193,214.23936,115.73467,94.00399,81.79513,65.507195,76.894585,224.12244,296.0294,429.4362,372.17258,288.74197,207.899,249.83324,223.78896,23.215708,359.70328,302.00455,132.19385,66.61956,119.18463,81.693344,120.580635,144.88062,169.8597,23.81533,14.39885,45.054054,71.07774,194.3159,316.75848,241.46173,298.18546,154.6925,109.31973,30.971325,430.58807,438.69342,295.6163,435.9685,258.6156,104.310005,173.49347,213.49692,309.16336,155.32335,423.00974,351.25812,178.98817,204.97853,232.21039,193.59161,140.01695,109.28517,101.5272,101.01549,167.40425,91.862045,53.581844,127.01549,45.301983,153.77112,206.94012,315.56134,207.54837,253.80048,278.99765,123.03912,202.05336,226.55151,115.39818,126.535645,129.52602,63.974773,50.134,119.36304,76.5689,265.9556,253.24815,85.381386,238.78238,202.35298,185.6618,304.0408,175.33554,164.45064,223.28029,64.88602,120.88931,287.16672,360.88135,250.56189,69.31602,298.56195,458.24072,647.11365,386.5975,291.51266,359.64856,145.66168,168.03036,157.8829,94.32799,217.01863,167.23204,78.27487,28.485718,66.214676,55.19422,138.35219,110.88818,116.59142,76.77905,143.58566,15.171273,72.242226,278.71622,274.59552,190.883,230.07065,95.76855,354.85876,359.45685,151.60303,321.31827,257.99802,216.72487,296.4369,194.81348,38.958767,95.80698,209.72856,191.43362,62.455544,40.70791,125.326515,176.61649,164.36224,165.2355,176.22849,166.36679,162.34651,145.88858,171.72403,139.5326,111.58181,122.47377,91.751625,77.196915,189.14478,220.47275,219.90506,255.26723,271.03925,291.6859,233.227,183.66563,161.91185,188.21973,138.66637,115.60848,73.93078,159.59497,277.25653,143.30829,54.4777,298.8698,344.71777,239.12321,288.36472,265.79016,364.779,216.19215,100.89309,136.57816,72.35907,293.73053,422.31833,278.9725,409.27872,94.96874,383.72104,87.75772,132.25494,268.61127,237.72781,184.37581,68.92745,152.7006,172.01285,82.25932,247.05862,239.85748,162.24477,32.644966,78.97022,61.649982,92.00351,89.61335,180.33109,151.699,107.262566,60.523006,78.068596,139.94331,130.14572,43.230274,183.34619,114.23169,148.81554,115.03125,none,
568343.06,242764.61,405.6115,332.77548,175.73521,450.651,1211.1498,771.07635,62.048557,114.898186,172.76974,202.90779,933.36426,760.39734,70.76985,142.55284,302.9947,307.04272,366.0201,354.74844,54.0198,89.760155,85.4359,120.129814,159.85315,216.16269,322.09518,231.07356,55.154163,118.51215,136.96527,147.21329,128.9596,141.89673,102.60545,153.74437,185.0722,108.83589,153.44978,126.97259,95.85579,30.317993,80.91076,157.44693,108.632904,147.95299,177.36406,113.60945,95.88497,292.40634,371.2415,308.32474,53.88655,140.89261,75.86509,404.65567,368.8496,107.52282,431.50256,316.0533,222.54976,284.57382,149.09988,221.15479,69.361435,257.51837,170.35283,92.40459,66.18572,82.2587,87.06182,159.90128,172.18768,205.76437,223.99118,240.41072,320.0351,143.67133,252.32443,190.1472,373.38358,637.06616,508.92966,212.66733,151.52704,349.99954,183.4106,23.747175,105.14993,251.10352,339.70413,292.34644,271.63852,383.6532,22.28289,62.596985,160.35965,86.948364,23.034885,144.92917,79.65752,32.87847,93.246635,111.06658,59.343536,126.95715,162.88596,159.9396,194.0309,93.24772,40.29175,64.19205,119.99118,234.5492,35.882874,171.61803,49.81578,125.62863,121.05636,63.485683,6.894017,152.51796,102.657394,127.46543,284.66876,212.82428,131.35487,168.40746,238.44218,103.92397,100.14411,287.82776,237.67024,158.43912,91.44777,73.58647,211.78691,225.99002,375.85715,416.94202,332.98038,336.24368,425.66083,243.42062,339.161,42.42311,142.48836,115.312744,26.092396,72.71031,166.31186,43.998386,88.71056,245.88107,382.02847,278.52472,152.18695,192.78987,139.37665,135.75089,279.33218,215.27295,78.20185,130.05408,78.446106,189.60126,243.4612,159.58272,200.36339,356.48654,261.5201,124.30198,102.624664,125.03221,193.9476,86.94115,101.80442,228.137,152.81627,61.142296,177.64484,288.6826,199.41907,118.75203,135.45128,60.17018,135.74107,241.74516,196.59811,183.16809,259.06555,98.159645,113.25804,72.46278,77.216064,155.86292,43.275482,134.66316,170.70525,179.12944,107.87449,384.20923,371.4907,263.42252,151.71556,142.88913,187.51003,211.06757,162.89473,166.14297,60.907413,140.06915,219.40741,215.67995,254.42404,271.5127,229.79166,173.21426,347.26428,405.27216,432.83746,107.91472,314.1973,319.21417,283.2279,530.6749,199.5242,165.93404,493.49286,403.43127,90.982086,84.311714,81.7305,208.8982,315.48227,208.90619,238.1655,206.48016,16.661749,168.33018,79.304474,128.52266,110.14556,251.65486,273.471,101.48903,114.65273,111.20568,89.76699,177.51944,110.89728,46.98455,282.3429,287.92392,143.21506,93.22348,77.5625,none,
568048.25,242588.52,484.79297,153.72249,102.72057,424.6044,1301.1724,757.4428,162.15778,253.08089,146.86249,200.10231,1058.1697,882.47327,206.65607,48.170914,193.7685,88.74617,184.7777,302.22733,242.68996,215.27982,213.47787,113.43534,107.80959,192.03664,120.152054,54.171684,64.57891,181.6648,167.96416,154.26866,23.599014,138.17113,121.9922,153.4634,195.85971,399.4039,358.0606,184.3965,110.93717,128.63455,140.69481,183.10654,163.24222,37.999634,78.25128,65.042305,87.82169,31.146479,56.601078,35.51343,163.66234,270.48276,177.7874,308.19986,550.9927,219.65184,261.27237,316.69995,415.30426,470.35233,568.72437,116.52805,267.1514,346.93893,380.82553,129.07893,40.076385,58.415657,67.533195,114.89012,27.879642,112.83393,151.45924,202.0295,182.46729,161.47034,310.14474,279.26376,116.41052,552.95465,383.5817,449.0775,491.70383,308.46747,69.997955,165.73117,194.95403,241.30603,216.77315,274.36478,468.2277,466.87268,232.51753,274.09103,219.47842,84.551025,83.75752,262.00433,253.57086,154.66603,125.76676,99.29913,160.58563,193.58083,97.6159,95.41531,93.975975,89.486015,97.891266,147.43457,145.4866,103.37965,224.20079,180.14258,163.2635,133.78125,28.985846,71.972374,57.340775,178.2703,123.53443,32.021717,113.850365,149.16428,40.95687,44.26781,61.079693,282.3321,438.14536,245.1008,60.62916,46.071068,89.12213,79.57014,106.56567,207.01596,183.57643,301.36002,335.63428,111.16877,122.7551,579.1485,558.40704,21.51968,197.43509,132.32045,102.47609,203.24904,165.90297,160.84302,110.15199,29.749144,178.64223,120.18886,89.958786,109.919754,132.14558,208.54979,153.58339,196.38579,247.76291,200.51115,202.90094,108.99275,202.08652,173.87617,112.028366,257.85788,166.18304,121.67574,142.81436,50.729534,233.45871,314.27188,225.20479,225.74739,123.17837,121.67642,89.213844,171.32243,187.20764,96.31494,194.75314,132.22762,113.73172,155.97829,130.6528,192.38075,201.6881,205.29622,180.30655,178.73444,87.08414,91.85606,118.980194,110.30978,18.448933,349.04886,471.60428,436.9211,187.81154,341.83502,317.02524,149.8389,301.4331,363.21457,241.09767,75.04246,27.872849,77.53633,148.13048,91.38764,175.72713,128.66554,62.219917,188.78136,108.23099,188.04639,167.94162,404.90176,314.6677,139.52527,457.71304,620.4997,264.3609,656.07056,721.91693,635.9088,385.51123,250.06102,158.88583,151.98698,171.57788,300.27664,83.27432,175.543,193.56331,190.16257,208.36095,319.66916,351.73413,137.33438,52.057713,174.19739,251.33815,271.59888,158.0788,156.15417,221.43695,163.94008,111.37674,307.27515,254.02386,209.05461,181.28125,none,
568367.1,242819.28,361.4819,141.98218,76.79106,381.50696,1175.9229,657.59393,145.57518,134.15472,108.51479,110.728165,665.6463,587.26697,99.58459,193.6996,209.24246,46.38979,221.67308,159.18954,33.841755,87.798676,184.17781,178.57613,396.3108,212.23486,98.647125,124.690704,111.761826,111.95109,100.62096,247.66342,236.52411,169.5105,105.721596,43.7882,56.26339,224.86209,91.304794,74.063965,90.84734,84.30375,86.83156,176.69463,217.40562,166.24997,146.83582,139.70029,112.38014,198.25385,138.12646,57.772,154.45284,218.82494,229.02455,521.9326,468.83133,83.940895,116.95606,255.97726,306.28665,359.82117,388.57294,255.399,489.28018,337.0422,176.86682,162.99701,168.14603,145.90366,119.80053,175.1979,94.25075,119.341156,96.79735,210.21075,106.413864,70.88317,191.9646,469.10565,688.4451,286.33215,475.42694,234.0954,113.909294,256.74588,187.0121,51.15906,79.31668,114.39403,182.73926,31.930958,360.7268,398.5807,202.43001,185.24054,55.599087,128.97295,197.90964,225.1251,141.50343,68.70535,156.83177,295.45148,330.29688,229.31743,167.96515,139.36072,129.77779,81.48386,100.95852,95.19937,181.8181,180.93118,75.27545,61.65328,117.97296,242.70833,146.94427,97.376076,64.19009,84.918365,25.299482,132.85233,54.488415,126.0267,166.34085,80.76393,66.19272,155.09651,96.45832,165.95398,118.41525,211.77208,266.49936,196.12752,111.49244,270.81137,226.98837,240.43044,131.99843,68.237625,120.549774,553.50635,968.3617,378.4383,56.93426,110.39724,175.08609,261.36917,67.409,61.785233,109.740204,223.20718,274.60263,175.72867,139.27931,141.07156,206.5291,221.55249,225.93451,63.077156,233.5063,223.04808,273.0149,371.62305,249.43427,99.05182,8.850535,80.13678,57.20344,82.621445,148.85779,144.31886,101.56033,100.90456,149.73985,98.27832,101.1193,114.34051,167.19327,160.99896,52.11666,121.76124,101.51802,241.8951,57.141388,153.23476,284.62012,137.05588,149.77806,154.72423,39.231678,81.01516,64.85177,17.456106,53.77244,193.59206,263.22623,300.08878,219.6673,67.98395,276.43225,182.25777,186.38832,309.70825,221.69855,143.0551,138.19527,83.141525,80.32565,113.03645,109.31027,59.482952,58.316635,127.89015,78.40624,181.92026,195.14447,68.94269,345.48816,344.0888,116.58292,397.87454,837.4467,349.93088,596.12537,487.90808,300.75403,257.3905,248.241,236.97604,236.51118,149.18994,167.34366,181.45868,41.04096,147.936,153.84573,59.482204,176.79675,288.5686,196.86665,209.83461,124.85167,111.793785,237.81595,382.4836,275.8428,123.31403,35.85828,19.00192,69.864136,21.062346,58.298805,70.39459,12.75,none,
568230.56,242544.11,92.70139,279.1466,56.62127,467.6061,1325.7723,917.1922,196.46852,133.96446,55.732822,265.26074,822.0058,739.8399,298.9778,225.9825,49.627834,214.56581,197.19339,294.31033,167.09746,79.20441,56.394493,133.04237,130.8538,163.12276,86.399925,110.39409,141.00517,106.169876,46.340137,39.094208,38.837494,82.54467,72.52153,87.77148,161.75656,102.626915,126.92299,203.8097,222.42088,226.08083,248.67809,249.82344,318.12973,271.48312,118.48017,152.73994,228.28127,309.1134,176.41542,71.00851,177.89735,84.29797,79.90754,562.78406,489.3179,31.459297,183.49559,172.51218,141.64395,226.70122,404.97888,233.35556,223.80295,128.1948,120.09352,56.858086,94.93232,72.65887,121.81607,155.40846,42.80907,150.569,293.2834,142.10928,73.0056,177.36768,319.34265,426.40305,426.671,318.88025,231.41603,641.61804,406.30872,257.55872,311.2749,166.76561,43.4913,130.93929,99.224525,156.90733,461.18234,487.36395,231.34238,51.063255,76.35324,43.442844,134.93057,138.66943,90.468,176.47713,202.24867,140.46513,43.188805,88.60537,152.33443,126.6329,72.82809,109.049904,248.93137,281.28604,150.35712,125.037544,143.17122,138.9198,92.98427,178.02252,185.87662,207.09235,283.55267,176.72552,274.01334,164.35295,144.70663,176.55725,226.14429,269.46146,225.63469,406.56125,361.73785,113.678535,202.52496,193.68895,32.577137,72.674904,176.26271,193.64337,290.53238,414.1019,326.2517,258.42267,206.5784,370.69318,381.0768,286.20483,248.17525,183.8209,170.48035,203.99446,159.43234,36.714542,134.75027,162.30989,85.18375,90.29808,48.641354,163.14664,142.10515,48.886513,143.29921,220.06232,99.65748,175.82233,73.071205,50.16784,351.64172,401.94287,289.48715,75.92751,52.112976,48.97534,120.250374,97.879524,117.759964,69.46102,43.315445,65.657974,130.12953,85.82928,104.829,71.60567,190.04552,183.91158,19.531796,78.1557,185.09674,179.05086,208.10466,315.51453,189.79823,214.46017,230.10988,98.11388,29.573477,57.170864,236.62604,341.87195,222.7951,137.90842,239.30507,84.42365,242.214,185.07808,243.91185,199.99219,112.55484,263.52994,126.34945,145.35722,141.34007,272.87036,265.10318,279.71136,260.98224,133.49808,55.49646,107.89936,68.12537,91.49343,195.99657,371.14584,293.8601,55.773487,765.24695,511.9681,186.84096,191.1451,196.94026,108.60748,55.369488,98.55399,212.63295,168.242,62.095963,125.45373,90.11565,119.87557,92.40874,257.54385,266.4478,102.54418,115.56008,188.90837,147.74951,59.5144,117.73002,152.21732,161.09035,233.20016,137.84392,51.2704,65.03677,121.904236,47.252686,113.39325,154.5625,none,
568463.8,242740.64,277.6236,435.0767,172.0498,424.17264,1085.9731,484.03796,109.59589,162.61282,223.72472,399.17523,924.4479,637.4377,135.92445,68.1924,51.39838,256.75064,491.28308,319.3698,76.3518,148.37927,118.67481,103.19686,339.06348,348.18045,33.484905,116.57836,151.80374,128.82587,162.59718,145.13771,97.25273,53.928238,109.333115,81.358955,205.49477,168.84438,109.00157,203.83205,167.745,58.80604,152.45372,168.00179,269.33377,307.6183,322.531,197.39397,180.8309,31.453568,102.323524,187.20699,180.92615,42.88951,40.192867,456.14465,616.0193,231.28769,44.31224,108.58022,62.17165,155.14307,382.89487,410.386,37.19394,329.97195,352.41397,21.779165,197.53401,105.92458,130.49796,23.845915,109.24059,177.25798,257.77875,95.97949,71.23986,86.99368,199.48473,326.07553,449.77225,404.01102,93.80884,468.44702,222.40625,145.08806,320.60126,319.80017,155.89319,192.88693,159.17308,151.02292,207.4826,294.113,4.6840663,166.9291,228.30614,128.4276,231.29654,148.44519,162.32127,239.73193,146.66997,106.26124,71.78763,60.719013,95.531456,67.94216,132.0179,146.70743,79.0084,87.68227,177.14142,172.44202,189.80875,82.29366,127.697784,219.96265,77.9787,189.53323,218.71252,49.077374,178.84586,194.89384,113.60306,158.95737,134.80338,308.6028,241.90858,235.47807,324.288,231.71033,163.54669,137.6209,173.79926,101.31761,200.42824,225.14395,121.74229,76.48785,320.2702,348.11728,387.83603,127.67348,286.9422,436.34357,364.1173,280.24185,319.53012,163.90564,123.75182,253.90259,189.81273,186.11972,255.88573,165.12816,39.041916,172.70067,131.189,32.377735,145.82005,141.28418,328.4888,434.20798,250.00769,299.79788,298.38162,138.8894,128.17166,206.25047,52.91091,56.521423,139.15744,197.0297,197.2657,188.30658,155.15308,132.55191,13.610341,224.13002,205.64778,118.37062,228.97539,190.9729,62.18457,87.03274,148.45227,326.94867,104.90056,229.47687,122.01885,99.541275,84.08038,90.16355,68.75888,116.11287,233.95927,23.899904,237.9971,211.15991,364.371,148.5628,122.25422,35.32412,258.68146,362.1726,180.86287,355.69263,134.11829,139.03677,208.45485,233.65189,195.39629,87.871,121.966354,209.05927,138.26974,30.047117,138.53807,137.00943,155.47214,194.99794,334.11258,230.78339,773.2597,713.44824,338.61142,147.74309,210.13104,137.5489,56.06972,88.82953,224.23079,235.5865,106.95573,146.35258,167.38098,159.94998,170.45612,182.85442,124.194016,93.74086,62.3347,42.424915,90.003235,129.26122,158.33487,151.9061,74.39226,92.94847,145.63654,30.999752,31.344854,98.12358,57.16977,62.380146,50.6875,none,
568392.4,242665.08,319.20953,84.291374,129.52095,359.9113,1043.1173,697.08136,62.742924,24.872347,97.21985,78.412926,733.7395,590.0904,56.182888,152.79875,130.99345,79.22105,194.76347,316.3384,73.406136,106.1395,178.8511,15.006846,196.42789,216.65916,126.5434,82.43417,29.52601,89.567955,120.67043,30.938927,126.95079,103.32115,130.23239,57.84281,92.2415,92.35386,129.09637,91.506935,109.34926,90.247055,54.639835,165.91566,188.99115,103.77814,191.10736,179.82858,174.69685,155.29842,179.23691,188.59998,156.11317,144.7509,162.20753,448.04404,413.6087,109.21852,112.31805,115.94059,536.6931,656.6066,325.09738,506.4275,273.08374,146.23833,140.4243,268.1568,402.00943,263.54733,41.324467,51.716957,92.373924,189.34648,221.28615,89.06372,126.93885,294.13535,260.58957,427.61252,576.7683,199.9308,581.9285,356.02466,333.7671,74.40522,32.13843,193.18817,169.37115,158.35622,59.043915,108.39844,504.16025,483.59222,119.12903,93.70608,106.537445,76.68979,44.90354,105.56403,235.13144,197.3262,87.520966,206.34254,335.9495,185.95734,155.5663,113.08382,104.44724,89.482666,58.39539,19.78725,56.73543,176.53136,102.05189,147.56743,98.74508,146.27203,211.02672,60.245037,173.51112,156.84935,49.770924,143.73277,215.76839,324.01913,65.695694,199.00554,330.25583,165.26945,134.12392,137.20024,16.540201,191.44699,286.10428,290.49628,264.0864,390.79453,461.71985,225.944,302.73776,142.66182,348.46942,320.08148,92.7254,210.93495,7.4246345,213.51515,151.82867,120.58273,190.21632,147.31982,54.20933,88.9635,246.92056,104.9543,196.86511,247.76299,97.3199,156.96307,171.5538,317.0637,343.4589,76.044624,65.11367,108.59,121.0642,161.37381,343.4075,230.12346,149.10349,102.984566,181.51868,69.989944,55.861214,66.504555,171.50194,232.09734,350.4756,172.00128,182.16545,135.95737,103.79886,164.63864,213.10513,155.58789,191.73225,311.51196,109.27385,171.1684,170.80215,158.27678,117.51064,263.10294,261.2637,152.41264,124.66212,71.37985,63.660988,305.61768,449.75922,170.84839,339.18155,440.5187,314.03635,44.504707,113.57452,169.81781,201.12875,90.999664,172.64201,125.93784,115.11316,19.021788,137.66235,307.8537,266.8222,183.95613,233.40831,148.92839,376.7716,391.29547,293.39786,117.26393,473.48334,538.44867,114.561905,171.11037,128.1289,132.19008,73.43578,198.59552,297.1855,185.78845,142.58745,225.93414,336.50095,238.72833,252.04694,192.4582,228.34753,231.55292,95.464,168.6662,174.81586,154.26927,324.9368,302.52798,129.04182,219.63574,261.3564,244.52156,147.1755,131.02505,90.795044,125.75138,110.78125,none,
568110.44,242595.22,503.73157,245.41301,306.92844,104.11123,953.22845,699.5603,179.0064,148.40376,77.36276,244.82799,840.68805,648.5298,164.23718,115.27205,254.39056,158.62428,120.367165,230.77821,64.38955,138.29605,242.68127,153.60242,148.47647,195.82988,301.78055,274.9973,224.97633,231.19606,75.202354,171.24797,6.5920258,89.75642,84.759796,110.75389,273.79257,340.5209,276.48648,115.89582,105.41855,108.3971,118.22181,288.8209,258.5998,216.98244,29.740261,89.18518,122.35206,133.02127,170.86652,71.05902,27.443766,9.989106,26.771326,327.86362,410.4551,133.55244,138.52702,115.30353,481.9902,367.96957,196.29811,291.09647,210.65022,217.287,170.0626,185.21254,99.94005,93.83026,213.88762,157.77112,194.70354,173.5113,251.50285,262.19553,312.8755,370.31134,233.59488,202.66295,782.446,575.7361,156.47272,321.48544,45.10666,211.66623,302.23425,304.47964,159.56046,49.199577,98.75343,92.23052,341.0412,330.16254,49.230106,36.186363,43.33627,29.22293,42.591755,50.683205,64.33213,133.06488,109.4975,94.37246,152.2439,173.47891,81.86009,196.61995,158.1865,179.96085,234.24516,124.1181,130.75212,159.25963,154.19493,108.11265,66.97978,130.26755,61.7849,80.95902,159.43794,174.76633,232.67181,260.3828,299.12274,143.15637,260.80658,295.29257,102.17009,292.11948,176.43806,20.18539,50.181316,161.8025,122.52184,129.8617,251.58685,72.027626,293.9194,264.96677,239.67993,353.33517,246.1193,502.96896,359.21622,277.50262,189.59706,165.49524,232.05397,49.096104,87.78959,116.32385,150.80171,244.44193,461.86008,198.97267,225.57184,217.42471,149.93831,85.35769,122.572014,212.34642,164.06844,91.24677,60.3832,80.91126,132.9779,213.52557,164.75087,34.4802,129.71645,292.4916,331.73355,85.51257,88.116135,256.1139,215.6644,122.81682,136.17433,154.55833,297.18378,242.95609,155.94362,57.96532,74.31823,140.0521,218.0875,167.42981,302.87286,85.94759,163.30385,154.9091,137.63626,240.65596,216.49344,165.31972,145.59517,279.61478,292.18704,345.2863,397.02313,237.58592,165.97908,329.18805,321.2592,296.67,244.98613,60.02994,208.2873,378.96603,131.85995,18.694197,93.03643,81.5755,234.73065,318.46982,155.02975,211.46841,94.06826,437.221,139.89044,197.08617,443.12164,686.96185,292.03256,172.43886,366.61804,319.59177,277.72952,301.7467,242.83499,177.25322,266.48538,223.21942,115.729126,166.17609,127.10311,138.63844,155.32323,21.729767,151.9901,174.26204,258.19788,122.07138,79.0512,169.86407,154.45187,193.85603,241.79897,181.98581,94.704,162.68387,146.82468,101.92649,54.00325,89.23681,179.5625,none,
