bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567301.25,242294.62,1671.0243,2700.489,1679.3807,616.4907,1110.8282,648.91125,145.78635,91.916466,200.15775,52.593082,529.25854,499.99396,177.23273,238.372,143.8227,55.984325,191.50223,268.5483,178.08046,134.86784,87.10496,211.59357,186.13281,42.139553,137.42245,181.84254,189.79239,131.79558,239.1697,205.20969,84.05409,149.764,96.37854,82.52848,151.94841,181.26212,83.70408,106.81071,103.58136,190.64458,75.78384,187.19637,185.28531,172.44316,190.4888,199.29565,197.03148,70.953865,157.8642,88.87308,119.26907,164.66412,233.83221,421.78052,491.64957,68.72945,66.52222,25.18709,45.66454,103.654625,347.3928,380.57526,201.81706,108.63289,75.912636,82.64859,159.29956,478.75156,365.4824,15.981702,35.684116,300.30038,561.33167,707.0682,418.0778,197.34091,79.589615,226.82082,390.13406,346.21655,151.23518,65.13602,130.7397,4.788032,333.14395,246.2386,33.126762,75.59807,69.58566,62.081356,324.09662,337.13602,149.62346,239.47597,231.84033,136.06903,179.0666,41.828617,82.02712,134.17905,152.901,200.50348,171.33038,179.88484,43.380043,190.49248,119.513985,185.42068,207.13812,233.86217,227.54904,140.1941,153.2616,65.60469,298.4389,227.54112,136.9886,106.77239,111.972855,98.60019,54.97209,157.33334,197.6917,99.18207,118.47438,218.9415,228.12668,79.756996,316.7345,197.3875,206.56534,128.65794,134.39796,235.6483,257.69305,208.87619,203.97812,99.39803,56.07842,119.22133,191.87946,276.2676,727.1996,727.5294,401.23175,357.83524,164.12076,274.79935,126.54625,78.24566,237.07553,233.23027,112.248535,327.2096,198.66888,41.467968,78.54915,38.962128,195.5327,98.76771,22.767967,125.134766,122.671906,64.390114,211.86716,213.48425,147.91727,131.50839,224.35385,192.99593,57.642822,163.85406,95.39723,146.27208,60.15654,78.60195,144.44226,104.40676,73.36843,99.402145,19.54677,153.05573,156.54872,115.8462,128.79713,11.901015,202.72168,129.72157,109.60106,129.54482,55.980923,132.89767,110.15168,96.82995,45.129448,174.19217,308.52563,401.8754,437.85828,329.41476,136.31015,145.67065,73.53612,45.558994,62.978523,41.96538,71.56643,127.285324,133.71123,220.31989,239.83105,210.67458,269.18433,217.14915,71.0997,170.07353,333.78534,574.57117,395.95142,320.05557,242.26178,306.64948,508.45477,449.08508,196.98363,119.085556,175.55399,298.56296,293.3359,59.73622,106.04783,230.97105,164.4538,120.63475,246.96748,162.74986,124.21022,98.65768,100.63455,122.698296,55.4075,96.2155,72.81769,184.73953,129.18187,128.7441,90.37029,62.174892,47.174255,188.77394,194.11417,163.98117,155.7215,107.14578,129.9375,none,
567641.75,242367.14,259.1833,805.784,1255.316,294.9228,710.50226,556.58466,25.4539,16.893003,119.537575,137.85034,574.14856,362.99084,104.66392,227.06854,188.9347,29.897457,185.93364,173.98502,134.0634,117.24515,33.911602,52.897568,22.965483,187.87387,242.02673,102.152824,174.22739,234.76459,173.12476,136.77567,78.08377,77.56559,120.17433,128.95364,217.24121,48.27947,124.499756,110.49769,41.495758,125.3798,118.76,115.091324,123.51581,156.50117,169.62445,144.0513,163.93446,91.96952,134.77397,164.08052,294.5747,236.45418,39.357815,499.00247,504.4072,60.467117,191.4394,247.82628,153.42769,73.860664,419.6556,279.625,116.13852,125.072815,287.56903,308.30246,292.00375,107.348976,298.47977,101.51881,207.09003,228.09583,203.04625,195.85648,738.5389,613.9448,290.92532,123.26269,104.23165,73.001656,161.6314,177.45274,231.63426,217.68774,229.49207,70.13901,115.72283,71.901886,152.70474,78.7486,348.1285,571.658,351.8174,239.03578,91.549095,186.42499,115.7614,63.428047,115.19042,163.62529,204.56099,165.68883,67.7498,83.4592,199.79439,75.53462,158.68213,163.10034,79.57709,181.85628,237.91164,85.59586,81.0523,163.91507,145.66248,40.59653,32.963623,61.5815,64.79961,147.16434,233.0246,198.07819,243.66127,171.1577,168.6652,128.6231,41.763206,330.3968,371.73618,90.20708,59.849556,49.22249,137.91498,167.12743,93.08191,255.50645,432.50116,321.75848,196.23055,152.3854,217.9312,554.40204,596.81305,232.02135,302.3685,233.27359,425.46222,255.79266,158.4154,130.0406,230.80997,232.97627,74.63849,262.20908,207.62248,80.93956,76.63092,132.04599,279.65067,48.048065,125.994514,105.59012,93.50717,59.645027,194.03581,201.50325,422.65887,309.80002,126.941635,291.06973,243.47667,52.28552,91.575,159.92297,251.40567,326.53244,244.46182,146.17432,270.24615,219.12502,111.188675,190.0065,113.663216,116.886665,57.610783,59.337723,116.9571,281.88904,274.08142,284.5942,109.491,204.3546,188.28653,159.09044,119.51578,68.734436,312.62387,280.4754,243.8551,138.34636,261.2859,59.567574,150.21454,122.634796,92.76526,105.74647,111.399155,356.6362,367.7712,327.43106,146.29504,213.73393,200.93376,262.49844,315.74857,179.52014,118.34426,466.268,829.75476,453.1975,278.6503,411.428,260.50983,28.350967,163.92451,190.60335,279.7009,302.59357,180.22444,103.94386,88.136,192.62778,183.78703,142.29222,95.28502,158.74414,157.87193,163.72322,155.67455,173.47087,112.34385,214.54169,278.3689,138.875,115.39633,103.65744,159.36644,81.21091,102.387146,46.952614,98.48408,97.87863,140.09769,174.14534,56.0625,none,
567310.9,241800.16,892.4022,3117.8054,3061.8677,1109.3845,875.4799,626.1834,220.79283,241.00516,218.26567,52.973152,538.6688,317.0382,289.03168,304.3179,64.191154,52.898003,168.46837,177.88988,91.593414,42.884632,41.745514,50.676468,190.78242,210.21281,197.20984,303.01257,257.87766,68.00887,127.39344,194.35057,133.72815,278.552,294.0497,261.03867,129.37401,87.18572,41.341053,141.93735,221.54639,170.86084,41.770844,160.00076,163.49721,171.93448,78.97733,69.73067,60.248955,101.96336,142.87537,50.59449,109.51881,229.7444,198.06381,436.2326,390.24124,2.6019619,192.01561,59.870926,215.7265,188.49509,203.53995,172.97687,143.45564,352.8002,479.90234,214.51268,277.0932,480.31107,238.56528,75.17459,115.31034,292.75507,217.59824,173.11658,516.8838,355.50958,187.72346,209.32393,223.08235,243.3717,89.02542,65.27006,265.89108,302.71564,239.6604,197.50665,137.5282,175.78186,119.67423,149.02087,415.07394,227.93245,51.24582,182.49701,198.55618,74.705025,80.05479,50.266865,188.13588,155.96774,43.5237,84.12817,143.54036,176.08406,29.391386,93.79627,148.74316,10.688669,41.507195,97.22461,124.9403,201.55283,106.1018,90.176315,152.99268,95.27054,48.907833,87.823166,152.00648,7.0973043,34.00849,113.30107,48.664043,221.93831,184.78958,119.81889,93.695496,100.23206,103.23513,37.801697,35.737854,35.91127,63.338215,55.55921,160.53667,314.8778,220.28583,61.60121,98.64216,114.01073,149.41193,66.75278,312.90945,446.1968,416.1257,150.97958,241.2643,161.97307,207.07861,231.71028,134.2192,201.817,294.29114,379.48727,347.3477,202.2878,127.90735,62.29513,182.88664,161.075,179.03435,170.55223,147.8131,120.558044,56.817806,219.86685,140.83595,454.52417,216.42311,94.21101,77.245636,135.55283,189.60698,137.53632,136.08113,155.24484,81.7421,136.08405,76.506584,111.63384,96.376724,18.543032,118.44907,131.49084,170.20549,141.00946,208.40741,99.13253,230.46382,56.290703,135.34918,40.047264,70.96806,160.86295,156.99739,181.41997,203.02974,40.371307,46.84564,341.5391,390.46082,270.39136,224.09221,110.61572,29.275002,135.73787,78.2269,165.86876,32.246964,207.29813,199.15898,188.1434,287.66302,343.4146,191.45279,45.89592,232.91953,249.61499,209.76471,406.65717,572.43823,237.41463,330.0196,208.25539,47.298077,168.03233,261.4679,39.42117,41.605354,124.28225,200.18661,195.7259,72.21313,24.851233,145.15388,109.85059,102.45826,210.57095,89.204544,135.63223,170.63727,37.303898,97.92068,88.22214,64.85892,145.06174,63.15123,70.262794,59.233204,202.24591,136.0984,80.121185,85.65376,124.26243,100.5,none,
567060.6,241783.12,1104.2009,4442.8057,4141.9272,408.5647,894.6733,637.87305,387.66473,148.03261,287.059,199.76683,713.90045,653.4033,129.17781,300.18307,257.3363,208.47972,197.9555,286.17285,296.04202,246.4479,187.66252,159.17624,262.54385,138.76073,85.67487,149.7292,78.384636,80.02133,104.318146,255.13332,169.3347,49.92105,111.17407,137.6104,136.54495,41.24888,78.45147,168.12497,264.70966,92.364334,19.366854,131.54488,98.177864,109.81511,148.60333,51.065365,26.140871,17.842646,79.00592,104.23398,44.90834,91.79095,163.60532,555.00995,621.9719,124.00386,235.76427,310.1677,130.013,132.50763,82.267334,21.922071,41.2506,59.946796,398.86102,515.4661,30.46332,77.814964,325.04828,280.5261,144.8853,107.86648,189.46652,294.4451,273.95,530.0222,391.56604,116.30334,33.4748,180.49904,156.78725,178.85204,92.22006,225.55992,175.8655,177.71992,255.76334,236.24489,160.38608,107.8063,286.78354,540.01215,268.8111,37.7235,96.85703,244.4072,105.09068,145.40132,110.21627,214.91336,143.16599,125.75401,127.85339,138.82439,190.05388,238.62439,199.00095,41.651913,180.24664,223.0068,151.5704,116.5304,35.179527,34.05259,4.174147,64.162575,34.124218,187.6484,246.90665,162.87936,168.73878,211.5435,130.96754,201.74257,174.67035,67.2725,190.33276,313.6969,269.51297,95.07271,76.51218,176.56293,158.89958,120.04372,81.3194,57.530743,159.85947,177.91841,139.64536,162.93636,215.76239,321.4272,271.89667,112.01045,137.69829,272.23654,312.43423,224.41087,144.8902,186.63466,228.40715,130.94899,229.01059,270.54233,77.18386,105.695076,142.40642,46.9118,162.56589,180.55746,171.78969,43.303177,159.08571,163.86803,93.50287,128.78969,91.23597,321.63528,296.3429,130.32741,47.4462,29.235962,36.505154,29.122715,52.208637,156.44016,132.18246,54.02968,83.417046,63.797115,146.72357,143.10376,31.75291,100.93786,136.73422,285.23627,166.60204,76.20851,28.72623,202.0387,226.75508,185.52109,130.36183,118.90659,63.034714,27.011244,61.211727,83.39994,132.64815,303.36826,249.15027,134.60168,118.90324,267.22705,257.44238,234.92784,172.82867,140.15704,224.30132,294.11716,207.34679,88.109474,122.467285,220.54381,220.95137,90.97211,134.07103,255.05707,115.100235,405.71915,150.4744,399.57883,118.300186,226.90175,215.37532,39.37086,230.89505,219.12636,197.50017,244.9611,359.81558,296.3368,119.66192,86.47619,105.1025,53.680237,188.14172,131.71808,156.07332,61.731438,119.752556,40.53723,170.79405,221.83347,196.13412,273.23752,136.73279,71.39824,44.484848,200.40973,121.39836,69.43416,227.10608,212.32532,64.84375,none,
567374.94,242387.3,701.40125,3093.995,3470.2305,338.5268,1152.6794,624.10236,104.0435,341.33185,394.08328,298.60187,354.42087,346.6943,303.31857,98.04866,55.28972,221.13506,374.87277,294.77664,226.36119,22.460161,102.93636,195.85078,100.561745,170.15762,223.57646,136.21323,98.39994,177.68196,272.0497,318.63855,213.42192,195.87982,103.11562,30.896269,130.06052,65.576706,174.20685,210.95338,61.615097,70.34176,13.618668,73.20363,71.70789,174.84175,247.34967,146.53749,130.43027,208.55482,145.64626,90.56389,83.19987,191.58961,144.74841,517.35236,501.08344,107.73162,194.92946,274.43298,188.2239,49.32794,2.7105074,134.52563,208.2358,256.1818,274.52847,333.3842,384.04428,65.92384,42.343708,225.72166,209.8045,239.68681,319.7775,346.44785,579.4154,249.3616,243.74641,322.32355,414.46677,364.49023,164.28043,133.29706,187.8637,64.90204,176.98222,154.75137,176.13914,120.01151,42.700054,170.58626,421.38852,295.2554,134.10884,142.74533,125.91359,218.63266,166.36496,294.36188,150.2472,19.090094,124.0605,124.954735,137.51085,157.03908,109.61659,228.95226,278.49316,373.63947,185.75407,79.05927,36.095295,134.20253,122.973976,125.67883,82.57177,138.16318,201.91878,42.396076,20.474644,69.47177,28.615,62.8704,143.69322,239.8632,228.31584,198.15186,117.86494,273.9971,399.62714,249.17429,198.38536,122.92532,115.441086,29.196522,236.67746,191.15437,140.28015,67.35197,233.27779,131.62154,225.79533,376.02005,463.33417,270.39728,328.9399,170.81758,54.796646,10.577328,114.1809,221.74579,133.19653,58.274128,228.32333,230.2643,208.08066,190.22986,119.59984,180.41486,207.62228,187.37433,100.19536,72.780334,119.82821,169.1423,210.41862,249.40671,162.29851,21.10887,139.01294,222.54488,190.34203,136.79497,76.163956,86.88479,55.03952,152.5791,141.34084,158.48665,167.3023,250.07079,191.20544,47.4614,63.93227,88.602776,119.288025,73.81976,77.31775,139.1661,117.05154,104.535194,38.95322,41.920326,17.671942,65.581955,46.19986,62.86407,38.38774,139.56113,88.95013,171.93546,324.71466,53.35073,188.4235,143.04202,76.64384,95.93907,38.66379,221.53821,216.63733,39.975903,187.05391,298.08554,282.65442,272.66922,172.15099,259.07986,85.76962,328.94824,377.0171,82.82144,411.01822,441.75937,298.2246,239.41675,147.32533,199.86914,359.9897,194.68611,82.787865,86.06344,133.33151,120.72977,174.35649,82.72218,6.011672,46.81728,127.7688,112.993805,32.914787,196.25743,174.56271,110.50297,107.586815,201.77057,207.17865,199.892,106.76479,69.87859,213.79027,234.33215,202.89624,284.17102,428.63254,247.51439,81.9375,none,
567463.0,242315.52,662.57874,2039.3422,1704.1033,352.87164,823.0763,349.56366,167.0215,294.80792,123.100815,296.89978,436.39725,601.7128,306.9212,47.98227,95.66503,88.239685,159.21663,74.83219,145.94823,39.513683,146.62445,139.9558,218.96936,151.96074,75.23746,135.54326,133.49323,106.30301,159.79332,269.81934,214.94066,255.90887,86.37257,100.6236,105.20475,41.0653,92.867455,103.25236,111.27364,160.11562,179.73756,172.49123,84.56813,107.70603,151.17807,81.97689,84.20874,121.802155,119.777466,29.052296,150.25995,86.28426,68.77441,376.00238,519.1522,155.11446,83.17354,71.76878,66.92811,64.88754,41.717426,39.07246,94.35993,229.87105,307.13004,444.28192,590.5746,365.1932,193.29836,37.171078,34.8113,137.60771,227.19025,131.7282,494.48178,536.64154,189.76328,293.00137,450.04343,80.1491,132.99963,186.82637,190.00061,106.71038,227.29214,149.32745,135.94615,149.80907,32.16731,31.41968,390.31247,519.51697,244.93346,246.89615,279.3828,274.34216,155.73335,49.12074,147.01096,89.346695,72.249016,8.244171,45.858734,55.276733,73.7883,63.72093,128.50035,288.8911,105.451904,170.76352,133.01189,63.74514,64.433334,183.7646,144.44531,208.57158,244.1137,231.034,194.31236,109.195694,108.020584,88.17546,182.35898,179.80183,113.41674,47.522545,190.98274,182.8897,48.299015,179.47353,46.75406,10.025112,52.105312,199.65825,291.6613,196.89372,190.34715,421.68378,494.10834,127.97972,483.40747,549.04645,519.971,345.5094,2.1767526,48.715237,157.09853,202.22202,24.192507,167.35948,126.94853,322.15463,162.39722,210.98701,301.4441,140.37155,166.20322,150.0221,72.23031,71.1627,155.54567,124.269745,65.87799,37.701794,100.5433,155.12408,24.701527,113.151886,180.69131,77.609184,107.40627,54.042847,120.662224,136.23804,97.62671,323.64645,353.46097,263.8558,193.60965,221.81845,301.02014,182.11325,31.08111,193.70952,140.61601,76.10552,169.59978,68.36837,70.37554,33.528072,139.11763,148.59102,69.46636,14.355968,88.24391,111.89382,96.61522,122.66841,49.62892,7.856841,205.13612,250.66406,113.31479,85.880005,177.11972,228.22342,164.18149,269.16867,156.15869,258.38763,320.7334,409.10333,374.63608,224.0731,503.05188,478.6655,413.8666,624.9417,436.53378,186.53117,316.7603,502.25476,335.27435,485.43292,321.55502,63.053505,74.07528,324.21085,340.12225,134.64752,252.3739,402.09775,278.65503,38.242203,192.29106,82.46031,121.26056,80.03815,85.862076,161.77977,83.870834,167.0641,125.84453,69.1099,221.62332,234.17346,223.17416,237.47906,263.35504,235.79353,244.53902,114.5622,91.71262,98.73097,84.90625,none,
567844.1,242542.08,211.37622,1853.9346,1095.8201,473.31738,1159.7512,571.00604,358.31857,143.01962,128.4697,398.4745,675.6223,231.04025,164.1673,259.73022,152.10977,80.646416,353.77133,402.68948,67.26945,117.07122,27.476665,268.91504,280.47562,28.114597,70.82639,16.508617,82.066986,122.212074,92.743286,285.88077,184.7593,189.2338,182.2146,113.25596,202.8283,176.92625,116.90992,53.320995,97.32233,162.66306,134.13062,311.81833,368.1039,252.46611,293.79077,233.29454,268.5089,267.6094,103.073456,92.52933,52.621765,107.681625,132.35783,458.83658,501.2149,160.74599,128.26091,125.788506,247.76593,230.44037,160.62718,190.58745,279.95206,516.1364,489.3869,54.36507,298.0171,341.8514,57.86975,243.85048,173.03764,232.50378,252.76346,584.36127,526.04193,38.399742,188.89734,162.33891,165.0588,284.76874,266.82578,344.13733,380.08746,361.656,340.7644,238.6208,123.30398,71.37983,126.82149,214.68,548.42816,583.2954,131.13687,27.892628,51.26222,189.47359,166.46326,132.08455,86.298515,78.59697,103.55073,88.120514,114.83031,98.79417,63.334934,121.271866,237.31071,279.4402,26.305319,190.2193,139.26376,57.41419,48.54089,92.50822,33.34871,140.5987,213.03278,278.9809,140.80296,53.09156,83.37059,10.819805,83.8484,90.86325,138.83499,69.859116,247.47115,381.5938,414.7519,226.45781,133.46136,115.659,99.03227,16.2539,21.20141,59.18799,136.11327,167.08821,242.80247,225.42949,274.78537,470.53827,771.67664,421.22174,211.87016,150.96007,6.838172,108.21592,140.95973,291.7203,134.39743,157.54793,201.56644,101.90001,105.27594,90.890495,211.8076,193.05606,154.80766,132.13995,258.27478,156.02151,105.86504,159.28702,175.24121,327.5458,226.59645,213.45474,87.19489,27.814087,100.57755,106.6363,113.79945,258.8306,257.61447,99.54564,181.41832,275.37402,118.516174,117.99625,144.47136,147.30225,160.92213,201.45235,132.89056,195.35924,238.16656,48.26939,156.23352,110.334984,84.286995,55.677055,31.610327,67.10345,168.16818,181.45941,91.42996,81.61791,176.77394,23.15088,172.20091,305.9967,201.46454,133.87761,197.78723,157.49008,215.1745,375.95026,336.1934,209.60608,308.19727,169.77737,57.25384,278.3493,325.68246,351.90417,307.4303,667.1279,574.15045,281.20834,269.4011,134.79858,290.69183,110.00194,283.08932,395.26108,130.97581,53.662178,202.18661,189.91777,101.48625,271.2203,156.72604,161.3818,270.1127,169.05629,280.63837,210.9825,68.985374,24.71667,104.85333,36.538624,73.85843,107.44852,139.03821,61.671406,120.812775,49.583897,56.916794,72.01058,95.98834,153.1012,170.564,75.44377,39.09375,none,
567677.6,242370.77,142.83159,1985.4265,2257.0417,874.93085,1482.5768,962.26935,193.74446,143.93771,143.6779,84.54057,337.9745,362.87326,11.106112,118.8805,163.62187,91.69312,325.76224,283.3114,70.60103,275.87643,234.4579,60.25443,154.23586,37.926273,91.47308,144.48047,203.63971,126.75753,171.23697,182.97458,118.611984,134.55893,131.56883,94.554306,69.58536,185.4586,236.61491,168.20747,60.47615,87.053795,141.85634,199.34178,124.76194,78.07896,71.23711,109.47179,146.60559,219.68051,185.92564,98.79881,71.75141,86.229256,40.469074,377.2835,355.22903,44.464314,19.830252,184.47961,248.202,104.00592,128.06868,266.77783,291.76434,124.146286,88.152985,307.1309,487.17236,307.006,266.9286,433.30585,275.9166,298.10742,351.2219,508.17862,330.84912,269.15186,366.05963,150.43324,12.305112,137.11505,149.56099,187.32082,87.59448,90.506226,73.85423,17.375593,10.0229225,60.50566,64.287384,41.999046,289.4926,356.9423,188.77881,152.91005,163.92642,103.55454,48.714367,169.63182,63.036266,71.6519,104.49193,90.75508,102.57534,151.5348,166.1748,208.13347,241.03384,225.70169,98.72735,221.50465,175.98082,114.15268,53.667164,116.99768,244.82838,275.2054,250.82555,181.4566,171.71678,184.57288,67.531815,42.754284,34.569775,88.957245,145.89273,180.57655,95.164185,92.58478,229.2483,138.35422,296.9502,244.84969,41.497063,201.37459,260.4099,242.29196,277.72537,255.85677,127.10381,325.89978,206.09984,21.502867,232.77344,141.44054,220.85785,204.66386,128.13239,162.71246,122.67293,326.3399,211.24951,190.44829,51.59594,43.477448,219.38567,189.48117,102.067856,151.82037,115.236,59.531914,127.517975,44.824047,128.80643,110.73252,178.26346,87.55278,374.42972,234.116,47.725864,72.886696,123.353615,172.27766,50.014545,50.919487,68.15158,222.33618,250.67348,211.53494,123.467834,136.22707,187.2274,144.99095,106.21291,91.939095,210.45717,282.0376,121.884155,136.41066,86.240524,237.06042,181.85515,100.03279,131.01588,56.395985,161.0815,57.35223,193.29582,193.21684,288.36646,227.91269,56.246223,218.07066,294.66946,81.82924,98.81759,115.1333,205.91122,220.04962,83.7753,225.82579,341.36374,267.24393,466.38602,311.75174,175.77731,163.82262,116.78877,317.71524,885.2184,534.77075,260.7728,115.088326,228.92197,114.15828,238.67827,166.32042,213.0773,31.400007,213.89919,225.74915,204.79881,67.93583,155.3633,55.2617,107.396385,208.92807,190.7534,86.411,140.43274,183.00264,171.1701,82.752106,8.072999,83.59408,47.937557,162.09209,207.3764,182.65533,159.64395,138.24652,141.86925,188.0856,138.97868,86.60537,57.84375,none,
567633.25,242198.19,682.7308,1893.4147,1992.1957,834.93365,1448.1826,602.356,115.15888,50.212917,169.32315,346.4424,655.2762,435.4941,34.654743,65.99336,133.02661,131.71602,134.4607,131.451,196.74908,163.94086,117.72073,223.4553,382.16342,284.89603,113.719894,76.66203,36.99161,76.80602,71.24178,112.11955,70.12148,95.39242,162.51784,179.58536,175.56636,104.74342,144.30035,143.58801,85.01921,84.51117,113.02254,189.6245,138.63449,62.139572,141.94734,85.713264,139.96252,114.29865,151.79865,92.47092,50.14183,88.62637,234.21684,684.3754,594.5821,176.32965,227.06064,208.38373,44.547886,187.8097,141.3402,355.12476,417.3897,345.04504,225.81981,184.64566,135.01521,211.87617,191.29123,239.49945,169.12828,182.74149,96.547646,94.596535,474.49408,448.18628,161.84552,330.42358,206.92049,84.764114,79.97237,65.10911,83.16868,113.650986,136.72351,85.96772,51.00642,113.277214,26.994598,189.50491,311.3068,291.20328,151.64943,23.456852,182.86441,200.5901,191.22498,121.97723,166.73488,186.48097,174.201,77.05396,112.71129,138.93033,155.28273,74.60736,151.33875,176.40721,172.09926,111.24826,138.74516,81.20785,164.8487,175.54231,125.30926,127.62388,216.7633,332.62427,174.681,273.1391,243.40125,103.85976,39.662163,143.24103,105.90903,208.35551,119.93516,442.47098,266.21643,106.219376,274.97577,201.92442,64.406586,99.713326,162.69833,226.826,197.97726,110.2116,92.25691,241.50093,431.28995,322.77393,90.3793,363.6397,318.33197,314.5567,338.22458,188.2873,272.50494,275.19888,101.66739,130.95616,149.5348,389.00555,374.88327,163.29031,44.900215,28.765232,68.76271,71.212524,54.54944,86.08005,123.22183,135.4267,228.01567,183.4814,138.28246,73.66411,235.9302,134.04318,184.67152,65.75362,38.34251,102.21565,137.49062,121.38358,127.95026,90.10897,98.89949,80.91162,136.7458,57.954784,99.59154,107.361244,55.65604,109.66734,109.46115,209.77748,228.52794,328.76746,226.57468,51.376194,27.330519,108.71691,250.32971,194.34358,104.00866,205.81662,386.03372,243.85098,86.80328,135.10936,208.91553,88.81036,266.92267,257.24237,160.32822,322.11264,332.3231,172.86029,140.64696,262.05368,452.24426,289.1648,47.684856,57.87326,207.00122,454.88678,185.83559,555.9652,540.12756,364.28543,319.77286,372.3616,277.36557,45.33515,190.92236,331.9699,141.3853,69.64798,167.757,33.02938,128.53531,181.8522,240.0484,184.67426,159.37544,293.99542,257.79913,142.29517,80.30287,50.773964,53.54532,129.22617,128.465,133.04195,72.48831,136.57065,48.812286,66.5511,71.40812,90.36053,123.193085,143.57216,33.5,none,
567872.4,242326.95,360.14563,1370.8761,1890.9888,399.0402,1333.9434,843.9424,90.46819,204.3452,148.78096,157.8537,208.49007,230.80154,84.982445,158.97314,101.46967,140.56769,178.56317,85.02649,11.001439,108.605446,71.47873,138.43509,51.252033,34.15567,87.18609,59.124393,122.43407,173.98189,236.72264,134.23087,52.00912,119.806984,80.95008,72.09447,92.32396,87.485146,122.215096,81.05201,104.994026,49.674522,30.065598,136.49074,88.48075,171.4558,317.8607,239.0991,186.66277,192.90381,106.997345,135.79526,97.51272,56.95425,14.687455,468.2752,534.36224,256.62668,162.86986,141.9309,94.52604,94.67205,255.976,285.1174,151.8498,84.28544,78.18083,137.79733,283.01007,303.26505,560.49945,613.35126,485.8633,214.19685,371.33426,760.8047,658.6608,249.63736,122.15931,289.00708,372.09442,115.47807,62.346024,74.78518,128.08974,160.95845,118.31441,94.23623,135.25749,102.280396,58.67492,68.05371,366.8846,314.68494,156.97125,180.40459,151.42577,33.331154,74.11888,143.40083,143.30356,94.915146,112.31363,133.25896,146.80122,112.18897,84.947395,29.998295,210.58719,365.5991,277.0666,193.96701,198.46371,145.01498,121.95259,131.8801,134.71544,78.94621,101.66316,40.250683,195.62119,221.80943,56.608307,83.03569,61.917767,121.819664,202.07083,63.1992,79.376595,474.95544,454.98685,137.33679,58.32628,68.09186,114.0439,297.2511,178.47438,68.31193,28.108343,168.68646,352.55588,369.94733,255.72935,144.8267,208.27159,290.38635,204.59238,322.49118,181.53789,280.7453,117.22491,169.13707,209.86372,256.39792,234.65833,87.09876,126.92202,76.34401,123.246994,135.89818,136.69174,110.349915,209.22571,144.43669,129.84631,85.71585,165.24872,143.87334,244.33376,129.5851,265.92303,129.71179,49.40012,161.08917,148.36992,212.22105,173.75224,50.340687,191.11261,289.783,248.8829,119.63953,97.445595,95.19193,140.05399,105.66875,79.83637,47.034443,139.56938,191.67337,179.74902,111.68369,90.62515,163.33319,68.01419,67.35895,108.10561,81.074554,164.91515,176.25784,522.6679,325.24756,55.126957,58.97082,40.190357,236.28877,150.93077,156.66318,61.359905,161.59598,82.614426,172.5673,252.64137,129.28157,271.37122,289.16937,254.15726,409.90326,280.1993,262.95956,458.65085,56.913063,369.14975,264.7085,288.12415,133.32198,235.53741,124.447876,117.181076,143.89156,128.46577,18.755192,77.26155,125.19697,4.6683326,121.165436,111.12832,81.141,130.969,250.8655,174.92015,146.14513,155.83305,133.1992,95.020744,250.61612,338.08612,264.1909,143.72241,221.92352,229.04941,98.99127,93.2936,141.4406,138.56743,205.72888,87.84375,none,
