bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
560668.9,240753.95,1502.3015,550.1891,2070.2341,3160.0293,2227.736,1858.0363,608.0222,438.5235,207.57884,13466.39,65506.16,50706.83,5081.3535,604.717,422.33026,855.2006,326.70087,460.4879,816.75745,255.99638,331.1355,606.46985,1620.8358,2451.5908,701.4077,487.38196,453.8407,146.71225,233.25749,149.36572,89.45028,137.56612,274.2331,111.18586,1452.192,4281.416,2179.2734,141.63998,443.02167,44.196945,337.68143,489.07715,791.1249,181.33586,103.24824,124.31557,109.14692,722.51697,165.51213,260.08276,66.86246,221.42561,369.8325,289.13153,394.26025,202.26134,159.62134,251.35704,193.49763,139.69894,453.56726,321.84607,442.3227,322.05872,217.47308,157.4474,324.85718,190.09949,295.95718,120.37483,165.17934,333.5353,643.6478,72.84496,482.63956,176.70836,65.91626,169.64972,259.5071,226.51474,108.42079,221.58623,353.8938,260.1415,326.0915,158.7215,321.33136,240.82681,123.144806,220.8332,59.2464,206.93669,249.19402,115.30102,69.7345,240.54196,107.76933,184.62454,51.58788,362.6858,254.8591,215.71054,107.83991,18.970406,64.91399,270.42075,407.40094,490.19168,582.5255,361.04214,227.25385,118.53065,377.4775,24.944012,255.35172,313.56998,284.10117,43.842747,43.798023,210.55049,209.11386,122.06454,125.546364,85.95508,298.59106,137.71162,211.2015,192.04123,177.52637,185.4829,433.59985,874.21375,975.4341,38.836594,508.9425,366.46738,279.27805,213.29317,43.141895,173.33372,160.01807,74.74552,97.95417,31.345936,198.72563,450.4415,387.16302,188.87524,60.1343,430.79016,730.2785,579.21625,534.96277,186.40308,433.19022,329.69586,509.65704,86.32235,232.30815,240.51288,213.85365,90.12653,106.53313,149.28912,194.57166,195.32991,240.90575,100.14286,73.65931,189.79173,80.02981,208.56487,45.09628,168.62152,188.454,265.80807,292.38263,73.13993,186.00763,242.94492,237.27791,306.04224,273.24548,198.02704,237.66066,203.72821,107.52574,72.12084,310.10648,340.47202,436.0368,351.19394,29.793507,122.21361,264.7494,645.43353,1026.593,264.64865,644.6844,359.6061,384.2796,269.2314,133.00938,353.73087,400.31183,313.90762,434.1932,449.0267,258.83044,117.62887,61.8449,84.51281,112.75581,127.15587,331.431,377.94635,241.88751,107.140305,83.158485,313.3233,293.0595,54.90791,211.7193,128.48584,255.07239,311.10666,245.92581,150.94469,184.71297,211.92352,284.73535,117.384834,195.70454,164.71857,51.309223,126.05008,201.36966,205.1434,100.384834,162.39563,142.04681,342.29382,582.0805,33.73464,168.52194,101.14809,246.87659,411.04407,316.18066,314.8663,226.9231,142.08664,175.5696,155.98972,213.40625,none,
579929.75,246251.03,4298.962,5093.7773,4639.7905,3183.1616,3784.52,3746.718,1677.9978,985.00146,1125.63,13294.957,65118.168,51247.87,4947.6855,733.16473,1155.5264,595.2988,337.2943,511.70212,833.55426,126.46795,540.33887,424.82162,1620.0814,2577.7068,175.5712,391.9374,272.08008,229.93613,632.32855,682.24,702.7546,389.74057,862.45575,236.26341,2066.2344,4685.128,1455.1517,472.85306,683.835,118.3874,252.18916,275.26007,1128.4587,925.67725,577.7771,230.36453,135.54327,622.8033,909.36505,380.96204,290.89526,435.31595,132.75172,228.51518,255.43684,119.614204,80.455444,117.47839,299.67007,344.33466,620.5465,300.40622,103.026375,143.6875,60.13086,332.9611,282.21237,371.58612,287.7329,340.5588,344.0528,233.4001,900.7804,305.04028,230.84229,208.02443,207.51195,249.61812,54.736786,210.14941,381.37253,269.23178,363.74728,395.15607,456.25073,180.58775,200.03288,139.23187,325.9115,280.90256,54.292393,372.74954,215.75328,413.9174,181.9976,116.85684,342.5363,492.83923,171.705,199.71764,59.263927,539.50696,626.68256,425.40228,160.72823,317.36765,455.73495,632.7665,451.46613,360.26843,415.10403,119.95807,401.34637,161.83383,439.96695,340.20337,181.87611,284.25516,158.61765,163.89545,125.14492,87.86058,97.93198,389.6138,273.05963,162.57086,375.7569,314.3513,229.63023,220.38364,244.69365,606.471,863.89795,56.729446,204.01476,348.21353,352.50388,286.45667,93.95726,120.69112,92.99437,45.57198,194.72699,117.17825,214.52412,299.35718,251.64084,114.04906,94.63659,254.22119,343.94427,556.3688,739.23816,549.5259,320.3099,263.29453,337.33676,223.88745,299.00436,272.7649,239.90218,146.96373,127.12381,151.31105,248.5363,413.46024,365.09567,96.96795,148.14662,84.203026,241.9216,120.22407,311.66498,409.27896,307.40033,291.36163,179.87459,179.3549,98.59888,78.67295,91.396324,331.7164,78.10459,287.3033,228.33586,203.36038,338.38745,505.1242,339.527,143.81085,141.63086,79.50853,84.182976,39.293205,255.34665,412.53506,553.21826,1144.4902,592.1956,415.44434,298.22153,409.1031,718.2872,712.4852,308.67975,189.04561,307.72534,370.5607,309.69165,170.83762,52.89351,228.99455,105.79993,161.72797,135.91302,449.03625,346.68442,122.47494,174.57791,295.19458,271.35764,87.14904,101.916794,329.88388,300.33945,176.59496,97.49838,84.00357,139.5498,178.45258,203.42732,173.30928,126.280075,23.437735,145.21547,6.284686,259.28928,209.33896,304.00952,425.5475,98.03632,284.4273,580.6416,97.42522,318.05496,373.13058,315.79718,449.09387,112.55446,163.79185,118.25356,140.04808,77.37761,265.25217,210.53125,none,
583978.0,247895.77,5770.68,8476.498,7530.441,2905.3438,1687.131,1597.8816,2320.2126,1226.3661,1286.4106,14572.206,66482.83,50321.22,4407.095,863.86554,804.43176,426.2389,260.10214,380.17764,726.553,203.37105,265.15228,330.8226,1490.521,2661.9456,850.78204,281.85614,180.22156,517.9322,476.90335,88.6445,311.7421,694.4959,135.89919,307.81628,1725.2529,4537.963,2548.0396,242.11362,170.7645,33.345684,139.96324,569.1194,791.16724,338.30765,330.43256,220.47855,115.104866,912.6144,686.8766,467.5808,383.09604,254.61783,193.37726,31.192148,153.92044,81.57898,112.97471,221.575,180.74153,920.12555,1054.6594,479.2286,98.31868,132.5519,113.95269,75.83762,122.944824,267.87613,200.35744,46.362823,136.97864,357.0029,915.04364,640.2359,284.40167,271.71732,119.31227,205.18709,435.27832,616.51624,243.42265,282.82913,95.53908,111.78971,135.51353,598.0347,397.23233,134.44002,150.93527,283.83722,426.1986,182.90775,217.94495,142.58284,134.30629,155.10645,380.87222,628.5165,412.52533,287.93814,361.61005,277.78186,80.679184,243.79779,166.73933,101.79556,119.19312,163.29997,409.585,367.96872,816.2266,816.5024,283.88327,362.47122,189.26373,140.66823,165.25769,365.1446,114.976036,118.9429,186.8203,104.4434,135.69695,176.3788,49.81203,209.62953,180.52333,174.22139,42.44272,194.53455,257.37045,501.97162,882.4736,97.701866,164.11005,261.95563,343.10464,422.31198,327.63232,199.44865,256.7777,199.48643,142.11223,34.181553,196.35954,342.1256,223.13083,355.0971,226.0955,272.27036,331.93402,304.83508,604.7217,427.84262,786.64685,778.05804,195.39343,169.1756,90.12126,122.49286,206.11015,138.78181,209.2806,223.23268,242.31505,47.97216,165.38943,206.62984,109.61396,148.78635,60.30732,174.18196,298.28467,142.97614,172.80232,202.93431,186.80319,122.222946,192.16087,215.42194,415.55652,172.00401,316.41373,470.55496,351.2729,413.0407,376.14188,137.73366,78.891014,128.9179,290.7481,358.71335,429.3553,566.68176,508.62225,317.1182,240.80528,547.0181,992.2443,357.30322,680.75433,578.4097,266.8696,404.47433,270.0676,145.70052,449.18436,264.04803,85.398476,123.56138,69.95267,177.5042,394.33954,347.3083,500.55573,489.40482,366.0009,39.97373,113.627785,306.27332,152.97044,244.72058,54.50769,206.26367,54.777813,32.252914,122.67776,88.49698,281.582,381.30902,267.37088,266.8287,327.845,305.87766,235.48457,91.3009,90.53045,268.17624,169.51009,78.670166,251.20705,351.17053,349.58313,225.7168,312.1561,157.09082,220.37663,295.0287,260.2062,317.60016,351.13306,187.42526,195.8324,64.94534,42.09375,none,
565366.1,240546.77,1876.2081,1270.2571,1094.9373,911.1488,1069.6932,1401.8596,93.36312,419.38525,652.0039,13772.445,66391.586,51001.95,4587.986,145.09744,400.80566,395.14938,424.47086,324.36044,407.68875,423.77316,89.17199,174.6022,1662.9989,2196.0925,561.95154,500.47488,333.89252,271.02588,177.46251,577.4966,453.295,180.33875,335.03235,267.492,1663.3093,4649.5596,2270.0237,255.81302,178.26895,235.07501,159.23444,641.1403,791.4612,260.30142,344.3729,271.26538,95.170586,647.83734,537.9921,313.86584,385.5728,260.3381,380.61545,159.84346,82.34392,93.25534,242.70561,230.06897,315.29517,514.9205,761.89764,221.6915,161.8174,144.49966,40.27861,221.27171,342.53885,300.80655,117.628426,117.980286,49.737,177.20454,286.19125,194.49736,191.68745,169.03355,55.42609,241.0601,404.1396,159.25687,42.98699,70.81103,119.05499,158.94812,54.72041,376.7855,119.205956,365.56198,355.69452,320.1039,272.4763,160.95053,110.68444,116.14429,254.21538,74.30751,341.582,435.64865,99.4622,123.602104,127.720085,73.4541,84.44363,119.43786,96.107735,160.49283,255.73756,298.259,351.91135,794.70197,659.0892,518.039,31.473139,107.49045,112.607796,295.45172,221.81839,48.747707,198.52798,223.53725,185.75253,301.64456,280.10516,244.20076,181.08345,119.85156,201.34917,147.27853,161.03354,163.66042,240.5017,738.9822,796.8228,132.91214,355.68005,289.2022,265.38916,60.407684,190.69637,279.8511,304.7468,105.76257,149.79019,178.35016,107.33149,290.2194,386.93008,202.98079,245.80269,46.923347,84.29424,255.54338,614.9335,816.7727,295.74326,195.46083,257.98456,127.61096,161.99538,273.0719,307.6491,299.52917,315.80618,48.521122,189.35477,274.69876,315.6482,178.21336,240.42175,158.30835,191.98726,344.8683,363.53955,295.5445,107.38061,223.825,34.46916,148.35645,138.5222,176.29172,64.204384,220.63661,347.41962,80.374954,208.88464,132.60167,260.8902,326.71548,293.52057,257.86972,156.24902,252.67696,241.014,319.531,203.20117,235.56581,735.46735,786.0801,150.48102,491.08783,551.50604,611.54706,333.05115,280.2813,139.52795,171.54138,278.18594,129.33504,144.77386,233.50528,249.95996,103.09177,140.16647,131.0389,49.123444,244.50676,163.09299,289.90933,115.18597,267.678,225.03287,355.29544,268.53207,182.74144,103.99222,28.362991,192.68079,161.52039,49.656574,154.61098,128.66052,143.28891,125.26953,128.13976,199.80032,52.38978,96.80794,34.03628,157.12491,214.75948,457.64008,266.8856,224.80002,411.1228,337.5915,317.42712,74.40367,106.37527,151.7703,292.53165,257.70816,196.26486,227.92326,48.959915,78.0,none,
549943.2,228734.5,7584.0913,4709.064,4379.5435,2913.2795,1853.7784,2286.4473,2019.4978,1135.4235,1369.8003,13775.992,66492.875,51645.504,4916.914,764.9699,1139.3037,480.21146,433.56247,2225.7283,1379.3862,722.83563,91.27621,820.19244,2083.3215,2240.5688,1234.3483,885.89685,1036.994,638.55566,1107.6144,720.6942,421.70517,722.01355,331.4686,589.2082,1448.5779,4131.4995,1696.8123,285.38895,527.16034,509.93353,326.1854,602.90375,769.6089,315.66306,643.4642,350.4745,198.9758,805.69495,343.33673,305.4541,531.09235,386.16403,87.69426,437.90704,166.76047,323.42776,304.9985,336.57178,450.318,867.00195,955.34155,184.28027,323.03223,206.47565,245.82178,201.34746,515.06055,767.0465,574.2366,414.4285,219.01299,458.702,506.28995,78.91676,105.72202,238.40395,241.09016,249.48639,328.26453,152.242,244.96187,56.974594,104.72901,146.44376,518.1171,329.4696,394.36414,259.25208,459.06168,305.61472,545.9224,516.75934,91.46805,222.17311,167.96933,426.346,294.20065,346.57193,211.55922,544.55725,385.69623,329.61502,95.65395,86.6519,249.17062,675.0578,767.60425,805.61786,499.90167,458.96527,800.94904,642.0326,238.1947,262.3164,72.87007,466.30475,527.6744,219.58055,327.26334,329.6455,220.46446,73.06033,222.92989,466.52838,410.97742,674.3167,579.27856,475.51212,322.71994,489.0101,419.91882,494.51468,511.08508,162.39458,225.74396,280.1109,485.673,344.49707,184.70444,167.18513,234.62643,219.14352,286.90732,441.48605,375.56927,382.3794,415.53793,240.67368,404.72723,450.2169,372.5658,235.0559,175.92897,720.84894,658.8033,453.22626,640.4821,315.37518,157.8846,279.97147,118.05144,252.56409,322.64734,149.32057,175.08395,152.85793,384.79617,221.0482,325.1445,397.78885,417.54608,456.56427,234.33032,444.82535,558.8769,678.3702,525.96173,425.45984,418.94592,325.64072,98.27321,229.17923,245.8548,187.8168,372.984,323.7279,528.4631,445.31973,288.30493,176.85315,487.17615,387.43277,266.48944,427.46445,730.08453,512.72986,682.7018,686.7514,344.2591,299.25812,573.82385,323.25455,420.45847,658.70135,853.4263,640.66504,255.93718,82.567314,353.03445,759.57,788.6628,310.41016,230.32942,203.7704,365.14163,578.2182,192.1153,384.21896,596.61566,363.6274,179.9676,409.5442,578.2226,466.19336,249.09856,245.64082,190.98834,330.1931,535.9699,510.5652,588.06604,458.2509,521.2799,356.1942,377.93167,521.8519,366.19458,387.9122,174.04294,248.93324,796.8593,595.0387,559.9649,371.18338,28.16529,101.163414,349.99136,344.02573,224.05742,404.49426,554.5487,581.90845,317.69717,335.0066,169.625,none,
563298.6,242687.73,1656.3143,3109.3923,2137.909,630.6755,2095.0933,1074.2728,705.25714,103.31716,263.58316,13805.436,66777.836,51549.42,4973.9307,940.2909,401.35898,678.7436,436.87415,554.4354,1066.2803,748.9423,121.61983,565.01843,1860.3098,2508.029,967.89606,580.42865,306.2835,411.5939,174.15585,327.90652,175.51399,278.897,193.98788,117.26698,2164.6318,4245.075,2033.8022,201.4632,291.57635,455.9268,549.62354,1123.3989,720.7296,163.93924,209.44067,604.85706,139.68518,722.7056,592.29675,298.03525,399.81204,15.875131,118.86958,396.6808,286.82227,6.4963813,231.12209,260.9215,198.47646,446.06244,708.2646,357.09378,192.76521,327.4475,408.52637,321.84726,421.1087,99.64969,300.84973,204.28394,385.47617,564.094,227.03226,139.49617,157.30856,100.182205,222.34897,198.20193,106.3399,46.691677,323.42108,219.78868,75.82225,149.92311,348.68628,10.603982,402.89337,474.2552,176.37347,324.32153,396.9664,403.8314,74.6418,348.2351,458.87622,91.14324,251.97168,624.5051,425.29346,67.95692,140.56952,189.38803,45.93796,197.98524,468.8799,272.30777,117.60321,363.97464,306.36423,478.57123,595.5181,484.28436,509.4299,95.85984,366.1434,145.35736,368.62955,357.34082,346.56543,354.82724,408.81723,479.66922,438.30774,271.75208,103.40135,183.57999,308.56693,76.20228,146.96286,257.31113,528.3618,544.21185,589.9468,209.55074,240.72118,381.3681,192.0092,123.516884,317.6302,370.8648,186.45984,368.1598,294.98325,47.664635,120.22702,230.33568,188.0523,246.82195,394.86395,510.7759,399.11792,621.9969,424.5587,405.9663,125.46318,164.24625,266.09586,115.86934,265.07785,390.12024,330.11774,152.55605,320.35385,274.07428,235.5091,124.678024,247.83994,239.97379,260.18628,158.1472,137.83096,174.48512,195.87047,365.53885,454.41833,382.72385,281.13663,196.81447,316.89212,277.38562,191.63712,35.733364,97.79651,18.037636,120.491646,173.7817,370.77475,214.5515,98.16626,465.14996,386.16647,187.70169,376.21027,426.14624,664.09296,954.6076,114.50902,543.95215,383.3228,789.8228,504.39725,324.1488,315.23526,471.7187,482.94406,538.99506,329.23694,167.62372,217.76648,540.9125,577.5665,420.34152,244.21568,189.11052,161.43066,161.48692,424.80328,283.40942,517.968,303.59784,399.44998,492.7134,386.106,249.46608,147.42578,79.93176,162.2851,140.9623,32.374367,165.83492,214.12383,17.76234,213.73619,340.20224,88.78848,124.16165,100.281815,246.36673,346.35016,351.57434,301.5401,428.58957,195.74602,510.4078,282.2106,46.956394,143.00488,303.23666,154.67891,97.06427,195.99365,184.29385,182.08112,489.20956,489.90625,none,
566495.56,242097.64,1033.1333,849.18054,863.7494,78.97427,1666.59,619.8956,839.61017,594.1067,306.0507,14097.494,66880.0,51261.4,4551.709,551.4373,532.6818,435.92792,449.20215,302.28128,622.3548,368.5757,241.27567,540.87604,2371.5945,3005.1462,876.90704,655.0706,529.1025,558.91394,426.75812,348.39108,80.55948,81.34187,406.02835,298.4896,1944.7024,4667.1743,2243.4192,393.68384,382.1184,629.01495,862.91235,831.6445,757.00525,529.65405,348.64578,667.68195,213.49211,760.3778,530.72345,156.69243,236.88507,268.07944,366.5908,436.69647,337.3719,143.85394,337.50595,410.58032,340.5134,703.2506,918.48553,349.56076,78.38506,180.2785,132.21545,349.28104,205.46526,205.49336,296.26575,118.00108,130.80716,330.24442,517.89355,505.35825,289.6849,313.07657,193.86674,96.33016,321.04013,424.19855,411.9612,177.03058,235.22334,332.30444,385.7649,531.7338,309.056,473.0534,536.15955,663.45886,469.96677,112.658676,381.73312,229.09352,96.374405,172.03514,222.4898,228.3459,176.32109,229.97037,31.739033,168.24913,146.58975,136.90152,404.06403,341.04944,300.05475,563.0278,579.5806,512.3887,319.70227,224.93327,346.44888,393.76047,133.04155,225.75183,148.79327,112.10621,97.231255,321.5288,313.35666,490.3751,282.0897,145.94623,93.43147,164.81169,86.38918,165.7914,64.88321,211.57904,128.41296,445.06973,735.27234,328.98172,437.7687,401.4632,522.5374,440.2423,251.80696,159.77696,82.63888,196.28513,181.40718,311.58597,363.462,202.60588,200.42319,175.05002,310.03687,368.64914,587.71686,743.25385,457.86047,278.64587,304.5496,483.90097,264.4368,82.515076,26.963938,213.50757,167.50903,234.30927,295.29565,225.82944,162.3996,46.384377,295.20215,276.48532,63.56583,196.292,62.00928,248.6057,225.77412,270.40628,231.14343,64.45943,64.13527,133.93161,213.90494,197.26508,114.61773,190.0783,274.37848,267.97397,226.57985,123.546936,208.56343,296.7594,433.85797,351.28284,164.14204,362.64636,244.91185,276.61526,313.09418,618.44745,519.83997,375.61658,980.94824,893.2234,354.4589,174.642,111.226166,141.01627,173.34944,418.89505,263.50192,152.62962,96.898735,79.01729,137.17052,413.674,302.3934,147.30945,190.13448,160.34448,242.44489,27.97721,265.8731,142.31615,12.307958,258.873,416.02298,445.7767,350.1318,199.08057,190.58983,377.91864,390.7031,122.27067,180.18803,264.2974,200.066,77.706055,69.60139,111.41226,299.49237,212.46402,110.8672,389.8936,272.3956,83.74265,295.377,441.55905,153.2359,286.3636,242.57298,469.94397,475.60312,256.40857,151.7467,96.5938,44.731148,312.0176,330.3125,none,
567524.5,242404.03,136.60352,765.83386,1405.5018,683.1756,1266.9033,146.90974,103.5701,589.0484,1047.7399,13774.854,66356.91,51445.164,4536.4087,529.0518,464.88492,419.84644,827.94653,250.24673,739.7749,510.7101,187.81587,842.6024,1756.4146,3016.463,617.57227,253.36707,420.76736,418.0934,171.42708,384.02383,430.8664,656.9051,95.47425,295.18976,1628.0911,4494.736,2173.2087,580.0339,285.701,527.82227,529.9675,25.271757,1003.29364,580.7826,288.24878,211.08797,260.38354,604.63,805.59125,274.67575,249.8663,590.26166,495.77203,861.3623,305.82227,214.56581,147.66734,78.02681,164.95682,216.37265,571.6519,103.80647,210.34613,161.17708,214.95946,100.15035,224.62305,155.03079,115.96003,258.4649,162.59267,597.4608,576.8608,312.6559,83.8277,131.50438,130.42052,33.151745,217.51324,197.064,15.718719,210.08324,72.04878,109.4255,249.95403,331.48706,87.3823,77.115074,341.56146,172.92702,266.1299,261.97363,193.4445,236.05498,248.11089,219.92097,196.61726,128.65446,146.61507,339.4011,164.43593,81.27365,199.28268,238.54529,245.6601,168.05092,348.4163,224.52078,120.75262,521.9989,100.260056,300.08026,157.15324,383.04834,395.6306,254.39339,199.19928,232.98294,272.64026,87.09462,146.96815,405.03598,294.73734,72.86087,14.818336,74.1814,73.76661,214.6817,98.288635,175.93466,300.87042,569.06055,411.5671,386.15887,630.1876,316.74493,40.722214,117.11797,198.54271,205.5262,112.81905,150.6227,189.75346,277.78366,214.87134,150.04056,175.1864,141.09831,22.232733,231.33995,174.58612,137.12059,189.8529,747.0239,390.5732,287.52496,341.21786,109.919846,193.27031,145.793,31.575157,143.1521,115.918106,136.21358,377.22998,304.92303,276.11902,192.51463,179.51892,127.4092,348.83246,201.19098,188.54462,114.51163,214.80527,148.11487,188.8948,244.22623,156.20067,98.12003,91.180374,169.40973,244.48807,261.03168,393.75504,128.87592,168.58968,161.06317,247.09444,106.85365,302.07535,356.67285,219.93953,204.1204,167.01857,379.4974,171.074,749.33435,802.00934,349.5826,673.45056,363.42538,601.39996,351.48254,593.42206,406.60873,280.09708,113.30328,329.22006,347.16605,420.91763,91.253204,171.46039,192.92445,203.44916,106.30398,87.55794,152.02614,203.40062,44.962833,170.60434,80.837006,261.2105,160.03139,78.26073,474.57895,253.2834,191.83112,308.8258,174.54588,128.49562,222.95535,97.80484,190.5249,93.03645,201.46947,228.8226,157.43777,96.41403,133.12619,23.777664,203.30873,75.92078,216.15558,380.36758,133.94446,348.59076,368.7612,232.01071,299.73703,249.89499,143.41307,218.69121,198.7231,156.5,none,
567742.4,242265.73,1514.5082,806.7467,1067.6467,911.225,1747.172,591.0915,415.56992,761.2529,789.2939,13592.666,65985.805,50832.78,4905.726,703.0891,208.68433,462.3554,592.8894,757.8062,381.4384,623.2399,326.78644,384.14087,1750.8965,2346.0972,268.17465,376.08493,393.58954,216.88263,293.98434,210.06323,601.8365,729.0077,633.2271,275.76654,1797.2391,4337.585,2061.7043,120.14361,200.39134,298.508,440.96494,165.22084,859.4236,318.19208,210.42627,517.73816,366.90955,882.35443,609.2325,299.21133,273.0398,349.95715,299.38373,327.67706,463.67758,74.6586,142.37024,127.58118,210.93422,484.93506,499.73077,213.3687,103.4298,427.5178,217.58983,276.94913,327.67166,291.28583,320.69708,441.4606,222.11487,419.6704,733.64746,418.73306,180.33902,113.237366,125.46247,89.69948,52.4779,397.58984,564.78125,349.31396,208.94519,485.81912,409.2883,17.013035,129.4981,463.86874,323.25418,140.48677,335.84268,555.84,561.2533,56.42372,33.931934,149.45058,329.44052,210.4903,376.1113,394.78488,82.88247,397.73718,247.5958,188.06004,340.37265,444.09708,396.8256,538.4745,493.68228,589.6632,135.14435,427.2706,326.97025,283.52805,213.04597,165.08017,87.011925,123.877014,116.7246,136.21056,144.55489,240.13297,200.27191,209.78224,199.41275,247.09787,177.5543,33.143005,414.78226,545.0627,450.5428,612.0596,841.9567,327.79218,379.9362,290.63373,179.8937,162.52817,19.323713,89.240715,265.22266,153.64606,199.49625,193.1424,140.68854,64.43354,191.16422,184.39645,250.5356,399.65988,285.7364,280.2851,753.1065,545.87946,211.32448,696.67114,282.2372,31.11453,93.25098,83.3108,206.09216,220.9187,84.35627,318.74344,17.324568,75.38433,167.4851,334.94403,350.0751,162.49321,193.98468,75.227776,73.12045,233.1333,164.28812,308.4409,156.31876,118.1464,128.52283,178.97128,237.1206,289.50266,364.9615,459.7792,418.87585,200.5263,313.3358,113.94896,141.98451,122.90364,215.58643,283.42932,190.6218,301.2338,276.2616,613.6213,806.7426,116.723,871.1993,1127.468,304.74475,77.57882,355.36862,222.18187,364.8868,184.9233,333.08713,326.0889,218.30042,229.18155,242.97481,167.5788,130.82695,43.132984,211.51538,229.38394,121.47263,148.20677,376.77866,372.84796,131.30952,255.59216,220.92567,164.08298,125.44982,304.25897,332.626,313.81653,157.79295,88.11916,28.317623,55.22739,90.58814,100.210915,268.3253,433.70667,56.67935,160.04251,172.72261,161.5343,307.9558,120.454056,195.1905,138.95657,336.0498,470.0199,564.54626,338.4341,175.20511,236.27147,415.12866,231.58458,301.13586,210.40843,51.84375,none,
567908.5,241878.11,1091.121,997.529,808.6199,428.34747,1409.9824,413.71326,544.518,646.5223,534.6475,13649.44,66006.55,51062.754,5015.7305,672.638,116.182175,700.95776,529.6255,550.00415,440.9941,598.7249,740.951,193.46861,1719.3812,2345.9321,699.60565,84.68141,208.2647,512.4318,138.27008,420.57214,447.8263,25.090155,139.43567,131.78769,1972.9021,4757.4907,2178.5286,605.12115,881.7693,855.0315,385.3558,649.55554,1231.8699,556.0981,317.0669,260.73917,242.41608,415.6397,367.3831,138.71565,52.422546,268.71225,135.54008,186.12932,231.93849,327.67462,282.2247,183.58838,351.77817,488.74515,736.69305,182.69362,62.54034,47.086716,326.22684,312.8096,190.9605,287.2647,168.69437,235.26416,177.91162,200.68394,659.5861,524.1665,275.60034,88.77958,206.23619,94.459,267.63525,248.3507,187.37053,581.87976,425.277,185.39487,40.78034,307.3041,508.90857,332.4153,339.67392,199.78906,264.95892,258.81168,215.31406,458.1349,426.04315,140.24069,312.0604,366.2931,262.18863,287.11353,60.635174,191.31754,252.33087,254.13382,201.8807,191.55458,189.87555,121.1265,450.03625,440.20175,782.20447,665.6146,235.22772,250.54398,328.2572,70.21308,125.56529,185.43112,155.31883,293.0062,187.92384,300.76,434.29562,315.02966,110.6316,41.046463,190.93791,273.262,221.33286,291.47137,223.54936,616.6293,580.5673,497.14975,442.90915,173.39436,220.7538,69.67718,219.00136,337.19623,189.34335,127.3614,324.11047,281.2913,188.62285,390.2567,394.35223,400.0527,115.00689,429.65854,492.7475,357.4417,96.80062,183.9809,379.80923,454.00012,439.18295,574.081,474.69788,225.12198,183.32632,155.60388,208.68744,192.49925,263.2057,399.04028,85.994514,110.46927,65.62237,305.85925,348.81268,175.88329,263.46722,235.82266,126.02896,126.10562,228.96236,352.23886,174.88298,142.62714,110.45681,118.94688,113.45768,92.48448,195.39903,345.9718,193.73631,245.82455,120.62995,125.51681,139.06696,165.33025,197.235,389.24292,502.8381,666.6582,45.12394,518.4328,395.15164,598.3931,273.77603,414.5943,324.5356,96.776886,136.717,26.834087,126.34284,45.46239,365.7622,252.41583,126.64323,86.62475,234.14348,153.64058,124.357376,222.24702,248.19482,252.52525,290.41046,324.6755,44.490772,270.37665,207.86328,194.49268,61.406536,202.27069,264.5525,257.71115,101.76711,255.70465,152.6928,90.770615,75.20264,168.89093,121.175354,198.9045,186.29259,160.68138,366.5368,522.47046,250.2071,598.4958,453.63455,400.15738,253.28467,206.84671,44.718746,206.60419,345.96506,317.83987,133.75143,467.18423,400.40994,240.16754,93.34375,none,
