bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
569520.25,244098.66,1954.361,1909.7507,2479.215,668.36456,2156.0671,1751.0348,623.38214,111.31437,273.73407,1559.1273,6831.8447,5493.3203,826.8757,116.39137,423.65057,448.9399,340.89053,263.64865,436.19373,433.79602,473.54758,508.3517,126.73629,32.45424,170.69746,199.14645,115.31864,104.23081,285.83765,258.72888,194.12016,282.6264,410.2328,647.52515,832.1299,756.6946,221.00081,285.80286,738.4101,1042.6791,206.02527,462.99228,211.96762,224.99847,273.2194,76.47155,145.43658,61.238434,99.637436,223.71266,106.11121,90.07624,104.05631,160.31929,165.40701,107.76979,92.79819,201.82668,157.91907,130.9165,114.56682,115.53026,302.57886,184.31158,165.34398,48.452034,324.33035,342.2635,325.2579,70.78968,124.00654,303.74652,130.40698,197.09367,69.32951,326.3866,313.80423,109.07486,99.33174,312.9359,254.65231,156.58325,535.84393,408.54797,274.87695,108.56746,168.91388,243.64445,251.7408,308.245,321.52896,228.34573,104.02591,171.85464,202.11548,53.024906,57.88013,94.22936,138.34671,188.0809,196.67801,99.56233,70.1945,193.9216,86.41331,204.33652,304.08896,412.98727,387.32834,95.94332,253.3052,310.10733,225.6125,251.64577,535.9179,336.01788,330.26428,293.63406,183.11725,178.5615,126.20815,147.39293,177.2029,241.2954,191.38943,201.5554,260.14224,14.281791,290.96454,238.08466,324.61044,584.7701,761.1255,188.54332,562.71484,231.5823,132.48102,65.591896,258.6639,170.31662,148.90942,106.62345,163.8148,56.41114,283.62097,108.62373,106.100945,375.16397,324.5134,252.89268,439.6061,347.3159,260.7558,244.57367,379.97968,749.28845,486.05646,140.95984,262.02878,9.838401,168.00365,319.11627,340.84,91.525604,168.74625,88.35776,68.391235,141.87888,122.06254,147.17046,3.3074176,218.88354,181.06007,194.78558,239.32687,115.71922,93.331764,161.45764,139.6594,185.54865,282.95453,236.39798,114.91275,116.64661,26.196775,65.59623,85.12091,222.32454,369.06085,248.76262,505.75314,486.1283,493.0691,610.8281,370.17505,499.41656,877.7924,631.41406,344.01627,453.7024,626.49445,305.33194,171.81235,190.4735,274.5398,289.93567,379.73547,377.64334,199.25394,112.43481,158.42213,368.08304,346.2628,189.06215,107.35471,275.20413,118.16393,129.84885,85.00102,43.54981,104.30443,126.17256,197.55617,133.89233,48.65254,187.3328,137.39305,247.8309,402.9767,239.17545,128.72029,222.17935,106.89772,155.53014,160.73645,91.69029,200.99222,231.57909,331.14294,490.95554,530.7659,500.2572,233.31923,95.58229,197.52382,130.18413,136.4184,250.25995,67.84497,99.37525,170.06567,111.95407,42.809536,82.339745,134.03125,none,
566268.06,241295.95,308.32568,1845.9008,3032.405,308.2021,2147.385,849.2948,765.1932,490.0655,247.2368,1639.971,6942.9067,5063.628,402.4066,307.51373,23.198393,301.8962,456.56497,730.0921,584.91223,335.66016,559.87036,577.4429,654.24316,542.5616,522.3548,140.56894,211.80615,346.1748,76.917625,140.0977,69.19715,82.78794,249.96078,197.81142,117.30748,550.23193,553.6724,197.1957,362.95508,569.80914,1007.0621,450.803,533.83673,442.34995,382.3655,419.01163,285.2578,305.30255,267.07434,236.11331,239.97726,240.70514,329.18948,343.27658,232.42049,118.07865,129.99023,62.83793,120.51068,140.26337,270.61752,129.29741,248.68088,193.99907,344.80585,343.25323,133.63263,212.00455,405.16074,432.6322,208.4556,156.60313,321.38568,79.98663,134.01993,34.976803,80.264206,235.44012,433.5042,242.89175,416.21783,168.78847,286.0016,184.25682,79.95567,195.0511,366.2561,358.49615,329.2636,223.20222,203.39485,174.63687,153.90857,171.0849,141.93651,134.20117,224.63678,290.93884,257.791,151.04422,156.2978,265.7402,252.68736,134.81818,186.15355,239.7187,141.01512,126.46163,312.121,270.64108,336.4247,677.6346,667.39795,413.44858,631.0921,241.9715,79.77006,183.77753,331.17654,264.96915,242.8815,157.42453,129.67511,191.26375,184.54663,169.87686,246.53448,170.67079,100.4571,436.7154,655.9283,771.77167,892.2264,147.11765,383.1345,80.07105,263.09857,375.12497,343.96704,56.362766,71.908844,74.13098,198.20924,91.77564,219.8884,84.08258,157.96822,191.26447,292.8942,350.38663,61.064133,326.33826,225.41232,389.4587,718.0428,350.62616,389.20148,3.4486687,135.2145,52.014248,113.24101,140.35513,98.38256,85.688034,101.47743,103.47218,218.10895,249.15411,41.14388,215.13864,118.672516,136.53185,343.3253,484.56543,441.38556,217.3496,107.680954,33.712265,24.715433,225.65712,412.5397,346.01947,210.83711,31.532713,110.49507,99.81977,133.13954,54.168884,325.80515,508.72437,222.09695,47.207542,122.0329,204.00008,203.38313,383.60446,1123.5049,350.84567,744.56,740.0294,409.75403,266.28687,180.49603,45.063858,18.113459,215.04796,212.08253,161.96953,115.38284,110.765015,111.49785,126.62054,56.313885,21.953732,267.32922,344.383,150.9257,204.45494,240.85945,216.79228,66.17386,68.038666,140.20592,39.94433,60.91562,103.61477,68.90003,158.6608,177.33984,307.14734,285.80835,304.69965,292.00406,180.00331,242.76935,304.99255,408.6697,171.15865,357.0176,108.44072,255.63983,397.75345,250.6925,229.60959,316.16977,316.65503,238.66911,155.34854,110.71609,233.69513,138.7734,173.02943,160.68436,101.83146,46.1875,none,
568215.4,244203.31,2664.155,4689.1104,5890.3696,1805.4442,2187.21,1534.7682,210.51382,132.83202,11.90587,1582.013,7239.775,5653.6606,488.16895,317.27228,398.80215,311.81415,352.16293,173.20575,321.61768,448.01898,280.4016,72.99533,148.3769,260.64902,306.07376,324.57913,91.18108,319.87012,320.9202,356.97833,104.65616,219.40361,633.12665,350.1097,315.65628,495.5157,116.53169,407.09576,377.0989,241.05037,696.6191,1040.9581,292.74573,497.95114,208.52463,223.35185,259.41074,195.18779,380.91034,481.65698,357.19528,335.39938,184.80705,28.290062,50.596928,130.61041,302.1563,265.71277,260.2369,205.57584,337.97787,226.88412,276.90482,110.72037,99.95037,196.36821,35.686756,23.729591,98.57846,321.94897,270.6727,59.614017,230.86333,187.20921,136.52951,76.08512,123.87292,210.78473,409.70117,168.85399,88.930534,267.67633,222.97235,148.73189,198.6557,245.66907,304.2428,62.00503,74.05748,269.77588,214.07436,70.00202,195.77414,122.5723,104.983505,177.47066,105.21638,24.556173,146.54968,210.6289,121.98243,118.60399,354.35306,376.99454,273.8221,204.18843,240.7376,203.9506,174.7756,253.07121,279.59045,357.78046,657.14056,706.4427,116.08056,149.98206,56.537476,227.91576,220.87935,22.539692,92.18751,320.89532,357.72583,138.9931,55.37536,223.30247,311.6682,254.83,290.1704,545.5192,477.14774,660.2129,869.85834,169.24146,429.54166,292.39038,220.59221,157.18141,250.86116,260.9053,220.84985,206.4851,260.20615,273.61194,70.126175,160.81528,199.82852,364.65253,390.2084,14.487369,58.91408,307.5481,448.69867,495.37958,91.985504,456.0809,241.02068,59.958946,290.66794,317.71667,176.03897,256.27222,263.4777,238.1682,179.25984,95.60512,291.1847,296.26868,463.766,449.16135,286.00842,112.50819,52.012592,42.145298,160.95161,75.82029,163.7525,176.09009,165.9994,161.37013,33.603138,166.24855,213.5697,102.92329,195.48697,276.1028,124.39564,247.17282,172.01534,235.7369,248.75125,339.1721,323.05814,355.08807,499.5316,549.53925,664.96454,354.7904,851.1235,361.26468,138.90038,58.671898,122.85122,302.19922,217.60028,84.331604,178.24916,135.24611,189.17995,286.5499,163.17838,73.792694,67.75069,61.16784,49.733765,217.9366,164.14081,176.433,280.9257,323.74216,121.082794,85.39685,231.35957,182.1329,240.12242,156.10155,130.59221,319.6428,122.85442,271.42706,85.958595,107.30454,274.6323,244.95363,75.298706,63.674187,207.16971,118.429665,454.80765,312.8517,344.05823,436.79648,61.039906,66.72475,78.90466,84.27888,191.35143,251.4981,187.05385,280.39664,255.3822,194.08951,52.93088,200.10686,348.71875,none,
567855.0,243677.22,4083.9988,7707.31,10420.792,3483.9187,1696.6882,289.41946,531.08057,206.69012,249.99174,1408.9097,7297.6343,5748.813,605.21674,112.894684,95.70621,113.71156,127.945145,98.01177,45.276115,238.75723,266.94446,248.98267,286.15173,269.05215,385.00888,348.58237,204.0522,256.78223,174.26848,397.85175,338.19012,403.39896,436.2516,450.73874,351.38724,569.8882,73.92875,582.9036,767.0849,1104.8749,584.88226,707.9007,631.9565,298.8144,323.67383,216.24614,195.70674,194.48988,133.19496,273.6606,210.84982,123.659584,172.17102,196.14825,123.60906,32.693127,136.61617,120.58305,124.46358,244.63339,508.4415,281.95148,140.22194,144.873,264.16333,327.72733,27.997633,274.94125,317.7714,191.0337,27.788631,417.33902,555.04517,74.43337,432.3031,489.83154,403.914,182.01613,140.0154,200.31691,276.10446,228.26611,272.8414,375.85464,250.68526,269.89288,294.90448,150.70349,46.809208,81.934456,137.9195,159.55319,59.87548,174.23485,119.06672,209.27734,177.63643,32.531136,54.302067,72.601814,199.92842,160.16881,55.32746,227.70125,265.47577,125.13813,126.61501,217.96237,335.19025,160.9624,198.10577,491.0987,696.6783,561.43994,154.80641,515.3746,380.66406,135.38719,146.82024,440.66302,509.21637,327.35153,246.67313,124.43013,203.63527,8.344422,196.73888,177.28773,104.93242,205.98575,227.3225,782.4795,921.5426,67.314285,194.72499,16.167841,44.80452,49.774517,163.44759,194.95448,222.42134,346.9755,290.81134,314.35654,333.6494,368.47897,205.89911,84.235115,213.1064,210.6591,245.59132,211.041,345.89993,320.00568,281.05148,144.28716,457.04694,499.25876,512.69934,308.64142,97.9736,62.828663,122.08029,69.89587,127.111725,187.70312,286.3952,182.36186,239.16347,153.66008,103.26468,75.51184,16.650536,72.0368,37.032692,155.87704,200.734,174.96191,154.67554,30.331747,157.62602,74.21252,70.07775,55.475883,139.37378,304.62817,115.02078,284.98907,159.43085,36.470295,160.41954,260.23813,186.11166,375.56015,392.1494,297.22177,820.85785,1143.4541,453.94525,24.611443,142.6436,103.33679,142.38684,165.86116,187.76796,166.31409,311.00192,250.8913,164.6517,262.04663,66.16975,260.67786,197.51846,135.81322,208.12968,95.00005,81.36712,73.52976,135.41826,30.165545,148.39503,49.663692,230.74908,96.51784,113.43824,135.76149,271.13818,251.56857,301.4937,393.51172,254.89868,17.633322,88.466896,64.17803,107.8034,149.82738,211.91838,525.1589,702.1432,298.30136,281.63257,164.60399,129.03773,196.38373,105.264206,111.10923,83.95222,99.0313,184.8292,214.31726,214.13666,140.52007,59.916378,151.77284,238.5,none,
567242.5,242747.61,3980.1504,6817.342,10916.232,4086.069,1321.3666,1052.5565,959.7837,589.34644,330.38766,1541.1051,7374.2627,5861.099,830.73724,336.1921,308.5544,228.9665,129.20982,318.96393,459.6135,284.472,301.12698,340.85513,168.19788,363.3245,203.23233,245.21472,184.27065,395.37625,289.01703,336.5917,416.08478,363.89786,128.1231,107.29581,73.33998,584.1115,291.87613,39.517513,90.08023,787.2268,680.90967,311.50522,315.84418,195.38062,204.9841,110.37038,304.1754,516.7704,388.27783,204.31355,157.64592,143.06297,144.81006,149.85002,112.23391,65.38473,230.9022,149.5413,140.17773,33.57564,53.790623,74.96287,136.61435,103.39256,107.15657,272.98538,371.9669,153.13405,301.0754,136.01709,214.6033,170.66872,217.57051,202.11964,164.85179,360.9024,131.08855,189.71884,274.2872,159.99413,105.00102,167.12282,265.5131,327.35883,171.10956,239.76935,366.96283,435.92227,367.178,234.0402,73.28661,63.147587,77.86152,252.63089,403.10385,216.26143,164.02173,225.28955,261.42715,234.83548,224.11891,121.5136,97.166565,159.91843,307.48215,210.84201,172.23804,133.60887,149.83197,99.75185,481.43518,430.50623,237.24792,118.510414,253.04488,354.59842,316.412,310.5606,406.73618,230.33104,138.64406,204.01749,184.83504,145.23997,45.27913,241.55704,78.39019,94.417656,157.72574,90.11257,156.36467,723.589,1139.2196,351.3554,234.10968,144.92998,206.0258,180.90862,213.55136,35.76726,160.48924,259.3671,8.234353,314.13666,301.02335,314.05283,320.30237,147.64711,167.50049,162.60568,37.286068,558.20197,753.77783,267.74423,181.7401,60.55736,483.77563,284.4284,67.67464,328.9732,90.26971,280.5032,211.40724,63.988255,168.3202,170.50917,89.189095,268.01828,330.07642,154.67488,155.43594,204.93556,140.62923,103.82388,188.4318,77.845535,176.73665,215.71945,173.52797,274.17157,256.56723,153.65602,45.925133,114.21247,165.49213,107.75086,135.68658,244.91081,275.41544,97.6511,100.16961,113.92679,440.80087,825.24146,534.7325,399.14014,337.915,288.75983,599.73346,211.34216,165.27878,307.5065,495.552,453.77435,239.15712,127.73665,101.57348,73.74582,155.00919,134.12776,126.51942,255.05841,100.031204,236.88614,329.16473,33.42592,207.36342,311.44714,350.42145,292.47546,263.5628,382.29706,456.72388,203.15916,36.671978,177.94603,132.30177,182.61623,105.463524,100.10412,119.50977,258.24826,275.48334,161.07721,246.44913,304.49792,244.08847,210.7177,35.24732,316.3029,259.7884,188.76418,286.2814,232.02722,120.45827,115.99922,153.82079,251.47469,261.76218,230.80803,277.78625,260.00082,78.00611,65.17356,77.03125,none,
567310.44,242593.81,2494.655,5448.926,8190.7544,2809.9023,548.50635,769.1738,354.07407,503.813,220.16011,1324.9573,6880.578,5055.5645,585.63007,449.98865,455.18607,389.51675,182.96085,119.556984,379.49945,219.09595,177.2519,176.53284,416.14853,504.187,417.41843,325.59567,283.89185,497.2974,457.5997,315.83817,279.97076,353.72406,234.61115,318.27878,617.80585,544.60156,216.17139,480.32126,843.2107,491.79254,477.88556,711.9807,519.4927,312.75378,53.642765,154.21982,62.890778,173.72531,37.942116,139.3978,188.37413,128.5648,138.16844,242.32874,129.41008,124.49128,92.80715,103.74149,170.08458,184.8166,270.38184,386.37418,273.37567,139.83444,176.54793,162.93294,50.357544,100.042534,143.71645,171.28204,390.35532,346.6198,270.57535,337.664,254.53378,75.82543,273.37952,213.02881,283.06747,358.81754,81.795555,324.7513,195.88315,148.17804,260.9499,208.23259,51.673843,16.854364,59.921806,147.567,233.66077,268.81726,156.62265,45.15631,173.58617,154.53432,70.09211,139.06189,196.54404,170.6875,31.89738,67.076744,99.96308,62.350113,92.17056,135.95718,86.04406,138.33206,167.5655,193.86359,59.732155,321.78427,38.182743,494.43747,865.9162,567.7336,256.0152,264.74786,101.78878,214.40463,294.8227,468.1073,342.4133,215.02403,216.5183,38.480843,172.1871,163.64659,245.73239,329.3127,329.085,572.5849,570.3928,369.27362,530.16144,323.0485,344.95288,164.26581,221.79659,65.39825,217.0412,304.41592,218.77452,233.93587,284.65546,125.57161,7.7633476,79.1037,96.02807,71.49996,269.6682,230.01706,147.09097,533.912,955.76117,840.853,134.85255,332.14755,59.74123,204.53123,158.37878,216.5387,158.16429,60.261566,150.58617,344.22546,302.89667,209.80034,42.3178,82.82061,158.6476,71.09783,187.16559,236.06778,131.63211,68.93733,220.21037,295.05756,87.32229,3.6320047,21.747002,39.212753,114.775314,202.70905,312.04968,233.4193,218.84828,296.6789,319.2194,150.64551,266.71246,250.44548,94.12663,106.33169,508.11786,819.85736,312.81265,1079.4993,939.45593,596.542,147.19846,37.394596,160.99269,245.76422,266.49725,220.68073,186.9794,21.476988,112.20246,151.06898,176.62543,148.81229,227.92897,177.08168,145.75874,181.04012,247.88197,330.52985,206.67657,98.89039,130.87073,136.18733,194.81302,120.915726,206.71165,239.32219,255.79797,343.57922,241.78671,192.88829,280.60284,164.68718,188.60864,255.04524,207.0351,159.15065,212.35483,623.48315,602.27234,400.48288,318.7444,307.2709,173.57411,152.67924,121.1538,176.98486,243.68439,289.77036,198.5409,56.685555,311.23627,146.22147,78.341286,102.01236,251.9375,none,
567030.75,241591.62,2580.5083,5453.6836,4986.2686,2227.6748,1081.8823,476.83704,677.0505,990.2909,346.70883,1447.7953,6907.025,5364.6714,532.47687,202.18428,263.7539,256.0528,543.1647,689.4895,304.84128,108.07356,114.51179,229.69318,304.31964,201.88725,20.924028,290.0893,166.27684,215.29286,280.09555,250.11166,75.2266,37.979485,139.82526,349.263,378.71536,528.3899,193.9626,141.05658,408.31445,857.8337,272.19952,93.781296,122.5886,414.32428,362.31958,300.91272,394.12503,348.83426,272.68332,287.21558,268.33075,289.74274,224.21735,55.771996,112.63106,68.99496,102.39307,42.76317,98.735756,142.50235,362.34183,327.3657,88.42307,140.47968,98.464676,177.19147,276.80505,180.21094,35.464554,75.21626,24.695236,251.11206,190.30984,339.82724,573.75964,416.4777,289.6734,224.37961,97.2333,249.7718,270.71872,280.9448,465.52313,422.75894,272.91565,241.57773,283.0153,115.68687,64.11336,152.56627,156.85808,215.4464,233.75964,153.15701,101.323265,183.81366,70.75206,194.64468,48.646774,216.50711,228.41737,137.54854,120.20194,148.01735,206.70982,418.3091,547.5301,533.6608,341.96167,354.84647,168.6672,273.99646,518.8337,775.3368,331.52966,554.3006,89.22931,168.93356,83.286255,49.57038,81.92225,303.46054,420.176,343.70477,173.77724,74.2748,262.6426,295.5561,122.67872,144.28096,267.3225,444.51904,873.2287,115.6245,617.126,477.9312,245.992,66.737686,122.264915,167.5577,104.683334,183.78287,234.59357,129.44698,175.83623,28.593552,76.43582,98.28187,93.85983,152.38844,187.52968,120.4371,196.75494,286.65475,411.20532,423.25327,525.75964,70.6921,257.145,251.02287,327.46808,224.93082,175.38457,266.09384,266.53937,154.77914,214.66154,123.72162,206.13007,124.42775,260.54565,148.0545,9.684334,77.982216,76.724594,192.16829,92.982025,303.1715,208.94368,167.46309,104.892715,118.70173,200.21053,185.14577,96.362755,256.17175,366.4793,359.78397,354.87534,326.43774,272.4183,246.86638,393.45447,421.18875,856.2455,778.4186,616.26373,649.821,42.821453,484.4005,652.1516,553.26086,525.7122,322.78442,125.137566,117.96028,235.55446,333.19693,186.64493,91.51949,29.346458,95.524475,117.48358,168.20897,233.88193,134.0802,226.15445,316.9414,180.06818,118.41622,134.63,169.88947,251.4683,289.9256,112.11696,166.89938,82.29375,41.17394,121.46868,312.88885,417.11197,146.84541,88.732925,112.5378,221.22905,324.8833,66.69268,764.3035,625.85864,218.55322,481.923,227.70259,120.65806,0.98132986,182.1725,258.09387,122.61669,100.31842,122.7913,118.47988,184.69542,216.21727,277.3197,27.682314,251.71875,none,
568967.0,242307.42,4744.8657,4567.719,2161.621,722.6132,786.07965,1187.3596,1062.4332,264.62186,264.12503,1430.7563,6722.654,5447.401,903.3364,450.48447,81.998886,222.68643,301.72897,179.28276,268.25488,177.2079,171.53603,15.891764,246.64186,304.03357,399.03125,213.64291,199.5755,463.59915,274.5761,280.2824,172.88269,287.13193,194.48122,145.58977,108.56133,658.0267,664.6862,394.99106,842.4163,417.1921,350.96387,193.57216,116.7932,139.57468,96.82415,184.02252,223.50319,405.3182,312.0951,87.10665,91.85649,281.46033,163.0676,172.51448,198.29478,188.04218,243.77965,192.28183,116.88512,49.946842,187.77509,280.09665,226.31442,178.21773,253.42986,293.97336,83.760544,47.67283,266.67172,402.0924,344.3494,99.941956,316.68674,64.849396,192.0065,112.35358,154.21326,183.05984,389.1386,421.42935,91.30096,194.08226,393.05823,257.9609,128.49898,123.6049,230.08745,363.67993,195.79642,210.2873,175.74614,202.52069,263.02554,262.72366,328.50482,349.68942,419.5096,361.72543,155.22447,99.91815,235.68158,279.54816,343.9322,187.29001,111.83628,112.24505,73.55617,99.43315,284.70328,196.55124,254.00653,329.73242,589.7713,667.618,552.824,298.82266,589.26337,313.38824,249.31999,242.08023,192.49641,65.74835,161.28406,251.03723,157.90833,180.41362,231.12448,211.76717,154.31555,225.70952,427.47665,745.4891,808.5581,265.94772,634.9343,296.1817,126.49815,52.27048,53.96627,92.02393,189.61557,258.6751,220.3457,216.00555,315.74103,296.89114,260.15234,376.25958,409.42526,315.88327,111.46619,87.000374,259.00043,536.60986,611.5895,120.21343,383.46527,115.79007,193.1019,220.98375,203.68692,179.76344,191.9494,176.79773,217.12349,248.23636,241.68672,274.3738,174.314,17.645624,237.09328,232.51266,116.778915,34.57792,153.70206,213.12297,223.2672,179.29877,77.44672,146.49278,96.64702,152.57713,137.95009,88.30382,115.12226,173.87013,143.49585,23.302477,105.11406,158.00412,15.064394,94.41079,253.76341,190.73997,468.96304,181.90256,1240.527,990.8157,289.46466,248.27966,272.42523,160.6742,174.65645,94.84626,148.93779,290.0733,199.4843,297.6567,328.3753,242.26457,178.76332,152.95744,57.11731,166.86526,145.73566,335.29153,418.6209,256.4125,169.28177,251.88492,210.1065,106.11141,189.31784,223.89072,102.421,158.74565,136.05014,125.69269,188.58061,171.59961,411.53973,182.35547,213.61967,181.55087,282.12766,369.01157,620.899,715.06165,300.63422,39.127518,283.04987,176.74077,197.43448,162.88617,106.15786,137.7997,52.66742,106.35094,69.12851,267.59802,223.6439,221.06046,336.3931,270.28046,13.5,none,
566710.06,241085.23,4669.5664,4065.485,7068.394,3690.2085,580.9439,768.9334,1159.0048,632.5678,221.96541,1381.9852,6650.145,4959.7607,552.7456,214.93668,142.98972,134.77101,195.52101,455.6004,172.69762,210.38182,99.19738,214.05225,437.61157,326.54684,225.33772,300.68866,401.77094,197.04387,372.55896,347.7104,268.11432,272.37738,176.08492,249.35788,547.36597,477.19882,284.04584,508.1743,1014.015,622.4452,263.43747,116.68897,149.42662,219.84697,183.20264,260.2846,355.71854,309.46246,231.36273,36.63597,284.99286,398.3553,197.12425,483.0137,364.342,159.18027,258.96912,339.38452,411.55222,373.45297,390.89874,447.45425,381.03772,186.27734,161.1202,287.41855,318.58163,91.70868,254.82797,214.64015,313.40475,105.84149,347.47128,269.59143,145.56888,171.16153,66.931,95.64348,280.64624,191.70517,376.06644,357.11163,143.63004,60.14336,247.47464,273.24222,89.11062,249.28702,61.289803,50.035393,31.177519,58.294468,110.13202,17.575748,168.52193,63.19594,84.991844,57.633614,93.04912,108.60288,42.26786,66.83637,283.3665,183.38916,8.108945,139.75687,113.76188,296.44382,288.1677,57.83475,199.47665,302.12192,346.45963,307.46323,730.4806,876.7425,330.60117,38.508434,153.04546,173.71922,178.7708,128.22807,235.3367,302.43906,72.35504,89.32869,83.61795,187.05728,394.7773,531.6002,424.88297,722.19714,938.2324,113.02783,493.89282,202.7232,234.77255,312.35428,142.40965,33.128117,150.5422,185.77274,196.24825,263.46396,211.3029,228.0652,93.949265,76.560524,168.18253,111.8729,97.90134,5.809813,94.35916,182.3678,544.7092,537.34576,67.53073,286.94693,277.3049,276.86124,236.93202,214.91447,206.84915,176.33214,256.50372,147.98358,159.59895,242.0005,198.12791,49.29778,36.746872,160.83368,110.24589,56.536354,66.17423,146.04712,186.83234,224.4117,28.685074,169.7617,76.538345,37.814243,39.414886,74.98247,285.11267,411.23077,328.62125,401.76248,371.79587,192.3906,153.42273,129.1603,116.16597,290.95233,977.5277,814.0928,569.84735,917.2622,566.35425,341.4877,265.18173,349.5718,43.296112,127.28242,184.76709,160.52168,70.83909,24.117205,49.25405,87.67151,111.20215,42.1928,12.691937,191.90541,306.22125,79.50761,53.839283,344.27658,217.21901,126.686356,106.79803,114.437805,207.62094,118.186424,187.66603,151.47592,160.45049,119.5041,221.50557,146.71857,164.08765,345.52438,128.79955,168.29529,149.05222,356.20874,303.6072,514.3923,265.12247,128.1139,117.38092,288.68872,317.26096,127.956604,174.13123,199.28885,145.37793,202.78531,43.218304,203.01236,31.87272,104.695305,148.8649,108.29043,180.1875,none,
566881.6,241821.05,2776.5708,6456.2725,8162.831,509.04276,371.75555,967.1187,820.0099,261.98453,131.51071,1525.2562,6707.411,5349.5776,309.78278,105.747986,324.39905,163.03674,447.32782,499.9658,284.27124,160.26677,194.97496,65.152016,70.23365,331.5525,188.32884,205.56705,198.63997,237.98203,202.65955,147.35135,297.76,279.41147,341.35123,365.04477,185.78534,554.3722,405.40207,272.6579,1114.4384,656.40015,179.28842,160.75822,251.70844,226.91354,255.2856,130.3385,53.9576,575.64905,389.8553,362.97754,207.25821,61.91299,98.56861,206.2258,295.5676,176.37627,87.76264,54.196053,35.69828,153.50928,37.8512,301.1502,74.42623,291.28677,81.02231,318.07172,439.0789,265.67517,157.63116,301.41077,279.9303,150.41193,292.1199,159.23174,206.12212,232.9141,114.46958,166.32065,186.16121,166.02626,113.337135,438.31024,228.51721,132.00902,116.56629,231.01797,267.18054,150.8971,109.212204,87.80813,141.66747,101.36369,239.20625,191.2262,378.3074,200.6064,83.83171,147.3767,39.585487,86.65032,138.07013,131.38861,104.63933,243.19847,274.31198,198.46198,169.09837,87.79491,56.670807,184.77899,365.2368,290.97052,591.4016,459.47775,228.55812,145.59592,98.679344,381.50317,293.3218,172.12492,320.154,134.89398,205.83487,87.96908,213.57687,325.39084,123.95334,223.62083,373.0076,300.8462,351.2207,695.08325,990.03,317.27124,171.23967,100.06372,205.15935,60.912872,186.33809,371.87134,464.01718,228.66096,49.43187,198.5076,72.61197,169.7349,141.89372,134.30481,126.129654,189.12025,283.07498,198.73866,453.0233,551.2557,338.498,468.12332,396.47733,370.90652,377.3032,360.60907,96.59709,60.67072,180.37787,249.6597,116.321915,163.3597,121.44181,246.81613,78.936554,197.48537,127.134636,363.9703,283.23495,169.70679,193.14658,308.3482,393.4299,261.60626,4.662909,191.95981,215.83391,155.54399,148.6424,159.55771,68.54072,62.115536,238.09557,322.00095,462.85767,427.32645,285.29224,106.78509,395.89325,817.1784,359.14655,350.71152,508.0233,140.41637,282.19208,289.34683,111.05289,449.36243,231.84416,412.95547,345.6995,128.66467,129.1299,100.43035,111.265656,100.75466,98.712494,92.27984,96.00769,127.370834,192.36403,333.9338,514.2672,164.00195,222.8591,139.88728,22.177305,77.21196,185.11975,379.15732,316.02432,92.65228,135.75655,215.01413,114.53955,109.00219,125.538795,192.04466,176.8973,234.95613,312.24756,101.09372,360.74878,82.61352,241.79439,240.33757,268.37872,345.91354,323.00958,273.79178,244.2385,130.57298,41.870644,92.12619,349.507,322.14856,178.11647,56.401333,23.055365,165.44383,347.65625,none,
