bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567661.9,241235.9,2088.2458,1472.7152,2823.8816,1364.6984,1172.6287,603.6607,124.94156,180.61363,214.85526,190.64319,653.4301,433.63092,205.08868,406.52847,312.29733,271.59882,260.4563,240.44693,185.42226,340.11722,184.51234,183.13281,35.49621,297.96286,222.29396,16.750387,18.741163,289.3277,338.5845,704.10864,403.47806,263.04507,144.00397,297.48804,420.9403,316.86502,189.42433,209.87318,56.854027,90.46644,502.25165,849.715,403.42554,377.14893,311.47586,207.61426,63.169075,48.322605,164.7461,338.13885,305.97546,125.29889,96.30615,124.48875,208.91977,301.4542,43.7683,138.53285,162.80855,161.0355,65.98445,264.34686,58.407246,95.72159,110.37258,124.06545,168.58098,283.68286,225.56639,274.88327,498.74545,781.9243,273.8984,166.47493,162.37259,469.99692,517.7699,378.62543,369.02548,306.07938,219.4837,382.261,119.69397,407.72043,231.0649,323.98282,316.85794,62.641045,207.0321,197.31139,248.80402,161.56683,41.973263,77.306366,139.07849,190.85199,438.29712,219.01079,120.33607,181.77068,100.40151,319.60147,251.75754,104.80253,50.557873,94.18264,356.70953,422.97537,358.956,179.94704,687.4479,938.3719,467.229,134.91245,279.7307,292.26132,146.8536,244.07928,210.26605,261.2163,420.68005,314.44296,153.7002,233.40665,315.71017,183.94843,105.07578,94.75661,158.67516,99.01006,426.21796,725.4217,779.24023,179.02692,511.16046,253.57088,71.76448,198.27902,181.58353,89.213615,290.54855,197.67133,446.63525,322.79733,56.9739,57.720333,159.9813,186.18063,141.08125,187.16664,64.05684,119.05845,163.2741,645.6625,512.5939,205.08633,171.91028,274.0531,74.95015,221.89421,236.5859,191.88382,207.37485,225.78204,181.49162,133.91751,232.29472,382.16055,485.7843,346.07855,207.09651,60.787617,125.11307,91.052895,114.88294,171.58607,27.606657,108.13942,214.09578,267.95255,270.84213,175.79617,31.763502,286.2921,388.72397,359.258,273.3771,216.52368,91.64923,63.733063,134.75284,176.79964,322.2446,434.27338,159.62805,159.3755,668.45624,162.1159,537.7625,885.4878,719.9079,148.42758,99.95955,209.45073,279.0577,329.63837,428.91403,219.16763,144.4544,186.77817,228.67099,190.49059,135.1555,176.70941,155.39114,178.6102,145.43378,56.277485,100.13277,154.96881,260.59567,50.368122,211.16403,43.71285,230.60109,187.46466,194.69875,62.74415,169.54509,117.38454,127.684906,121.87447,313.37302,405.90683,409.461,484.0056,272.97275,217.5992,220.7135,427.88675,167.07051,341.30243,359.29233,235.92267,293.51663,240.39906,259.21,304.73306,113.239,78.758156,139.01445,178.22227,313.86804,310.78995,197.40625,none,
568766.6,242856.36,869.41956,1269.2675,1753.4924,1041.6171,1148.6699,609.6356,47.742004,81.63861,173.70464,238.82214,827.50116,745.183,385.19986,231.34497,231.53506,361.11224,497.9313,580.4296,615.6296,241.10907,270.89212,378.23047,457.80988,439.11285,280.5394,131.34328,290.86462,397.0328,201.43132,458.34174,188.62617,139.06358,130.81067,330.50372,334.35684,157.37718,204.94002,193.25682,267.8301,272.53223,387.53128,904.1051,372.93365,638.0625,403.64645,178.85306,82.949585,208.70818,330.94803,443.88492,260.69482,370.60736,328.40567,73.891464,241.92572,140.5262,225.84537,292.42554,71.7129,116.50082,75.32433,226.49762,374.51672,137.57755,177.16849,168.38875,176.6858,29.350418,103.07965,318.61838,232.02614,359.92712,199.88408,456.13043,272.1581,492.20248,394.67014,388.392,484.87943,340.78668,271.94638,166.4306,388.61002,65.5742,186.98438,339.7518,371.5928,344.51474,357.41577,169.13503,167.21445,194.01135,150.255,115.31691,88.580315,118.59875,186.08574,313.77737,142.26767,43.079926,43.42804,296.8278,113.41032,104.33276,128.33575,230.0846,270.10367,124.77568,115.57174,150.61511,341.83685,149.90593,209.63985,464.20676,232.84874,61.061413,226.07498,177.76692,98.20187,72.164925,237.23462,116.9129,105.6623,113.79106,280.5237,271.85355,216.55823,251.32208,78.369415,445.41727,626.0885,826.0636,871.3816,287.3882,496.35797,231.14165,237.38588,220.9328,275.41013,180.25844,152.59544,68.8927,233.62941,374.8229,208.29585,315.13037,525.0459,326.42633,226.03888,174.0248,117.44567,217.55075,268.91696,275.70428,342.6539,552.7391,608.97125,513.05347,391.77008,279.1274,234.5749,91.07713,112.305275,52.37868,155.19269,167.77591,161.43088,343.9279,257.94162,37.79208,104.37004,188.33473,226.5993,281.5755,208.72626,62.06361,114.23501,51.52387,152.79341,341.1655,372.1734,330.27756,61.72231,90.241,114.862335,35.3387,82.098434,52.81793,140.08527,78.99488,148.71071,171.4271,130.32033,256.8795,479.48795,726.6502,469.30106,673.04297,822.9435,461.84827,486.50632,373.6576,100.95626,94.90996,183.5716,261.09482,344.22836,152.02702,166.73268,105.67843,103.17385,160.63187,179.06165,81.50619,92.072075,77.71132,216.98901,152.44812,73.96575,99.93536,108.95214,103.32989,208.92369,109.287186,111.1318,213.6172,220.662,110.954124,191.79317,184.69148,39.272373,90.18931,209.93384,189.47147,66.784,261.49026,346.18887,242.33354,278.9126,307.99875,340.44693,234.35402,37.217896,161.26715,230.74706,227.34737,243.88179,66.47183,221.69502,209.70592,80.54839,86.32038,105.26067,78.000595,147.46875,none,
568326.7,243278.7,2350.2073,2265.4915,1413.4807,52.75983,1337.0017,773.5764,154.76169,244.01088,242.25793,273.92374,994.83044,832.3952,350.88794,417.2091,318.28793,203.64235,410.93784,384.1755,429.03394,476.74573,396.9165,448.61038,250.50392,123.30881,300.14688,149.87294,400.17444,285.06436,355.38223,294.81555,374.81174,369.26694,564.3051,566.73016,205.2743,170.8124,170.6301,239.50975,205.24371,159.2805,599.80585,1040.4476,560.0944,240.24857,168.72337,174.00145,221.92491,207.64388,131.37576,148.2392,347.99625,73.61765,169.61124,225.1347,525.4674,293.04758,152.35988,135.82175,40.33618,189.50949,203.75551,177.33255,408.22787,420.96817,113.87819,397.0739,460.38754,279.1955,79.58462,211.0272,92.46156,306.44537,231.96835,159.54836,145.17859,236.11005,337.87115,301.89948,456.79962,471.9906,327.67505,127.47027,329.91974,185.08464,148.74442,103.82687,208.02838,215.37129,164.71053,409.05783,286.2452,193.60756,37.595707,253.94095,217.34409,116.54485,234.45059,282.8729,157.30414,211.86662,74.2854,268.4136,360.7154,442.1824,112.25861,285.60956,123.78425,536.29254,509.4665,455.36533,325.3647,163.0064,460.80734,544.57086,197.56555,180.4784,87.53377,89.49589,239.873,92.688065,233.13461,283.80252,126.87708,80.623,49.57576,16.212605,124.055954,207.31537,146.9911,358.47424,146.26843,401.09354,810.89343,144.5174,586.0033,380.95276,195.54109,264.3506,162.18523,45.22203,376.24033,350.3171,130.29117,243.99782,119.79604,228.05377,127.55054,107.04186,233.36511,393.90848,396.6683,474.8886,470.91653,387.15057,254.1734,914.9403,611.8698,257.87674,200.90993,103.66405,311.95236,276.3915,77.547424,184.92204,144.0643,156.9609,15.043647,124.9365,134.51442,199.16219,194.10759,110.923775,126.51359,81.62525,71.040726,68.76211,210.83722,135.34402,139.3668,119.880325,204.05989,459.59937,280.0874,329.09772,169.32442,100.91007,103.12838,212.51761,17.917356,100.47264,112.79574,58.177914,201.4219,395.8188,366.79947,659.36896,1041.0145,166.35802,641.1193,266.72235,138.0174,98.63101,362.28235,486.10107,373.75076,204.25195,153.49794,288.36053,231.66681,467.3236,326.40067,41.286404,305.99567,344.22034,86.13131,199.84943,195.53305,209.15086,243.40552,28.796385,269.75192,83.51774,275.65137,225.76476,55.636177,141.14273,72.08926,83.61247,121.26483,58.49563,61.085514,157.71739,350.78458,267.05023,133.50096,20.532066,403.74802,385.2591,152.09688,327.75412,322.1664,124.243805,139.17986,106.7154,134.5928,353.23758,492.40192,404.074,278.74005,174.11287,35.836216,244.98808,289.0904,171.50363,217.5625,none,
567281.75,242679.75,1709.9313,2974.6165,4292.3677,1508.982,985.69745,716.79236,462.05447,389.38965,483.5327,481.6862,1047.6481,771.59204,164.60841,341.95502,377.4967,338.01514,259.53024,104.43731,224.8803,221.11546,309.9372,413.88416,138.40271,281.48874,234.40503,251.0604,164.44008,172.9814,158.01962,265.43604,136.33177,196.7202,264.71802,229.84912,277.70294,293.6337,375.43005,338.20053,275.46652,634.6643,945.31177,284.5146,417.2961,186.20268,190.81398,312.8979,318.6575,232.72072,73.253746,331.20084,195.75206,271.69125,335.0445,404.54263,287.56866,126.3489,128.78934,187.26859,250.02916,238.84918,180.11128,56.626747,17.78012,156.83475,158.36829,391.44513,206.46825,199.99063,386.03632,310.14783,181.9391,209.50153,405.7629,407.16238,367.4456,251.43181,82.59193,194.69153,368.76117,473.38214,233.90674,249.29997,454.87946,267.31323,206.1482,202.79488,250.23956,171.35309,245.7567,321.05252,276.66678,180.99449,132.58832,252.20618,280.65155,146.01097,234.35191,86.18376,181.72375,177.676,273.4276,50.69146,69.41608,90.10815,189.2097,225.56511,362.95428,193.44241,76.831154,216.09398,434.97165,332.1812,580.8258,411.83847,114.30343,420.17215,181.81253,386.9505,272.65186,243.9568,202.6982,331.83688,164.96886,194.05127,185.75072,65.88954,119.78897,131.12926,297.03162,382.3425,598.79663,858.10645,846.0432,182.90091,321.78885,48.47645,227.6696,240.55785,129.88318,273.2574,262.45654,248.04184,108.690094,151.62708,109.13419,106.597824,117.12175,212.56567,273.3116,195.08563,259.243,444.19464,255.84125,482.3326,617.5003,247.83006,267.0151,443.9305,303.9534,80.447014,113.98483,177.84074,162.03351,256.28082,223.98097,107.72839,70.31828,179.37236,168.34756,231.14145,277.23148,202.08421,29.845913,172.31458,123.19626,93.20674,94.6598,169.90657,185.27304,342.84103,305.11044,216.4055,213.27672,290.6223,260.7602,126.22225,228.69463,176.91908,194.74817,71.491936,109.627426,286.244,301.89804,336.912,385.48956,855.07446,927.98914,153.92189,584.9637,517.2498,296.6665,207.20576,213.29198,88.376274,278.26352,418.68878,327.46387,201.22441,256.25223,221.19815,207.00679,252.61172,147.1618,162.29906,285.39325,229.26846,78.77331,207.63977,260.24258,44.008125,229.8652,243.74278,173.78702,180.39943,293.17413,125.52521,79.09645,208.96407,362.98898,208.2404,131.71547,30.858295,188.24683,93.337425,180.0077,271.71277,180.82584,418.1988,518.9303,153.31152,24.370968,101.66167,261.82718,219.11377,263.5077,293.46768,315.12485,316.26678,264.86084,416.1662,125.48274,251.57492,393.27582,344.15314,106.375,none,
566128.9,240731.86,1008.45557,960.6905,2673.5662,280.93942,929.80865,801.67834,279.85657,117.34652,276.97412,353.984,932.0551,807.5627,237.5351,23.818283,157.86038,235.72908,186.56425,227.95493,242.18631,243.74103,86.125626,372.86896,284.57367,299.4577,27.119703,289.07935,47.00738,240.12566,319.51648,449.41547,285.58136,194.33916,399.59958,252.27092,65.19627,177.43007,158.4656,504.86682,907.35046,1111.8934,538.1712,242.55371,341.95172,90.91067,74.0455,175.36482,137.45624,68.59416,99.53178,95.55033,208.82948,125.20447,159.28926,217.25406,83.09776,208.24352,259.46445,106.41894,115.13551,220.1218,391.9845,221.5705,72.98629,87.71749,130.73633,190.41422,231.88509,182.66284,129.48813,130.87283,195.36177,469.51694,152.26787,274.62827,203.12527,64.80385,178.6978,113.48573,259.1979,189.50342,213.39009,167.42816,284.36343,476.5592,311.7242,160.60522,114.63794,166.92499,244.97476,48.242134,227.07024,197.79086,245.75276,147.54716,204.11368,287.34372,469.44556,504.06717,491.11722,599.31964,549.1156,269.8787,170.66194,233.53746,294.4203,210.36609,244.85585,135.35461,125.12587,273.2073,123.57172,229.53323,578.358,238.85684,661.6126,500.55405,209.19554,400.5833,441.6027,433.39133,226.51488,56.57084,100.88674,108.81304,224.05019,85.83267,67.313805,196.1914,330.74863,185.82866,159.19742,518.68365,782.88544,366.95343,541.8817,348.70343,224.2706,211.3921,114.25729,87.25127,115.6361,58.64244,220.43839,217.4914,73.775345,146.91193,122.57819,174.69765,275.83194,112.786255,120.17141,151.83403,445.53802,549.80774,466.81976,306.23267,293.83044,120.85916,136.6123,161.25955,355.51886,535.51666,265.20407,220.10855,228.25438,140.00647,242.07626,357.67303,370.45102,164.56903,63.21944,81.256905,71.5365,271.39975,190.91563,57.577415,94.71402,184.75284,291.71213,350.2753,349.8946,289.2077,257.86725,28.505026,141.09996,123.809746,251.01776,293.86948,340.5573,185.15033,298.67792,363.32758,371.5407,366.61554,593.57245,667.5379,340.7584,766.56604,427.50107,176.25896,89.261765,176.56508,285.66904,361.37805,184.00305,258.15027,229.01414,82.172226,197.01749,184.03645,92.31768,347.83337,230.86833,74.66776,302.60855,338.766,348.5529,174.64172,70.50184,15.129559,79.47343,329.8544,242.5852,149.94708,96.096466,181.01277,78.33109,177.58769,196.7893,135.66496,70.96275,84.63139,381.92096,401.3203,386.96912,218.06105,2.4042602,457.46854,733.2207,391.25552,78.3647,107.381744,77.29799,146.90123,352.28488,206.22174,214.05075,161.27101,120.963974,380.39444,185.77187,146.32948,144.84818,124.41995,292.46875,none,
567302.4,242686.48,1827.527,4303.6226,3202.5776,1070.1848,628.2498,329.65878,602.95917,134.35655,158.2813,380.38675,983.22266,513.17206,112.586266,191.41165,127.05921,150.31699,69.86839,86.46317,78.92326,224.80196,309.11703,380.24512,237.90672,348.26297,476.25104,410.7078,202.75604,232.7791,320.28995,367.13568,162.71474,60.900753,468.4081,521.474,221.02817,313.0969,201.3764,211.5158,1052.2638,581.3153,286.25455,91.80761,66.69526,111.348114,99.70354,216.00865,189.7806,185.63196,203.93808,62.733425,162.22418,134.0344,117.148186,220.05801,259.3928,191.16797,232.50551,39.560226,146.32596,64.96237,161.30635,264.34644,84.06365,3.4678724,177.02106,244.88037,318.7891,295.5699,233.36102,294.4446,37.19449,52.789276,459.85477,335.81537,77.07239,398.91623,297.66043,226.4882,512.4458,369.95557,135.92438,136.71136,220.04462,119.48427,262.36276,211.20953,146.14757,162.98024,57.41827,155.0004,77.227776,16.233643,53.412098,194.3221,364.66684,246.10637,141.60254,138.87677,105.99095,191.3962,123.209946,31.813334,239.84007,287.57596,169.06255,37.025562,267.5055,584.4636,554.18036,442.28592,281.39386,413.3876,248.20424,325.78702,121.42644,323.98367,388.9976,207.20506,49.011868,298.26993,183.24577,179.18172,292.5932,190.4782,92.08795,329.3767,405.74734,315.4117,329.577,283.24445,96.68561,501.8366,701.451,239.67528,464.7861,308.3172,143.75613,199.00568,168.5625,128.67467,141.97618,135.21423,372.93893,169.13405,200.80812,361.59198,329.5156,524.88464,701.86847,470.2911,368.3515,379.9744,351.8003,295.9787,202.50757,347.25208,172.77966,217.17575,360.17163,241.95593,113.09174,134.67445,149.55563,425.1134,542.3119,246.64087,74.603584,115.082954,74.158745,69.512024,183.337,147.83391,33.433933,250.34657,190.04813,59.30097,115.45032,289.22968,222.12029,246.38098,272.0248,367.49548,305.18503,384.38373,236.25604,200.619,209.97794,181.54103,557.3559,451.34772,223.51631,32.951084,332.2168,491.93024,423.0114,752.3078,329.47302,41.047333,344.00247,281.3882,221.2128,139.13403,107.763504,58.815105,138.78079,331.00842,258.31848,96.62215,260.27252,351.4611,489.3622,686.7286,194.78787,331.78082,94.98906,283.91418,443.40726,106.94072,202.86664,120.79109,128.75607,63.409126,281.34723,131.34479,124.30141,67.77736,57.43362,235.26642,304.87045,173.66612,143.70427,360.10767,633.7716,432.1992,183.8395,575.9356,188.79796,295.33066,211.83287,302.451,365.82202,197.80902,102.10652,141.97327,62.827076,292.0286,252.18443,277.5939,166.81494,245.66982,356.60178,146.74657,97.74106,184.35242,32.90625,none,
568651.4,244313.22,4146.231,3291.5393,1334.2191,321.58356,1074.8925,634.388,284.92914,110.64243,130.5874,85.07992,920.51697,864.67523,317.47983,51.19848,18.274307,4.191399,124.47543,94.07666,200.46358,142.1317,134.77956,212.91345,106.46289,68.68732,60.09336,146.82053,160.08128,85.359184,173.59164,285.9339,282.79318,234.0565,130.8837,269.14813,344.55597,275.75687,136.60612,328.2507,848.2693,647.6755,464.0863,764.4815,441.2431,73.796936,119.18021,128.17899,201.15747,82.62892,201.90839,171.46759,245.05238,406.40448,413.2203,366.54694,321.05026,178.37086,93.42156,270.53113,230.43555,93.368645,128.49974,207.05634,272.59506,202.76593,34.644863,87.330055,79.26372,181.83788,75.69688,339.00217,637.159,315.31476,227.53088,131.43573,43.059273,233.15747,146.8334,33.328697,158.81976,287.76917,206.71655,608.8785,165.65462,322.8846,141.5415,226.40067,195.38274,77.36133,89.50428,115.92241,8.412949,126.885956,238.99559,129.35019,256.33472,196.33372,142.69893,265.9912,407.97516,455.3029,364.57355,231.92201,134.10387,93.4273,111.1267,120.16911,230.14645,180.16107,95.45937,213.73636,444.25626,200.68951,550.7755,392.25983,210.56743,435.64865,446.20135,212.80722,123.23276,131.03828,131.1275,304.505,93.35568,288.48083,297.44684,262.16736,79.04528,163.279,293.585,293.61514,380.09702,742.4815,749.2621,369.08243,495.94186,337.87256,132.90341,199.4079,154.32422,191.57016,47.820995,150.8208,82.992714,191.98688,122.57523,233.23283,208.06163,208.82925,373.02103,239.71182,126.904594,67.14457,555.75775,701.6247,238.38312,290.3446,285.91977,195.7511,288.38998,236.51956,259.78836,211.97725,109.99544,224.92448,102.65555,245.19867,208.5126,40.785934,146.44286,149.8549,146.00426,222.21916,147.52524,69.964096,143.83115,110.12315,137.76126,78.35016,208.36826,179.43562,113.7903,143.13457,277.21594,274.3695,28.131557,157.63084,397.44785,227.90634,117.30641,298.03363,193.68094,207.15012,551.72095,675.68866,46.559254,720.68463,310.31464,38.600193,150.90634,585.12384,435.58844,222.67142,132.39561,77.02174,151.1478,254.2237,30.305868,159.06139,410.2495,413.4883,271.97336,220.89517,347.17596,237.67827,319.48492,294.24246,256.3646,241.04947,338.10492,396.6204,250.89124,222.12053,49.503155,194.96162,118.170395,109.48506,262.01562,293.09213,303.97714,138.97089,245.61418,163.73944,405.22192,685.54834,438.0241,476.4886,360.20425,395.88907,332.14993,295.8858,249.41429,279.53192,141.27922,72.75912,80.374725,107.1715,123.8627,89.06357,150.49763,355.02753,171.99155,82.55368,50.134075,217.97504,352.25,none,
567281.2,242412.7,398.80206,1909.6968,2291.3403,982.2345,969.6175,866.90106,480.4528,124.816444,181.20074,234.80814,849.14496,717.3147,112.31099,225.98012,281.17465,313.2746,220.8789,176.85924,259.50604,122.96537,12.911956,42.99353,227.62454,71.83294,220.83792,67.2395,182.30496,131.50136,121.337776,347.2155,67.56989,88.929794,225.76068,318.47852,153.26778,101.911285,125.5772,285.5061,525.6727,698.20844,29.708797,619.6703,192.85857,228.73279,176.27408,105.3831,166.82686,268.6597,369.59808,128.55139,98.751526,206.18275,108.91544,23.649302,107.86992,132.24403,180.44667,189.54495,138.79378,221.31102,118.77927,98.70263,79.51301,89.12886,205.87672,246.99857,361.5225,294.36932,237.90848,345.94162,38.032593,456.02557,383.80142,197.06308,214.52478,225.1553,154.52821,233.837,207.20485,327.81424,301.1443,443.01913,445.2478,175.38344,332.4472,88.680824,103.566185,115.86447,129.42928,73.51653,161.95715,238.12387,251.57292,100.77167,193.99626,140.14964,173.23537,126.14652,335.07993,232.53471,153.74167,267.01532,288.8134,221.0726,181.05992,109.95744,204.12672,341.0469,255.16505,179.38196,77.14411,501.802,1071.1525,529.92566,317.90048,345.76004,242.6678,238.15744,275.63635,151.4405,15.6363735,159.21498,100.23888,46.664272,175.95532,68.57013,139.96968,360.04147,305.0291,269.52917,378.93506,818.3128,926.6956,250.79698,246.21613,87.24079,191.84895,119.01376,178.1804,149.77953,171.69106,85.43609,209.74039,197.9579,87.71085,68.39498,133.27322,119.58487,150.41415,91.5256,26.391619,246.8171,336.76584,439.4726,270.6306,525.3253,325.38763,83.39423,380.15494,449.49722,81.9491,103.47442,70.21074,31.3284,168.24858,109.559944,70.4401,73.35045,88.281296,145.95764,173.08838,201.0809,129.51819,114.34056,84.9377,202.80492,207.80586,159.50714,169.30225,146.83427,142.76746,142.70392,145.84337,140.91833,83.76564,274.84116,251.60455,51.644985,125.388985,178.06245,310.434,456.46262,260.34045,301.65848,367.46674,415.98654,821.8289,856.723,830.2757,447.4931,364.95605,144.43378,81.643234,67.564865,121.75201,149.68369,171.60481,188.0255,143.93306,186.36278,223.36215,273.089,120.87278,97.020454,88.369644,74.45068,194.73102,207.9036,188.13586,296.6349,247.90227,241.14667,234.63779,103.631165,83.05246,249.59436,400.02957,175.26062,111.268524,150.3841,96.12683,76.22786,327.6796,321.56573,272.672,345.98578,386.2475,43.924664,354.91708,605.8799,73.26256,411.20758,130.0962,161.97182,169.63794,275.85394,341.30667,203.08441,154.55533,30.35431,244.90926,128.99858,55.950188,28.39272,53.625,none,
565236.9,240344.61,349.12558,2573.8826,3268.497,1568.857,772.41315,313.61127,103.044556,151.91714,265.7233,522.29004,1252.6854,872.335,208.01889,370.3007,308.359,239.10786,357.2783,300.903,127.2521,351.0892,480.30978,562.457,416.32196,284.19797,101.06326,210.86902,178.79073,267.1366,168.59412,105.01434,309.42328,131.60605,188.35323,131.83702,253.78525,193.93938,96.57832,281.26257,236.70119,434.2746,873.13544,40.914745,561.93005,463.31036,272.4514,240.30127,300.95853,380.66602,409.0571,312.2268,150.47015,273.83984,334.6923,185.978,87.06695,155.22131,63.68308,233.52785,302.71072,228.14775,118.69048,289.29312,161.58305,289.76028,425.12268,279.88925,383.7736,366.40036,175.7489,122.587006,45.68435,339.0107,312.7062,331.47247,225.36478,196.37318,197.95404,191.73785,43.245388,219.13966,409.44736,419.9234,422.36633,212.26819,264.3165,319.5537,160.82303,274.17285,330.89923,293.2018,247.7446,240.15854,209.9216,114.374084,127.76311,104.56146,140.74446,304.4881,398.23322,260.6364,140.76254,256.43466,139.35197,64.11237,174.3924,277.67535,63.514217,437.87622,467.0709,320.22598,631.382,868.5529,494.23495,225.88972,452.70798,144.7104,156.02176,139.48938,191.0535,213.70598,176.27907,390.52322,298.61053,58.390133,264.33496,376.51114,395.81268,375.52228,162.74423,109.9726,34.443497,287.91763,707.6735,189.93402,244.54878,324.18665,368.06238,123.13848,108.57371,189.2623,301.76477,235.0751,131.34636,254.01457,91.8522,90.42842,92.34253,298.3068,337.668,341.42096,300.40012,314.59305,438.42282,577.92303,382.10855,436.79007,575.4224,269.11383,365.76953,55.612904,152.41574,64.81007,168.73544,292.25644,106.0273,193.35477,302.849,184.04077,91.03766,84.7785,26.184244,38.91178,59.76632,51.934433,209.43098,182.6955,151.54965,59.27499,175.62488,85.90346,230.22653,312.42645,231.40753,135.5069,251.55598,205.85492,285.3683,361.2929,349.57715,359.49695,77.25536,247.91693,128.98587,403.84283,684.53076,392.09558,634.3185,626.02637,528.8073,167.54994,496.9816,368.5931,251.12265,429.4607,429.50314,200.00343,273.1373,247.46907,119.40053,129.12949,86.701515,111.55618,215.07205,26.868647,34.941593,81.54263,239.71344,221.34995,263.76648,189.78464,71.99534,114.65168,193.99562,164.7771,253.50189,288.4901,71.13511,395.65778,382.65356,244.27733,58.776093,320.12833,534.7801,213.1149,39.70885,147.64906,248.23672,126.698235,325.77133,442.52377,588.1756,134.86986,323.43027,187.61214,51.363613,330.52768,226.44109,268.24915,65.52251,365.01538,269.15115,213.75085,224.0036,170.09363,97.375,none,
567465.7,243184.28,2000.9181,2835.4646,2966.084,412.57263,1066.036,903.02966,94.702576,117.308044,34.261208,313.53024,1066.5504,1013.028,19.525759,279.8302,197.27255,272.00516,62.142193,137.1785,441.49255,198.71469,131.52928,103.58557,333.58386,394.8326,69.07838,123.90509,70.24624,239.5666,370.22818,323.07617,398.5773,316.3557,178.07742,92.92212,92.32496,281.30878,84.92062,299.83286,570.521,717.41705,549.0381,387.34106,508.13165,609.6861,363.92978,150.3528,181.90158,354.16803,535.92096,606.5018,397.74408,231.83295,225.24911,302.37198,319.3887,185.0852,137.15558,207.04532,411.31708,334.63086,206.97598,243.92323,207.76436,420.09433,250.30905,36.56206,163.90105,205.15747,216.21777,218.01894,57.214348,151.84245,142.98485,239.67638,161.23026,236.19757,269.40256,235.25357,24.906265,120.652824,197.30824,367.78555,42.31806,190.97217,317.92593,153.00116,187.90605,244.76747,256.03363,189.79271,159.66331,145.80807,165.931,234.36096,137.58421,186.65002,282.00717,165.38942,238.24008,270.41348,264.8835,223.56163,149.1298,171.25854,301.21838,274.28662,93.580894,229.94223,265.564,219.93185,149.3403,143.79144,263.16165,284.64008,354.67596,707.7558,546.54706,179.65086,121.73779,246.82927,204.60835,229.4749,238.46161,148.18185,140.05023,263.4118,253.60855,374.39673,264.5316,312.373,567.956,1062.3756,942.28644,155.52176,28.256594,115.716156,353.96292,287.7072,114.22009,176.96886,224.1067,420.4339,260.033,38.33701,100.972275,228.40652,350.35074,257.51178,410.5068,127.74722,278.83777,275.65826,309.22546,153.64961,192.90405,363.43878,356.7883,741.43384,374.46967,226.3025,109.305336,85.966225,149.3477,247.55746,318.69855,314.4054,57.493275,111.815445,254.05174,162.05257,99.573044,153.52484,147.7239,181.95183,135.00528,178.44302,174.52975,130.92603,42.96349,159.71136,299.90118,157.23567,111.256714,72.84646,85.51027,150.80914,472.1131,429.29953,367.73425,331.42316,318.68448,100.17188,293.9517,784.72266,965.312,29.58431,832.0113,933.0971,715.1775,172.39755,229.91635,240.11359,255.71986,310.24478,152.00963,428.23697,446.30557,267.1519,265.47897,241.43542,293.6412,471.7993,448.23877,122.30283,112.45257,112.99,212.64565,186.41737,64.85021,172.43484,138.47511,398.23315,380.9821,158.08952,47.491882,231.53142,230.83089,395.0647,304.54645,154.04243,208.12033,38.171314,454.09866,394.31067,288.20367,196.78532,345.11252,504.62814,420.04785,206.48132,90.365814,120.69875,177.63702,163.26999,155.35416,389.95276,193.92822,334.75995,305.46362,188.24463,79.59537,160.69197,217.321,283.7073,236.9375,none,
