bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566379.0,241274.27,957.5064,1431.1342,1706.1699,773.4027,685.3803,618.18243,320.24216,117.37067,228.54968,204.23708,1461.8568,1212.2692,352.68118,172.24258,181.23805,239.96933,152.65932,299.1983,339.19476,130.28386,179.41177,234.61725,58.06984,193.14047,155.326,230.97797,306.63953,168.3132,238.01413,490.95755,285.94418,158.69841,197.7686,366.25565,311.7429,213.54001,254.7568,303.46817,279.81143,679.44904,566.6716,360.75903,518.15125,366.36102,382.09357,326.5742,224.80856,166.06657,159.95569,58.547226,225.93625,389.10913,383.13348,310.67838,235.83435,102.37755,136.84972,27.449856,136.69254,450.02277,322.72995,202.40999,327.9205,271.36685,140.77504,54.796913,237.07426,305.98593,292.50757,411.63126,423.5623,203.16914,205.85294,240.74992,92.853676,46.661026,98.41966,56.22586,100.04504,201.90953,286.1909,278.11386,138.52324,274.26544,148.41995,258.49942,182.46074,153.30174,301.8339,226.07266,367.32733,255.57512,78.46106,207.40886,189.35426,257.9747,217.15875,214.54109,221.51231,387.71246,316.64438,311.39285,457.16937,298.17468,118.027565,120.57578,44.459038,160.94426,286.45148,511.92307,447.91788,189.31451,282.84628,406.262,468.1767,319.4193,146.44675,335.42297,276.3743,140.67772,134.64442,179.94275,313.28098,151.5159,127.74029,187.40274,150.07635,108.86002,38.051624,105.23445,123.25677,374.42493,819.7794,278.6692,57.851322,90.23531,157.01231,76.12871,72.131935,107.97217,216.37537,180.08984,114.818924,112.782234,216.8964,237.42606,269.57214,392.80038,245.14052,355.04208,321.56122,323.89682,450.7773,272.90155,469.0134,545.6117,518.02313,341.04645,270.38882,414.47333,134.80705,153.35072,171.05402,72.633896,89.81697,71.12846,199.81113,186.92241,205.52867,335.87827,309.65628,245.96718,212.40701,212.32242,105.30306,75.73918,146.17827,267.95142,325.30542,214.82991,298.48767,445.5427,336.79926,116.81085,198.7422,232.24551,279.90802,390.84125,348.658,185.20122,182.09058,260.09552,456.29242,522.5997,250.15408,461.95984,1092.8575,657.152,492.09937,71.1582,140.10104,433.22824,100.50494,426.45193,517.2315,119.867905,134.27565,310.57404,515.8591,368.69806,192.11902,186.73149,172.17952,168.86952,138.86963,153.17645,132.5646,202.4331,187.66496,244.84418,175.12463,131.22787,184.0589,254.74231,163.31192,114.366264,74.11123,174.32889,23.775572,108.098785,139.38322,227.34637,91.13712,191.79584,272.78156,214.11504,245.36826,561.7313,465.79196,96.25283,165.40823,151.42874,367.47424,238.22647,284.4305,380.71594,248.69624,340.5409,216.05312,117.55551,90.696526,126.58579,82.49577,56.264545,30.0,none,
567063.5,241778.92,2498.6506,1821.8882,1560.1483,1185.72,1414.3037,608.7581,232.02798,239.8072,55.83408,356.95685,1520.1096,1078.7003,82.20034,20.3029,21.582928,108.56158,174.67415,330.8542,168.00415,115.281715,130.88995,214.68726,218.3774,82.74185,135.88808,32.942574,48.054253,294.8284,453.65015,330.6392,99.223366,96.21935,130.34795,159.46094,83.43909,40.154373,168.49292,274.78296,228.04843,181.09703,780.3162,559.8481,547.9312,697.3088,506.01495,370.70242,534.8509,420.65027,121.3525,237.63861,472.65756,405.54474,185.73976,134.80905,249.55008,247.10281,306.46863,395.45425,259.93204,52.449295,245.85864,435.62735,331.97385,308.50677,242.26738,216.48419,204.45158,224.73044,226.6342,153.2716,125.91272,121.21562,105.45548,113.11029,32.269424,45.10184,94.345695,259.40497,137.40501,50.19208,8.358395,82.23861,111.1465,243.66815,341.65646,436.8872,366.82886,156.08643,95.8443,179.65433,248.5298,50.889217,188.4465,114.34175,245.93396,106.80655,11.028329,123.13675,212.14229,317.73358,258.7057,300.47137,171.68494,260.90616,522.7672,424.46576,168.24484,277.78134,351.8838,170.92685,541.4977,486.63644,198.37396,326.97583,463.40414,299.42786,326.78848,112.181435,4.112961,237.7079,279.6885,287.85898,209.91467,157.11783,231.60815,187.69496,179.11621,176.67528,197.32774,357.73978,366.79257,726.87213,885.71265,94.95212,206.37794,92.06807,99.501495,161.90633,266.12924,189.95471,164.67896,232.09085,132.8333,84.205635,83.66854,140.33885,194.2875,251.4297,165.88513,381.86383,326.9915,274.59738,634.7984,646.4847,241.72314,320.83783,414.51874,173.87088,351.65054,397.79355,31.418352,88.84078,114.65059,75.98731,248.3477,217.13898,44.851753,68.009155,140.78111,140.3818,138.24135,92.77013,220.42056,226.52423,155.54617,205.46896,312.63397,258.83777,91.434105,248.24011,277.8718,74.066475,110.377716,274.72043,365.65073,151.0808,151.77362,80.55741,229.6505,147.90431,135.59912,233.31781,336.0475,203.69925,610.6548,1104.011,284.6231,595.3003,440.45187,267.73242,307.1285,444.6118,439.11957,269.44232,439.74826,385.97116,83.61964,277.29657,147.7338,156.61008,113.5412,107.41397,155.12064,200.08417,240.30002,313.5939,186.47928,200.63864,115.26936,26.61099,97.34651,80.87135,204.08932,182.91016,117.74168,67.71136,103.13276,79.530495,193.0726,57.16672,58.915443,137.63326,267.45068,227.86702,341.38116,279.069,178.05582,35.879475,46.295246,478.49954,444.7292,354.39246,234.1707,236.6879,45.312813,65.69646,113.34749,214.8867,15.891234,119.42336,314.52103,457.7172,278.85114,222.92348,275.71875,none,
567686.6,242872.92,1461.2407,2449.0803,1797.2065,1054.3419,1400.2015,820.8588,114.67118,387.46313,592.149,192.16003,1178.2156,946.3845,347.05435,283.99478,156.25864,63.227497,125.67473,140.47057,254.30493,160.58742,25.946964,53.394276,123.84755,321.8244,287.51068,261.68906,297.37646,324.57898,287.68988,240.6103,87.92069,27.946714,73.74319,109.28087,36.238483,93.947914,93.09986,334.37296,125.63806,572.5121,900.5798,782.7225,182.66708,141.43106,69.08327,36.370148,360.07297,440.76324,294.39777,118.54298,42.560986,52.193005,80.13037,442.77747,336.37024,162.55202,151.46924,50.506783,59.59898,195.81065,67.745285,35.030796,51.72517,39.50836,53.183136,98.299484,128.12419,218.15651,341.5022,193.90526,196.37312,353.36377,455.9736,412.95703,340.12686,462.51956,375.32455,161.79532,87.51404,90.16376,130.93724,280.18796,468.26337,419.87195,148.60786,52.289585,123.499054,161.98938,85.10222,48.28564,100.26229,133.3278,154.6412,198.2914,68.77321,183.91574,244.44836,309.97272,311.03217,225.9691,177.1857,213.55377,147.1201,134.34782,277.38058,108.34963,228.49205,305.68878,174.90877,401.17255,557.2757,395.28253,288.52737,378.23944,401.68967,469.70074,295.08304,347.01797,73.89158,321.61252,278.16974,217.08833,143.70702,47.808094,39.049183,91.614784,289.55685,400.71494,429.3524,420.63293,462.13104,719.702,962.67706,165.38791,317.16333,19.047777,106.64482,24.3937,247.23735,145.24329,128.735,89.47895,381.7679,319.82095,247.26428,158.72182,90.01258,23.970062,134.64537,391.8777,400.83496,325.23367,496.53827,219.30081,458.6454,244.86055,707.49115,666.45123,311.5249,379.97937,80.042046,2.228786,192.02684,79.62418,92.67147,135.26257,289.09592,75.21093,121.59636,177.79948,154.71004,144.66002,147.28304,94.50505,230.8948,231.50336,198.24727,253.37627,167.41463,51.967354,247.69241,130.35257,249.26431,162.03864,162.61246,6.100662,180.19171,437.12833,322.8803,199.5817,51.74107,396.11923,501.54074,427.2014,445.33508,581.00916,496.61874,667.98193,883.7276,683.98926,246.87782,85.47455,175.46327,207.97131,91.40974,245.48164,149.1922,20.497343,49.92027,209.01828,163.64532,99.79483,211.99826,174.27097,71.64198,202.13022,193.33975,182.20605,193.6519,146.75603,63.85455,134.51599,194.57806,432.3949,498.54843,485.41125,471.49225,350.87537,42.543064,121.34253,38.9287,97.91967,302.52393,363.0315,224.28362,182.67094,212.30101,369.6148,85.52899,333.4497,442.23062,531.2327,504.0885,325.41705,197.74294,155.2687,87.42597,151.63023,236.77596,163.71655,249.19283,380.16812,119.8361,182.54778,54.46875,none,
567029.25,241925.64,1642.1588,216.25507,1718.3196,563.2129,1191.9313,837.93994,167.4385,389.86978,503.92624,351.927,1284.9844,1091.6932,297.24933,207.92746,232.55182,68.17394,165.18196,242.37834,237.32336,124.185616,22.943222,22.9938,170.20697,177.56804,272.21774,113.61829,361.11087,364.4711,264.93488,434.7576,249.67694,59.262596,196.37721,286.02072,140.43533,81.31207,213.42491,353.7636,478.6005,412.44382,467.5998,500.9911,197.86789,224.59657,150.1783,133.05652,218.27536,237.84764,201.67032,178.8395,129.65965,99.972176,307.88303,439.9639,234.5011,103.4879,210.74919,316.5581,348.58875,301.37708,61.57441,77.347084,78.857086,103.61473,115.29947,117.85431,88.05089,48.143543,211.06241,131.89346,92.13176,130.98743,257.86295,265.00314,197.86726,231.4506,114.399666,76.33269,159.61272,137.42639,47.032864,199.81761,185.69632,170.18549,245.73666,112.82784,294.90164,290.42416,279.95273,223.9711,180.95392,120.05117,136.72346,177.89299,101.814705,285.25876,305.73413,341.61682,50.91349,164.88893,23.015345,80.28635,85.13142,137.55942,118.59073,345.71713,290.43414,344.4381,291.7124,67.3492,357.1107,352.96286,119.52507,112.979515,244.57365,458.67462,332.9522,250.75562,200.31978,233.99457,205.1032,60.659313,144.07382,131.22041,45.660034,104.09105,187.74533,206.66197,311.82425,146.4448,143.39948,435.89392,640.96405,247.50464,454.64044,272.7063,182.20233,99.10984,73.46969,425.6245,428.53275,193.44727,171.74321,180.65298,111.75549,213.98337,149.63972,212.46146,315.97473,535.8331,673.0272,368.20047,212.49707,553.3061,353.3575,281.68192,339.26587,310.40662,241.89297,299.57666,277.0067,433.87952,377.7984,192.4643,56.83281,52.60454,309.08096,336.20984,192.34164,60.73374,53.97828,94.7717,192.75221,68.623955,144.93031,73.218506,227.04364,156.31981,145.82579,259.68918,128.98697,224.66963,160.20966,130.75366,139.0073,220.97438,417.1011,398.7452,142.17914,110.140434,242.7913,156.20331,396.58673,338.66998,411.0064,1035.3596,996.9669,242.89665,138.44414,352.96716,69.35518,108.84703,185.09738,205.61237,133.03133,179.07391,152.63983,135.39082,88.36952,45.54424,203.82065,259.92282,93.74221,152.96695,24.821285,291.11423,308.5621,173.41696,121.814705,151.52844,98.72562,220.06079,311.88156,140.6983,133.85764,122.61736,113.68666,391.0006,379.97583,101.343254,178.25905,23.777159,85.06319,26.07308,342.92197,231.01369,306.3599,348.94565,116.567986,247.86668,194.45424,107.19256,351.25092,126.19496,53.382397,51.23932,59.98319,73.81879,71.825134,72.40082,154.60234,172.41753,136.74117,170.02927,203.375,none,
567056.7,241365.77,801.6584,2173.671,2367.998,1092.1792,1106.0962,589.6751,108.66687,303.135,369.82007,411.42737,1409.3878,1051.043,148.22911,305.16702,420.6387,261.45938,36.949123,88.84643,45.298454,118.59966,132.58875,141.92706,215.5845,324.1948,246.4913,127.663864,181.42282,96.46575,102.61045,368.72348,283.74838,168.47705,177.69717,247.21387,233.00703,356.26846,395.14453,444.398,522.8712,553.4068,864.3461,687.1688,330.1706,309.3289,157.00363,261.6487,292.9578,280.8673,156.14041,104.335915,279.87253,139.43945,230.24539,292.29938,117.13406,34.66441,103.292725,184.34665,93.43875,99.41453,182.25986,82.48689,183.69635,177.44571,160.25323,57.889603,200.07924,235.41838,50.722866,242.65959,352.72275,151.84642,166.27095,364.8467,301.9528,128.20522,223.83174,206.40466,123.238686,267.8447,231.80699,341.91586,206.96767,341.4268,71.278015,658.5764,632.1589,169.48781,127.93739,156.69926,188.02518,282.30957,257.59915,128.84769,113.22025,70.7577,114.18237,122.66308,236.5546,86.935394,115.83168,76.21306,110.25174,117.2581,31.972952,262.32236,202.57822,181.47284,297.6329,367.12592,395.527,840.2989,629.03827,427.33047,28.363647,59.23673,64.80593,210.4742,223.00874,299.62375,360.16943,274.40677,168.67102,172.10114,54.14254,62.763245,47.851524,198.72856,285.4247,296.52826,366.33533,683.61206,846.58167,125.14335,408.78015,375.1066,257.54367,54.199318,231.93999,165.74562,42.97969,117.08599,80.12288,269.20688,337.71228,188.63881,33.39404,95.26802,71.763626,201.10698,308.57993,50.031895,209.05238,800.1245,812.64246,289.6078,111.49377,382.28528,282.3187,113.0603,330.02594,274.74182,4.6393695,140.84492,143.71065,61.400436,143.65154,139.77563,123.65589,147.19916,124.0059,33.9604,171.12962,100.1824,98.72721,69.68187,78.971375,266.74973,270.68445,215.52031,191.11824,161.99821,103.27456,244.35228,179.80559,268.0672,427.49942,322.12402,142.74852,250.8505,106.17337,288.975,234.34825,415.68738,189.85794,540.67975,817.78754,144.5441,363.0436,519.46765,282.98062,107.81274,250.46375,310.5777,206.91714,236.71085,128.69739,25.987282,138.07863,185.62383,176.16014,212.90013,198.43095,326.44037,250.87659,117.277794,192.07416,144.94824,145.38733,223.31842,316.43442,116.8224,257.93585,229.04056,247.38063,488.6394,374.98685,32.49975,265.60947,166.32959,202.72127,348.33792,294.28574,103.36943,188.98642,88.2248,211.02396,161.27322,94.218094,43.396587,543.1607,660.14606,463.0157,233.0828,134.21565,183.52673,189.38602,271.69644,242.05437,164.03413,98.38034,37.242996,103.05849,212.5548,228.9375,none,
567807.7,242897.31,2048.8198,2651.8535,2029.6367,628.5228,989.5661,533.1709,127.99942,148.04283,156.27089,333.10498,1479.0117,1055.3833,58.11339,78.85239,177.45676,278.96713,249.18465,202.97237,311.16953,238.34149,66.19337,62.348133,96.104195,122.109436,281.00095,112.902405,172.02858,168.04225,248.34349,195.0432,227.13074,10.504883,289.63245,302.1781,287.33228,165.65733,135.20622,85.77575,232.53445,456.86722,984.0047,973.738,84.83034,382.72083,339.36557,168.00784,251.45256,106.591255,167.20514,195.9967,68.84772,85.12041,158.31052,186.9335,112.54971,241.33875,264.04526,142.31589,203.87138,269.4336,255.03973,69.66101,153.33064,184.73477,215.63374,199.10983,160.5619,105.95968,410.8785,466.3714,451.94046,218.6394,306.66397,144.06113,188.91428,161.68974,187.73375,134.93915,99.66649,173.69427,187.8802,232.3916,384.04874,421.5999,135.92328,415.32648,218.36737,290.9419,355.96075,211.55684,139.68497,279.2813,240.38625,295.22162,376.94107,249.6101,149.75252,156.22768,107.204926,98.655556,105.963715,130.49081,231.17686,216.00862,24.6997,241.03354,339.0858,59.675385,300.159,240.28429,319.3862,795.5956,714.7059,255.07378,457.08978,268.87418,63.086063,250.52182,70.655876,148.73848,138.49023,130.04181,219.69334,192.71481,270.77936,290.37408,315.0432,300.93356,249.44289,265.1243,354.20242,547.6749,967.434,279.81137,354.57794,328.2559,230.68407,164.98709,227.8694,222.24734,129.34935,64.64214,147.66254,246.43748,170.10023,159.26685,276.5399,267.5723,253.894,144.22197,182.7675,265.21143,401.51077,706.15027,544.1002,216.74245,313.76508,373.39832,329.47333,109.5919,239.21288,22.116549,153.44936,211.57814,114.22596,180.45282,315.09293,306.7728,304.28412,271.48776,164.43495,237.04576,173.07129,151.27786,81.404205,75.75663,170.26715,225.45764,169.23616,50.220074,67.82254,188.47552,292.65903,99.815506,85.11248,104.82623,93.767624,129.43161,232.13405,187.63673,283.6221,326.72815,133.81961,246.16905,228.28336,465.3469,862.0007,280.72394,615.9726,522.08356,547.82227,350.96387,154.77466,165.82399,239.8934,217.38997,161.8068,168.108,12.012933,183.69937,64.86028,22.793697,89.008804,305.00955,325.11438,172.7351,140.0679,146.07124,119.11725,262.2061,75.62418,117.98557,321.83694,215.55843,140.53036,318.68173,324.77084,287.45715,275.15198,158.47844,99.21803,107.52963,175.49208,132.54231,35.55171,227.70837,327.66223,223.5247,612.6973,379.7429,395.50995,472.88083,343.93588,192.28241,69.29164,122.707,170.59311,186.33372,150.71753,196.99243,57.20957,144.8577,61.729935,22.866108,101.75,none,
566910.7,242485.95,1577.2483,2898.7363,1860.6506,506.262,1285.3516,766.0885,189.50069,73.82471,183.47658,244.99805,1346.4573,1026.0172,218.72902,224.66148,190.65547,145.71356,168.80513,331.9725,264.68503,108.671364,362.41833,353.643,206.2562,227.38724,213.45824,149.8877,8.388252,162.37701,300.9537,275.71396,271.3615,193.51761,236.87021,245.81412,172.86032,133.12933,39.01966,229.82274,475.8736,756.37823,487.54407,459.19974,246.67195,234.31462,213.55638,330.2684,278.9793,190.55992,126.583,95.197624,128.49408,110.754326,45.86856,105.47059,132.27806,89.35919,106.22285,85.07579,192.8908,69.77192,376.05008,430.6445,234.82156,114.5621,63.18035,75.40199,51.509052,81.50568,358.21573,188.12807,438.87204,200.09575,40.55927,36.563972,120.4182,127.29316,139.78755,87.13271,272.0678,193.3711,121.38395,34.82428,518.2098,404.4629,69.815285,86.32062,189.13678,434.87683,204.59337,141.78596,264.80847,220.32597,119.87538,142.09088,117.20156,198.1152,111.645134,123.280846,156.23152,176.6516,162.50769,36.79291,68.76594,104.125114,106.60499,104.99063,3.3964012,161.60254,208.3371,114.12139,171.46954,696.8524,379.2923,537.8882,404.16284,163.32922,337.60962,336.75537,203.09282,193.06099,68.38261,53.182888,151.47397,133.20418,80.03261,58.683754,129.595,284.48245,353.31323,257.78125,362.24966,757.4048,828.0041,166.91106,480.26498,192.76733,217.86441,330.05475,280.03482,127.90487,141.39919,108.098946,157.81607,377.93176,228.87897,79.37638,166.92413,168.37016,291.80078,360.95047,375.44098,683.5771,609.5691,209.91196,576.60693,795.72943,471.6803,181.60104,424.36917,374.3884,163.59094,169.73627,131.01239,245.86586,281.34225,57.992516,125.71937,163.40128,64.920715,181.19325,352.53223,384.2497,304.42664,340.0206,359.5896,352.181,343.9731,296.58942,159.37932,72.57306,102.65273,184.681,263.07834,242.7347,313.9869,267.27914,137.95567,42.97915,84.88075,171.34305,282.2336,503.70944,709.58295,474.96603,450.77298,286.97638,553.25867,790.95526,773.54065,773.5607,496.46127,119.71479,263.5857,215.22107,273.30655,304.65338,242.01073,182.37813,284.11334,163.38342,152.70834,231.68134,252.70972,156.75119,291.22424,353.5975,317.56754,232.27374,188.58028,22.790834,183.20956,275.41446,470.96228,324.57172,101.80377,50.203724,205.28848,200.29028,151.19618,309.33484,410.601,241.18642,180.04993,201.0442,110.94581,228.13506,253.14854,133.04308,130.4539,306.9522,399.11362,205.3431,98.946465,66.486755,87.83735,64.91022,31.55479,114.43143,136.52512,176.26093,117.97462,282.3584,98.102165,91.26576,125.5,none,
566567.44,241187.75,1371.417,1547.5306,475.88623,381.44623,854.88306,640.654,255.95255,125.858055,232.9581,234.52898,1291.9089,1127.9635,305.4222,224.25963,112.12967,272.95477,101.2266,207.11595,44.661823,28.636055,211.0237,124.78869,50.8902,238.96109,400.82104,190.52795,100.616356,106.250015,295.94772,407.6069,68.508766,69.900955,40.102757,122.29739,71.246796,201.7789,170.19829,245.11217,358.89322,387.07086,882.1596,447.21387,205.68794,333.45862,454.3676,244.51306,29.806097,219.31625,183.00438,149.7381,180.67204,89.99511,59.686886,171.79652,320.88037,331.5652,250.54411,53.248905,123.87429,75.95999,105.37884,146.66972,88.35472,110.21706,108.525116,170.46921,210.64586,204.48775,290.85223,161.24489,205.63731,318.71164,179.18736,119.95418,76.14976,111.77103,127.66215,183.57115,192.12495,35.06922,288.53357,221.92218,509.21118,276.8032,126.06738,296.05435,243.74034,387.9262,385.9583,114.27673,51.720695,67.01925,181.40344,181.09142,47.557568,224.92241,206.90036,341.54922,191.85695,65.14285,100.872215,95.00815,154.64978,194.07889,178.8046,78.03471,85.19242,159.23114,269.1598,291.32825,332.86295,432.8967,245.35251,575.01935,318.48862,120.24033,162.51013,367.56204,318.39804,263.2376,97.16206,99.24555,137.01437,105.3274,70.7868,153.58627,239.44518,562.22943,620.45496,457.61304,208.54765,499.77637,793.7011,120.015854,424.5683,338.2263,187.68565,161.44286,110.60017,100.684975,196.16025,227.69817,283.88593,355.58978,228.03235,66.94611,177.2768,223.07115,247.5773,224.98563,305.62555,254.88144,642.7976,761.2937,151.28186,521.3245,454.19193,175.95569,272.10263,376.08615,107.3942,177.32306,348.9286,344.3966,360.71255,348.15326,305.5465,391.93747,226.60307,202.98393,141.31517,157.61104,110.0774,104.55617,198.95114,97.53347,132.35289,286.38467,275.64615,94.14436,197.87856,134.49808,60.263294,204.92856,115.4958,259.75787,400.29337,490.83762,468.0754,347.11572,309.34927,476.36426,434.53494,322.86743,706.64105,617.6067,152.51175,671.3321,787.5046,730.6355,415.27573,310.67938,260.98923,124.000046,82.30352,167.4299,60.481213,31.812025,158.98676,18.50726,225.46185,208.78432,148.0435,208.41972,185.60008,192.04367,128.83714,129.63252,160.65154,229.2326,218.22964,177.67297,177.13048,325.1753,65.64073,172.28406,319.07257,332.65878,98.28105,135.83199,112.52102,390.36444,417.59045,367.2714,297.72,379.95023,148.87706,239.24432,22.017757,271.69586,391.15594,349.12012,245.27043,120.72707,141.84824,181.76369,64.84991,55.33259,67.06485,179.22177,144.71808,200.65735,137.79004,112.69227,13.8125,none,
567138.75,241532.67,2026.731,1427.0502,1913.6741,1127.8583,1241.7144,830.7366,276.918,287.2925,366.83337,494.80713,1294.4791,1030.1403,276.69482,58.78453,67.05508,167.23872,262.07278,304.38962,63.966625,26.831392,152.49503,318.36755,207.91698,254.3736,197.20631,84.60671,287.7612,245.00687,214.24985,599.37213,419.85846,120.95991,134.19753,24.477627,217.52663,191.90825,117.00782,209.46431,422.09885,989.78503,1057.315,393.68915,108.210144,300.40228,373.22406,92.856346,58.97094,185.67796,171.83841,265.1436,69.94775,237.05562,171.98705,137.64548,110.6835,56.03332,156.1474,174.06465,98.555,62.297157,129.93204,57.366028,81.97489,60.258835,71.94571,119.57047,187.69171,485.6478,380.0704,216.30034,316.926,456.01343,338.6935,107.87171,316.66455,178.05626,195.03043,216.82161,215.68112,288.36316,537.39734,603.01495,248.46837,199.86269,420.35483,522.8547,283.57175,138.31165,339.99554,215.57335,113.40428,133.67168,144.55298,181.55103,104.609406,225.80995,211.23431,207.96196,257.45303,311.77487,283.8339,208.83139,328.4239,298.02332,172.86366,135.2755,118.26923,87.822876,286.3824,187.92448,189.85426,457.3357,813.9618,838.85846,175.6323,402.18146,257.8145,165.25377,59.707092,212.40446,179.54048,30.864594,161.99762,228.7103,42.012527,211.86824,212.57274,56.98384,49.46484,132.71655,162.84903,503.2063,590.52374,354.44696,440.35333,365.1289,261.26587,24.361563,102.88117,76.59388,212.77284,251.17264,151.56523,128.13184,120.817474,117.99145,23.716488,101.22163,57.212517,74.92019,118.77759,241.68571,269.86554,443.1315,839.98737,352.05212,292.08774,145.4061,142.77864,102.133,54.289192,118.500175,151.50195,262.306,184.43977,108.24303,94.45545,181.26656,125.128525,72.03515,231.0039,192.31058,119.589966,205.64037,306.3567,181.89633,143.13315,280.63177,186.41342,132.49431,208.59862,109.071,72.90414,69.01025,136.35172,313.93805,287.14343,162.63083,92.76247,99.67182,229.56186,205.56108,66.55521,215.50847,231.84923,634.3298,699.40173,502.91165,867.5465,637.66583,472.60406,383.99997,177.0294,155.47993,257.27625,127.845215,46.844982,191.38028,183.82117,78.27621,71.11342,157.54855,149.33408,132.65964,49.08184,139.99956,317.9493,211.47871,88.527016,94.20079,106.66493,91.95177,114.82809,162.96599,84.452385,194.61032,282.26324,441.1097,243.21338,112.1003,203.14252,76.19088,73.95053,82.64479,149.66699,182.35506,338.1537,423.45303,206.69702,226.53891,301.29318,431.08008,225.08337,100.890785,225.00691,186.42996,61.462383,43.49604,159.04335,63.377758,98.621254,257.686,486.25552,360.58066,283.0,none,
567387.25,242753.97,3078.12,3007.0952,743.6789,978.6186,1317.789,746.30164,207.69885,186.29463,252.76414,348.15964,1272.4117,1026.2983,274.64816,349.61987,284.9092,159.215,79.986855,59.11757,122.76103,94.26143,64.76291,172.2832,233.23418,294.73175,191.66754,193.65117,246.26321,119.82531,142.38402,198.5109,178.85098,81.823845,226.66118,144.41077,87.50122,91.53217,268.36038,284.104,240.26935,779.4491,1067.2767,122.78929,390.87546,144.371,297.41058,321.5954,170.82869,16.257719,68.54334,203.30692,135.75151,134.39328,189.04117,199.22665,157.86118,208.6012,191.69243,189.5783,227.54398,186.43341,127.397545,101.225044,97.32869,189.3547,269.49808,366.26108,267.5078,168.93425,173.47728,118.87982,348.1054,192.07193,261.38766,97.515114,126.961754,116.06441,183.85733,18.805956,81.63555,217.62163,99.25666,265.7443,158.34325,379.33362,269.31287,91.97645,182.81386,312.7409,231.60846,97.44443,154.94618,106.72138,86.92714,38.635952,168.96747,237.29385,258.21082,287.43112,180.25491,227.01376,271.82574,106.225204,211.64577,330.222,65.091354,170.94373,227.79578,82.83586,144.89078,150.23988,95.38629,233.60504,507.13705,316.78415,450.5015,175.69623,237.07814,328.8888,147.39987,208.54889,106.01589,310.77625,59.329624,44.64821,180.93073,229.56964,155.81429,57.948425,114.720406,235.15079,321.48233,736.8113,858.8781,85.646225,173.71237,213.43416,82.450134,185.43332,208.90779,130.91246,171.28305,131.61615,241.40808,186.40492,92.343575,125.219795,159.61507,234.36526,195.608,117.74769,86.098915,360.1945,597.0779,894.332,644.2183,434.3327,391.66104,243.79868,456.47894,478.35144,306.81647,114.64322,65.50736,140.68788,146.2451,66.62256,68.48057,89.94014,88.45158,167.95657,203.31482,100.63499,87.90293,69.570335,121.06443,109.80741,270.58273,164.62047,226.90561,177.59401,108.76758,100.41113,116.03989,50.200684,78.68124,147.43246,136.57422,129.25224,234.70436,108.79388,41.61286,97.91322,308.9136,625.8654,649.45026,734.7171,145.30531,968.7287,562.5932,259.70486,365.83847,649.92633,603.8498,420.457,243.91867,223.95349,133.77298,185.24484,417.54327,465.57767,362.67877,104.14179,143.50667,260.1644,60.905323,194.07332,206.89853,76.950455,36.146618,123.44788,88.318115,109.9159,191.68362,117.24685,44.782215,48.48294,97.53771,244.90187,335.60104,193.83583,126.42602,109.99668,219.9285,199.94595,343.59283,519.75165,411.7781,250.69402,176.27226,571.23395,389.81683,317.90482,146.09895,221.677,198.05214,81.87487,120.101616,166.93227,83.66259,180.69772,189.03452,296.6207,305.88235,181.99161,39.90625,none,
