bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567445.4,241383.83,336.61075,3292.6782,7660.482,4361.0,3215.6714,1048.8585,1030.6475,1034.1287,578.70294,8212.243,40021.57,30603.129,2114.3218,552.57404,602.2415,15.769251,176.9169,475.80035,133.7609,403.72107,209.0085,208.55003,886.7963,1474.91,273.29132,203.18643,292.17923,505.52725,243.64977,58.396454,50.97699,414.4556,68.41415,124.99969,1120.715,2710.6614,1486.7814,391.93396,334.84457,491.42737,994.13684,637.9494,271.42157,286.8997,338.7736,239.0024,176.35066,347.7349,388.23248,449.70724,478.79248,439.1734,493.87286,386.51636,156.90479,259.87372,341.28394,293.64136,82.07561,51.036854,174.44933,409.38385,320.13913,206.95018,157.84845,355.821,366.00098,472.46838,411.84784,450.26215,222.4113,496.6561,393.0067,240.60493,193.66125,592.42444,540.17957,339.76273,177.08989,194.4259,127.31963,214.29942,480.52005,246.88466,120.749275,223.69594,510.16425,455.22696,13.438419,175.96167,163.6801,290.81998,431.2908,225.03128,99.76377,152.30551,86.662834,117.29493,301.37405,263.97998,210.22588,468.1794,245.66824,237.74364,346.5474,506.44797,536.42975,351.10345,79.73976,45.022686,458.9638,560.226,439.65802,309.72546,273.1598,282.95007,399.17874,600.8415,1020.30865,961.1885,731.5378,486.97495,545.00977,627.32104,412.58923,342.94144,435.42078,423.54312,494.0981,157.50305,1103.1365,1437.7917,417.45908,340.34146,133.93826,213.69305,370.2079,301.05515,258.34503,315.73093,208.8124,281.98254,287.54572,296.36447,278.45917,252.8137,160.6668,118.728,492.82666,639.2179,344.7759,236.11295,620.93506,321.36606,453.53043,777.5159,757.51184,508.59738,328.02603,52.83801,248.786,420.00626,366.13208,439.54202,264.8496,117.431656,237.03697,154.57393,375.8637,645.0758,532.01697,378.36768,119.02542,76.52628,170.80438,200.66301,184.92276,836.6204,822.1218,499.6904,699.5827,395.5256,187.86752,555.3321,414.47098,292.49182,81.377754,458.2526,385.86505,439.2657,941.5833,774.3035,792.4377,596.0165,401.28113,299.98242,182.82452,1118.0146,1001.23926,461.30865,97.09669,164.76202,169.23703,73.23057,260.02942,338.32544,99.05406,159.79057,298.68384,465.94705,579.0828,261.8337,291.75403,210.62128,229.28546,243.26819,309.05606,512.9425,400.6153,296.92267,738.8413,184.22649,272.82834,25.70455,318.23798,361.56805,442.1294,188.7381,475.49863,240.16496,520.5724,515.87494,573.7118,459.55954,630.6197,318.66678,385.39066,306.12015,404.75058,820.70984,313.2007,158.31607,136.67358,176.6088,234.9319,789.1534,487.84854,239.04689,416.2193,253.58252,367.81677,305.3299,155.47786,319.49548,463.125,none,
567230.75,241489.9,1018.1308,3521.4414,9471.73,8616.327,1240.554,459.89114,539.7806,1212.0266,802.10565,8460.238,40281.44,30486.225,1987.5182,804.2714,436.53268,316.66705,114.64064,143.02353,296.52264,37.38423,361.14026,35.392624,1304.4061,1778.5005,719.8771,220.13148,240.90543,154.45676,86.2866,297.00693,98.76135,458.1915,172.90018,195.09447,1192.9121,2567.8245,696.63586,451.88327,206.29645,352.49997,796.7808,91.54128,311.78818,360.5082,397.1465,174.69586,338.20425,768.7106,637.72504,546.5069,461.93365,231.3542,193.47925,76.642975,478.75272,456.322,138.6902,295.40088,310.32245,354.1227,489.57968,408.5816,88.18951,218.87013,145.88092,173.73087,315.13965,168.62859,367.73135,375.2989,320.34973,749.54675,375.71265,288.21292,233.30322,299.79077,108.096565,353.54163,414.22543,222.5695,207.97755,275.61365,124.03438,188.84981,147.29147,26.049702,402.81543,199.91956,147.46477,285.84286,548.0077,414.70657,78.18194,206.06064,36.225376,229.47696,343.0945,333.8795,184.50827,262.0299,261.5007,124.173035,307.29697,456.17407,490.8503,237.62782,165.36131,141.03421,33.197296,421.0868,351.4302,272.3801,397.9343,283.34253,208.8318,622.301,533.4562,280.14667,157.10059,328.27362,92.71032,205.98537,266.95117,381.48087,238.1957,150.6605,105.21246,197.12186,271.47125,366.88397,1264.4695,1330.1697,698.3496,1001.8637,346.76355,81.31006,68.54677,238.19136,280.562,137.80138,175.171,281.776,247.58208,280.4516,277.21262,253.7182,367.06027,364.56244,432.66315,100.67313,358.37982,299.7204,279.89096,560.07947,1021.5326,384.0494,481.21112,495.739,601.5093,418.73944,429.55203,133.47826,193.49217,238.86446,221.69054,132.69836,508.80057,558.07074,319.36896,473.28708,295.72403,311.35388,49.538853,14.640863,242.28836,430.91617,300.92383,149.315,395.98993,112.54001,113.73847,126.23931,252.7982,66.95237,261.5313,117.11797,318.29956,433.4037,345.01947,192.52013,240.61238,136.04518,432.83774,466.76425,860.1457,1076.8912,799.1462,510.97003,713.70056,326.51035,373.97583,181.88474,196.23286,275.10825,179.75279,515.4497,612.5626,606.29724,272.4964,364.12964,310.96747,63.747864,282.69556,419.63574,724.43005,1001.65063,613.46924,209.2746,240.32887,185.96713,306.9748,526.8673,273.84824,136.82968,228.13351,489.06628,784.97565,1033.8004,549.06683,928.3191,486.94162,273.20398,563.46124,564.7945,315.1438,424.3077,695.63745,567.63007,670.5759,286.5334,328.631,274.75766,573.66223,697.2418,188.99911,391.18427,661.59686,714.2997,969.7266,719.7458,557.6447,49.179607,49.645706,222.4754,18.875,none,
566748.9,242491.69,1279.377,3320.6904,767.47144,4662.698,2264.1946,995.4932,511.55536,252.18195,350.92227,8376.15,39987.52,30698.377,2786.537,607.363,211.80682,353.16476,441.81094,367.47217,238.39624,134.11966,360.45898,231.07036,1167.4895,1301.6515,436.96204,338.75186,247.40263,43.40643,284.87653,547.54443,163.4187,398.02908,494.4868,308.7701,1331.6392,2865.9883,1315.697,230.63582,291.02945,267.65125,1156.0391,504.48853,202.49782,95.674614,389.12637,554.56226,284.46637,488.11105,623.34973,445.26797,262.03088,305.05322,77.38648,202.25383,234.51051,240.25668,61.49963,215.47836,341.6886,207.39857,166.92084,334.01825,329.524,287.1749,25.525425,318.45145,392.61816,36.41613,209.482,479.97406,199.14917,464.43124,196.02232,376.37134,216.1633,235.27551,270.9904,50.12901,326.90448,196.38173,305.2132,412.36096,483.02014,416.81775,148.1483,258.55124,533.2388,184.72655,89.78381,39.77763,263.61362,300.60846,158.14862,239.86159,145.8988,357.57584,149.3614,85.853264,152.73997,240.98976,216.28604,217.42268,121.76582,23.652416,197.73813,133.62416,284.0714,282.52173,136.58287,454.1673,446.80145,485.02728,461.52127,306.54462,22.588314,311.9186,425.43423,121.58278,155.64784,32.868645,210.14891,130.90286,326.2224,444.75458,674.5781,570.7191,549.2289,307.18784,302.18924,533.3563,1483.3427,1588.7466,633.6459,810.616,380.04852,252.8773,192.09402,106.52912,105.357475,341.49225,202.0064,119.28797,71.19132,45.190704,311.10843,363.8745,453.10385,624.66974,296.14255,317.84012,351.80045,551.49,694.30963,726.21216,692.72894,300.6605,253.9147,219.81755,271.13733,507.37042,504.1568,113.086624,463.88623,531.22974,180.61523,142.82909,479.7822,302.51797,463.01392,236.69337,318.23053,97.397514,455.66003,743.3061,393.00476,303.80014,188.66885,187.55922,539.0531,381.60144,284.4452,283.26355,412.955,455.51733,411.2542,572.6859,382.34302,225.24092,488.46625,156.29414,267.89017,532.4329,708.6338,788.99524,803.21106,849.34155,737.5225,557.6361,625.8502,233.88113,526.507,602.0082,444.42255,443.90335,152.54266,585.8517,497.23666,471.3942,226.27911,217.06389,287.10693,187.68814,354.9584,417.10165,419.32532,741.91376,413.8822,220.94344,209.95122,397.9489,486.11505,619.99347,906.70953,717.85754,449.5648,532.4878,691.4708,867.5263,633.7401,664.0025,420.2296,290.114,205.83282,219.53563,176.53333,394.81674,506.06635,715.0194,525.7352,420.00397,661.6864,378.33844,186.93556,505.97635,258.693,383.25943,601.02136,861.2549,720.51117,418.72412,511.45804,178.91971,511.50735,749.32587,591.375,none,
567053.5,242313.05,2029.2279,1397.2433,4788.164,3667.5974,1836.1024,1047.5674,380.27136,647.60547,432.49838,8402.707,39984.93,30456.355,2724.3499,214.3056,321.18082,174.91054,295.6319,329.33954,483.69702,566.4119,210.142,97.41507,1164.2311,1480.3264,401.39667,127.85848,33.50476,449.56116,230.32088,456.18674,228.3192,349.09677,185.68846,238.63147,1091.0969,2532.4224,1208.9102,35.883434,337.67816,975.76086,685.9717,485.31625,533.8639,376.04572,220.08646,98.807396,261.2877,423.724,337.44357,263.1178,45.89772,110.09901,244.03122,217.69226,282.35587,57.40635,175.17189,336.91592,343.39746,551.4777,310.56766,172.74649,285.24774,74.70932,153.72093,144.92706,220.68167,157.47238,338.35953,379.85425,507.84122,82.478966,328.55637,207.22823,222.73839,261.78088,87.15141,312.62888,449.8514,285.486,65.42456,223.82448,223.46382,313.84296,188.8189,242.65067,231.63448,28.221828,66.341125,195.88982,159.8296,213.67142,158.03244,372.342,338.79984,335.57587,236.50623,127.51144,208.13829,550.99866,582.3168,317.6693,76.21191,35.8208,15.146362,241.23895,263.43158,436.30194,199.85956,208.66441,53.327442,343.58307,558.64874,796.24854,456.97504,429.95517,565.52686,150.16527,164.83391,352.32465,256.70035,98.01228,234.43576,230.79735,455.3694,573.7991,701.44073,505.84375,501.37997,788.91174,1698.2461,1249.3741,512.33185,625.53436,287.67105,422.10034,322.14417,227.2191,267.04333,35.137882,275.61917,179.2902,151.23047,152.70573,447.5648,277.1839,212.8001,351.013,125.74689,413.7684,428.47845,457.51688,205.86229,633.89996,1107.7919,558.3423,254.09517,136.08557,385.15402,736.18567,450.85724,459.92996,289.97552,449.04376,310.84256,175.32596,360.12244,781.98114,695.50415,462.88132,210.87607,736.9666,871.0019,42.083702,208.0376,40.98403,441.83862,724.8416,373.83185,329.90234,274.54883,434.08817,417.50256,236.16095,284.94897,102.50765,82.22256,204.04071,439.82483,288.62094,251.83914,618.9501,494.67078,166.80492,652.78827,960.94464,690.07935,801.0631,1324.4523,831.5784,227.24873,446.29315,433.75354,144.03896,124.90732,238.15488,225.32321,320.70023,642.39124,702.96515,424.17148,133.2185,406.6702,281.66046,369.89066,186.16267,262.06668,183.99326,197.86073,185.74823,314.95334,322.67184,246.95334,410.8282,291.1087,210.55153,346.59427,224.48244,185.4893,92.26694,246.75119,657.7056,499.4412,429.53864,495.56873,442.80093,496.74426,117.57441,537.38434,818.0175,352.71906,347.0295,181.61877,489.49832,291.4991,314.02542,283.33276,605.287,518.9142,363.81244,289.83047,326.57584,591.68304,476.0957,243.5,none,
567366.2,242201.22,2871.8013,6560.496,1106.5507,7781.683,8121.242,4036.304,2148.3523,1913.8889,2673.2844,8018.277,39043.223,30122.473,2629.9424,441.0344,731.29004,308.36404,117.67869,451.19443,643.53094,552.67456,455.3441,484.99832,1390.273,1705.6262,463.96252,292.59598,261.45166,270.75397,561.0886,611.7124,729.6152,721.406,554.48376,192.52399,943.54083,2631.2358,1291.7737,148.41284,436.4297,892.62585,621.8902,656.9559,869.04224,550.9818,375.7486,462.1743,412.8844,678.9963,719.61865,317.00003,104.46394,306.2591,308.99353,194.33246,332.84818,427.8085,508.8402,213.86229,306.46344,151.85374,191.60075,93.3199,172.8059,132.15965,166.72014,171.9998,285.2789,490.91,422.48517,82.32483,355.7329,126.08287,483.18896,361.4445,216.8587,393.7898,454.61148,547.45636,259.03378,79.784546,95.42699,390.83344,537.60516,405.09085,426.6893,217.31125,61.807606,192.54541,227.92477,357.92706,258.55457,123.33515,189.95763,341.5632,88.84644,56.44686,164.83804,146.29488,40.795933,270.0746,165.61797,376.93158,260.65512,258.48602,257.3631,50.891163,129.62277,317.7448,334.95898,81.28711,257.62677,628.176,792.7904,456.9599,205.20386,372.0315,440.41663,63.16167,168.96967,281.7603,279.44144,78.62546,214.39217,177.66876,282.5027,526.66864,530.1934,750.8269,640.63336,747.47516,1716.092,1651.9965,380.24976,702.0627,313.02423,542.4123,391.2648,86.96637,21.294548,73.86127,172.57904,552.05585,600.00555,496.27838,77.06704,170.62659,409.6557,169.56374,277.34506,30.974339,318.77106,503.657,407.0913,408.60208,498.16754,569.7975,808.17725,414.3592,186.64929,530.21735,810.4937,603.9081,530.19635,402.5765,290.09573,90.15296,233.37808,216.7811,278.40012,347.11905,501.1577,97.520744,666.9367,344.6973,300.04694,480.38028,165.11781,336.3437,428.49933,127.57258,319.02518,723.9244,633.1733,602.3573,544.10406,363.24915,186.51945,402.87573,497.13818,290.71954,357.40283,117.69416,489.3642,781.31885,675.9115,590.7956,363.29166,829.48267,145.98877,461.80267,420.71075,93.69121,495.30954,356.27832,212.99673,253.52635,112.668365,103.011765,271.14474,328.69992,368.9547,587.6655,350.1691,269.41852,289.00012,559.04584,936.961,832.8466,558.9222,556.01843,642.3187,263.67667,349.4113,412.10443,527.4002,276.0463,507.03015,458.6063,196.04788,377.2557,466.9864,485.3877,169.5095,550.1134,733.2719,429.0047,706.0395,557.8322,742.3672,816.38403,402.67624,458.1733,257.29718,433.2024,531.39874,473.99512,410.86627,155.03583,172.6811,276.84903,262.17264,424.01566,492.3467,243.86266,219.5625,none,
566797.56,241481.02,2363.8398,13523.478,32696.025,22917.521,1559.4374,2938.2075,2468.131,2545.7292,1647.4872,9468.156,40368.65,31283.781,3005.7168,255.76408,1199.2587,470.64792,698.5023,519.6633,515.4846,425.8835,718.415,546.03,1134.5461,1771.4677,31.291595,179.92148,196.30038,284.3044,450.73004,266.95856,350.76315,145.88663,55.209183,324.38712,1142.6136,2571.761,959.34924,323.5073,119.379974,489.77505,679.0027,610.96014,582.81177,440.26416,357.41678,281.6442,233.85306,291.04547,278.90488,265.1003,178.34488,93.64132,129.42638,514.7413,249.26872,277.05435,153.02547,97.97264,86.80099,262.82532,247.54941,266.644,114.91734,24.603561,270.72144,225.8625,367.4454,168.18823,138.92638,100.359604,478.65857,488.7253,735.45483,300.9943,312.71323,118.68823,130.23842,126.95392,126.75349,246.46915,139.21278,268.5055,155.45886,79.96586,180.9064,138.33083,197.2593,173.00563,185.98268,90.45401,199.68039,192.18306,227.82458,68.52713,134.97966,63.82624,115.83006,288.9328,60.62146,148.24602,177.00395,93.933044,51.696777,96.49658,149.0663,531.0901,460.34073,339.7845,91.36622,489.01862,656.2919,126.71872,296.58536,263.85306,247.01962,243.72153,287.8567,305.4513,266.16138,256.2865,198.29285,167.14206,329.0413,83.01418,216.129,363.7092,200.83585,579.4918,651.6823,594.4163,1498.4799,1517.7411,626.0574,1143.8268,395.49258,255.49767,245.76375,292.27255,276.23672,335.58026,511.3416,335.7171,373.6479,292.5864,193.48729,293.12067,377.48407,217.5632,258.48758,474.16077,254.31502,497.10587,652.89374,667.937,810.04114,909.14465,351.22903,159.92917,510.89548,382.3252,303.77078,401.24582,407.67688,350.68317,284.15152,113.34075,202.87796,518.6294,338.97476,200.73138,177.52324,477.09604,499.53732,651.41327,710.10504,404.53064,335.05634,296.3167,390.8058,305.38834,162.44566,300.61884,178.4843,498.0056,465.64746,668.9016,786.41693,49.395885,414.7617,497.60767,563.9232,608.18414,433.40973,505.29715,345.13095,703.4673,823.37604,72.446014,571.39685,918.5787,877.96796,334.76093,74.04293,334.04172,60.063713,255.70505,362.32602,233.1902,308.0893,307.19937,231.99332,259.697,275.0078,305.28525,442.3012,323.86136,736.1249,640.68414,30.443462,802.78827,384.86768,357.37863,271.08414,162.3966,432.24332,422.13608,411.23904,439.14514,175.13138,286.78516,517.15924,1059.8729,620.71893,523.8944,866.7914,266.92096,213.71426,510.25494,785.2297,1107.7292,914.94257,114.28294,196.85681,447.43674,521.14374,493.09753,280.462,124.522285,241.85527,346.76797,418.15973,679.31995,593.7195,469.58734,277.4375,none,
568625.5,244020.88,4537.2256,14364.483,24189.453,17156.043,4730.302,980.91406,635.3182,294.6608,397.32,8512.029,40130.555,30804.262,2657.8591,143.88326,445.7654,520.9342,294.93964,285.39755,239.47916,526.0706,182.69484,186.27751,1077.6838,1876.7156,554.77075,123.18715,181.88173,277.26028,374.07764,266.08096,97.45195,260.91156,98.87008,330.70978,1096.9873,2520.1414,1190.7784,344.21625,636.51086,718.5293,324.00668,773.0173,576.0843,236.21407,128.68669,6.920714,164.86552,568.5816,420.06128,222.21863,249.51724,336.78763,329.19705,240.3769,219.50224,192.04843,161.22354,164.34358,327.0543,546.21857,561.8511,247.33434,50.57804,127.54608,316.5651,398.12448,450.28146,262.6623,28.237255,215.63669,302.85565,213.69135,413.32587,281.35114,58.620384,131.82707,243.39304,44.282112,482.12488,286.73248,157.94746,317.7516,428.59628,350.94705,158.70134,93.09639,185.0617,225.16914,425.44864,214.01509,180.96901,357.29153,246.03299,145.57436,213.8183,77.5648,211.92017,236.9087,125.78524,104.03295,323.7416,309.19647,188.23105,164.45882,120.82901,97.7524,175.20494,145.34189,171.4571,82.539276,536.6823,360.7281,232.77911,232.81381,288.48572,228.76077,477.28757,520.5471,293.43625,281.73672,241.99039,434.08527,577.9226,774.0858,763.1353,403.39218,258.42715,344.80933,449.03464,753.3881,1548.1106,1456.2708,628.9528,979.80597,458.969,539.6798,447.92166,346.71735,151.91216,152.80539,115.90677,174.03087,307.12027,365.71094,214.51968,126.62259,180.99051,190.23328,270.37854,181.71916,224.3831,398.97397,463.83548,252.97139,486.71793,324.51495,341.21042,459.7272,635.82635,566.2357,288.06647,378.16296,399.90942,139.76216,307.2175,263.1893,247.15334,575.2618,317.00443,46.693817,131.28148,273.06308,377.82938,617.594,784.01215,131.6422,34.427555,99.20469,34.21025,74.90862,317.44406,501.27036,241.90742,57.26437,592.65985,1120.0801,1089.8618,339.77716,386.69043,559.6144,149.65009,277.32358,417.9056,531.3382,413.87903,715.5654,819.4473,566.4251,513.8621,527.01196,438.6427,246.39186,513.8514,413.64767,615.1762,395.9282,113.58912,110.56829,363.71793,358.66003,101.1931,444.62518,423.8154,385.48657,128.94157,269.78717,380.89963,181.28232,739.45856,429.8826,416.40585,221.34103,469.81378,403.52206,187.76143,285.83606,528.90533,960.8647,1353.6964,1085.2671,252.13327,749.37146,519.1523,357.67352,281.29163,626.2749,335.96817,360.27246,454.5645,891.8582,767.8065,208.2114,476.61145,926.7421,383.67117,374.95834,388.036,161.30814,445.26175,355.40283,247.03737,582.4547,251.64958,313.42395,95.96875,none,
566738.6,240821.9,2099.4663,4698.6104,2856.3352,6033.538,2416.3208,1101.5226,495.3962,636.92834,194.79395,8559.695,39944.54,30478.127,2581.4294,283.23386,313.87872,583.4477,324.32843,608.2452,216.18631,99.61348,465.8832,157.63039,1111.323,1411.529,160.11273,331.82715,164.73705,199.98235,470.23,172.54291,248.98491,157.70943,243.95697,233.60988,1093.2952,2662.9973,1343.9994,400.88205,749.2552,646.54767,484.28546,609.3108,562.60345,548.85876,274.61234,575.41724,468.43042,526.8724,415.18692,198.94957,322.2969,404.9514,278.34296,418.82263,454.6693,353.95145,56.222168,135.96698,196.28535,181.55988,382.93204,176.14124,138.92882,94.86597,310.46277,289.07285,158.58348,94.3032,120.01058,121.43867,201.84003,65.18904,351.2298,377.66504,118.21996,139.09236,470.6317,366.42923,443.27673,371.16922,272.9121,131.71974,276.45413,354.2735,274.88605,382.18787,234.46133,149.84122,145.41008,231.35027,267.62964,52.76073,122.07755,67.77042,206.26146,237.29167,231.95197,397.43008,502.53592,281.63925,246.3247,63.137775,232.47977,415.12164,390.36206,435.13312,252.62144,185.68855,126.808556,155.50304,155.87392,161.09746,109.37599,765.9313,1071.7537,298.59784,625.41095,258.16968,157.81223,225.11389,221.11894,246.52045,146.1554,121.2674,404.2018,550.4151,495.27155,337.44852,467.30823,721.7709,1409.9203,1520.2385,401.2605,726.47565,362.5627,540.02637,323.24918,368.5295,255.09349,246.2155,58.921143,146.46669,301.2058,40.07651,164.06357,56.57688,103.641754,151.17123,154.85332,190.29884,435.15198,389.4968,201.3785,289.16385,905.45844,896.00464,30.147074,237.34612,147.30711,312.7296,152.73662,583.37317,751.33636,406.1291,122.077225,298.4634,274.52383,76.06274,266.6507,398.55267,219.87108,270.2668,514.5039,830.4427,672.91895,263.8084,237.05267,15.169684,94.836296,52.121967,182.09853,648.67505,838.7212,410.41116,597.93256,474.903,449.33142,78.20191,593.57404,812.9506,428.7797,685.27924,443.38864,132.99463,151.56723,589.82983,214.66022,1020.29407,1118.7698,719.4495,444.59824,283.04572,393.30356,179.46245,470.05423,431.8254,142.70364,205.18594,174.01276,47.73173,440.49142,311.312,231.515,226.81325,230.87459,236.91039,272.2672,459.5074,166.86719,336.70367,168.09544,185.33774,418.6646,615.5364,431.7598,209.37784,479.1525,528.446,704.12396,1161.3455,632.5658,626.7357,277.18674,322.05676,336.91907,642.26654,731.0386,263.76608,283.9283,291.1178,334.16666,565.7026,21.514061,1069.1478,860.3595,621.155,371.4877,230.53246,297.11835,228.22905,332.84717,256.6377,337.62567,283.7811,479.59375,none,
567877.44,240870.0,4551.289,4662.61,3544.772,4400.086,450.91708,385.6797,669.41077,382.05435,597.935,8302.992,39998.367,30916.783,2719.1719,127.955185,358.10715,582.16327,413.73904,167.95291,506.6033,33.001163,129.61795,443.47455,1123.2996,1535.0103,617.6764,318.5633,93.62627,289.37088,396.3921,166.603,116.92526,281.94135,210.36902,189.7986,819.68463,2376.6702,1033.2744,538.2967,629.1329,970.50354,170.78433,356.61694,86.25213,314.16095,80.56959,348.87308,301.78522,424.58636,128.45398,161.32333,209.80203,139.51643,238.98727,30.730682,153.10413,276.22034,73.72851,302.84177,75.2506,379.2441,403.43173,47.368233,162.21,307.91544,272.57303,368.93973,154.88348,206.77223,269.6269,83.821976,156.87845,403.05826,237.59323,487.3439,647.5231,323.43893,395.9892,504.75366,310.89606,410.00366,383.84805,283.70438,74.25007,209.45633,277.75073,53.997334,293.91776,218.8983,143.60957,256.88693,286.02774,75.593544,192.43349,129.17805,60.37987,214.47375,214.35132,91.2098,61.10835,221.47113,71.21034,492.73035,498.90265,353.3049,172.4215,35.601475,78.954605,108.31219,144.2565,397.07822,585.257,583.2449,293.2874,476.8287,714.8199,531.98334,49.331684,331.02658,270.2216,212.21571,198.49495,247.1269,303.37582,378.1851,489.20218,240.71974,250.66676,578.30566,613.85974,675.86884,1377.3019,1096.0288,763.0626,896.54785,510.77557,350.9919,156.98547,300.5274,497.67404,697.0251,447.98215,208.99701,253.50768,99.76813,268.7683,290.8979,481.33838,361.09445,200.58746,234.16196,331.59415,573.1004,389.0172,323.1199,352.6237,866.9232,427.99026,289.21695,117.05102,65.55692,256.40305,589.70593,355.36057,549.84326,267.9903,346.0845,229.2879,311.0242,364.20792,360.64972,242.21991,247.16402,49.583614,404.38556,552.77167,302.01443,29.102306,177.26031,423.24084,536.72424,295.0067,303.69406,159.42386,371.9486,268.0677,526.3748,367.10342,221.37389,139.1115,386.54056,22.392355,372.76697,725.0799,864.70197,594.9366,515.727,1089.1738,168.21036,635.05414,305.89816,372.0966,308.9535,590.83386,693.6282,241.15187,177.02449,277.32642,267.07104,85.14074,282.5698,396.4553,366.6855,398.47717,278.32465,490.40445,477.8026,356.3222,205.22229,285.91702,254.50589,359.7824,507.64755,670.20215,317.34964,160.56108,454.07626,290.16876,530.4962,1073.9215,729.36224,447.9766,400.65332,650.12054,518.4726,345.44888,652.7636,514.2532,90.881035,213.13586,114.26226,300.96936,454.33167,973.0314,614.2941,168.68352,343.2167,98.305916,229.78305,432.4742,712.3969,721.244,365.02176,694.78595,538.4454,677.6875,none,
567175.2,243391.84,3110.2356,6144.2505,5372.9473,1327.7367,1753.4056,476.09143,299.11398,85.16075,723.9554,8011.7783,40146.805,30523.09,2534.2288,162.17017,318.7073,162.55219,533.9786,282.50937,328.17996,257.931,289.35538,144.53056,925.5024,1302.3811,384.35913,262.71948,204.44879,129.93004,146.50516,92.394714,358.91837,196.61887,104.10638,30.5189,1267.4016,2632.4395,1466.236,486.61697,601.5843,272.001,193.04414,135.89,138.99577,74.80218,284.49313,215.4301,326.11447,671.781,594.8703,48.01443,261.99792,530.80493,316.53958,148.00706,92.6436,267.41315,219.18613,177.14883,386.91437,393.15112,452.8961,188.39673,118.21102,88.16696,116.64836,212.58626,132.18047,293.3,87.61007,134.56741,461.23868,790.2418,871.802,475.94443,154.30595,338.2274,29.726934,221.5736,79.827484,201.26042,178.84409,231.5954,26.144884,274.36633,145.89978,70.28343,204.13336,190.08665,153.0474,123.54225,152.77483,147.9789,232.29333,45.40219,28.420584,281.4583,582.1719,587.05695,324.29608,334.0263,348.7522,161.27405,243.52336,136.55554,115.99793,200.13048,364.84552,275.01782,175.8561,348.14392,409.0683,554.64966,468.24225,163.3566,739.8263,762.708,350.2974,30.272795,98.947105,120.38577,41.23942,91.543236,226.94199,238.29828,419.94363,430.04004,544.0303,275.3027,554.4471,700.3505,1213.8848,1873.2325,273.86685,597.9537,473.65784,408.52737,455.52762,530.4862,522.0023,462.17493,665.1835,475.0132,269.83475,478.1293,112.07974,316.12778,280.20505,134.85368,315.40012,198.60574,263.97067,159.54123,373.58017,623.8959,628.8331,484.6969,839.0814,763.45807,501.10223,75.72278,214.13194,324.67645,363.75653,136.52162,258.6065,346.69522,130.42226,502.36038,431.2454,617.72235,414.76715,166.59677,250.77098,489.5572,382.84494,38.056458,179.1592,366.06805,412.8904,269.03104,295.76212,600.71075,730.9237,599.8415,298.90286,494.9917,369.40652,296.23627,332.16522,349.13104,364.21555,377.94937,454.449,259.69302,164.6696,513.6269,1262.015,569.17725,311.94727,656.2553,210.67012,580.5695,739.2887,815.50995,466.91702,46.49775,350.58652,377.0263,236.53682,323.99777,386.3508,342.02084,204.62486,309.11743,485.29083,58.028473,449.75775,78.93552,428.09546,582.2776,247.48155,396.64374,452.18466,181.30058,475.79065,322.41382,990.16833,710.1031,139.46408,420.66483,395.00964,321.11658,598.27625,370.05328,144.05446,167.42252,235.22537,136.76312,271.74728,119.95807,275.43466,497.96957,221.81055,430.88043,615.3548,581.22546,180.5587,233.8745,222.28922,333.70557,248.99611,668.1294,506.57193,496.27563,665.6875,none,
