bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567451.9,242486.23,2522.4233,7971.5483,2430.0986,9328.672,6685.7236,1197.631,1365.1405,1910.207,1408.375,185.34152,1191.8992,567.0394,589.71497,358.68353,560.7252,442.45233,140.84955,269.80966,147.41542,170.67136,79.9542,209.94743,151.30121,402.25854,251.66257,429.97675,263.41144,126.85504,171.59088,126.60525,387.50192,221.76337,529.4136,289.01837,175.92188,355.317,403.15833,316.39194,217.25684,264.01776,194.30254,95.75669,129.56122,357.02255,432.68912,193.21144,47.812798,127.74131,54.207775,85.27972,36.149754,171.82343,147.53665,119.52389,98.52156,138.96242,141.92778,204.38506,104.74182,161.66896,36.26798,48.541428,62.074165,119.688614,39.367058,132.54416,241.57195,187.97491,241.07368,223.40022,219.89297,144.93584,181.74574,240.35199,77.27795,182.15347,216.35135,207.78447,178.44902,295.99374,376.11203,242.45152,63.30322,153.476,61.21974,151.8617,201.33537,87.72153,60.3515,79.820206,128.80122,106.06495,106.45203,89.4986,164.96852,185.72144,86.71815,124.85673,163.4222,65.8631,138.08354,221.97833,47.309643,204.19005,285.38315,247.64973,167.70724,179.50325,108.949936,28.689291,51.12353,160.74388,201.7217,152.0141,268.55804,228.10762,50.469826,97.85364,160.2187,311.74277,363.51462,363.17313,304.31122,456.08017,252.95589,427.05292,463.30588,611.07715,542.8768,856.7107,924.97943,1443.63,2343.5647,4823.7227,1959.2262,2587.7144,1634.0472,628.5385,606.876,798.6524,108.124146,246.11397,110.89717,112.30689,153.05995,268.12457,376.9932,252.65236,253.8314,528.404,686.7836,747.26404,501.90027,284.6335,218.41563,182.1797,29.886791,318.62802,322.30948,336.51846,97.21187,285.6213,421.4686,430.76053,422.90347,149.04471,434.12817,330.33252,369.04755,656.53,474.23352,156.11047,160.0019,199.1177,102.74432,375.90854,508.04565,759.0845,851.2807,415.71268,189.43358,66.30715,103.1958,276.9631,286.34113,105.2376,124.9481,262.25333,601.77484,502.50366,192.04446,167.57465,336.35687,374.70502,113.90937,122.52598,232.00821,56.572056,165.77586,209.98969,275.8569,218.67087,300.38107,495.00735,180.33318,51.063988,151.98132,146.61751,65.23559,166.82812,194.90747,72.627884,109.04212,115.03521,120.03427,79.05771,144.52924,246.00905,150.23805,100.25483,41.552876,200.99628,127.80698,114.06037,103.45246,148.75293,131.369,198.47992,133.23361,194.40736,122.452866,136.03825,146.94756,255.4163,193.29881,401.58118,893.56366,451.6835,69.87481,104.84659,26.03057,112.90574,54.446712,166.30647,234.49278,276.5661,220.89485,233.00348,190.01656,175.45409,204.8076,120.30297,31.554522,238.90263,360.875,none,
567944.25,242846.4,912.24567,6007.4146,7381.7095,2706.2615,607.0411,1762.777,1573.6703,1423.353,672.4565,526.1834,1139.0765,1191.0513,672.722,94.9647,427.28137,204.82999,394.965,90.696,69.773285,111.54788,215.81651,260.29715,204.28664,290.6566,434.3445,534.4825,322.68628,111.046455,97.043,363.04114,476.31125,402.9055,386.37732,431.1863,183.67946,32.93791,256.27304,228.07745,82.81874,163.93506,282.20163,358.63593,49.22614,287.6162,192.21486,175.34888,31.376951,155.16989,128.39418,123.90222,312.63104,257.95847,89.05377,98.937294,168.8772,162.01968,125.99149,113.9751,164.30492,97.77025,183.0591,214.3516,234.3885,107.67678,143.69446,57.333565,235.88521,229.38606,123.40803,157.9442,206.5465,302.81604,327.52945,294.23944,142.79532,187.97896,150.6205,91.48873,136.8931,87.79994,231.97139,88.20775,112.09184,160.35988,289.82043,178.30478,271.5288,362.69983,255.27415,64.32285,120.979294,58.60642,193.4252,202.57208,218.78943,160.30795,72.63494,73.660576,189.67688,349.18472,341.43964,228.91481,129.86642,91.54722,161.8545,216.55981,138.78775,235.32265,280.8241,343.6438,412.40854,269.9382,162.9878,203.71794,162.72513,243.47968,219.51117,147.12013,180.95471,67.258934,374.1612,632.3858,96.04834,551.85876,374.08774,357.03064,302.6193,560.4826,606.34924,908.41455,997.78656,1454.2155,2089.696,4711.8794,2229.3606,2332.6536,1714.2303,863.7015,1013.1634,1013.75586,297.9078,322.11737,267.05896,233.02359,168.89339,247.52872,246.6024,347.4471,200.45009,168.99016,598.9975,230.43272,130.28397,237.89589,289.51294,343.59265,225.22772,312.13022,292.7414,240.41022,97.17732,50.817738,316.88785,1027.0781,842.2556,106.48111,111.726074,297.89944,184.75098,432.83322,286.38565,247.98065,153.07138,172.10452,153.26004,342.757,672.24396,938.2545,32.762466,854.47784,502.7018,341.7086,322.0385,287.5725,137.55258,245.07443,342.31088,212.31917,46.57633,127.50561,101.49939,30.937555,412.27286,463.4718,139.24559,142.25879,246.63625,202.2314,82.66536,139.47835,93.14802,218.33807,283.448,294.46283,137.11557,61.356182,233.65625,168.42131,47.12875,137.72804,109.24876,75.61902,258.4361,210.8328,294.76926,302.5708,66.50927,190.93709,36.53895,355.99518,382.8065,134.77963,139.89368,70.96146,118.391716,182.04524,95.170044,218.33102,289.62283,268.49802,220.98932,282.6158,389.42926,241.66162,297.41885,448.30377,747.0264,326.00342,182.47801,203.82294,223.26053,80.37715,105.67885,256.5028,259.22443,187.39294,44.63856,125.48506,144.74492,230.20357,106.81685,166.19223,147.7109,116.41495,245.71875,none,
567882.75,242607.03,1983.8796,6634.483,13299.52,16868.219,7522.974,1906.8851,3050.8308,2910.5337,1460.6387,694.90027,1080.8274,347.87808,853.5489,433.88016,525.03864,803.8415,559.2378,217.76181,240.77493,269.0499,245.677,192.73602,349.98215,553.59216,315.2959,222.83675,323.51642,538.07166,558.17236,571.88727,728.7114,566.2432,198.38731,185.02863,199.18521,118.3047,234.0747,202.4497,182.3743,343.71213,233.96776,244.25146,289.7964,139.99579,207.90158,134.59045,33.649437,189.70164,62.878235,210.60504,267.91415,228.40094,246.27397,340.0404,163.13737,92.7586,113.92549,39.507774,148.63535,103.28659,136.36923,116.57108,157.58212,97.18455,128.99866,111.6137,325.09592,326.77124,76.5113,81.299324,142.55797,127.803406,101.85053,71.0036,111.28375,35.71425,79.727066,93.05522,218.89148,202.40422,84.09425,66.23478,249.9891,177.76683,181.5682,269.5956,245.55258,298.9652,268.3334,33.788517,174.46086,54.397797,218.85881,156.72559,164.82896,73.98136,70.97694,42.46443,99.55266,145.21167,255.55641,167.69539,317.58478,349.57397,69.72779,165.3205,57.76765,60.110294,232.01692,44.172325,84.27212,302.1265,231.92847,369.48062,327.9075,199.02513,31.742039,129.3329,176.40082,282.39062,689.12585,461.65927,481.62857,589.8929,175.98694,197.92305,374.4024,362.35928,442.93097,801.0354,901.48566,1459.1498,2489.5706,4803.9526,2079.648,2257.3918,1653.3767,929.8796,992.69275,936.9215,145.85735,474.96085,311.0206,310.93317,123.690254,34.703804,267.13812,528.6972,438.55484,689.002,691.58594,363.39685,182.32083,253.5458,137.25748,148.91327,246.96422,283.69617,284.30646,194.65787,211.24837,356.51675,347.26367,627.8092,740.78467,252.15002,412.56754,248.33252,442.64734,419.2342,244.36908,242.08583,343.25406,148.18115,362.54803,424.41235,300.3654,811.1004,457.8198,445.2737,394.506,300.62387,111.94988,202.02335,388.2874,459.4924,507.2116,621.6182,422.2272,169.58904,167.99548,334.45624,321.8546,447.15543,491.20367,328.59076,190.01114,226.74167,181.95833,217.58536,190.17546,276.4118,172.67546,293.44568,378.48703,187.25789,254.28445,301.3461,134.09523,133.6381,178.54665,178.56169,211.07838,156.12622,146.89903,150.17477,280.02158,293.36792,346.11148,193.93747,286.03238,331.8156,92.407326,262.86398,196.88695,296.16714,315.40283,76.73269,224.45227,281.56,227.93921,375.19846,492.26917,219.11761,320.10422,582.70624,682.3875,144.48964,251.52,175.6081,181.52306,101.678925,134.29335,140.2447,164.92018,162.51163,176.5765,107.21266,90.401375,173.06224,15.703871,117.60967,60.082764,157.09085,274.34375,none,
568016.75,242006.66,298.7169,5435.8877,15786.577,9176.718,598.35486,3915.8804,3173.5134,1010.11786,492.21823,656.79706,1503.256,1870.0914,469.6572,254.19504,502.3084,400.4328,9.505483,570.323,515.55316,405.38663,348.59872,165.8347,122.54638,302.28088,519.00964,270.4104,361.59174,450.61258,287.4644,389.11783,760.9024,599.23926,181.34566,98.17706,51.54775,315.92194,288.04312,291.78662,182.7175,189.90369,85.66936,27.561865,35.679005,100.90205,183.783,160.80261,141.16467,198.26257,210.96988,399.47397,261.61823,173.64146,126.108154,223.17604,246.2163,196.65079,182.54509,138.11467,111.75696,269.69086,236.09628,185.17783,118.972946,28.15172,104.24717,166.70169,91.33972,86.30561,315.06152,442.0245,345.6143,363.89212,168.4678,179.65468,250.1513,120.161026,86.41701,96.67003,205.30505,162.707,200.40288,248.96155,154.92175,197.12279,343.03928,40.410397,126.81026,189.27087,73.56248,86.46715,382.4776,249.99792,73.78648,37.647236,107.33154,179.17554,128.4492,94.230194,113.91754,144.5912,209.15839,49.561657,326.7459,208.69165,174.96736,249.47583,143.77982,111.0704,197.36603,126.766685,241.93343,241.91748,147.48999,62.679604,175.96738,177.21918,193.54407,199.43323,122.7221,136.75787,397.04388,637.1709,116.838295,250.09329,408.5794,508.76758,184.36592,163.91406,290.79373,721.1309,770.2009,1133.0259,2031.6713,4723.7373,2332.3372,2116.2034,1327.887,335.60016,225.1964,378.8748,270.9737,327.1755,284.5516,265.01013,351.55383,234.6543,516.0738,883.8562,536.3374,397.24496,398.5806,384.649,394.8442,587.8482,546.1949,386.35257,144.38501,197.18259,37.0479,189.52383,206.46536,44.409866,246.90775,67.22742,311.2677,302.6006,94.49126,150.95668,102.2226,365.43018,516.3799,627.6472,577.79297,362.62,185.48825,448.99957,360.92514,632.6712,783.72095,286.8298,221.07382,228.48932,313.35745,289.5563,15.379472,134.84093,234.63232,42.990276,415.7201,142.14679,227.07535,262.19232,236.28134,386.49008,644.2674,632.3424,272.58435,77.937386,103.650856,291.5514,233.45831,142.35194,44.47104,85.5009,404.03778,325.38943,148.96251,277.25525,256.23535,189.44739,139.19817,228.17125,418.7323,333.5668,141.91786,154.94083,360.3874,347.11847,43.23865,226.53387,125.618675,111.09328,145.95305,90.94951,83.17903,293.74097,176.00504,244.91656,185.1692,192.56042,47.404613,121.29713,274.67462,294.87817,325.61002,189.3499,676.5837,218.61427,384.08014,323.94724,145.44585,173.6114,160.20627,173.67703,144.03679,137.54099,52.542053,212.68407,278.56088,217.52684,238.86586,278.22766,203.39967,220.86826,243.59375,none,
567725.0,241988.2,985.15753,1508.4911,6566.1445,8600.589,4806.257,1939.7778,2255.3972,247.41273,453.2899,803.5066,1794.9305,1194.868,648.709,635.98816,341.12827,162.04555,210.87373,189.0943,197.81746,149.66318,190.25113,152.18613,122.08372,291.50833,131.65948,177.41135,143.57616,291.00967,137.3579,193.00539,579.4948,394.6857,311.3949,434.86975,362.79688,370.84976,365.44778,298.8244,191.6239,194.71616,223.9079,236.83986,256.3023,219.0231,254.03853,348.3056,151.54794,119.31539,355.98016,353.26218,425.7118,361.50726,224.77177,165.62746,181.14433,155.83412,150.98438,135.32988,200.76155,244.29861,266.90128,293.13904,321.61404,242.3727,147.86073,302.45285,384.41904,349.34775,554.06726,517.5986,431.88654,444.02667,289.29037,220.66418,55.122604,225.98253,341.1702,351.7284,132.0584,34.443493,103.064575,176.20712,56.705193,132.73737,201.71277,233.58978,160.22903,235.87302,159.21542,125.36776,200.91699,166.49046,113.43044,169.7368,178.72765,207.73334,213.86667,376.80423,403.24988,222.66043,145.77821,278.60147,292.9,154.34755,171.72975,170.23051,87.21267,166.90228,337.209,291.01382,110.72176,48.108494,106.23792,141.52266,78.053535,159.39774,181.8467,197.01924,112.87712,85.117805,474.8599,436.6,271.342,538.5707,350.18604,480.8274,612.36536,657.46564,759.33636,1004.14886,991.01483,1447.0164,2254.7305,4897.929,2354.8552,2143.231,1690.7424,659.5771,206.0073,233.2185,392.31848,692.68567,374.21057,158.97583,177.8801,213.04071,385.27118,615.7598,453.51273,348.6911,536.9373,352.18552,280.92502,408.511,189.07713,310.7682,392.51337,409.62146,155.21675,211.79791,310.9423,437.57886,705.27106,600.1457,96.961205,442.58804,391.44916,405.93454,429.54312,419.99887,227.85715,87.39493,195.54047,213.27284,231.96709,327.4084,94.71624,684.3372,504.28018,704.5103,150.60518,368.1867,505.47598,595.2933,321.0165,102.242035,148.97794,439.67227,743.346,462.67526,188.83096,186.76804,75.74037,291.39023,310.22778,246.58891,143.84383,45.12991,69.72921,53.44463,169.44194,313.2479,297.7599,152.31522,180.3891,265.3153,294.66037,120.36801,83.52489,111.24655,122.57779,62.2039,57.642117,246.90822,326.98575,173.67628,203.9194,105.11176,113.130905,73.64115,169.76736,155.35503,174.36304,226.6192,209.86246,102.67303,108.341156,89.371185,115.866776,250.00954,211.82994,259.40753,439.4022,449.08664,307.3396,391.6573,628.9756,44.299843,546.24915,252.52417,264.47302,280.42957,125.091385,279.5088,427.04443,222.9302,36.812904,43.806107,111.72072,133.14774,65.29893,64.47816,84.22599,120.442856,81.46875,none,
567142.1,242396.36,2240.1484,7762.39,11780.804,14521.803,12525.418,7991.5576,4171.4863,544.48157,633.0391,1256.9592,2167.7278,1449.7286,606.27374,144.48318,331.73135,133.67572,122.70421,105.607704,216.48782,97.301025,229.34485,283.99963,183.7318,151.44563,246.68864,62.771908,200.6096,388.79468,445.58533,389.4329,620.32227,465.39902,183.06844,238.2441,98.00307,77.89991,169.1024,145.50647,138.37875,191.23553,99.886314,153.89026,200.77977,130.87794,13.464005,251.29549,359.08652,221.15129,83.78937,166.56006,329.71585,260.30533,99.84835,95.32989,113.806885,199.07568,53.317383,100.24116,109.22093,72.07367,108.72688,198.88438,348.86658,377.722,166.49323,54.31439,49.55665,233.17758,177.53056,172.36977,130.87862,241.34169,86.14485,181.4199,357.86603,309.0543,245.33836,275.34256,119.364296,156.48778,269.02707,218.38638,158.99985,121.81169,157.798,350.73752,338.36935,142.31224,184.24907,206.65753,225.09276,197.58258,260.07288,296.47357,185.50899,20.955465,41.932022,131.4738,161.94743,159.08234,173.80807,255.26743,244.19427,157.30615,162.56902,148.18713,145.87816,86.31109,220.66322,193.89438,173.77817,158.76816,203.9987,312.6684,360.56122,306.9298,174.6172,76.59078,175.69489,235.09491,614.9088,670.07465,305.70822,461.7756,441.87912,567.3576,480.4039,697.9188,506.37653,769.25214,931.3599,1529.2822,2517.4392,4716.343,1699.83,2378.6926,1403.9008,903.42706,1020.3601,792.668,302.50006,486.32108,175.8052,172.81198,65.42174,90.061615,159.95897,89.59283,236.22487,274.0892,519.2532,363.12628,516.21814,685.21906,641.07275,409.96313,314.5261,550.5126,491.827,273.4258,145.53674,248.94044,122.88667,481.91898,861.06244,170.31113,362.92282,301.51227,268.81766,431.16492,591.25867,378.26324,240.24448,230.0669,301.9249,486.2893,602.6634,437.93225,779.2483,178.25003,556.3563,115.891174,33.696323,89.99971,159.03502,215.25833,27.64244,273.60425,364.9479,316.84015,472.3932,385.20602,160.52025,162.54982,197.03276,133.7743,183.05557,96.4699,48.00471,154.1209,251.56548,229.58621,267.2214,395.70853,145.7599,169.44153,301.43256,94.039856,164.38896,198.5646,116.04425,43.8217,59.067642,191.96527,93.90182,71.551346,143.81157,173.74199,81.82863,50.896378,155.87881,150.65282,140.79033,195.04715,149.54425,259.3042,159.84683,71.73227,181.38062,182.40062,258.37207,316.99213,398.91998,288.9515,112.866974,239.69707,468.53226,148.12282,534.00214,286.06592,78.42401,157.7491,40.0722,155.94879,139.13533,244.30296,185.52304,211.4958,224.07515,203.28793,213.89174,125.45943,43.695717,210.39133,341.90625,none,
567668.2,242369.81,2500.9429,5043.7734,2804.3137,7848.1216,10255.665,7321.2207,4494.6343,1363.3066,860.3963,189.02562,1456.7635,758.1651,874.1357,742.70276,386.94693,565.3931,421.48093,208.77286,295.389,42.148144,194.0868,271.60037,131.75703,234.37187,218.49553,98.42062,49.71643,137.54686,386.33987,542.9047,794.5221,426.20593,472.29025,313.665,101.58287,142.00232,155.79227,242.18977,240.13527,201.32999,227.74852,102.61942,65.16147,179.03587,158.66687,33.85285,276.26987,337.73938,252.7309,213.34286,215.29182,212.26476,232.9468,79.47905,86.60794,49.162083,190.07803,122.638855,95.25505,177.86105,134.73788,114.272964,105.41932,144.29364,175.75438,153.51144,196.80351,114.15112,333.6734,236.8582,119.70848,182.57916,36.11476,243.6348,236.64337,207.42557,240.09984,228.04173,338.84348,224.33104,178.25981,207.5084,179.49838,127.64885,85.46784,186.97475,176.84229,133.29764,94.8074,84.28695,124.906265,210.7874,218.26509,184.5392,221.89044,219.19412,36.416683,185.34145,354.54477,380.50394,289.33917,118.16814,165.97429,136.42088,127.02017,180.3209,195.80879,241.38966,189.49165,366.12912,309.54276,233.24965,157.84505,114.49809,68.35649,199.74307,100.70131,115.733025,213.96661,345.80313,674.83075,903.2476,280.82062,261.9743,99.169495,131.49863,215.45552,476.31052,544.86096,720.2138,881.71344,1565.2064,2135.1436,4322.6606,1718.8105,2339.5847,1656.6633,968.65845,1011.008,1096.9631,274.26108,286.23676,148.20422,116.14319,37.243645,156.5052,309.19702,549.5339,671.4395,390.157,131.98897,293.74295,124.367065,54.56945,12.17779,223.24341,362.20593,256.13577,105.30128,110.56606,190.04778,289.62164,480.90515,65.66467,385.03403,493.97763,274.96405,221.59895,176.81995,142.21376,360.57974,314.4748,186.27402,76.76433,38.832508,90.94039,218.01431,228.09306,725.7488,1237.9761,964.22687,453.66403,443.16495,226.53299,45.455215,53.116943,119.05661,49.173237,118.225426,202.7459,301.4683,158.23495,397.91797,567.9012,418.867,204.80113,133.11693,152.2865,130.99434,290.68057,156.77875,194.49002,252.83406,200.98364,252.97775,30.585514,82.70624,90.53428,121.06594,147.6629,84.78757,210.6354,251.12521,179.82832,194.87134,172.57745,150.47273,70.703865,91.77169,192.97357,192.90602,232.42165,225.89455,203.09903,133.13026,255.1818,482.6172,319.24396,115.69139,18.633059,256.67294,159.24088,71.92266,133.31616,136.25934,157.18484,614.21484,299.76785,197.92175,96.08235,164.31938,139.95695,176.47214,320.80756,197.79404,162.44527,59.24395,183.20132,199.82529,121.51566,114.477936,118.354195,163.72426,28.369818,232.1875,none,
567994.9,242029.7,1333.6271,6220.004,8488.614,5881.9424,215.62813,2736.8198,3914.1748,1720.8097,297.4528,469.16666,1597.001,1766.2064,388.79404,221.55164,168.35657,228.39108,372.1539,361.92484,302.9061,420.65677,448.81232,344.83868,222.41356,295.80667,255.6264,27.09486,330.5307,283.4092,284.97638,300.04523,455.6677,331.6197,488.93634,508.09036,163.64957,79.322586,73.351746,93.93932,35.555622,128.7363,99.313644,141.64337,143.91289,192.11273,148.67249,315.13828,266.3135,103.09335,81.37316,114.39876,159.0223,201.05626,78.54679,133.2711,73.446884,122.86696,113.294685,184.24335,261.96396,178.58894,205.44563,131.0872,203.07216,173.48131,48.98155,204.81413,382.65564,334.10385,272.7479,314.11523,221.91676,336.6688,164.21736,66.430626,95.43853,107.04627,95.72587,91.86567,198.1354,260.58878,160.67387,180.84428,226.90565,285.308,282.85724,200.26178,111.88076,139.298,237.00702,269.00543,302.6286,221.91449,115.06181,261.66953,279.9065,345.64166,190.63492,60.44332,113.29154,185.38348,278.61514,332.44662,109.29261,169.97368,204.44548,219.4594,238.21059,328.03073,259.88306,348.33206,143.2113,69.74537,86.98866,183.43385,244.52548,203.09941,250.47765,190.68752,230.6994,212.23888,447.92755,623.80505,562.7519,429.74854,453.77905,446.47928,548.3938,879.28455,679.1564,783.89264,1076.8126,1851.0334,2547.5054,4726.7886,2149.5234,2285.1016,1550.4084,714.66187,491.6936,760.78345,144.5489,221.72943,69.56509,172.48456,335.07394,228.94922,202.499,210.7836,126.16572,159.15147,355.6572,377.72617,187.48337,562.2616,292.6814,187.59106,334.88818,164.59435,151.0331,101.02047,115.803955,421.64163,618.23663,589.1982,453.97958,259.72162,183.35495,208.22267,209.50053,139.95625,8.326387,179.87077,144.37035,175.29874,398.3657,597.72516,746.3821,348.56104,335.91327,315.90622,170.61316,448.00565,628.5368,350.9409,128.90933,162.81364,359.50745,288.2449,243.46753,407.31027,388.70987,214.10306,88.647354,235.65433,97.95114,84.511215,118.93517,100.95597,258.22452,218.51562,152.45444,180.84534,92.82584,232.18816,168.53856,266.6716,172.55666,131.25258,154.46765,189.38298,227.83687,231.88806,55.192787,46.353527,171.00995,186.49622,181.5873,210.57661,269.1379,211.50542,114.89777,115.44556,218.37102,259.94824,118.37543,201.67696,99.545364,292.75818,244.80585,151.31926,291.0541,245.10011,156.02744,174.00304,324.89133,579.72217,789.897,331.95093,274.50714,219.24402,51.767567,152.27887,148.08246,43.644825,121.96258,297.62045,80.59843,108.35327,122.145256,56.445168,89.82301,34.221054,72.428,157.13356,197.21875,none,
567425.25,242463.75,1624.3552,7877.802,1999.2537,3113.4746,5015.656,3943.1858,799.2858,2207.681,1352.8259,640.4196,1824.3414,1016.54004,941.34454,444.35718,184.11363,392.7946,287.47934,200.65436,351.55063,204.09604,181.29324,226.88025,91.271614,112.104965,152.96828,526.3099,540.67346,275.3924,404.5678,319.32672,237.61401,293.03357,158.62823,126.58439,166.55827,249.05566,465.68246,280.90182,172.73341,225.56227,219.57541,81.64032,111.14436,199.70184,145.58221,268.9396,135.6437,150.5423,91.26291,114.80649,206.82213,234.02348,162.87218,234.48709,253.80232,179.71281,170.02588,132.40198,86.26611,110.77637,231.41895,249.63797,139.03848,305.89984,272.60202,172.99205,356.86343,360.21445,168.60973,230.49144,69.15691,188.35004,111.56439,88.22511,131.51329,215.75342,315.8938,140.1289,135.41888,171.46707,40.41863,79.634094,194.33366,187.82315,52.216255,138.03206,206.6936,131.19608,101.53719,151.1078,319.7357,308.40665,148.01192,219.03763,130.99687,157.25754,303.65665,310.1735,140.21573,10.820287,102.72907,94.83027,294.809,121.651825,162.01878,105.02097,181.2935,396.2788,256.79117,248.76079,201.63425,137.54488,185.51274,194.41763,208.93181,263.7173,96.89937,172.11906,272.27368,226.74402,260.59015,346.04865,275.5907,569.2023,392.18436,365.1894,347.73502,826.5191,713.628,789.0003,761.69116,1332.1404,2268.4536,4792.673,2070.4038,2242.637,1425.3491,476.21634,432.156,584.59973,210.2515,219.5109,293.4487,457.33875,424.743,215.16086,221.83287,426.47882,375.35007,584.7035,536.98224,309.23883,547.99615,713.7326,633.4607,642.8354,267.27304,202.652,290.42734,189.51776,243.04297,159.2076,364.52197,696.1443,372.32916,575.989,386.31107,126.64994,214.49066,328.79498,250.91817,375.82248,399.2393,555.1325,651.1706,667.18353,474.2855,601.8436,469.0094,314.5455,249.19952,145.2849,49.817657,93.89039,326.93137,590.6733,504.71423,269.2696,415.30573,467.0503,261.19092,32.020454,263.70013,323.1174,218.96103,220.02782,359.94333,375.79843,210.86559,85.06637,266.82068,239.76921,211.17667,343.24142,335.4073,133.54639,222.05173,158.29448,114.72038,259.5962,390.5274,121.035965,206.68312,159.84422,143.65508,146.7446,173.8211,204.54756,158.93954,26.493767,122.28132,179.88528,75.90966,184.19823,327.64856,213.34238,262.51996,267.6768,297.212,208.53036,229.07579,231.7511,274.32138,244.42827,364.26138,486.72345,677.546,143.49216,327.85596,341.50998,315.62292,72.50737,400.56958,281.89993,118.802505,327.8583,185.99678,71.12548,128.42065,94.13478,276.70905,116.96736,171.13974,397.8754,428.84375,none,
566969.8,242798.25,3978.655,18622.092,26369.17,9265.711,5269.282,4233.619,2576.8284,1086.2855,584.3019,581.9256,1679.0529,974.2249,882.8692,851.71814,616.19666,144.69586,391.4136,358.7217,103.43272,51.824043,72.62919,199.07024,323.78683,278.4157,91.21817,254.20042,302.09048,540.2814,477.50247,361.59058,525.30365,360.67267,335.02432,421.5107,245.27698,323.04617,408.6919,169.76346,162.67433,123.41195,160.35019,325.45148,255.33707,286.12732,186.45316,168.3621,142.87982,48.577057,132.88466,119.32569,147.73523,315.7353,222.39468,256.41367,183.15363,192.81378,202.24368,121.87378,58.91139,168.09647,478.3305,484.46024,64.288445,250.51619,232.75896,137.83969,401.576,175.01,458.03912,289.4579,204.41518,266.16794,164.87231,296.10532,374.07358,210.44942,59.42505,43.423225,154.87689,135.26091,27.655308,94.603035,279.99802,209.57286,266.70114,250.14758,341.88776,127.88279,251.55493,250.96678,116.787796,102.67719,131.85683,213.10608,284.6483,201.84114,301.94373,256.34137,54.434338,76.61027,70.69589,259.55133,217.04932,68.689384,112.39438,171.80862,62.907627,160.77301,125.633545,216.81522,166.59364,130.37614,166.14145,86.44838,71.8124,163.80167,170.557,258.64694,254.57458,247.84125,648.5819,705.05505,214.18285,136.12575,228.55441,104.975945,334.41324,655.5635,571.425,675.06995,676.344,1111.7836,1790.6909,4813.3804,3036.985,1826.8496,1784.8065,848.86804,850.8723,789.09656,167.99454,478.50287,366.7554,491.82623,319.22815,345.6334,269.01416,379.44415,454.56906,571.2824,216.66188,239.09227,403.56848,607.47174,617.0388,642.8615,376.86075,253.96062,348.66858,336.42587,420.01422,516.3749,610.1989,1073.6398,630.52765,427.41525,535.377,83.81882,303.89703,560.8145,505.48813,411.5383,330.36887,250.35992,211.69366,333.4388,212.94368,1136.9243,1059.8016,289.8599,329.9574,124.45219,89.387,62.431427,57.622444,127.98703,263.21118,257.55505,451.57166,380.53967,273.35123,217.11949,240.21112,189.1088,112.532684,125.08359,258.5635,137.54425,95.24785,50.975845,118.458565,274.43716,291.06888,75.578896,124.23492,47.89034,138.73886,88.299065,147.83043,155.4603,174.22002,192.09708,56.286686,186.40295,229.70842,155.9598,200.98195,184.1767,4.1468906,229.1735,153.64606,189.63875,331.22708,393.1548,253.20757,173.44989,118.37294,200.0951,206.90561,193.81938,245.58592,84.532776,128.05992,72.992935,109.33934,271.88464,857.73505,561.68536,122.009766,86.686806,220.50417,229.17218,236.14027,178.9938,214.5465,98.01243,113.31456,13.29863,233.58644,281.87183,223.7541,151.76604,82.25217,90.26847,18.6875,none,
