bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567142.75,242173.7,231.51648,83.46415,71.18376,844.3485,947.23285,319.7605,68.31655,230.5367,240.82794,303.1814,797.2421,1171.3384,562.8741,555.42316,377.2013,323.16986,343.14835,218.48007,311.64615,284.319,248.70857,339.92786,246.71861,51.842556,66.85832,231.38919,137.25677,179.05171,297.2127,270.26654,324.5153,119.95103,72.9232,286.63495,455.54492,305.5821,217.69398,210.60649,145.61844,131.36972,21.684914,132.97437,201.54605,140.80136,44.082287,126.56865,148.51773,135.79604,115.67947,112.10408,189.01607,162.6238,69.51614,137.20229,132.9388,47.48386,284.90677,190.13507,134.49124,122.28009,90.135254,39.190945,131.09167,70.61562,84.053215,195.71489,164.83878,91.089226,243.64757,288.8631,145.11105,94.89169,229.38695,281.63974,277.12936,90.78606,167.40674,18.947626,197.2667,186.70744,54.04486,210.03178,257.76788,189.89528,181.07901,127.08786,217.55542,156.3378,179.3063,120.72271,153.77025,209.03871,102.23924,97.680084,68.315674,64.39926,191.3142,243.03131,205.9401,21.377726,48.536564,153.02852,164.43985,62.489235,203.6349,230.46915,167.98407,224.47284,258.1267,185.55899,95.73149,101.88887,220.6844,152.65494,89.03976,29.316439,103.032364,88.91014,92.27294,105.32678,208.61472,576.30493,258.22247,447.5175,323.5957,190.03613,266.04456,398.55322,372.08307,707.4058,769.1784,1242.8688,2108.5686,4885.0967,2695.5605,1863.5917,1666.0928,916.4855,1051.1135,1104.5745,159.81987,383.4672,80.41153,161.9342,60.685947,145.89296,19.353006,473.0159,337.89633,143.94556,124.60752,427.10535,692.2931,433.62735,415.76556,572.30835,517.265,248.09465,21.731508,103.67045,250.96623,157.34056,452.81607,748.15155,561.1536,402.38373,74.45255,175.95682,134.97055,472.91025,67.65283,208.40514,65.52791,338.83838,430.15894,443.39133,263.4352,440.53864,477.52145,824.7727,609.60046,430.78387,292.4756,220.18149,193.14577,365.62476,354.82306,423.15494,240.23737,149.81122,299.8658,516.1207,351.33704,183.72,172.4312,120.91208,214.19377,193.67604,356.65424,491.69675,302.65323,290.60117,258.3983,172.2911,61.626255,247.19986,303.59006,23.029808,91.889946,239.1538,231.23535,294.3565,175.53476,193.27847,200.92737,189.13269,166.27003,226.3589,169.9016,15.154897,110.08602,183.68571,115.41014,54.768436,28.36785,117.1561,38.882843,135.34357,92.066795,77.25945,29.78762,40.696533,178.20099,174.07562,130.74857,189.85515,211.61612,218.2555,258.0668,117.30019,130.71167,227.62646,140.94095,99.10612,106.213486,146.3246,45.75387,45.20831,164.69337,300.9618,264.86795,152.60791,171.42079,181.66684,144.34375,none,
567004.4,241985.72,217.61581,335.86697,464.80328,33.45452,303.78082,221.64891,201.67244,267.90457,287.84436,658.82074,1717.8385,1410.0157,542.1427,453.23297,718.5601,585.9218,111.025116,221.46072,331.02963,447.32794,313.4531,129.25166,139.66663,210.60962,129.64261,199.47665,216.63875,91.91267,91.10782,279.82614,578.0722,608.9925,88.25552,314.73572,141.87317,70.423965,163.50417,252.8453,334.30493,374.45096,230.72488,58.514507,126.95653,35.43282,150.84677,162.23901,55.42508,163.07619,185.48639,106.89583,41.46308,99.936356,131.4182,103.936676,86.50091,97.26117,151.58653,82.09483,355.8435,428.0971,270.86884,124.53039,262.21652,221.61243,309.59943,254.95609,255.63876,203.91669,173.63443,42.53763,54.520718,68.579414,68.87533,83.517044,149.26517,148.09344,130.42758,271.27637,200.21703,142.46591,111.67977,19.310549,31.545004,38.10556,66.73112,144.70624,80.77107,152.41405,37.05777,87.253174,70.48592,79.67397,59.11608,168.94638,179.728,168.08124,109.08479,104.489334,130.88156,183.98808,187.98827,114.67649,340.50797,329.3532,270.6247,231.63255,156.40904,156.2301,181.46233,81.55731,68.69287,148.47037,201.09886,219.0828,272.91205,184.0402,102.0116,146.70627,45.33098,166.36882,444.40216,570.1497,135.95262,440.33502,358.52603,438.84793,340.28595,329.27698,354.35535,826.4055,1001.4659,1299.8069,1849.6592,4716.6772,2694.7903,2089.4849,1708.669,820.78235,507.02844,576.71124,596.9967,541.9285,267.78705,114.839584,117.781334,376.32092,617.08954,459.29294,278.22485,131.80238,171.86882,234.61201,51.28648,129.4967,68.88484,202.76636,301.95813,322.3489,195.89624,135.63918,142.4197,225.23145,314.46622,177.71895,616.851,689.5809,387.0768,274.19092,335.05026,670.3136,556.95544,257.50308,66.75593,198.70172,356.74313,429.09558,145.4471,244.83687,690.75757,876.4448,40.212353,570.7785,510.83936,405.9187,401.41586,390.9408,310.7095,221.60323,115.18322,29.326214,51.25721,139.58833,58.540405,283.55734,488.77368,460.41882,195.4598,80.653366,179.65666,106.87757,98.827126,274.2634,297.29062,117.955864,126.75807,204.35864,278.63266,320.62692,169.24838,190.71022,312.5555,405.5244,284.72348,70.08934,162.88077,87.33036,77.9595,210.96338,204.447,35.176586,41.145,155.2935,208.40562,236.80576,173.15292,174.5744,215.74919,152.09009,136.2612,147.43858,191.60442,246.04385,353.87656,287.80307,214.89389,177.3931,359.59476,379.96573,441.8788,237.54611,129.70622,35.205997,135.16263,187.362,156.83589,120.77434,133.95052,127.108086,68.76258,212.07538,252.24706,231.88492,235.4613,128.81584,124.8125,none,
566873.75,242126.64,448.6529,241.3536,265.80234,706.0557,408.34283,365.0859,353.69116,118.80174,90.78694,198.08609,1210.8386,759.41614,87.75009,273.05667,707.43726,944.9602,456.73102,170.2611,363.51407,388.08948,101.84599,248.9696,205.17795,135.76863,253.80443,334.6225,282.50354,331.87622,282.709,201.27917,182.98083,174.66818,485.79172,351.92322,324.20367,143.72249,186.60384,127.93495,165.41054,184.3943,77.49118,146.1146,126.36209,153.30844,31.326864,13.525817,66.79071,15.194698,77.94267,119.255745,117.043594,42.09529,210.61972,167.89124,158.74348,189.63629,38.27393,248.77972,345.43533,217.27379,73.876045,74.36167,142.89006,192.4769,219.77286,301.62595,563.41284,467.59586,152.02861,82.21394,80.39563,245.6258,229.5819,158.37692,132.12541,275.8886,406.8246,320.30273,204.04488,216.56946,184.30547,99.12033,83.531425,224.40735,282.5499,293.5669,131.42882,94.014084,160.80455,181.31693,164.99269,280.40875,197.57347,222.89145,213.52997,60.31618,61.770294,271.67905,329.05505,68.96156,54.98441,112.27105,170.09087,281.80374,58.179077,220.52625,216.2052,243.22359,299.30472,293.6183,196.66528,139.30162,78.39696,109.95862,169.06708,146.20905,43.192165,93.08647,175.34122,151.98372,413.43976,432.0963,247.259,679.35596,499.62634,584.7064,680.14,906.3223,807.5866,1026.3542,935.23114,1447.8595,2378.1614,4779.0903,1851.3562,2416.8984,1692.5702,783.8915,659.43616,598.3648,189.03647,556.72876,383.7224,182.9036,199.10646,436.35333,588.5322,461.42145,347.70566,211.37935,242.5873,323.88342,303.55048,376.75333,370.768,312.89188,200.55544,164.51074,253.51613,431.64258,347.43494,261.25195,317.37833,947.8574,607.5817,302.71326,401.0662,349.84357,94.67939,249.4305,26.252853,249.14818,367.47424,420.46927,340.35654,79.81876,189.53154,141.2089,285.66882,1069.8345,1412.9169,667.92255,117.8282,202.66808,38.582066,259.4239,43.911266,31.400955,224.86926,269.169,104.14382,197.25275,217.51318,172.05475,410.56018,560.44574,519.16547,582.8575,409.9776,215.26173,274.2224,66.131836,78.57179,130.52509,141.05943,82.35064,364.82358,169.4372,45.586586,141.40753,116.92488,35.304314,129.34769,313.97174,146.44359,198.04155,69.0504,335.74966,322.73117,129.34703,153.31488,52.462322,98.47125,171.60837,146.78392,196.55588,176.83612,229.44351,286.7788,170.8044,53.217888,27.561228,151.31912,155.05632,222.48105,171.93892,243.46857,267.9406,297.0515,267.87393,208.05434,52.325237,61.237537,75.58124,178.44334,179.48415,108.278564,156.04367,106.57,159.25903,166.06871,104.71259,241.7149,90.95977,148.5625,none,
566936.3,242175.23,344.19107,188.08322,808.66956,1846.932,1201.418,296.40558,483.7974,293.0559,173.16544,351.03983,1340.73,1012.1571,587.18445,903.5137,355.98416,429.8575,222.6586,236.84192,189.87947,252.96924,222.32068,113.0652,409.18994,480.7568,171.54637,26.218403,116.43892,255.92238,419.07,419.5568,436.9974,262.3696,298.21948,181.99571,77.970406,245.97408,182.94095,124.184265,184.20747,170.36055,85.53143,161.21172,303.66678,296.78485,250.25552,201.56668,120.27315,214.91588,150.69557,110.197716,113.588806,230.73123,251.84566,195.45706,253.37297,297.88666,135.0309,144.92438,139.10274,58.468037,144.99762,216.46317,157.48203,75.05476,352.66907,275.8217,252.10823,425.1134,274.85278,416.96042,186.22437,67.23465,188.23572,132.91219,239.35094,339.50897,212.49963,181.33498,165.07497,212.32393,248.05197,189.58052,92.83118,189.52142,203.03204,141.46753,130.04335,88.13367,85.96861,282.42493,417.27847,329.9042,141.13072,77.980705,73.44683,97.20984,252.93202,276.6926,300.104,197.27155,211.47897,324.26074,32.281036,255.92403,223.35081,101.97022,88.692986,193.77193,244.21423,104.056984,101.23148,93.02789,87.13715,181.63432,172.51418,184.53069,231.18083,282.8038,388.71976,270.36194,417.6125,536.39923,176.44722,472.65887,390.673,425.48218,233.65477,548.5255,773.4225,1005.2559,852.1757,1260.3752,2091.441,4535.3213,1544.3918,2536.0107,1677.4309,931.8825,939.0449,789.4514,289.38528,291.10773,134.78622,199.72894,244.44328,53.945015,212.33798,279.47266,104.84641,572.2599,386.14398,298.91736,320.33856,379.183,219.5898,443.43002,414.75854,185.48267,193.62694,462.39066,365.68884,450.31934,584.2887,208.92856,692.04236,744.1621,375.7114,315.10715,175.38318,212.40714,96.43573,161.77744,159.6488,211.77888,477.6533,327.7918,116.07223,363.00684,240.90567,1039.1102,850.2796,400.9045,269.2285,109.65759,136.59154,323.16647,309.3878,305.4608,124.487175,209.3761,132.45146,237.19653,237.1813,170.13503,397.60522,301.63577,148.78947,196.32979,267.5622,78.01533,101.57387,218.924,257.59775,234.11638,162.46104,248.04256,266.0253,51.08443,141.9063,160.14987,190.61243,164.1773,73.22086,115.94434,167.09952,336.90033,374.69885,281.72122,258.67343,297.28354,168.65627,126.99709,138.4834,271.59644,244.70206,167.70407,55.251335,175.1445,180.54204,185.14491,288.939,203.22108,69.68001,146.7566,277.9869,225.45256,194.36304,179.95529,349.40973,301.33167,79.57453,78.39173,172.59068,159.50139,244.98013,237.5249,52.059597,209.30441,230.2811,95.306885,43.632755,42.4041,214.67056,192.09273,172.9375,none,
567011.7,241934.94,239.8814,551.28705,107.8917,1535.6553,1416.2604,343.04047,378.73596,148.47379,34.899822,510.81598,1301.7179,1009.4602,356.71417,647.9318,135.47832,436.33136,305.1896,233.08153,225.22647,404.809,362.79697,409.91925,517.2691,132.62164,98.14613,18.833284,70.84002,109.36306,162.60312,261.1533,492.85345,207.92603,223.37389,149.59676,150.62589,119.036095,29.991787,186.66026,270.7756,137.30814,251.25552,269.06238,63.640205,167.22218,185.97893,95.61079,186.71634,244.3128,209.06892,155.2404,143.225,245.73206,167.8632,67.30215,65.55152,201.61356,156.95001,52.909313,141.09186,305.99857,228.98964,64.18443,125.77029,153.30711,251.76529,210.68889,276.60233,7.887224,272.8852,311.25665,232.16895,206.57455,119.05157,114.379166,106.10672,195.48059,90.219246,107.827156,258.46616,203.38745,143.06325,181.08702,159.09103,110.51761,239.89651,234.60492,141.97566,269.55225,193.9819,39.684258,165.08339,177.59457,156.84451,127.76157,108.86126,68.91345,87.96401,145.37492,107.68934,112.82592,201.141,365.61227,199.46936,177.13718,162.3974,246.928,335.31015,74.78287,122.6089,92.027985,203.49509,246.54184,300.73178,252.99385,158.97418,222.81474,168.45383,167.6572,111.18469,281.2334,574.3428,769.06476,268.70758,78.01507,69.415016,300.8659,325.58258,319.08472,334.95312,998.67523,1212.8784,1491.4615,2409.0962,4940.475,1963.0768,2278.2793,1292.8723,678.6242,907.97504,924.8835,161.65329,394.8072,78.82601,140.56198,158.83275,72.58952,354.11102,516.1606,514.91736,598.8196,286.27698,187.01501,81.894714,114.24729,203.60533,391.43896,480.3941,270.96085,145.6961,403.6158,577.81287,611.8302,680.34686,322.90747,169.10066,85.616806,307.30823,242.62834,14.193041,360.75095,346.5493,197.08833,110.3473,288.02646,498.29208,446.25198,347.26572,139.73221,605.84106,779.78577,598.6213,565.6886,229.49277,333.79852,358.13004,303.58942,212.8835,242.7383,270.725,262.08667,289.31522,136.97983,114.40368,337.09512,462.69962,148.10347,324.92596,202.13495,286.78738,95.312805,48.86088,161.30824,270.68893,221.71623,238.17084,423.82034,195.1774,21.522068,118.99541,171.63123,164.20644,328.18375,145.47452,159.59726,154.88521,133.88933,219.6386,136.90685,132.99954,244.7669,132.14731,99.16673,67.7337,138.37799,132.62856,66.42235,189.72426,120.01727,223.10805,128.25986,134.92519,66.4443,139.00246,264.39984,325.67352,309.91797,359.17026,108.76331,186.16046,163.93854,106.57785,185.4734,199.41681,91.49719,115.37362,96.815506,131.57678,76.850006,144.76079,35.623207,113.31098,180.97255,152.2796,78.33217,43.4375,none,
567041.9,242118.42,266.58295,103.308105,467.4445,1266.2756,742.2672,415.70688,401.30322,101.928505,337.53833,257.69482,1198.3391,1089.5745,730.1534,425.15228,312.89462,348.3481,264.4531,150.4029,97.682594,107.3017,92.829926,172.46921,93.36733,81.712395,256.2985,241.49054,90.24359,53.072178,255.09572,399.2528,381.8893,343.6282,77.96501,356.8206,352.7081,235.92455,115.6294,187.98712,123.381874,118.98771,6.3633914,120.94066,62.845814,278.554,215.9175,98.47595,122.42096,105.56408,160.0283,51.70203,129.82986,105.80066,200.43954,145.76321,84.0285,53.39367,117.71863,91.71997,42.895447,135.19063,322.12592,177.85118,62.200245,88.588745,225.07329,187.3841,104.03116,176.77122,170.97176,145.15753,67.83083,39.160206,66.75126,135.08263,161.22693,32.377148,111.8487,163.57549,313.1366,162.75745,91.80538,287.03177,242.62274,33.53843,126.88394,207.20473,284.7487,192.31497,183.202,170.18135,114.047455,45.870842,63.82488,75.50676,74.13091,27.38341,54.912323,76.03718,179.90602,34.00899,122.622665,281.94217,238.06282,294.77148,103.64637,128.0327,212.29817,174.29706,424.74658,307.97397,62.639545,161.92867,147.50356,142.8585,154.56024,84.63141,155.37646,108.06874,89.26292,350.96335,443.36453,501.18152,289.32144,362.39502,330.96747,493.6754,348.64935,445.15524,875.02405,1233.6904,983.50433,1625.6687,2940.6738,5202.0674,1723.38,2300.1614,1235.464,382.66568,541.7043,688.60547,274.27664,375.73505,150.47758,352.00198,205.11015,148.40306,370.1262,198.62,414.37827,54.403053,96.54903,123.83635,171.57626,230.40582,200.36899,133.19739,249.26134,506.9614,276.62442,119.92455,33.93597,310.71,766.1818,415.33304,252.03923,211.40335,156.62035,223.69992,517.4903,603.3766,437.263,384.36844,331.053,244.09293,320.4958,527.069,619.4787,574.0775,371.37036,502.0089,365.50107,394.68503,474.37946,189.12502,80.48739,244.4779,104.78854,147.82394,319.05133,171.54512,20.711523,104.48683,190.50877,440.40088,430.28806,393.90823,201.64313,210.42976,150.55312,142.35231,36.33472,293.37866,223.547,227.35118,481.3957,495.48138,212.513,170.55655,288.52905,212.67162,43.519493,207.33675,333.2331,94.74798,119.941055,156.4842,240.48076,190.22287,118.75686,54.494717,89.55223,306.4083,296.2701,121.17258,246.95273,236.267,165.22505,214.67993,484.25705,372.20306,248.19786,140.5174,189.82774,268.8909,326.4523,338.96307,433.88605,176.95422,322.1422,200.79045,139.60762,211.80817,188.53069,71.930405,156.77292,252.56976,258.87497,104.52678,203.77156,274.5651,109.16144,200.88315,214.47696,37.41091,146.09375,none,
566889.0,242023.38,225.29745,222.90053,499.58633,1359.8787,608.61926,199.65656,352.3614,276.8251,253.75322,607.49146,1591.3578,1108.4902,332.75882,596.59094,172.12305,459.2402,352.92355,382.09833,238.77167,66.777824,44.726303,209.11423,335.0724,152.85132,223.4789,72.038155,244.20673,124.89391,309.9801,165.76257,447.08472,472.7552,586.82465,477.2702,156.19734,294.04346,470.80637,254.06772,141.63847,164.45764,201.94653,220.28874,251.3218,36.616024,85.537056,160.51373,271.41852,345.89432,241.37508,47.85772,51.28794,121.070244,145.5465,114.07746,143.71478,90.45146,80.177666,111.00076,97.20104,118.9663,145.80444,137.93288,291.99036,140.98201,145.11523,138.0446,162.57239,212.81609,506.54724,431.9261,76.43326,129.61488,150.39948,159.98424,66.36738,120.91134,121.231804,45.2662,81.91628,103.89032,79.09203,118.462425,70.11094,221.92783,159.57631,81.37861,78.595665,108.04758,261.91638,210.6663,152.20953,180.00043,134.49069,164.50465,215.27295,180.79637,220.6934,152.46425,279.7458,309.96313,278.05,325.45023,341.9232,272.1296,120.85431,266.3797,271.9148,103.96557,10.639765,24.46111,226.86174,210.40373,313.5128,348.00372,258.09152,200.48346,219.00296,244.79422,90.98108,7.2502866,252.3412,496.8798,128.12044,331.95197,83.870255,342.6671,332.03223,194.5942,132.27641,660.4998,832.92865,1347.8258,2472.99,5260.4434,2479.1729,1633.3286,1016.93036,664.4137,861.17365,670.0711,308.99274,298.02304,109.52432,270.16696,315.95938,343.13367,656.3289,617.9044,267.4831,440.55954,428.3807,404.14728,138.8983,162.96132,72.1952,210.74962,381.74014,494.49222,409.61597,342.5001,244.59918,691.131,922.30444,374.94684,151.56996,164.92778,141.96048,458.77823,273.73093,286.73404,77.018265,177.74663,324.3647,361.41382,282.02493,87.11821,431.07202,883.5424,182.81288,382.91745,529.09534,248.80243,514.308,485.02866,234.22505,421.44412,399.37714,65.3215,150.47052,120.886894,306.2843,302.0277,227.92229,331.7104,524.9568,426.76987,502.87262,358.58325,172.38504,138.25166,35.4234,206.51161,145.78102,226.98532,249.75557,103.83167,158.82372,110.40585,50.381664,258.16324,259.47797,277.26633,158.70113,47.861603,185.26903,214.84322,205.1817,234.94952,187.10985,80.962524,249.52391,221.74203,158.00151,44.932365,159.22868,178.61067,146.98776,58.825493,239.73907,136.8395,118.84279,70.72058,66.07634,59.163166,105.36343,225.91832,395.20612,269.3813,458.47336,153.33887,138.09077,167.48218,128.77588,62.125053,60.995872,98.08134,141.3716,290.7128,181.0985,275.72638,145.84216,238.28693,123.16331,111.67674,188.84375,none,
567025.9,242228.02,374.33875,49.556885,507.4973,1034.1128,575.44855,341.84888,436.77127,262.9253,56.04945,206.37306,1305.2614,970.47186,143.50024,577.355,832.7971,96.36787,175.44267,324.25717,225.78854,180.05956,240.91449,205.76295,59.753166,252.22475,135.49834,140.50038,275.10553,129.65515,157.74646,247.16608,327.71762,757.91327,360.69418,301.88535,328.0331,248.83,54.05153,183.17714,247.35736,103.20513,25.899782,113.256775,128.7877,233.64093,97.699554,98.50162,159.64868,203.92256,140.02666,62.87916,101.30372,66.8472,36.607033,38.92312,59.818085,120.79639,221.94942,297.635,228.68155,211.94,86.00299,62.043594,240.53307,207.98793,58.962086,15.461204,123.006165,257.0109,24.792082,395.46466,221.40588,110.2665,76.72002,85.2554,64.18096,110.695244,58.149643,65.2888,105.11187,171.44144,212.30267,137.4109,158.58067,194.66478,126.009834,199.70668,110.87693,67.43006,148.30826,48.119373,57.21606,179.4142,389.67117,448.75992,214.26562,81.16075,166.37627,162.00537,191.74313,138.6991,220.2292,170.00583,149.00986,85.9535,95.2392,207.02551,272.3301,159.4074,68.69091,195.182,101.2078,246.0376,190.3859,104.7747,129.05939,174.00674,64.91558,115.36851,114.740814,199.00621,512.41034,684.2206,212.71289,292.82635,314.77472,387.3089,374.16342,514.25,604.5924,699.731,572.58386,936.38025,1781.3782,4863.308,2459.2898,1969.4926,1786.7998,1139.262,1125.1062,1188.7472,279.1478,484.89316,540.1378,488.71616,207.09679,226.12468,234.72882,141.1312,139.28502,399.39304,260.78918,302.62415,250.2284,448.72992,450.8257,458.51224,120.51134,106.58425,113.41039,71.300255,294.87668,654.97675,574.6315,216.20915,281.1555,365.3754,229.17557,139.41289,186.88457,196.28493,214.91916,293.69836,237.0767,242.36124,230.17325,327.79523,979.60034,1199.5399,495.51,282.04483,633.32526,311.2061,324.19537,303.27353,421.33875,307.40494,66.89779,95.33911,266.67664,396.94394,178.18486,166.1236,287.38284,292.21262,135.96848,355.3839,393.14258,154.41805,132.9869,134.08665,31.237724,110.99942,232.88774,255.55585,217.10988,98.274635,94.38153,181.9018,215.84679,35.18312,221.10403,312.7734,211.50243,124.053444,189.6692,195.39055,117.28117,10.927186,85.78796,10.365023,231.32068,322.5905,162.74213,151.76404,118.48145,61.77428,31.282366,69.749374,166.26212,219.17107,167.5751,117.00097,252.9126,263.281,240.12296,356.59976,485.7821,162.98192,200.4807,202.53671,136.133,153.47044,80.98337,63.80478,147.41887,204.38237,35.297672,219.03667,126.34065,100.0611,261.12793,66.391624,149.81802,163.83836,77.6875,none,
566670.44,241799.66,46.88394,315.4859,305.64026,1018.21515,644.5047,356.06848,200.27017,90.283226,33.385372,388.16586,1712.289,1698.4003,938.7807,1019.28296,239.30672,421.10855,206.20294,299.57556,194.64607,180.88692,339.798,344.24884,328.79865,179.2785,95.2992,111.456345,30.87034,148.06047,209.15572,309.77618,659.4804,311.5181,176.44247,212.22495,229.46005,332.37375,352.31824,258.29047,87.32216,82.72364,212.11984,272.76273,14.365238,97.74123,185.19376,121.11525,76.69164,130.58499,59.386528,141.1503,176.58853,82.432236,24.163343,42.139507,49.43113,78.47474,30.180317,170.80743,78.836525,73.108604,187.81363,188.82037,54.077934,171.60849,146.32849,206.48933,39.738182,112.73188,207.07199,312.02493,72.938,155.78616,169.42525,98.10563,7.938115,89.260345,138.69972,120.21346,131.00165,150.17725,158.4764,54.657566,32.941544,65.157585,184.98068,192.64365,111.592766,221.8166,239.79727,203.87581,136.00125,66.62623,89.27905,182.29745,125.521065,52.763226,138.9463,96.677,149.56514,156.95268,122.97163,59.45431,93.25181,100.195,18.276316,116.692795,87.70071,118.07535,106.19313,23.000883,165.97017,290.21042,184.972,108.971115,26.61365,67.96911,42.446705,90.5771,187.20325,173.83337,323.41003,502.00928,334.79047,588.0388,415.71594,474.81924,431.6551,614.897,583.07623,827.03595,1030.4728,1255.7754,2230.366,4667.6577,1357.5756,2485.2756,1387.4333,834.635,898.19525,967.8442,197.14145,308.88013,231.72205,198.96388,153.75743,342.1687,444.88797,137.60992,247.60674,288.678,117.48384,258.36395,388.42444,360.89502,185.24301,318.96088,253.28587,259.34152,290.9293,160.92139,108.142784,144.71211,638.267,825.01013,479.2098,214.71886,320.9628,214.76875,79.33171,432.9943,345.65515,152.9006,209.94162,374.93738,451.46667,583.14014,565.6167,944.08234,897.6127,180.27303,648.0591,647.212,334.6533,321.29126,327.31555,80.318115,59.17765,253.56439,259.56396,247.54721,162.3964,169.79285,251.05637,149.08067,456.29254,595.90924,253.87794,340.49374,93.15368,183.02473,309.08527,295.72437,202.59937,105.67155,229.82191,159.701,18.75912,203.79202,148.57361,70.457214,125.03165,402.55185,165.04486,196.61469,256.94797,306.22568,259.98062,202.48517,94.14939,239.72989,286.97803,80.18509,219.31007,321.1341,226.07704,86.5269,115.86142,205.64227,173.80345,190.52257,329.73486,215.01218,176.12389,155.95676,90.614845,17.398909,190.38258,46.663334,158.91306,104.25264,42.586037,72.31476,128.60176,190.55357,48.909992,20.59521,219.77773,302.84665,285.85315,252.80379,119.347404,108.449455,179.6232,96.12187,166.0625,none,
567135.6,242314.1,474.9358,63.33307,222.6754,1187.201,976.7289,242.71025,185.18312,12.133035,157.11623,589.71906,1835.8423,1360.7919,234.0487,833.4309,461.2794,438.7816,488.56662,440.298,137.29343,70.117836,73.265114,72.75481,103.20428,242.54137,268.0216,211.92297,153.64462,134.13823,374.11246,318.6801,171.08812,183.4365,135.8316,175.53763,211.5748,215.60948,97.39842,135.51878,256.76642,254.01231,279.32935,394.39468,369.04694,366.0838,239.75357,163.07996,277.8022,385.63846,173.42807,160.5992,200.55902,129.70279,91.78157,155.82915,127.1586,220.28094,239.92296,38.825665,89.56453,37.230316,123.77093,290.2257,179.7265,117.34386,223.2603,267.65213,512.81573,424.7091,153.2568,180.89177,133.43758,90.77305,28.310322,22.420877,96.38754,177.17795,212.32053,151.38115,88.227066,18.2867,13.816246,119.1374,137.78535,182.10265,183.43819,168.7071,96.060074,29.384201,106.646645,179.43213,126.38444,135.17323,136.71355,92.608734,83.10613,177.1105,210.96545,110.92689,115.18776,290.54776,190.06998,91.754776,168.14792,153.20284,110.212616,138.995,99.82608,15.02385,99.67777,64.62575,173.06657,197.64703,77.603516,233.72385,264.4006,282.86847,431.61578,471.2008,416.23624,484.49356,681.041,782.9205,368.93558,691.3746,542.1983,582.08154,622.65356,738.2587,639.0855,1083.7538,1131.6385,1499.5195,2674.4578,4967.3726,1603.031,2461.0264,1415.9758,572.3823,185.39992,175.53084,593.6571,500.00815,331.9009,419.11697,183.69345,207.65971,273.84586,163.28954,391.7232,476.6269,575.78516,366.40707,228.22166,421.25287,436.69693,421.05133,417.14456,404.5142,240.44493,272.50952,348.4743,336.60974,357.61237,603.64557,481.7666,297.83032,247.69725,177.171,401.83115,610.20856,451.793,458.19702,396.61548,366.6734,377.74496,328.22562,420.29358,916.7189,130.17847,509.121,419.4138,375.08167,257.16013,479.62012,451.8974,233.46199,216.73001,307.9962,446.916,295.16183,240.94763,23.043337,306.10947,61.331104,305.87003,236.55815,282.76605,341.3091,291.68622,235.11787,69.50561,117.41228,215.62646,105.73773,42.94672,53.625664,101.517944,157.979,168.27452,100.37586,282.16092,126.03899,153.41948,250.84268,338.53262,290.95892,187.27556,277.20908,114.18898,36.28463,170.48575,125.05684,133.58392,177.46544,101.40577,156.70503,182.19273,139.84633,190.33041,131.02377,41.11984,59.089386,130.65909,73.354416,57.377533,114.290215,167.5943,163.89091,179.08173,139.33328,135.35132,69.2209,93.13327,103.90345,68.91307,67.292114,132.55383,157.83047,173.41026,146.83334,154.58562,244.7067,201.97331,175.19159,85.03125,none,
