bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566403.6,241761.38,526.313,344.92523,241.33804,71.60269,214.4442,367.733,407.21292,460.13464,239.03459,74.60792,1245.9817,1249.5718,93.40626,467.311,474.47662,492.61118,410.37653,309.55316,236.04643,161.11711,96.36966,233.14735,167.06238,162.14725,262.8285,241.63199,400.80554,303.60504,142.51094,378.99036,393.39984,336.54367,138.32475,120.02675,120.88075,92.387856,210.47806,170.87833,92.64034,99.39415,66.42646,53.239315,54.64905,220.96262,235.6359,76.05563,118.29174,180.9757,172.14366,202.22185,309.3283,247.09656,138.65475,138.32802,151.37488,104.78997,201.8805,303.0139,325.51715,285.84018,48.846363,195.93153,195.25697,46.59072,102.88833,115.757965,98.50537,177.07265,173.61732,319.09027,150.19067,92.086624,43.911976,71.37281,91.32822,129.26624,119.96457,291.89606,392.25308,204.40092,100.73883,165.4306,205.95613,165.65335,72.61237,282.87225,294.32297,210.4076,168.29382,86.9606,200.48169,50.563854,100.61562,90.43188,70.568504,206.11403,167.1691,85.92825,187.9591,130.09949,153.63289,85.69197,283.48224,224.83173,92.476746,177.43729,180.64893,39.584366,110.83726,190.91452,91.272865,40.64956,93.802,127.34292,256.512,233.99207,89.27539,258.7157,295.2038,256.62158,445.91223,595.591,48.860966,234.61143,185.17479,312.2127,267.16583,500.16882,539.0346,864.5873,958.3498,1186.4298,1826.0571,4473.222,3018.8123,1501.828,1231.8287,684.9011,651.09216,898.4746,246.78578,396.7087,291.70703,326.23993,328.59082,403.06912,269.4482,105.648285,160.01758,371.52457,573.8662,466.9672,332.05246,214.67612,228.26259,90.406975,119.6947,132.07529,356.7392,448.30588,343.2654,502.73343,643.4065,824.71967,315.71808,422.4754,232.12581,303.06476,113.15443,83.04697,269.3796,350.6339,452.73123,479.81042,233.10397,318.77637,607.9651,464.6609,831.05597,280.5746,85.727325,172.14345,132.53798,271.4315,343.18625,258.74677,304.81375,304.50183,153.52376,349.83878,469.39157,438.5,259.67056,34.30185,113.87107,120.54363,192.3255,390.1757,390.64047,200.2463,149.0428,327.77695,211.41219,92.34698,132.4422,228.13612,378.27985,238.93948,76.22916,107.880974,121.404366,120.4814,190.2089,413.29706,373.08148,182.69473,27.224129,140.16933,230.57915,99.00906,128.63351,125.397705,151.46437,97.46452,83.14529,31.568968,114.37319,200.99782,110.856834,150.5729,264.3176,228.13013,147.93718,45.187756,106.58498,224.00551,391.48123,345.16824,447.50497,353.925,44.12339,37.2606,113.00709,47.340755,104.53707,29.45393,74.59651,51.363716,93.289665,220.8717,388.438,303.3389,48.327484,202.05246,268.125,none,
566926.6,242105.98,79.6194,242.7962,353.3766,101.535835,103.10144,148.02934,263.25015,225.69725,173.59518,195.30756,1216.7584,625.226,552.11395,428.97726,173.20186,80.06733,49.362038,32.95768,94.439575,42.979378,86.12478,108.60785,92.07728,193.48187,227.15791,252.83066,347.91235,428.7352,219.46071,211.06195,262.74988,166.66685,203.83,183.60141,57.223167,211.21152,249.07361,89.83821,81.13198,78.27008,92.1775,97.16596,239.17766,377.74072,383.64493,257.28644,269.54324,265.362,187.98169,28.7822,18.96492,115.165504,66.86744,151.72969,170.9418,95.994514,142.57413,210.37923,214.78957,203.75145,77.373604,109.024605,92.76923,86.434586,46.818954,69.44791,160.0548,248.43153,367.5272,293.14447,76.367874,41.392624,123.09131,73.60195,140.53398,104.50882,178.37617,206.73108,202.6512,143.94395,43.46234,142.18198,166.29887,137.05014,85.39903,149.69759,178.95367,299.9705,140.0855,84.11218,141.85484,114.0036,140.62297,82.71421,263.1388,258.32715,70.59673,131.81746,230.59102,150.87473,166.22539,362.98956,497.62125,180.74828,77.34397,110.212555,46.291447,59.4028,91.3707,45.950714,210.38422,208.88788,54.74981,106.71281,124.32976,204.62729,187.17976,189.29924,235.50844,282.85428,296.98203,388.15472,179.05687,449.019,269.343,337.88675,288.98138,507.1993,437.0649,665.64923,772.93475,1246.4918,1773.6683,4133.4883,2640.9805,1592.4664,1407.5791,689.44104,216.45267,494.48764,374.43146,437.99603,38.067486,73.17502,111.12638,146.76645,195.83969,289.91376,400.91165,550.7935,461.57596,582.49194,549.43207,363.30365,147.2027,278.70856,394.2229,385.3069,265.1917,541.8504,444.8227,412.44604,510.41904,625.0799,206.24678,429.62582,131.23338,133.25294,106.43944,211.01947,220.78003,53.826622,45.37606,296.54074,545.14197,567.67926,494.35538,481.98508,529.05676,677.1457,368.45828,284.36963,259.63995,221.27472,505.36087,513.5103,414.5858,394.59116,679.97626,604.8614,256.29004,243.7803,241.24002,226.88567,138.1348,149.92714,154.00499,308.01016,221.76907,181.29924,280.54434,67.265686,81.24775,213.49088,73.80129,166.3845,150.89552,93.709816,11.421397,151.41469,178.26079,217.39735,365.4823,214.05048,160.26239,184.51604,214.99559,165.5926,52.736782,83.574425,3.3276684,73.679886,174.52138,207.41075,233.55733,123.29123,45.1522,240.85547,179.69069,199.0,190.23213,133.5527,23.439089,47.55554,245.36818,278.95804,283.20383,119.483086,225.4417,86.40377,82.80447,193.27281,196.72087,285.1184,362.12686,266.17902,133.94827,165.15842,49.552048,48.828125,162.52184,318.9721,165.31714,60.43381,103.78125,none,
567014.94,241897.7,255.95845,404.60272,119.08897,201.5321,271.9956,123.219666,167.18051,212.11057,291.90045,697.9031,1841.6013,792.8216,731.6036,488.12418,222.36911,153.69887,111.23714,254.4716,162.35509,80.19015,84.78384,60.05562,123.838135,156.12793,89.13209,58.732956,85.000084,259.66296,300.55032,213.50084,62.002132,121.18647,229.38052,142.53592,205.00734,220.95433,57.567253,142.83786,72.992714,103.061005,242.28915,307.5716,144.23119,40.188507,81.7928,124.444855,133.02681,130.95097,123.95373,28.001818,104.02717,94.03692,73.96626,138.82364,157.09612,117.870155,225.01628,226.20607,111.598236,161.91502,119.3028,165.49518,236.88435,158.60373,22.07339,185.36446,265.3564,190.1397,378.49792,408.83386,239.51683,207.44804,228.25009,319.91455,58.289135,239.1498,92.28145,131.20258,68.6027,116.496124,86.542656,66.745895,47.11569,75.633354,67.87889,113.87569,223.61089,302.3397,236.118,151.06874,182.86378,273.6529,172.25772,45.781708,144.64348,172.21942,73.92533,23.904818,113.80567,122.38383,72.55095,75.34132,152.98688,220.28262,199.20918,193.03279,180.28282,96.57197,138.88754,138.4403,303.00244,183.63297,38.930088,85.05326,55.359756,112.5324,99.29848,123.66758,126.64503,340.30023,553.4198,482.83813,186.74338,438.46988,223.60191,274.7131,299.91443,534.9353,540.0594,531.7858,469.86664,1098.4083,1931.4515,4246.09,2359.605,1827.3042,1541.5581,859.822,854.47,973.39874,257.46075,555.0727,522.6226,396.28094,305.36545,130.3133,174.37999,256.7649,328.82965,754.53876,558.7465,361.98846,500.82104,464.2339,235.214,233.13934,183.22272,161.50053,193.18509,416.7785,505.16418,479.945,510.4332,661.77356,891.6597,226.56721,545.1553,531.77026,447.82706,429.8511,94.12567,98.42297,98.61264,169.33667,246.82457,359.5005,488.57928,503.37125,995.5782,205.84418,541.7233,611.9622,753.2406,730.10266,310.88437,306.78302,77.98864,241.07976,229.81863,314.3552,497.12323,251.83133,77.57376,412.67908,511.6729,362.9892,348.4365,285.9553,41.688766,182.02681,305.58325,123.43103,107.91397,155.16562,121.89458,235.22702,302.45407,261.77554,243.34225,246.87459,96.15741,174.67268,125.99581,134.03073,195.10316,123.9791,38.55458,92.56796,56.057384,77.04651,106.84464,90.66701,115.321175,167.38324,41.237534,131.83595,91.679,183.31287,27.14047,120.964905,200.5782,44.499336,205.94952,192.23866,20.435614,226.5333,379.01807,246.13159,114.264824,121.70381,103.36889,60.92067,143.50945,127.59964,128.44843,298.00122,243.153,103.39415,31.924086,89.839874,74.00253,118.07769,135.31882,211.07822,23.75,none,
566430.9,241646.62,218.95534,566.7115,288.5615,414.76666,140.33817,126.48724,182.63708,97.23704,172.244,647.5734,1794.346,1691.0353,465.4617,235.41847,242.64157,121.14947,127.018745,13.525763,162.73383,193.06201,263.24374,148.60292,138.25087,128.31099,218.27121,290.7762,368.6315,371.06732,344.40002,309.70486,469.80685,385.0519,113.07173,140.74287,151.91028,123.258896,158.7263,74.24644,217.38179,178.9349,74.51957,142.15132,200.92976,244.2424,158.675,138.75317,239.50507,195.59598,123.92871,189.61874,345.81274,360.15375,341.03577,277.91647,150.22647,128.63342,130.91817,76.536316,87.35863,170.61592,273.28928,320.18848,270.958,102.26225,110.37157,35.03883,140.53487,318.96396,396.25995,189.63866,191.73022,103.37234,192.01685,327.5794,223.48853,113.390854,212.16818,159.13608,118.730606,111.10394,180.86995,325.11206,159.71918,148.9238,250.65822,181.51132,106.57488,61.810886,205.6405,248.1384,45.333374,64.89982,273.2941,277.4103,139.90242,214.03067,167.68425,53.840736,102.92323,35.59917,42.734215,145.36942,273.06104,218.63484,151.01793,202.70268,143.65025,73.1907,62.00752,114.226814,145.60625,49.074497,17.14412,19.390547,76.095406,148.12202,171.64786,46.282578,105.20206,220.36606,362.01852,796.931,363.34738,70.08394,97.27319,234.5113,222.20007,415.02203,303.52335,394.97418,603.6962,1142.8419,1640.9441,4443.9663,3330.8933,1571.3434,1734.2609,971.44745,1080.706,1160.3629,394.12747,70.90333,151.24835,256.88086,206.43488,271.40472,366.37463,306.7558,118.83374,380.26862,568.0212,692.14935,557.5164,229.1989,158.84389,139.99059,112.85551,96.791725,203.01456,187.7774,250.53642,220.23734,316.59662,327.73575,696.6143,193.40613,442.0449,148.11568,66.49363,181.3101,244.29683,285.9118,366.83737,318.50266,243.39232,475.82605,561.703,420.0239,664.272,463.4819,617.2845,668.6855,497.40942,465.82126,350.43848,173.76358,173.38376,145.52524,189.7193,239.51508,320.9204,271.03574,297.92197,254.61217,200.15585,211.84877,151.92615,37.799232,38.19305,29.496132,180.55977,135.68645,77.70645,249.51239,369.40915,238.3878,181.55916,112.231926,149.60915,126.52942,77.57175,223.55608,336.15244,268.55676,195.44803,200.90208,387.72968,327.97525,123.09328,80.45938,123.58801,120.88367,149.24837,133.74806,68.91571,129.23103,235.4088,257.16818,190.10335,191.22011,241.10489,137.34572,315.2507,292.89243,208.3042,147.92549,98.01993,23.799978,128.90532,212.4879,283.60263,158.27132,111.97922,64.629005,124.160614,124.68046,96.995964,153.53937,120.4808,134.08054,151.11433,158.10545,133.67569,52.40278,105.125,none,
567384.6,242232.78,303.0217,122.22477,459.4012,90.789314,80.709984,245.83643,352.85745,175.7334,173.9726,500.25732,1400.1609,842.97504,298.63687,167.56071,274.6013,277.17117,350.11398,203.67053,305.93564,477.16174,483.248,406.01804,440.07358,428.4124,334.66885,204.08128,121.43725,103.186806,146.30121,159.15842,238.15263,58.613503,282.57077,206.20201,147.50156,132.56657,148.67584,220.8043,357.4185,281.06088,162.19742,56.31707,225.09421,231.80754,285.91928,236.43852,172.71696,208.06807,233.48615,202.55353,10.992895,89.84457,186.0602,126.08499,112.27012,115.98424,99.027565,24.25677,113.24993,100.578384,220.65364,238.64182,111.90353,264.89423,215.69485,71.626816,122.73014,349.43228,202.19902,178.69173,146.11,124.7101,110.13007,123.10977,148.06648,115.51049,115.864555,168.44193,162.56438,150.01205,165.1427,80.28655,68.42851,107.07882,142.31378,128.89105,113.09173,95.17638,297.1592,165.90297,117.72322,173.33664,122.94046,119.895386,165.31741,128.99141,168.84135,44.800713,92.817726,83.46975,131.79823,226.22354,375.82227,168.51457,82.266525,98.69584,61.088795,78.96858,121.46929,128.99597,110.09597,94.17631,277.82614,157.47412,67.04379,83.37371,164.63286,178.93222,147.2571,268.15784,312.5885,386.5876,475.311,614.04443,529.266,524.4908,429.4473,531.5565,498.72336,779.40497,1080.3058,1529.8585,2137.63,4654.2554,2552.8545,2186.7307,1637.393,664.10144,520.49207,586.82166,109.09098,579.9213,465.65854,289.12653,199.28128,285.00204,83.43957,198.52946,203.18036,326.52386,233.75064,371.36798,563.31256,456.00897,254.34822,311.64706,272.31015,256.86792,266.8438,255.39055,380.3899,261.13577,380.8186,429.02798,276.66953,827.40515,402.92847,179.89906,184.18799,474.22586,497.17142,430.9742,417.06708,343.18274,144.55272,263.90726,551.24097,289.09567,661.70605,358.56955,9.640889,283.22836,205.99489,316.64658,353.40872,291.75977,223.64014,256.5857,403.7192,192.7195,150.30865,196.27509,118.91539,122.52517,103.80736,202.38991,341.36584,241.38507,118.50942,48.245113,165.2516,229.68506,243.97952,371.0439,209.16321,179.59828,255.95518,304.50037,419.0343,320.5086,116.52977,114.821915,87.78582,182.24347,128.50772,186.67204,145.82056,86.320915,140.75526,166.95325,120.05535,103.90512,135.88054,144.07399,232.30609,160.48323,65.133484,50.077988,179.0962,147.18661,141.13864,124.38716,322.69415,307.76382,141.25879,227.40529,381.5164,337.1938,104.86158,145.8613,51.81469,171.22626,179.76329,74.935776,87.766624,57.639874,55.370564,112.22565,40.04857,66.293465,49.22395,179.03337,199.97574,126.14848,65.4375,none,
567614.9,242414.64,228.1923,227.7383,565.28204,426.02634,354.6933,149.26584,175.52863,141.49002,66.85276,324.49487,1700.933,1315.3717,349.6353,591.0273,375.35947,424.29312,305.54633,195.79027,283.8535,158.30473,26.237179,222.7055,304.6197,315.74313,160.9072,250.26376,111.23042,180.63362,235.3467,96.55291,116.87655,163.48114,125.17268,73.609245,171.3112,134.39069,41.156296,195.05348,150.4317,76.51216,61.62733,84.1667,238.63841,387.1282,171.57686,71.359985,87.99046,145.76833,158.8036,197.76576,94.306725,90.14823,259.10324,285.61914,257.92505,310.5057,200.07082,142.33873,104.99502,173.2324,193.26761,267.77155,370.8831,149.70749,273.7101,283.91486,521.99817,258.69626,317.35944,186.8558,31.460268,94.35539,170.90517,80.32676,58.076653,113.620605,286.17307,352.412,272.132,158.20438,154.4173,237.34355,211.53871,144.20157,173.71959,113.45848,117.61924,131.60808,165.71509,188.32387,162.5801,185.20715,189.01874,88.57708,148.51372,118.50943,220.60214,349.81192,348.17548,389.15872,261.077,40.063023,188.65723,202.90485,360.94406,207.707,67.28178,250.39532,161.7234,249.09839,212.52168,377.80737,399.9976,143.54546,172.31752,91.75483,107.140434,28.881416,193.72841,109.99933,182.8237,367.44296,116.61669,361.74286,112.70347,413.66486,460.67386,569.3345,612.34863,809.49426,728.2528,1311.2473,2061.0679,4510.8555,2224.115,2391.0298,1607.9496,432.02115,450.91068,656.93066,352.6732,581.599,305.8806,257.65775,207.30779,202.30067,73.70237,253.81259,7.942011,601.78827,719.76544,1013.90546,707.15656,247.9307,212.29831,363.854,233.90128,232.24725,162.3836,283.775,219.33208,344.4313,456.69128,388.65784,385.96494,534.8177,452.63736,419.68222,377.49237,642.9054,460.8947,293.56686,308.50922,76.90635,465.09375,690.6442,548.82227,261.88516,231.1326,527.3763,522.5035,549.63684,385.69897,75.067505,103.24167,322.40942,325.32257,32.80462,363.60138,72.63259,205.05075,18.877424,327.2261,361.31985,262.53687,239.0822,431.09348,187.65169,97.92448,77.46002,133.15117,138.3222,143.46089,336.22357,406.21008,362.78482,113.706474,58.30743,49.58802,91.301216,131.18285,175.61874,216.25746,132.10701,20.613636,53.411945,109.680305,267.83636,268.99997,169.76192,163.83224,137.0521,130.18945,281.98538,124.14642,127.13681,223.86572,203.04442,162.45135,196.55789,74.48761,182.41458,289.1519,389.59244,118.651855,258.33694,472.93033,222.98152,233.3603,292.17892,260.20386,251.89255,341.8195,140.84792,132.9033,117.57436,142.64822,76.402405,44.83843,146.62546,229.5884,122.59757,114.87819,175.02167,60.375,none,
566007.6,241428.19,205.49915,208.04439,45.970142,68.01484,120.490776,127.6616,91.14499,93.30943,26.03113,137.21461,1247.5756,1610.6437,670.6233,223.09802,332.69476,445.66006,319.8721,352.87405,379.07382,377.27936,378.15894,104.55315,86.54382,140.66795,247.98819,382.74973,306.13733,370.4282,390.23,177.41669,95.68346,76.65972,152.6133,317.9978,225.9109,68.94087,183.19609,224.38097,108.71366,108.95863,80.93086,153.56055,194.76155,115.9306,96.06085,119.516464,101.72673,136.40811,55.702446,102.71979,167.81953,67.18222,70.08874,50.99384,18.340939,71.22729,100.621506,118.87594,93.70382,189.09567,3.3702545,91.472595,180.15878,358.79147,153.45392,65.18165,407.14963,366.74472,59.63993,138.0395,139.7083,30.03772,209.73381,261.2299,187.16293,81.88871,197.25586,181.62494,205.7116,296.6659,245.23863,184.00069,185.53958,227.60382,188.19489,167.26048,99.32298,99.6481,79.57462,94.81373,124.24052,164.38274,102.30876,181.15744,204.84631,100.60266,117.17866,78.339485,41.025837,97.38834,6.0705523,143.16318,181.7863,253.83421,37.75425,333.83722,190.42581,106.10254,35.841885,150.7781,181.53935,318.23932,321.78973,283.87808,243.67316,233.18158,82.77436,22.328375,100.170525,223.69714,455.43872,471.03864,198.36974,616.8422,460.72995,454.83636,270.7165,458.68588,482.16467,745.1882,885.0658,1537.671,2228.3032,4548.789,2223.237,2435.3743,1832.8276,723.62866,821.60004,734.4414,362.40363,511.31412,241.79431,302.82755,178.31195,194.8166,301.12997,320.29172,542.3542,608.6531,200.59221,410.4615,431.48514,206.67635,182.54721,307.3132,294.8897,225.40465,509.09143,588.2662,308.0838,509.17746,754.18646,166.5842,409.74985,242.36366,112.04989,135.65846,461.0892,755.1149,438.60922,136.66634,255.73697,341.0707,268.15472,720.08295,179.03252,659.0292,533.8529,734.2085,741.26697,387.1005,127.44266,70.77749,316.0649,392.8611,198.43698,193.37997,245.1901,280.54163,243.24455,272.8542,498.92114,422.15097,227.65733,86.79271,267.98105,319.24008,59.605106,132.98332,268.13773,251.86067,249.6506,160.92065,110.46186,99.91338,187.88397,145.20406,211.9948,292.6424,177.49185,100.24612,177.96375,221.95834,289.85107,216.5018,83.52964,70.198166,102.916306,82.71102,80.360146,53.18348,78.567444,112.89378,253.60593,126.12199,99.700066,126.309494,34.005157,117.85986,170.92183,96.14707,161.7305,306.21466,274.67343,199.58186,433.7948,269.08102,81.67847,102.10714,170.80681,186.56204,109.19332,150.38055,266.08896,323.00027,235.56924,224.4796,94.15443,72.92747,177.34724,77.73402,129.15224,150.31273,54.8125,none,
567524.5,242650.55,682.58093,61.4027,310.11703,461.70938,482.43164,322.379,242.25818,23.658699,17.91488,573.6953,1622.2866,1209.2357,895.20844,348.59738,153.17331,217.87088,221.98466,118.11886,148.0023,146.96635,221.31544,73.44046,123.0216,150.9207,126.82189,242.77455,254.1878,378.99786,344.28076,261.40158,193.05571,70.4869,211.66971,239.47511,206.65416,217.21469,97.990555,120.0304,341.0257,423.30487,281.09,93.41479,82.56114,138.582,66.26945,135.66579,168.80794,245.36748,380.08603,180.32361,7.907897,104.92145,206.37769,179.25441,86.40711,106.6028,127.53067,103.517,99.47341,234.63577,189.69148,101.70066,121.457886,294.43207,425.0427,209.94221,213.37402,209.46718,237.65312,294.88602,155.09901,102.54921,50.058784,107.22776,124.86048,121.07804,132.11787,51.51145,130.85353,177.96655,74.87565,41.96134,69.98753,43.029346,112.27607,213.76155,101.908554,63.54418,258.35028,157.53716,73.05975,167.18893,230.25972,152.46861,57.942833,187.8399,128.9537,66.64927,109.133316,149.0024,198.63638,124.08643,15.637571,27.790525,109.38107,202.48769,281.59,294.61264,218.60333,277.60284,181.73236,138.22034,147.51341,123.09875,14.807858,129.1511,66.3059,78.19808,163.89354,195.65877,370.79733,557.14575,81.84604,172.94084,368.00366,457.8649,339.34662,488.2891,527.9809,911.4104,1003.43207,1459.7719,2268.155,4518.9473,1740.1255,2631.6917,1630.2638,586.94666,901.5203,955.04346,156.87257,646.38306,319.36258,160.20537,97.489174,106.706856,332.46033,182.48163,204.30885,154.59758,389.19333,642.69507,111.061386,374.55893,323.4997,246.92957,173.95372,140.619,42.80792,60.440453,323.06573,422.78192,602.9455,458.14523,380.82812,576.28784,164.66927,258.42664,138.6477,345.79593,213.48642,194.85533,23.139488,113.81121,96.23391,447.45218,675.8875,467.51865,743.9407,905.28455,268.1056,212.96814,312.1515,130.156,216.92868,210.32333,182.35048,85.30672,145.73836,103.26649,344.10388,275.3077,191.20284,310.2238,92.12839,73.700294,98.089905,30.131186,176.62341,101.53509,206.50061,302.94937,113.586525,37.85404,129.57478,235.3212,336.59952,250.46387,202.8854,126.598625,54.070213,108.25286,173.58397,208.33768,91.28462,143.17503,39.710835,187.93903,126.58435,93.054855,82.83285,106.42963,42.304012,168.4954,262.83444,128.72552,117.553,241.03537,255.19717,220.15211,48.60497,115.18089,124.54877,161.2365,370.21548,536.70514,672.3638,352.4794,126.5179,107.041374,166.58292,138.50705,54.270527,108.41582,235.96082,206.12234,94.916336,120.99034,186.64165,100.4892,135.43999,141.57571,152.82732,135.36157,193.53125,none,
567432.7,242390.53,448.65445,521.146,495.49966,66.27358,132.52446,324.49426,104.47727,87.777245,121.863754,375.4568,1812.4624,742.3145,1038.1145,409.38467,323.40903,314.3289,214.49805,155.7362,97.8155,134.16577,123.290085,119.8541,129.44214,95.712906,171.96637,59.296753,86.62969,257.5025,277.00818,326.7833,416.6291,238.23997,174.65013,176.31285,249.20436,51.160164,40.117744,187.3876,109.93569,74.346016,275.7302,229.05795,151.77115,160.77075,170.07175,132.23676,118.84451,264.1796,391.83984,210.63257,129.97342,158.54991,100.60157,61.328716,195.47603,271.37976,172.58093,206.79283,161.04662,220.46263,189.57162,37.677814,57.04194,202.36002,465.09387,320.6732,160.31598,58.363396,328.4052,242.79462,77.75271,214.6355,245.68721,159.9111,115.531654,213.61746,163.66061,291.2029,457.19443,348.74954,185.18733,153.60468,77.90737,110.42907,89.80632,76.89026,108.633865,77.131256,124.37845,218.58989,219.33397,186.1571,271.4369,116.13674,106.47299,6.884456,130.19218,124.66657,223.23868,52.83661,117.6363,152.46758,53.677402,93.36453,87.34822,118.957436,93.38443,59.131737,143.54839,131.24199,150.39696,315.11035,343.53015,243.67555,295.5251,206.36739,88.54954,116.209236,39.51541,231.2336,435.15894,606.5518,85.5594,215.7124,142.98366,214.21829,386.5241,624.41394,534.0123,650.288,727.1834,1294.9827,2311.0112,5024.525,2516.6704,1956.7719,1393.4899,379.7822,701.42914,1020.8779,254.1639,417.33533,317.43298,298.75473,242.68646,397.83115,502.20676,673.11224,503.65283,449.48248,925.23206,520.7231,248.9566,271.19998,311.09387,297.84677,159.08371,148.13109,242.4402,254.00992,357.81317,185.74396,30.610275,187.72517,752.5,354.78506,165.77472,177.01224,363.69318,266.9229,123.17879,254.83647,409.96704,284.71652,282.102,289.06653,360.85666,523.17084,1162.3136,296.37842,390.71622,491.7179,464.05447,176.75983,211.70198,199.21692,262.84177,222.50322,125.86299,244.62482,194.72282,400.9199,469.51358,140.42888,342.0406,161.99287,102.96733,116.17057,127.78209,54.801743,213.10226,187.79665,162.58313,124.860695,243.52687,286.6034,171.41501,131.69987,166.09795,100.707184,99.031586,107.35365,76.54918,202.34439,181.50105,163.26976,176.7847,273.2339,419.05344,369.35696,262.92822,269.54828,237.38995,124.28243,108.14489,152.57173,131.2522,63.12163,26.172796,64.19653,121.15702,100.94034,93.24789,151.00423,37.5307,231.76352,557.15326,155.99316,133.38025,237.88538,206.9704,128.48538,102.227936,123.85704,169.85045,245.69144,311.46292,380.84372,225.05609,253.92279,134.00095,98.60063,71.13304,69.171074,129.3125,none,
566449.5,242041.08,926.01044,431.21878,213.80641,436.66376,90.04622,152.5793,117.915085,88.67827,156.04446,632.2129,2060.1248,1689.9401,759.01776,205.66583,74.42873,152.03108,42.992733,54.034412,110.143684,267.68777,237.88132,123.551,103.4525,129.49536,384.4932,216.99446,22.838236,42.23251,149.84782,141.82458,591.5582,567.3674,110.59214,137.76787,206.53236,178.6144,441.7681,532.2726,365.06857,44.86992,66.28076,130.8796,62.89555,101.07613,241.05733,233.04869,72.34238,89.77493,213.81212,171.47006,47.188446,68.84703,32.152187,89.47171,61.217632,72.567825,224.12032,345.67773,274.37177,146.93253,141.84541,212.6718,196.81584,258.1039,228.22176,55.646465,196.99857,71.85995,142.67061,121.59656,178.36589,138.9014,305.4871,355.8055,201.06233,174.39725,137.47563,85.245804,142.99794,131.27989,161.43282,85.03417,140.55061,94.10818,101.68676,120.021866,42.81125,42.394264,63.157505,68.57096,59.67539,51.197628,113.33335,202.13321,161.85072,92.047386,108.11053,207.06541,160.82562,117.54918,78.36508,111.35309,233.96309,206.5389,192.55652,156.5322,56.3121,22.607203,98.49378,236.52512,156.0353,136.0704,111.496056,300.30536,287.8814,232.76929,153.0404,54.80458,159.66887,270.90097,271.50656,458.20013,506.55084,731.29785,725.56714,806.5559,705.26935,920.3608,830.3506,754.5166,632.53467,1138.0092,2161.2688,5076.168,2770.916,1540.7179,1059.6995,515.2114,284.49,533.84595,344.81265,445.14813,357.48947,235.8169,149.17627,114.37021,244.91249,349.87436,265.34164,507.2149,64.82968,258.3878,343.13608,554.4262,285.26465,374.36395,273.04446,140.49037,110.93356,257.60464,244.30685,328.04483,378.848,280.9145,370.80423,433.8954,77.120125,341.04507,273.1392,372.49936,457.4009,540.11633,427.43573,406.22357,354.43042,184.00017,396.47028,644.1779,289.33182,700.0545,164.76001,26.713253,129.03787,117.274666,264.25964,242.60846,270.99124,377.95667,444.96402,373.1237,357.3122,429.4913,117.42557,202.30408,150.50125,141.45918,144.59402,90.387436,156.80194,237.51505,166.59532,33.106182,57.4858,166.87642,417.88235,343.9843,53.633503,76.79498,95.20072,120.285866,63.846523,42.100826,120.24222,331.88333,244.76334,125.71519,294.65897,253.90938,305.54865,190.19238,119.8776,141.83083,208.01666,208.65346,237.25385,132.47374,141.05739,173.24428,174.40962,225.19234,222.50417,145.2505,79.69774,111.50044,173.39412,172.04973,444.28027,99.334236,374.2562,199.3213,100.744316,86.85602,130.22292,231.56319,148.07143,192.6973,278.89313,189.31812,74.87171,231.99467,252.81299,362.27072,347.53073,244.30287,235.0,none,
