bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567176.8,242148.86,221.07542,4660.6396,4736.2617,1921.0154,2314.863,1298.022,765.2028,329.43408,365.40833,756.2734,1627.1061,1655.3995,514.82806,157.10165,398.26498,415.98465,865.2294,297.21204,341.92377,122.350685,234.3851,378.77213,266.56683,199.35643,277.9931,225.77075,260.69772,209.08723,160.25024,45.93201,485.0707,331.252,406.23654,180.81598,327.86856,128.42393,164.27339,259.8228,347.81232,414.83658,188.42795,143.04726,240.1668,230.1199,204.80505,123.43109,157.52127,244.68533,252.38785,197.4128,191.43542,68.08723,85.45088,34.910576,49.926624,125.10236,254.03223,277.56842,118.77423,48.02297,97.636375,147.68338,320.2553,249.87599,219.854,412.983,487.02237,442.57278,226.90738,224.89827,151.244,118.94739,176.53969,171.62483,144.3487,127.03118,124.69842,115.169914,78.03096,168.85002,324.3204,85.49614,63.408245,44.83201,136.27347,53.444874,209.37947,176.39882,154.35,129.42328,170.80524,243.09671,222.76799,204.45908,209.1204,76.09284,171.38062,117.41933,92.82842,25.54161,66.80139,50.430153,272.90515,308.85156,410.16003,400.44397,169.10634,96.391464,73.74049,175.67043,152.74222,252.93492,247.39017,445.68286,457.31876,362.01382,217.17395,64.7685,17.03087,92.790436,199.66672,640.90717,233.7864,94.79346,347.2709,532.7657,440.48157,519.1526,655.5254,981.7232,943.02484,1518.7649,2563.5693,4935.7266,2005.5577,2222.4082,1228.0034,210.72673,442.73062,342.5934,318.14243,340.38632,361.37137,515.9746,135.18173,241.6017,254.63623,277.9664,88.38403,389.36414,672.6482,600.84985,388.51794,372.02374,285.35242,364.64337,385.98837,229.10567,160.828,208.37907,481.1243,624.2959,82.93602,349.9775,264.15344,316.69217,91.987564,30.113743,36.512306,217.28018,139.00095,82.32662,179.60294,204.83698,284.52875,194.51666,267.07007,276.3921,234.35799,470.31107,160.60786,323.36566,377.0717,446.53867,126.07496,245.2599,226.06007,382.4235,550.159,680.0516,476.87317,282.75543,104.28294,163.7112,277.1034,310.45764,259.29947,314.431,90.74738,59.232117,281.21442,298.21152,270.08118,344.22635,362.59607,224.77763,198.53343,69.296005,120.216125,111.9569,105.83561,104.991844,81.236084,93.50144,101.0657,151.32254,114.650406,180.77745,296.9715,402.59598,444.50595,311.10333,308.61972,109.65477,8.225862,91.07823,174.12566,238.06946,134.75897,161.33113,257.28058,240.68428,119.78876,198.68576,170.75038,388.3493,481.64142,90.421585,154.47202,62.45092,43.995937,126.06226,127.800804,132.53665,107.515526,138.02039,128.25285,118.380295,150.0066,126.42434,127.01196,217.45076,170.23314,105.51004,163.1875,none,
567864.25,242716.38,909.2773,3586.2886,2909.853,1817.6393,1788.9266,685.7704,402.19266,50.550377,325.75766,537.27124,1247.5125,809.1311,619.551,447.72708,232.93622,665.1602,351.4604,654.3808,647.9918,361.96188,268.26114,412.54175,358.38934,201.92819,142.12645,59.46057,244.85747,236.3453,215.32477,261.1751,559.32074,156.11894,703.98706,692.88556,146.43161,289.50223,291.04007,251.04308,196.20573,147.21817,234.54985,168.66025,234.11978,318.57303,87.41973,155.67532,140.92632,168.30144,75.59764,146.56285,136.03316,148.0058,212.28876,193.1088,50.414898,54.224594,176.0329,234.12897,273.69684,188.68536,156.46132,187.26334,186.38885,260.6953,69.998726,110.847145,129.26039,239.51276,174.23752,140.14941,19.499437,108.10974,36.367485,137.74014,33.83359,7.0987706,102.94636,71.83836,69.63727,283.89005,210.42683,150.85703,33.198036,25.668867,123.52125,125.36299,260.1459,222.96638,33.00102,105.88075,105.59018,258.90887,253.73427,211.40681,276.42575,107.99913,149.288,74.77644,153.8421,276.65036,384.15375,179.38452,122.492065,128.66518,116.13991,196.39713,63.453846,111.651436,240.0129,265.88242,251.41776,183.30351,92.29179,235.13956,157.93211,278.72928,234.60167,194.889,148.57338,149.3923,432.94427,627.7434,197.27663,323.02173,182.00877,452.99506,630.9257,486.04263,463.4751,796.3579,1097.5994,1624.6448,2445.434,4942.9575,1927.1735,2451.7178,1760.4858,890.08105,960.893,801.51843,493.2704,384.28864,171.35854,516.18915,436.8537,662.94,470.06702,124.149445,203.75826,226.56493,63.30858,139.52376,124.05996,170.67917,219.18321,201.20976,132.34813,194.81267,294.51965,520.59326,765.6951,636.5743,210.82681,163.1856,267.57327,265.38123,330.66302,170.11765,242.2969,263.9379,225.27235,268.09476,272.23715,401.74258,422.5299,406.0903,130.86206,644.4251,760.5263,412.81534,685.2178,456.78488,230.63383,171.58438,348.18817,558.6456,719.2812,573.6796,308.05624,208.7387,245.1777,207.3013,162.46391,96.93424,108.86581,148.17755,42.932907,213.62514,95.91648,291.57153,524.8495,403.8236,185.68958,289.00638,181.09415,255.51605,469.32748,257.676,70.1911,217.93611,347.02658,408.34897,287.63654,146.69113,83.51705,121.51234,35.17999,41.56909,6.120183,254.19225,283.63568,144.56258,34.48656,95.25213,114.399376,130.8614,129.4351,100.142685,236.72737,410.16727,331.46204,163.88892,180.22852,296.08316,312.9241,80.69201,454.42313,334.83008,160.23079,194.78775,224.09978,170.04745,105.915306,135.51479,212.99171,270.99368,164.6499,211.34297,215.05832,93.20283,211.16418,288.3966,183.79938,193.26236,249.53125,none,
567253.5,242136.84,1028.7256,3800.3545,3219.7532,1957.0479,2927.7937,1360.6471,378.8062,691.6384,472.5821,230.5755,1270.7595,1049.9156,45.411266,342.33844,165.56024,520.84717,1001.30164,567.9883,241.23639,43.354164,272.89008,460.75323,509.37723,245.94664,125.88658,184.62201,71.34958,233.34123,108.528656,126.95628,614.0605,581.38635,171.71642,96.21352,248.9797,316.25708,137.12408,225.59023,282.39117,269.80493,334.9321,223.98042,149.48668,156.21506,110.97699,71.77124,108.197174,207.99144,102.59133,46.662,33.534428,99.63778,72.24145,155.70372,263.22342,164.14484,93.31024,120.033066,53.018337,155.13959,134.06854,83.90618,157.12263,238.5915,182.3202,85.073875,98.12705,135.06313,275.46573,288.3989,296.18597,130.27061,121.782104,300.79453,354.1461,218.01376,91.03489,145.80385,118.04801,200.00223,294.26172,138.11397,88.17722,160.84474,156.2258,175.03015,103.224236,106.94732,178.23663,120.31238,24.595987,167.99173,126.546074,177.17625,55.875034,113.57003,111.630226,14.584548,209.40494,303.75858,347.56146,278.18298,357.54434,381.9372,283.12183,238.08243,62.732742,255.67828,168.7161,76.64121,46.922142,46.072525,94.36846,146.06033,171.94807,49.0849,109.78547,234.36171,408.49628,442.56445,680.40265,701.7145,73.28748,351.4399,273.4137,304.46008,99.87152,389.25494,336.82202,519.02167,594.05884,1088.6411,2070.6348,4888.916,2221.353,2230.5579,1662.4398,1086.3308,1153.1149,946.6131,227.79846,508.99286,346.24506,549.2704,349.37936,579.3296,236.39194,64.69794,197.36818,67.91233,202.2981,235.48137,141.97073,291.6017,271.00717,338.61334,298.46735,315.07935,474.59412,552.7839,104.991844,258.79413,177.76509,402.8449,436.45007,396.64,346.99365,250.67384,536.77386,443.96017,55.673878,115.711205,151.17056,346.7448,452.9661,473.2897,520.93713,608.83136,324.3414,771.92816,695.8584,543.4228,184.22023,425.60855,466.24875,241.55077,204.29103,120.03577,231.26863,193.8679,225.26517,140.14447,47.082882,183.61336,277.78955,113.30318,91.045074,273.5842,340.50702,430.19443,238.13045,229.38742,218.89128,72.5259,184.79172,389.47836,200.58815,193.6205,94.21296,137.218,193.86728,178.14287,45.917946,83.04445,121.34963,85.00936,59.692444,64.643906,33.307514,55.455578,99.87601,124.38801,255.0699,237.28052,169.0152,32.829697,64.96978,190.36543,323.5591,155.34242,185.69748,327.94504,370.70816,422.21445,433.89346,441.45053,563.55634,89.99507,352.51358,208.06113,52.090908,173.31816,260.6546,272.75037,190.07463,188.0463,115.78325,41.94411,36.078835,85.28768,24.115747,91.355194,139.63089,271.79596,237.90625,none,
567466.4,242528.69,427.8135,3491.097,3532.4075,3308.8174,2247.2964,528.90894,538.95734,1195.8501,491.78915,471.006,1369.2886,1036.6011,100.84119,11.775367,251.30988,553.4265,722.9949,133.37604,617.8488,329.19263,153.07657,149.32428,56.737484,164.16135,206.36105,261.1422,383.1936,321.98306,95.28882,199.25415,749.47766,585.2254,310.30753,263.8352,214.52045,155.52498,251.77516,204.69095,42.086,168.40858,187.89456,25.431845,154.50195,296.0987,364.73782,336.11237,199.88739,135.89677,198.31216,191.07166,157.29141,198.4657,321.31613,404.95486,252.43472,311.6125,239.70885,79.88178,136.63391,123.57252,160.83752,204.89832,150.99837,120.25794,43.20631,258.3462,122.88564,196.74846,283.96622,181.96608,386.95526,459.48837,289.07693,231.016,192.68192,310.14548,331.71722,257.95792,186.44635,125.6058,129.10938,53.42397,159.62563,144.37256,90.33703,207.243,171.44344,184.13573,164.24257,282.8825,344.51477,298.55386,246.71762,150.46736,105.549545,203.63623,290.0917,248.57887,82.65312,145.6744,178.28062,188.54488,291.33484,332.2162,193.87354,67.0782,255.11603,413.18436,218.16003,78.90139,39.601807,47.573017,44.842678,322.7841,374.74792,197.50333,311.88293,450.64288,396.36185,306.17252,500.1021,586.1755,196.55548,458.43417,308.0143,369.64874,321.54214,464.87323,588.91644,804.9444,718.14966,1098.7085,2399.3362,5201.2026,2283.547,2047.8717,1177.5282,603.4732,256.78925,172.46066,850.5918,568.6538,557.29956,825.2626,842.794,769.4739,376.70306,320.21234,222.51672,163.83824,319.52805,536.64996,531.69763,501.3476,424.87912,436.18802,457.43854,397.34012,412.74417,387.9358,617.2963,913.21533,820.8378,456.06598,172.15205,175.38174,269.80685,294.7631,270.94836,359.46423,66.9013,248.23175,154.36621,278.36295,215.0242,291.6128,361.03076,305.06137,501.22778,1091.3904,640.9196,335.25577,497.7954,579.9788,384.92807,334.74597,226.2365,298.07315,314.78485,414.06186,230.20215,169.39633,57.577522,70.11342,50.89037,45.992096,188.84761,269.37125,198.02673,404.35593,197.58455,269.7447,330.24594,324.77612,141.19173,89.6763,243.06679,233.43593,162.88086,87.064995,165.82973,59.774506,79.37134,83.85983,175.50139,25.772802,180.32823,227.29941,97.555626,105.1742,142.9954,145.83551,88.98078,117.52269,177.70815,212.87643,117.27523,195.38019,229.48026,130.22859,136.69652,233.69392,341.97992,350.5042,376.6163,304.32272,501.7101,300.48956,46.273815,65.58618,94.45361,164.72383,305.29297,249.91399,17.980688,72.9996,98.86336,113.83277,68.80904,147.86559,171.51936,104.09187,23.39707,90.475235,47.53125,none,
567135.25,242257.34,866.38446,2291.3125,2473.0479,2879.522,2874.36,1685.5454,1230.486,364.0985,412.59427,608.2489,1500.5636,1004.9973,256.35934,199.82266,198.65463,210.17722,538.28796,823.0096,88.45023,354.817,322.31583,373.9179,428.76672,444.19205,303.53452,310.61612,321.10422,207.06848,74.91032,183.63423,519.27106,287.48868,119.207695,9.402798,231.10457,86.25906,93.4082,250.35358,516.24066,506.6348,306.78824,215.50522,316.6095,142.15721,158.05783,327.1058,188.76562,125.300644,38.744717,115.87727,81.448746,28.189056,72.64456,94.677185,61.145237,267.0841,194.59915,407.33926,384.05872,110.02219,203.25931,259.56494,138.13309,19.08336,201.0742,165.6881,123.818306,332.97885,328.81027,168.54436,437.32816,428.1852,256.65967,272.4136,329.31604,290.90982,208.58932,236.48428,188.43382,42.853153,117.803734,162.53372,85.36105,291.68436,210.80072,59.580364,70.622955,82.06119,308.65253,287.55005,120.70928,25.876503,65.41639,115.61347,127.8434,147.701,232.02794,284.20764,183.16045,190.24426,90.328316,133.73247,307.83487,54.777515,258.56888,363.7544,218.222,247.44221,263.9725,162.09454,93.56928,127.41443,111.540535,191.13023,51.266834,251.0231,275.30334,171.67438,127.48052,143.92293,544.2274,929.04736,275.5132,99.65264,239.2106,464.21387,431.54434,638.80365,485.20804,677.18274,728.3295,1142.5913,2141.6184,4956.8027,2392.1003,1995.2075,1493.5272,787.50586,984.7295,1042.0057,136.57697,782.7525,1069.3619,724.7633,375.9702,119.27149,89.99806,239.43178,357.75696,286.49603,107.479416,239.8627,153.803,107.549416,48.642418,90.33792,175.1132,322.80664,105.289825,238.97064,344.22867,737.85425,332.45114,42.20129,469.99353,393.82056,82.31659,68.89901,109.453384,235.06258,220.7327,220.36424,265.45462,125.42031,254.22688,326.79962,126.344864,109.89721,337.29175,629.72925,940.25134,426.05038,357.28445,483.8848,378.46387,339.92615,469.4996,402.48257,268.39594,235.0716,264.8219,285.19727,239.87473,162.58594,126.79013,137.75784,227.71425,156.37816,200.28542,319.44272,35.89918,388.573,444.48715,361.03012,194.52887,246.99924,284.87936,199.28151,125.06684,73.91714,196.7887,350.6361,116.36148,170.7909,267.4609,191.47083,126.20211,203.46048,182.25568,173.86768,187.17934,278.94034,304.57172,183.41801,99.2368,50.977665,189.15892,57.69155,58.03019,159.23303,265.21075,169.92824,53.921673,90.43288,169.19072,236.48776,351.17993,84.090614,379.98785,387.9091,259.2579,146.60739,184.01039,171.18134,146.91127,147.45184,47.25878,75.78034,109.90984,153.22072,158.04445,44.768112,38.66073,149.37613,232.25,none,
567018.3,242110.12,532.13135,1615.6195,2596.5112,2595.5825,1628.7327,695.0221,1493.9099,971.4734,209.36781,263.68774,1422.7661,1172.3711,169.73772,299.82083,328.49588,207.44482,249.81285,316.47086,441.5352,527.22345,598.73505,447.11243,178.31146,308.5425,194.17958,135.12227,251.20467,226.76755,207.35495,178.27702,473.06702,415.4268,181.90668,202.4888,203.83449,270.98193,57.261906,103.957054,105.959946,118.01797,91.72342,54.73671,64.87181,130.47104,64.42127,204.88889,267.8699,52.768513,92.21397,122.24501,166.53659,168.23592,111.11408,130.80421,66.70347,213.17897,196.34694,256.1113,271.17557,167.84433,153.03789,151.06635,239.41669,226.59653,165.09071,155.46802,229.55446,230.961,215.29445,100.526566,103.72373,202.49898,119.24281,142.28488,210.45248,209.11575,198.68367,132.95203,81.96733,153.87685,155.59483,274.53217,321.33356,242.37332,56.344757,158.9448,123.50059,144.32501,269.66907,121.629906,96.674126,153.5395,78.77201,22.40347,80.15095,156.28848,27.227951,172.25708,169.8788,339.11844,188.6973,306.6875,205.62909,166.06416,149.63828,196.38062,241.32153,315.6859,168.67879,127.95733,145.09875,53.898766,207.55597,185.14273,98.16118,210.3572,130.30157,171.63608,135.6149,129.60477,388.81406,753.2862,203.0401,108.24662,128.87747,354.5866,208.91524,532.37463,643.6177,909.6067,1066.2467,1483.994,2174.4617,4709.6597,1914.1818,2202.93,1621.7189,1227.9135,1444.5627,1176.45,193.25085,178.7836,290.4609,212.48605,238.96738,287.09146,423.1141,378.22223,243.25464,174.02103,103.14662,126.3219,136.52138,77.0496,65.10117,62.01457,324.60153,330.42047,434.50287,608.1007,890.5407,518.79865,183.66592,24.078735,306.1757,286.90552,51.043655,141.53534,194.12167,178.08887,161.91,176.77145,121.59732,223.84525,86.25787,248.80185,226.89859,286.19608,317.2737,254.15111,454.3756,864.3002,599.24,390.19135,323.35483,482.26685,611.67004,637.0998,836.4224,616.81824,399.72684,144.17285,59.65842,132.98581,207.23698,237.95142,203.18771,211.30963,179.44965,174.85225,91.98929,350.3399,229.53323,97.92447,243.15416,272.53226,142.58006,303.8131,448.28018,285.48743,107.06307,235.2445,168.99379,105.41936,56.775932,33.149174,141.61287,178.15158,295.05295,164.84238,119.81528,93.2279,158.21951,93.37958,122.11981,323.0226,192.82146,88.96424,187.49966,209.84247,164.14488,161.89134,119.08696,315.62323,352.2689,301.1917,500.7294,65.7964,212.27931,107.350494,201.69878,133.37543,36.59405,189.35078,225.96909,206.64346,275.0841,80.60676,90.115265,101.940125,115.52862,153.53575,94.727715,79.827065,42.9375,none,
567338.0,242376.23,498.98096,1213.7617,1185.8945,1429.983,1273.0323,297.41772,184.56566,597.19104,350.37476,173.25952,1354.2325,1067.2056,305.3667,239.32182,129.12862,231.10292,224.83786,175.71167,136.7787,309.7327,815.4019,855.5156,296.4245,157.44292,218.94841,247.53519,378.3846,378.31567,286.98074,324.45944,499.8045,285.60394,224.25159,236.48569,73.69348,159.82996,94.809685,212.00002,275.95755,174.99828,60.88421,216.68967,237.49023,317.15353,288.02713,176.31412,260.81226,230.75542,174.2959,54.93898,131.41893,99.89535,106.796104,60.713005,53.108654,109.84993,53.077705,124.79509,138.96172,217.57512,55.631306,209.85892,249.61661,52.503788,114.04589,211.03783,211.41716,233.02536,281.7355,459.47235,504.12668,214.24443,175.39705,227.77844,118.87868,137.76512,155.71169,149.21317,63.912857,105.501595,87.31638,119.61792,189.24887,225.69785,134.61012,194.19336,245.61719,169.65764,35.322617,78.181305,55.42897,98.533066,41.018013,65.99218,48.51529,181.17307,103.419655,124.9816,71.94193,229.18271,157.44212,216.7186,348.9613,262.57147,127.72078,126.85998,71.990265,222.06813,129.78415,79.19581,103.24682,141.47803,15.291275,129.71214,165.73132,108.59794,124.571144,117.347916,148.54597,131.28639,318.63916,602.9546,289.41626,490.18958,388.55475,459.54523,439.93356,578.8116,631.17126,867.1668,723.33765,1155.3804,2054.3523,5046.084,3233.2327,1454.3629,1092.5356,679.6465,524.0636,660.2144,559.55646,618.3897,111.193474,180.60085,152.14145,102.33878,23.810173,170.46182,69.61242,224.46638,219.6799,133.0572,126.89682,70.99032,127.89046,318.90277,453.08096,396.59116,346.17288,387.05875,557.2394,194.82063,636.66284,311.20914,112.103546,118.79032,103.74246,119.881966,156.25403,62.29367,52.049206,231.82874,305.38342,287.58633,264.13248,231.33716,213.24687,172.4807,154.77263,189.25648,240.9459,269.33948,499.55167,91.63193,885.12634,855.51544,200.8567,75.68363,288.23895,127.904045,181.88263,175.83371,310.9331,150.92043,77.74098,223.1954,235.37866,311.24777,132.66202,108.61,267.1349,216.131,96.55583,215.77213,148.09209,266.56824,184.85806,484.9613,481.77228,147.10349,241.4122,328.09335,392.41037,408.61307,324.36386,213.55415,169.07848,110.09906,221.06107,296.37695,215.8073,139.91428,185.85573,94.29064,201.69641,331.33755,139.01825,70.20779,132.15228,212.94905,425.03696,278.26587,122.16725,167.32405,229.50543,389.84854,652.56396,328.77222,204.88644,221.23312,251.12088,181.29498,67.05734,123.14542,156.37672,158.21483,156.01625,146.26108,85.62051,39.03375,135.59691,202.9091,88.46213,77.73331,22.25,none,
566875.75,242017.75,148.40126,1600.0576,1267.8064,799.0652,546.8467,322.42664,341.7121,271.7405,275.09094,464.24997,1581.4485,1167.6483,197.93877,115.58646,93.13622,227.13046,317.45587,448.7627,677.61884,969.5252,481.4391,472.56714,354.6249,311.47528,117.840324,42.23795,156.79971,39.473347,174.78062,202.44032,411.54126,143.17564,429.16718,356.91806,106.673546,50.777626,267.98264,203.88039,129.05371,240.14445,278.92105,122.54114,268.24753,146.91,257.69684,386.9674,132.98914,52.848503,35.532074,75.52915,44.314274,80.07774,89.68223,184.95262,122.655304,104.75391,181.11674,151.40067,72.36311,85.71607,157.0504,216.13362,258.0836,193.1852,235.47227,326.00876,320.91574,264.82794,204.76904,215.47977,89.433,212.57642,127.84492,257.4121,255.851,145.52052,246.64615,230.1475,199.24185,226.82768,96.46212,245.41948,140.57835,103.19253,144.58284,218.45293,215.9266,138.78833,86.44365,183.17392,227.96141,181.37433,175.18182,239.22432,217.86235,127.89615,61.758007,91.59128,148.167,79.372986,25.408218,150.94421,89.09393,220.50505,191.87843,303.6652,282.82944,294.36798,357.47882,240.22073,186.76749,189.03354,255.45468,213.60443,113.78524,111.85457,190.6441,142.59131,163.62962,145.72357,427.50793,379.87192,302.4853,591.16724,413.9173,439.37225,336.11658,486.01935,393.36386,950.35114,1248.8759,1755.4541,2458.1826,4748.1875,1692.3374,2491.227,1593.5964,527.2065,920.328,1145.804,568.22095,511.862,135.24884,231.44675,504.29736,468.95123,296.16,296.8181,477.41052,587.3156,429.33243,387.20383,403.16507,373.12125,313.50034,448.33023,261.13815,122.615486,97.95808,553.9477,926.5025,293.11258,45.454243,393.09146,314.5155,79.87058,256.75772,295.9121,230.71771,141.79128,139.00337,273.33936,385.25974,292.43683,221.34955,179.98181,135.5716,114.20425,127.54901,127.098694,408.2228,578.3695,73.81325,774.43066,387.68774,427.3344,726.3687,704.517,627.26776,402.7303,518.96124,482.07272,247.52916,88.465706,96.37766,123.6404,171.07292,348.5687,432.27084,378.04715,328.6721,306.6363,442.20157,328.35434,419.61563,278.11563,171.1361,150.04378,187.90334,110.57248,134.44469,111.261955,160.65459,216.9191,184.0335,196.10715,54.60609,189.14072,255.38185,115.148674,151.35226,153.3676,270.88666,162.24408,81.35382,135.1388,214.103,129.51512,77.75353,210.93024,204.89604,76.89855,72.47553,130.90971,204.94434,367.41965,608.793,150.83397,262.40457,293.73767,260.35822,70.55927,44.86105,48.714558,49.680737,112.67793,39.47344,76.7253,129.35455,120.457306,52.77957,87.3521,123.15652,166.8333,10.21875,none,
566876.6,241996.98,780.6552,1484.562,1484.13,1184.0922,1372.9276,940.69055,823.1022,642.86755,353.3057,543.5784,1477.804,1128.8955,259.8224,229.09874,326.84647,353.69302,182.49141,228.09966,192.22937,303.12408,861.8515,111.171555,291.05792,190.8901,113.39655,78.13404,115.17999,199.03871,155.80963,137.41219,86.51512,109.26586,494.93652,514.24207,350.66928,446.0096,316.01398,198.22365,264.05743,299.17197,244.48817,135.59087,249.29729,38.82526,245.29933,392.14758,82.533424,219.8212,80.70409,175.1563,99.338295,96.29247,138.48349,25.32111,247.83948,378.48248,213.72256,101.28651,89.19183,85.24223,110.04345,151.18295,174.44739,163.16132,145.16077,209.97255,206.56888,102.466484,79.84101,115.55604,185.02621,117.89773,32.06542,59.442787,149.09723,163.99992,178.24808,249.51479,378.53134,499.88196,434.84375,240.03413,234.17586,192.30435,119.06915,92.887405,98.34231,248.10904,289.60526,228.32024,153.17044,251.71422,349.61118,368.96222,171.48619,276.18024,352.0704,256.42142,58.771,115.60268,136.79309,186.47604,320.25287,194.7256,81.66163,83.451904,142.53174,119.778656,88.09094,184.44595,72.27844,91.87732,206.79565,306.11127,261.29175,165.34157,98.27624,97.12779,231.78006,286.62283,606.4239,673.4852,60.957115,269.38126,99.51218,357.8974,282.80685,286.8537,537.84406,785.2949,702.77356,1498.1792,2375.3538,4706.672,1858.8108,2512.206,1897.7233,1259.3696,1867.6793,1424.6179,114.52466,487.01788,243.10274,204.72456,146.90755,213.50902,303.43063,105.30367,44.83333,218.7244,90.88751,51.055305,50.67468,166.735,236.46251,435.53888,233.29651,203.5601,149.07683,113.62235,824.8951,720.0409,131.62373,526.3354,312.76376,310.60828,469.50897,327.25366,281.00323,360.18692,146.25624,169.3584,66.35031,191.94785,239.21071,408.83148,299.48892,221.42358,347.3662,495.58,335.2606,398.62476,1016.82776,924.4423,105.47799,444.47433,392.1905,243.0131,456.07925,325.17136,199.74347,171.83203,199.99791,81.5832,256.05814,230.7885,146.07654,159.4698,305.66318,176.94908,117.64555,193.18646,264.80392,100.31304,427.10492,353.68405,225.69112,291.27264,272.96948,147.42,144.57564,95.69923,135.01585,113.89903,115.339645,146.25612,37.734768,146.21057,183.96227,99.1493,136.51448,157.45265,60.410927,152.83827,118.66762,58.94422,63.080105,141.17023,189.22523,85.29399,158.16304,234.89677,266.67673,368.41516,198.30261,285.9957,618.7078,160.9588,291.15817,161.86543,162.68423,258.7312,125.675606,151.79156,273.61273,205.77283,62.247086,85.47256,99.93255,116.068634,201.27718,44.11569,223.53595,18.782368,123.21875,none,
567409.4,242490.9,447.71567,930.0374,481.8275,1307.1575,1486.9646,163.00505,720.6092,703.2043,436.5816,597.60626,1409.4204,1120.588,308.0217,282.09546,338.8447,410.60406,490.8889,543.53406,317.08112,579.1258,923.6645,220.79202,521.78186,171.43686,21.119646,66.15501,114.16254,84.96301,207.07326,421.26556,658.56775,399.65512,249.91168,289.8856,116.50181,232.36754,46.073776,61.926632,18.25061,197.84784,218.93727,312.76834,230.40758,141.76283,399.02194,156.48758,265.7772,4.775843,200.20325,152.79083,27.682108,29.389254,134.18465,103.21534,226.82034,287.10367,176.4353,50.310978,225.08429,332.58585,31.562185,187.50162,101.85089,163.94669,144.04623,245.9486,197.43065,158.47769,148.20348,170.67096,223.50851,142.98235,213.89046,272.4266,228.03067,177.87581,132.79558,79.08647,169.82103,139.86122,248.28813,308.5403,65.42619,40.614216,125.73686,171.49095,180.76097,291.3165,168.34048,55.897972,204.32216,300.33032,146.93423,265.58032,88.41121,168.8542,274.10278,212.50926,242.88823,144.76091,49.31928,101.198235,91.625244,185.31061,219.3235,158.52008,67.48644,198.45486,179.89555,25.744253,107.85087,71.19114,73.62597,66.20395,45.444027,216.61514,91.10367,248.93028,86.329414,151.82906,551.31445,819.9586,66.62095,365.12988,146.39322,424.17908,524.0473,464.15283,421.84897,799.3051,952.2894,1509.7805,2430.3022,4951.146,2247.5474,2248.923,1339.6578,480.09933,1007.0047,1467.1738,340.8245,155.30711,162.61987,254.88113,190.7248,86.870186,178.72466,170.6127,36.698017,312.47946,408.35547,177.4527,136.33632,223.37889,248.41386,216.34966,163.62938,293.94998,4.575163,519.73376,658.7818,467.2595,115.144745,367.5159,122.977356,127.77679,286.3862,91.892166,66.000755,280.88937,157.76352,173.98741,159.18182,116.166214,174.00816,128.24205,414.77026,264.0282,291.56195,399.82956,289.22952,321.19464,379.97897,465.87317,394.13177,725.4187,469.50583,113.37212,85.40701,95.07069,141.3944,115.47207,216.14813,370.78186,260.05582,152.7283,148.23453,118.25026,79.09386,338.1553,290.59137,191.40283,124.54766,181.80014,283.0547,407.23117,524.36127,515.4257,357.262,207.108,204.05623,253.58664,282.32355,309.18347,199.06499,51.94712,56.755363,40.835545,50.599346,155.23738,169.42802,129.72362,169.31696,165.82373,148.88338,230.77223,267.93732,350.6041,262.19604,33.636345,117.861305,117.07772,117.64572,115.59465,197.90614,420.72272,627.2461,265.38617,219.92836,335.8603,375.1853,353.6429,346.53244,305.35663,94.942535,152.4691,146.95523,117.75815,73.17311,42.086086,263.54678,211.82681,99.54596,252.94815,200.375,none,
