bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
566681.1,241862.52,539.7095,1644.9257,1885.8878,1383.4954,707.0354,353.33112,388.0792,448.11945,314.92212,158.36513,1502.4318,1418.1627,393.5285,467.23068,646.82294,347.15094,484.45746,293.75174,325.08035,231.19382,43.58928,143.67336,161.23497,210.97253,194.14421,280.3281,169.77982,60.818756,185.1619,580.141,783.6257,393.78082,412.95038,330.87527,441.00052,270.56116,107.963455,201.33423,432.24957,480.3586,350.80954,180.20985,183.8436,219.05788,276.2492,345.0755,172.18478,167.4978,157.12093,331.4625,163.51552,147.13654,117.303375,143.09103,158.06226,42.10973,96.363754,44.30435,152.26994,66.33401,206.5099,153.75903,80.026596,32.450584,143.92606,59.15329,249.7916,182.87445,385.06448,329.814,100.89894,185.98439,289.6109,258.32343,210.46933,201.57552,170.8782,120.25987,104.00429,158.23253,181.38692,256.53683,238.76256,49.525772,254.91455,385.17548,319.61807,225.0198,180.38968,197.83203,270.73932,221.64813,208.58301,151.6013,71.48948,160.27216,245.49037,251.5336,163.38213,128.2084,59.881824,229.51604,439.20746,297.08237,94.38627,169.502,225.97086,114.97783,210.1205,450.16055,344.22153,110.09554,54.947777,97.26586,20.64798,252.85268,327.23373,269.71246,249.04721,242.2636,343.8148,524.64026,141.45853,201.90208,379.78644,490.86905,222.6704,558.2426,580.4351,579.02216,670.5242,1353.5415,2261.6907,4740.721,2128.5251,2175.1528,1503.5887,932.2931,982.7941,1054.7867,594.2356,574.30963,498.11707,294.5432,250.34975,222.42111,542.9306,124.39903,88.96873,146.84366,168.36888,266.50272,314.72998,400.13098,405.4465,427.45505,540.28705,517.8232,197.11267,81.263596,276.98563,526.1601,790.0033,412.10175,294.45282,71.44973,155.7316,214.33447,201.70668,35.901546,60.604263,187.49992,66.67211,304.3212,307.62433,133.21399,457.49146,450.6736,334.35727,205.89684,738.22595,422.1448,616.4291,558.16614,218.60506,284.65884,220.59561,142.57742,137.44273,339.6115,378.46918,219.11342,229.32617,333.37238,93.090935,136.79178,147.9277,185.35228,402.60675,291.45056,120.73746,106.86791,41.108383,70.14096,103.92162,59.55767,177.01994,337.42795,277.28415,220.59058,284.49326,283.74384,214.26009,95.628296,185.5445,179.25772,234.58372,186.1946,45.39,43.99271,113.672104,222.4957,158.8569,75.23279,167.8824,214.37796,284.82693,111.37813,186.62032,168.6416,106.82408,194.71521,153.63156,364.88837,545.8225,438.44925,734.39886,417.9779,363.41745,409.0533,174.1651,229.94449,307.6786,120.32496,282.26663,192.82532,66.94978,35.356472,93.10333,231.42157,203.89653,95.654884,105.04395,144.37103,256.65625,none,
566780.75,241792.77,253.25955,1489.8207,998.84125,182.01727,347.71637,135.46112,262.2819,461.54697,245.24922,335.3265,1441.166,793.4559,300.9023,547.58765,323.3509,557.84015,586.5146,350.30252,246.2268,77.168655,102.281456,221.63806,212.7321,269.40048,317.1069,261.86993,85.3578,100.14344,427.89886,537.4725,763.473,910.0515,161.52129,276.46054,154.55347,261.84814,159.06256,271.9371,110.50518,154.74019,33.39453,49.652313,43.31607,170.30768,190.5585,130.42921,161.02003,223.77658,52.418087,140.66516,133.38235,160.65442,139.11562,134.4545,162.01465,148.4511,173.14098,178.16019,18.738447,77.43988,125.904655,97.66346,52.58553,25.298367,36.04277,174.90697,215.97688,204.44456,360.45776,313.00327,75.71339,159.68748,119.02057,76.08804,163.32158,102.39724,144.25648,154.02586,65.82607,169.3153,292.10034,212.10951,39.17721,102.43482,39.169323,85.68821,85.78446,130.36548,209.61543,315.96478,311.87912,189.67026,98.77694,36.66362,113.031975,92.44587,70.543625,132.28336,277.28732,246.34647,185.05913,188.19556,29.34273,174.98723,211.23843,171.75279,199.09857,153.53249,142.92833,45.579945,113.31262,188.2233,293.80582,224.27328,15.12929,84.0436,283.27487,146.01646,191.87476,346.41302,583.3439,710.314,273.52173,133.13783,196.12584,437.40573,414.77502,645.56586,709.29016,644.7208,633.8811,1318.6075,2075.0022,4991.3643,3430.4392,1434.9683,1350.442,677.2877,353.66492,703.33044,372.8726,577.24347,328.4572,259.29428,485.18918,576.9347,239.1121,642.8497,691.411,651.0731,403.74078,234.72324,263.5625,361.7662,327.4404,295.90378,76.33103,189.02179,211.26653,121.28925,78.88126,280.3238,779.28455,791.0648,132.73483,243.22408,258.9537,193.97847,187.56685,245.32616,198.22041,374.46112,304.35678,269.1244,278.72577,570.76514,472.7856,459.4363,624.7365,143.54176,713.9176,826.15405,451.705,169.85373,121.93476,160.21342,124.19524,191.88089,81.72269,138.07759,205.89552,111.609436,90.849525,317.2146,431.50983,568.2277,608.1581,350.6968,245.48244,210.77522,219.72145,82.89331,107.53155,205.90826,229.11888,147.12697,136.03772,34.70897,48.786526,126.06282,192.09912,61.61221,51.47643,72.66796,22.441793,159.37479,108.1636,125.243324,120.60215,114.71355,84.78369,127.89596,70.88138,208.16771,181.43887,111.013916,8.588926,78.664085,173.79509,152.08293,195.5025,112.15374,158.25359,358.5649,482.88583,524.1813,662.4833,114.11545,289.77795,86.15033,84.20643,26.091793,19.570192,147.34361,129.93283,85.41794,91.258835,179.23018,289.09598,154.94328,87.99717,223.54141,311.06894,220.80177,59.46875,none,
567216.75,242343.02,465.3315,1667.8893,1833.826,364.63464,349.19547,218.90527,191.43523,567.2027,261.3545,384.86966,1588.3453,1208.6451,91.05001,188.36673,394.75372,666.3424,286.45636,668.89984,545.7966,30.871996,131.67609,281.46088,332.29773,165.68788,361.7427,183.37282,130.4695,116.82155,221.93822,233.26082,725.78436,669.3175,124.4609,222.36877,366.5575,181.47581,177.34811,193.52856,108.38986,114.8631,79.21602,145.99295,61.155888,162.95537,166.89584,53.502785,69.23761,15.449995,177.05258,161.44785,36.85254,140.40921,112.08443,112.107506,58.287994,212.35175,124.36374,73.03384,122.60202,145.65327,56.21686,135.85162,258.68918,252.46587,180.76178,155.41197,29.27462,120.96249,138.05577,165.4156,22.151224,158.98352,303.43466,391.2104,362.05823,267.93735,147.35443,70.21244,140.42166,119.83169,245.18051,340.90076,118.91707,132.63974,91.354706,112.431656,184.57664,104.34666,126.957405,106.22225,77.05326,160.80054,108.84663,147.89932,96.59544,44.77491,58.759468,3.0683365,127.97,63.242683,202.86841,269.605,350.2276,333.00928,210.50778,252.80655,233.04802,225.16379,218.29636,178.2938,90.310356,193.939,154.1444,193.08594,250.24869,194.22112,26.16513,196.32616,138.28143,150.48782,414.51453,738.4729,136.02943,126.44592,69.615234,302.26266,377.76196,624.90985,555.58923,805.1657,995.9175,1507.8506,2185.5005,5000.821,2572.5203,2217.4055,1824.9447,842.45447,857.6035,806.11957,202.01816,234.41536,288.50827,439.8536,252.35681,209.76985,296.9007,655.5226,318.6249,301.33917,512.6226,295.8272,139.66441,219.4142,120.028076,32.577534,52.179676,99.84687,54.024734,184.34393,278.78253,202.79597,265.74393,480.14447,437.32825,244.59018,70.44441,317.1475,152.4959,337.7288,431.52063,382.18234,511.91245,343.705,273.6571,473.46472,341.09915,293.30905,448.4869,623.6551,489.50565,178.44295,346.03012,354.56732,367.748,269.67664,258.20477,509.32318,442.2287,91.89681,220.09465,218.5192,189.00337,135.45703,124.17147,117.12519,356.99524,285.7721,162.76767,323.68472,262.49832,142.62404,47.164944,66.396774,192.68282,59.522827,119.05263,238.04735,201.60739,29.637154,32.303677,18.454739,64.01948,61.13583,78.674034,274.45493,364.27826,283.342,73.6214,80.746315,60.82794,214.32002,151.20486,96.292694,187.45789,178.51508,101.704666,179.43942,238.60942,124.49863,128.43347,133.30006,253.95195,104.579124,199.78236,275.1648,463.43457,56.22084,561.8793,465.91595,208.2581,177.01898,113.829025,52.027317,50.45096,67.97663,51.382504,14.814901,25.461195,163.66513,146.40057,131.99983,210.93553,30.84565,201.75,none,
567002.94,242198.89,534.3128,1377.5308,2104.1694,1243.921,210.01483,192.87665,346.73422,374.61304,365.59933,215.26292,1558.1445,1264.0763,444.49045,831.9428,628.6965,373.11987,457.9272,488.75854,232.52188,50.1175,258.34476,177.0506,79.584854,106.50487,109.25604,202.34904,282.2571,460.94418,525.7328,434.5997,451.8027,185.66,264.58328,400.84686,358.94714,271.29416,389.25043,245.2439,138.18567,182.91283,175.3304,287.6794,262.00497,224.00423,198.89464,182.17168,202.56891,159.5402,108.0333,160.86517,260.57242,205.26521,183.87926,204.22421,206.15431,275.1544,215.44217,340.08664,219.29999,66.59928,23.702778,62.20431,161.16998,87.94408,164.33607,108.11929,231.37097,214.64209,279.7041,263.9337,241.6634,154.73854,157.35735,249.92088,151.88228,233.93666,178.44505,130.80313,110.10581,123.25125,221.72516,170.08131,85.06031,188.60274,246.47488,114.2417,42.650673,92.98164,61.173767,175.15817,294.78336,296.09677,320.31323,340.32504,202.58043,68.54982,79.09396,65.6823,83.929794,70.304596,80.012505,19.034563,228.28265,200.95575,151.49442,112.89737,150.50905,108.70522,208.06183,266.068,266.18863,89.403435,33.286873,99.01278,75.51431,166.10403,220.21944,167.04874,231.19203,326.38522,417.83917,481.5187,132.32355,502.68906,448.37317,483.8093,409.16095,454.60898,423.28937,640.45483,859.76263,1214.4652,2001.5062,4941.432,2684.8699,2049.8582,1587.1307,822.35223,846.5948,714.03564,138.52394,85.89738,233.85663,602.33496,298.90988,70.18789,235.96571,230.28711,471.17377,425.85278,332.66034,143.98494,277.15295,265.2305,185.83548,172.03668,199.7609,190.23549,388.36816,265.8707,419.5212,636.2014,412.49402,339.28113,390.9384,357.21802,231.14651,178.49033,340.95587,216.77739,397.79852,543.3039,439.0995,163.30884,279.55173,74.56602,320.36963,544.88464,482.72357,309.44925,345.55087,244.6972,335.54922,399.56976,364.0155,108.74704,303.8084,226.2151,473.8838,498.17368,135.92802,227.10379,141.13731,42.401493,199.20525,335.06873,484.3628,402.9161,280.11633,281.44882,174.02318,148.76706,156.72752,75.98273,219.33832,362.05286,180.18211,215.58247,240.53856,135.37906,92.99735,87.71193,120.41277,66.912125,116.14191,131.82678,241.19902,149.05467,33.440495,147.37863,86.340546,93.92557,138.49367,122.50612,16.019865,171.4928,178.99773,266.69537,369.1666,168.51791,236.80423,227.48436,257.59174,138.7164,263.32233,463.05038,723.2574,419.24768,164.63751,92.87625,289.988,264.8291,148.28511,34.701897,55.96395,15.180644,109.259995,166.16382,138.09196,78.396034,113.27398,178.0324,154.55415,164.94287,42.6875,none,
567027.3,242022.33,325.60983,877.374,1080.702,652.644,349.61163,259.77438,353.17447,174.7583,184.78651,367.32956,1706.5118,1371.6775,490.6097,660.61365,518.90106,531.86597,733.99005,409.9685,185.77426,190.45584,237.36395,325.79657,294.00348,274.27567,238.26573,159.2079,109.51686,110.48908,232.8773,478.95474,500.2569,425.3428,322.45728,295.92834,141.69872,119.74862,154.16821,193.04573,296.13394,261.53738,199.21928,86.87316,240.88708,187.37968,200.17859,161.85452,106.041504,89.05677,57.36026,61.08502,174.77388,211.7032,191.58832,288.63443,287.33765,328.45166,238.99985,57.751434,166.79146,293.11813,132.47604,60.713104,71.07012,25.840107,104.08823,22.914467,237.52638,157.58757,250.0103,306.08743,192.2661,287.4276,262.05728,314.0771,352.45123,169.65456,102.72519,163.46361,192.38414,208.21979,253.86989,247.51065,215.57707,54.374935,113.29362,30.350744,57.934998,100.825714,54.217213,139.2047,205.08405,188.72011,203.15114,290.50555,284.69705,316.73648,221.90768,113.14143,92.4751,58.142597,53.09666,198.19907,339.14868,183.57788,146.91846,251.16232,267.27866,229.73491,205.98296,192.51869,62.15551,172.37247,52.36243,93.47025,133.21233,190.51677,102.631134,147.86223,129.11572,255.1787,329.59375,364.1438,146.83359,561.1445,325.50333,453.7447,470.8417,531.19714,640.5118,957.4665,630.517,1128.9719,2228.6372,4776.2495,2352.8108,2229.0437,1635.1625,891.7985,704.5348,818.55975,513.41595,439.4563,136.63028,394.77835,477.7431,304.80353,310.64093,327.4287,49.5162,67.68057,263.84967,449.48798,304.82193,321.07483,284.1783,279.16663,342.28854,469.7876,195.16998,273.56558,683.3698,451.6265,211.791,98.75615,68.2684,162.3137,155.12053,273.03946,181.1557,234.61884,163.57716,32.338253,261.5828,12.942421,380.5124,207.04788,93.750626,331.82715,561.70984,220.57399,248.7189,469.605,243.51076,135.48521,512.90045,498.3174,467.13925,649.02496,328.58035,194.64943,248.70276,358.21408,271.64743,248.55374,38.091377,148.83983,203.95885,102.54503,48.407055,342.7158,225.09773,76.523224,125.09441,117.30489,337.61447,227.4612,127.747574,275.29868,275.99582,246.79344,216.34149,139.72876,107.70938,225.37196,227.66779,141.45154,14.123103,353.7098,246.21513,48.450474,38.550735,183.32553,218.47697,223.14531,331.4275,197.91364,41.808784,46.132908,249.55951,328.85416,257.66165,198.04507,219.65192,209.77864,230.28165,328.66827,694.7654,215.99138,314.26544,146.79243,241.80045,27.09174,32.61748,117.72419,135.64,100.2586,131.2926,300.24576,223.07587,199.22435,225.14209,73.73318,145.27728,229.76022,40.0,none,
567340.1,242393.39,265.0563,1054.164,488.98764,482.76334,176.47957,685.6074,541.71515,377.9218,320.26416,176.94858,1585.6128,1060.6478,63.526165,141.89737,279.23346,548.21716,46.952656,589.20935,432.8692,340.5815,293.94925,136.45233,172.95331,38.391937,193.32214,99.91879,59.552547,88.77168,53.60424,71.45158,270.86072,91.97885,417.0238,236.0913,231.75749,277.4911,327.3575,162.99031,207.24345,316.31082,185.58154,76.64033,96.00356,67.69639,96.360146,104.09516,73.4046,117.55913,168.1302,83.136116,85.9694,107.027275,261.27365,305.5871,122.98768,107.662476,100.04317,71.91008,210.16629,338.57364,304.0334,251.92589,174.939,77.39503,16.075205,20.66371,223.90984,182.2688,234.35301,233.50986,222.75458,253.13622,302.94418,389.54068,168.73972,108.95894,121.75866,198.78326,105.33448,72.85622,71.99619,77.10048,80.85491,73.73453,163.78354,241.23375,325.89603,257.97507,136.56976,35.9896,310.4131,335.67188,236.88213,177.15251,12.945854,77.09654,25.244572,42.36604,59.32818,138.41856,243.4692,230.32462,69.46237,202.72066,412.33072,335.90594,324.65533,248.32578,226.41547,201.01053,49.870945,308.63443,283.35504,174.5405,109.76987,123.37187,93.380295,207.2259,330.57812,375.50443,502.37683,577.86005,78.1135,291.24072,270.31403,478.5524,419.3063,557.0901,588.44006,866.06915,760.1122,1027.0468,1655.4269,4538.667,3107.9897,1480.1221,1241.6057,462.54648,568.7265,461.786,446.23837,618.05,334.20712,114.913734,146.02072,300.80295,574.448,651.7928,178.36638,353.57315,177.76936,180.47536,206.0062,335.05487,279.86075,189.67152,233.72931,490.65152,499.8481,308.82495,304.1364,247.81253,225.00415,327.4715,196.92587,340.75964,454.2046,233.35562,201.50676,234.63615,129.47496,394.38724,447.33365,70.35381,292.46048,138.3697,342.43448,773.8908,778.2805,261.5668,358.98816,210.60468,643.44714,440.35718,195.2897,132.93808,98.82107,80.52078,327.68274,293.2085,89.94061,140.21497,111.33293,3.6476264,418.26932,408.8309,54.05908,156.22998,253.24025,200.01205,108.70912,70.01402,215.03079,135.16382,118.111,262.3064,243.08755,112.157936,130.9008,131.28691,29.921833,177.67065,216.03638,165.04716,89.76729,96.54828,229.06546,242.24704,37.95013,243.47273,406.81537,179.23009,177.59036,257.6974,138.95645,69.869,74.16098,114.286705,55.730453,153.33583,257.697,157.16235,51.10848,123.349144,169.06343,442.70834,859.2186,316.95706,250.2812,224.76958,220.93747,218.19678,147.8026,89.9754,148.52771,182.35355,75.41158,204.82257,210.98512,164.10422,155.3486,239.52867,196.51804,113.71535,124.65625,none,
567170.75,242382.81,785.5692,1100.3519,1229.0693,604.70905,378.75308,309.7371,323.56958,162.59038,146.88011,354.88443,1776.7416,1361.108,205.26529,485.04755,727.0432,82.00947,447.14636,341.53055,502.18958,435.85577,203.24716,62.08271,111.16325,300.2157,265.964,121.04352,81.23435,205.33122,265.9084,106.71863,313.7137,479.65628,306.80347,191.03722,46.08137,84.60041,219.51897,276.90765,271.48312,309.34558,163.24675,179.97328,134.91463,196.27419,78.94985,70.99466,126.64348,50.90855,82.65263,168.78085,44.788353,61.430206,181.67554,59.2109,131.89581,261.15906,195.1119,82.933105,79.743126,132.73322,34.21976,120.97234,151.3803,230.25826,250.78581,181.60815,190.15674,270.5468,280.59808,373.70892,308.97507,267.4569,188.06499,222.25336,125.79521,102.99864,36.17887,77.50541,301.3485,272.7945,127.33835,215.67834,143.48378,135.9851,144.90085,56.775726,281.6105,268.77374,68.981766,64.83847,113.364914,187.10394,185.3652,59.136726,32.391148,67.97643,149.30058,235.50659,244.99686,118.69105,165.7791,56.94072,264.03943,192.02345,321.2332,238.68222,303.3543,256.5335,189.93408,324.85178,257.80246,51.777424,63.84868,157.55156,241.3087,267.8966,191.1248,127.88636,263.30972,299.1014,507.70944,720.79376,77.92035,422.3394,297.73877,465.03622,583.65485,724.5904,356.9175,693.9075,870.5475,1194.0127,1855.5297,4636.1216,2527.3032,2043.572,1732.041,807.40265,926.5643,1068.3207,60.109592,720.55164,599.7006,642.3241,416.16568,509.02032,250.08511,463.4045,244.53468,442.61865,272.34485,246.82216,294.57053,253.20648,261.7747,124.99161,84.07045,292.13028,46.42651,247.93126,302.9431,186.45697,637.10223,783.73157,271.4898,251.67538,129.8465,242.3406,220.80319,467.48077,150.26437,187.30234,110.49683,59.586323,292.31976,425.08008,108.855896,432.50143,803.9858,195.43997,437.82587,837.09204,598.6637,308.51855,272.5405,119.630356,65.65514,140.61246,191.47789,131.56688,77.078964,44.944088,164.12283,289.79102,244.19307,210.23709,393.99902,121.04654,116.635506,140.40369,105.981285,186.67227,191.00572,159.3747,176.06691,141.54353,118.11824,94.410484,168.1684,162.69974,207.51884,211.85371,184.40941,234.44362,231.35626,231.05054,144.62437,97.14584,64.4492,123.11211,241.95407,205.53938,136.18361,205.40929,207.3255,100.47751,132.36218,145.85614,169.85902,84.367355,120.04901,156.4999,253.11514,156.1964,227.97101,355.784,726.8697,466.1236,15.250402,79.26439,109.06704,130.15796,156.87856,193.00826,95.77302,167.3381,146.96109,26.47139,145.11668,22.973213,234.83676,258.1852,146.49414,153.39412,308.75,none,
566908.75,242056.28,348.84402,622.7877,1099.2037,1120.6936,372.61563,201.4099,289.8634,46.76252,157.62033,186.9063,1463.3866,1153.2886,61.27134,669.5995,868.88696,294.85233,273.62247,205.79146,122.65768,145.53952,97.24559,132.42207,113.06709,274.23807,307.04605,301.43332,164.74419,208.37746,440.74692,551.1919,734.07684,542.7096,139.90959,194.9415,228.72574,62.995228,210.06996,422.54092,348.57877,209.84134,169.70381,107.38759,109.88601,348.6648,252.14412,216.48654,310.8462,287.23862,237.2177,187.42825,61.62645,126.45715,148.71426,17.878767,123.29572,198.63069,120.05559,90.43543,86.645935,165.85233,64.15312,80.39073,345.40027,349.84137,274.10498,44.045963,104.784645,294.78415,428.39908,266.20056,204.80408,233.077,275.2768,307.5236,250.91371,274.0822,326.29828,174.17003,94.58638,218.16971,166.53477,18.425844,39.412346,71.33793,122.348366,129.38812,252.36536,435.76624,323.4329,104.96737,52.014496,46.825157,48.36219,193.48412,224.0032,157.24239,165.19656,212.46417,91.073326,200.7496,275.47235,62.51746,289.53766,261.37146,208.32912,134.61996,20.56106,109.603264,120.03522,162.8495,122.37061,250.54405,359.91846,405.6045,301.73145,255.31555,269.4129,183.86256,59.236877,241.7564,484.97128,728.5161,265.10788,322.16656,290.82892,365.0292,169.20079,458.45856,618.9385,924.85297,1008.26373,1391.1493,2128.2021,4649.529,2378.1414,2198.7786,1832.2104,900.06744,932.1675,973.8306,544.07245,399.52936,99.06825,404.37643,419.28125,658.5292,730.7659,425.5428,454.5723,397.91055,190.1932,79.50893,97.84494,291.23618,133.52641,222.42308,368.9342,392.6894,351.80856,269.23557,312.4677,587.49713,424.80917,135.2836,338.21564,61.51199,369.14963,491.38608,269.50537,397.91885,305.47998,139.66913,113.3457,134.28883,114.825035,326.64163,614.54553,731.24493,400.1716,422.29926,189.4649,372.20068,290.0853,477.14523,571.18115,282.64224,73.799034,158.96889,203.84857,81.4065,100.6709,327.98834,263.97028,30.455147,270.4239,173.05637,280.21982,215.0549,156.09366,332.6491,384.4587,530.81854,423.2832,227.8703,171.64941,272.3274,292.65732,124.65262,187.79507,367.65128,196.57346,139.71446,186.78497,243.8976,286.9054,309.62018,266.90094,183.94196,124.63811,85.26774,82.44821,183.12198,48.64365,183.88655,40.333614,166.94185,211.25525,180.40836,132.835,186.88411,268.2462,266.3901,56.781822,82.047165,181.48465,466.81,657.64655,150.09781,420.63037,365.40207,87.25048,61.87195,90.579124,114.4986,183.0777,173.45312,140.49951,77.9578,158.66089,264.89197,285.5334,189.22191,163.26932,318.3912,194.875,none,
566667.9,241930.98,468.42044,321.23257,833.3822,891.0308,642.8243,210.24779,146.9739,296.50897,303.3616,597.98834,1867.7712,1507.9163,154.1607,39.519165,815.58276,806.5401,228.17313,260.4315,277.39813,127.48129,93.940765,212.08318,271.42538,256.78915,233.3373,305.15634,353.3907,198.58679,204.71135,267.00278,745.5978,720.0821,490.56796,181.82947,80.86769,111.97471,207.8231,167.89348,278.19092,176.12117,180.22038,128.61238,79.4132,130.89905,108.42163,172.16924,181.1468,26.552118,215.9563,302.16068,108.11649,287.21967,328.07535,305.05365,188.21155,80.22659,232.18068,207.29259,296.52377,252.00937,154.33383,74.06124,253.3014,239.58217,93.503975,204.2542,510.66098,342.04834,159.6025,189.06268,110.296776,45.071167,99.304855,115.6891,65.0988,120.9954,76.25269,230.0259,203.27174,269.87497,246.34296,203.57199,122.52048,57.706932,59.807987,52.990524,156.93704,217.40736,85.06755,154.47336,49.379364,70.993355,169.69078,93.88236,34.95384,141.52565,139.10663,174.5995,174.11827,272.87234,317.83194,255.93686,370.6158,291.13312,111.13986,184.96518,42.16225,96.861496,117.90943,149.66718,60.32375,51.638577,129.04448,148.31647,122.91397,46.375717,67.33599,114.06721,193.01936,127.46052,156.11832,297.24548,295.1444,536.086,272.44507,500.47104,517.1901,640.96655,555.4794,923.1576,1043.3817,1556.1716,2379.9817,4743.9565,2225.3386,2016.2191,1036.9425,358.3896,228.4027,566.61096,298.5557,451.65054,117.56395,414.453,332.43936,165.6599,534.3208,867.69446,559.60333,329.40887,135.16763,146.7722,284.6246,430.68875,430.88748,438.12415,135.1622,169.48454,277.89175,327.85257,474.63007,70.97769,435.27655,539.27466,504.8674,339.4166,336.88934,466.04706,264.26334,172.90714,247.98814,411.42624,471.01538,428.86298,322.1402,338.4513,545.1397,621.3581,749.9398,939.2044,492.46042,401.78586,204.50737,287.86795,291.4028,358.93124,411.74286,440.11615,416.51157,380.28577,380.46658,179.99367,159.82603,415.2691,294.58435,177.50148,153.94386,39.91399,170.08519,450.4322,524.0888,443.40146,236.59612,283.51273,280.58133,292.0253,247.97458,187.58105,91.27711,52.421703,323.1287,359.59753,129.72185,138.56812,121.66312,169.54549,292.58517,183.46867,55.650043,95.6856,98.02195,112.0628,226.3649,231.67227,371.54694,301.3959,355.86288,272.3009,191.66522,236.96819,269.97757,254.20963,321.83606,204.31664,198.01886,264.9487,651.8186,90.988304,487.93924,470.11633,352.8819,285.42722,279.49448,109.06671,140.29578,104.94954,170.46414,372.06595,314.80902,373.20535,260.7041,178.49423,141.90619,267.32047,113.03125,none,
567036.1,242421.78,630.4533,768.1319,1691.3733,1699.8746,1014.27167,126.79037,592.0381,385.3,217.6186,599.9953,1919.1586,1388.4336,244.14546,246.57982,897.4647,629.0563,359.7237,427.3217,297.21136,193.99817,304.9515,350.5007,351.3477,237.13083,74.525734,75.47334,96.32775,138.0501,154.8704,315.63568,892.2306,613.54694,364.99222,315.1849,209.80771,274.30264,161.4578,142.2585,201.01192,185.46512,104.387146,212.26979,197.34947,27.455276,101.29151,134.14627,234.39572,43.567936,225.9112,172.30846,27.253284,164.16852,211.50438,236.25874,401.12686,184.8283,157.63992,115.25903,89.305336,115.51089,145.16289,80.29412,76.65779,85.08079,222.18617,232.26079,93.22706,230.90492,91.89882,143.61555,201.49367,81.31742,87.62489,242.00316,301.05695,202.5932,269.13065,186.55112,130.86713,228.69247,117.43309,161.33917,172.17758,52.88413,131.81567,125.35192,136.34317,140.02335,198.6874,114.39834,35.690147,147.17812,144.1845,105.998436,41.75549,170.01395,176.28683,6.588817,187.2742,231.30002,259.8715,224.4677,108.72183,144.53566,80.42913,213.33295,343.75098,303.61032,183.34108,151.91272,132.64098,205.8667,122.40893,66.68169,81.31001,81.649376,43.90533,54.672447,32.64731,118.7018,382.99765,409.2568,140.6509,564.41364,476.01846,690.5181,471.415,682.921,660.3423,651.21094,515.23535,1151.0267,2018.2677,4606.8887,2582.861,1959.176,1728.8855,985.80194,1154.3351,950.2603,210.6384,420.1286,99.97314,287.08386,389.5105,127.11829,652.2997,23.101788,327.36554,588.46783,568.3294,445.94568,329.82388,359.65527,294.4038,530.8618,525.56934,448.42923,331.09903,116.74542,221.1351,511.49518,927.1734,474.39072,328.12338,285.7521,555.4753,512.4134,193.42148,277.8414,281.55844,118.546455,202.87733,266.33267,179.62901,97.34409,174.69467,510.9229,858.2561,735.4558,172.19191,524.31934,647.4822,357.86627,239.50777,324.40512,359.77,320.53314,58.422035,120.80082,130.329,178.68326,101.92417,166.08846,283.33087,239.30058,10.195319,228.80215,378.37973,146.11499,273.9671,235.30971,302.85956,342.2924,267.9211,257.31583,111.15914,54.94058,213.72423,238.53238,249.33856,279.76675,195.74953,189.15579,117.33868,151.60374,74.43077,200.34778,221.57236,85.21119,161.4974,170.16205,113.1863,233.09648,144.06728,193.3341,314.9847,316.62576,293.8848,218.81621,248.94208,222.05962,268.75992,325.4916,379.36978,405.59937,701.23096,340.3923,90.99382,61.78381,193.7954,348.065,295.51874,168.47821,156.88075,142.9344,101.769226,179.47012,77.716385,89.25588,153.11456,111.94728,185.9277,134.54219,270.34375,none,
