bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class
567565.1,242333.81,860.9137,893.3652,1018.15533,287.46658,446.98276,107.5486,349.35727,298.40466,43.7125,621.507,2272.9211,1707.1967,269.7531,205.12035,159.07541,172.98769,161.98225,269.01,95.720215,78.08107,80.78927,89.356064,20.38491,68.24831,129.7471,181.18468,164.70381,185.66037,102.6365,97.540924,185.46228,281.0278,158.95337,49.934082,131.98991,190.58176,89.79614,137.19447,47.547554,97.61362,63.09138,49.433292,114.36595,132.78662,224.2098,79.16333,46.985794,89.66935,136.12166,156.31543,56.372093,67.742065,114.525085,110.05094,96.8511,174.39728,136.96426,88.88856,201.32408,334.26727,142.34033,225.21829,142.82516,69.40493,65.81476,111.04129,136.97237,69.93188,76.21057,88.38825,177.34254,248.91574,111.27896,68.0511,117.851,88.74127,111.866035,118.102,170.2842,194.95763,165.64433,163.43802,86.87884,97.72102,123.373245,276.85938,164.96399,146.4789,73.95838,129.38329,166.85011,91.368706,107.201614,47.45703,85.09158,59.5714,92.53688,71.18226,71.532455,60.31168,99.22609,190.16005,194.51308,221.86534,329.8549,286.89313,87.27755,53.425945,46.870617,125.748505,112.11881,64.4607,25.583267,87.16089,37.242367,142.58199,63.329086,59.976437,227.7535,204.45268,130.20433,43.351105,53.826855,177.2707,193.15224,258.297,296.5012,254.43991,276.28217,554.98987,805.71014,134.3111,371.8598,139.57558,207.31822,206.72218,251.8471,251.92006,220.00766,139.35455,76.427055,150.18832,64.49892,13.984806,168.20526,253.00911,319.494,323.83646,240.06381,194.54027,254.03822,178.82767,220.20766,264.56757,291.25598,197.84285,136.72725,56.557205,89.84711,182.24634,245.75717,395.94894,561.0061,245.62476,117.53292,414.73947,384.58795,776.8712,1008.65967,416.93945,682.9564,876.4227,449.73276,751.85236,494.9678,170.26643,285.58246,116.952934,110.57231,27.053701,71.041176,31.03409,84.77844,78.574234,70.851395,104.37748,118.44595,221.605,347.40256,312.55826,253.02586,137.4505,339.81915,156.6038,80.373825,95.04965,118.248726,169.4303,124.030975,70.00522,126.73552,164.64494,167.30983,205.07379,197.30644,118.545654,48.60757,138.05275,142.17154,185.05133,214.5899,274.0708,125.333824,192.31335,113.7989,123.730354,78.83123,70.267296,99.16863,201.04066,136.68845,180.45842,207.65631,154.84958,69.250046,74.94539,78.05491,163.59413,219.30788,173.41325,285.2664,139.8205,96.23356,236.27592,290.31796,313.7714,140.66643,187.78444,243.40454,191.33604,175.05714,97.41288,36.590744,48.984356,82.46949,84.87357,139.27081,110.531044,76.48971,116.30912,255.31319,221.06021,177.4114,217.04553,232.625,none,
567335.25,242369.16,961.6445,1843.2029,1624.7722,501.38492,161.87708,306.31906,512.4988,499.8116,493.9366,341.0613,1826.8815,1502.3773,294.282,166.29079,191.98897,277.44342,269.28558,362.03864,315.28082,186.4054,185.32396,229.56082,306.6419,339.04346,117.23518,180.08229,156.08647,90.34573,171.24135,128.67737,79.36945,175.5371,183.03893,138.43832,91.36609,127.81578,4.5016804,52.786766,177.34528,260.9713,208.92535,69.825806,104.14298,89.39249,104.783005,211.3673,146.50557,53.223488,157.22462,111.70575,58.52665,24.601103,87.32315,86.569115,88.93559,61.415295,96.48026,146.00899,95.21226,85.98671,78.18191,56.71738,79.83178,55.791115,176.57365,245.84703,178.07323,36.416756,42.679337,30.219791,33.475136,213.02097,238.37018,162.69969,175.60535,210.877,170.78642,125.995735,92.760475,196.57031,260.9181,220.70769,97.02566,81.91242,136.94673,74.57117,28.336626,134.45848,203.13612,241.52834,213.6754,227.82057,301.82416,231.60265,184.3052,182.48712,134.1153,175.36774,234.24571,273.659,337.63266,171.01633,177.891,103.73193,25.497606,90.537895,117.58099,174.90288,217.28664,235.54811,147.85753,90.36663,135.29414,82.55561,52.171593,127.23779,49.109444,170.112,148.93675,52.092712,93.42206,166.3584,186.92137,90.01343,61.64681,74.453636,154.09209,100.3678,183.06366,588.7913,1005.92804,337.21188,275.3695,161.42809,123.77283,259.62524,20.566957,122.47184,79.82211,105.79719,234.69415,251.28069,183.49657,210.7455,144.51819,61.298557,171.16588,143.71194,195.79425,243.06772,260.6235,209.19725,181.86021,48.34924,315.47375,313.98868,240.90738,245.30069,220.89946,144.33928,194.36642,297.1676,427.37643,575.6373,702.4333,412.73917,337.2102,734.6587,177.65144,194.54535,417.99692,1063.0046,391.0979,444.48932,328.1689,328.42184,694.51575,659.45514,366.47482,320.97443,344.1523,223.80151,184.6506,296.18817,190.85124,69.38425,98.21686,211.34036,370.53693,152.04701,164.39952,150.88957,198.84279,165.24408,110.82127,184.08467,134.62888,142.80092,95.94619,107.0468,133.38472,233.77695,252.16962,225.33641,178.52086,137.57954,173.02156,99.11101,60.449097,138.30707,180.51604,168.82431,273.49686,175.45035,88.58127,74.04011,41.35424,149.52475,92.02424,199.3255,150.95746,68.2411,80.22038,87.42149,70.08224,205.05484,171.60152,143.34938,243.45883,217.61069,217.77673,198.35164,173.04402,177.23158,104.603645,123.34359,162.24472,212.36028,98.83636,174.32985,90.79768,55.115116,44.805332,92.246346,97.77601,118.65243,168.26247,188.65773,289.85992,345.3107,215.95015,144.81685,105.48692,67.31868,137.0,none,
566882.5,241703.0,1047.7606,577.14856,948.34015,508.3822,422.32614,315.98877,387.712,255.861,239.85211,322.16913,1877.3374,1390.4131,152.22266,169.12422,115.59681,48.731003,59.80808,102.01489,73.94379,86.563736,94.430405,113.18548,310.64233,339.33038,82.94826,91.40245,46.360874,87.22741,66.04853,37.603256,62.673363,113.79379,83.32893,104.19325,31.517584,68.712425,127.32501,200.5351,104.12596,52.789864,111.97834,124.882904,35.875496,121.898506,43.285236,26.058092,133.96153,105.61707,57.639534,77.15729,65.81362,17.283838,63.378696,61.86118,91.87734,93.214966,109.92533,90.17972,45.794228,145.70653,135.53447,19.607002,56.67026,24.981308,114.87113,127.73601,56.41153,91.43732,121.3515,125.45688,180.86482,172.28252,116.46615,80.658,79.65302,24.53996,38.123005,38.92407,66.503586,17.46979,52.08678,37.7052,206.87547,236.13596,205.83781,180.89116,111.02384,51.623974,48.712795,144.61533,70.07694,187.86435,125.779686,87.097374,57.618176,66.48973,51.044262,72.188484,94.12155,67.37382,37.548576,133.32838,32.47953,96.77969,123.67357,50.32748,90.895256,53.694138,59.98114,77.04115,45.6979,65.65098,85.962296,155.84155,290.49847,356.65277,175.78508,93.127426,149.32039,213.22485,148.62247,56.035652,206.30403,244.64151,196.2932,118.213905,210.60858,374.6314,386.24356,476.53494,865.6954,236.2575,512.1204,382.63754,250.42694,229.03453,92.37772,350.10263,299.645,138.01152,63.14469,128.61147,116.02813,193.65752,71.856026,113.662926,157.75351,51.793385,54.803226,98.7529,194.34406,72.542145,101.31007,61.533398,273.9788,260.54904,256.60074,230.7721,176.5104,97.81599,419.8687,546.1924,372.99133,173.35544,734.0782,1201.3909,966.1189,1230.3372,920.70404,1008.92126,897.63,656.88715,776.2566,545.73047,856.02234,480.78098,202.70143,336.61636,317.1382,174.65413,170.77913,121.92709,222.42752,282.8491,291.33517,156.46255,209.82077,193.84503,186.40256,229.42403,173.35182,17.110119,121.78152,142.04074,112.36028,169.71796,274.905,268.9209,156.67635,99.87401,128.97565,109.86987,215.98546,136.01802,134.52586,83.17091,135.64667,247.36678,252.48297,308.78656,160.8566,81.91235,64.67995,109.15489,147.96796,133.01001,142.3324,254.79355,75.525856,287.94962,183.55794,194.04054,148.24072,97.919716,150.18835,335.23456,238.71494,209.379,230.12357,232.36977,113.88146,26.059961,23.323912,110.575966,243.21974,163.17366,32.58995,70.38134,108.18765,214.69423,279.49725,126.61486,111.81421,194.13441,96.84675,124.87549,75.17474,95.19667,31.904259,74.45341,107.64386,167.34454,250.05585,182.33623,156.15625,none,
567769.9,242459.36,830.2436,1103.0103,839.3355,325.4349,592.11414,295.03693,36.359135,327.17682,436.88535,174.62737,2035.8784,1770.3477,311.67355,132.81416,206.88123,21.685867,80.75113,248.59958,208.86653,135.0897,93.817665,53.72321,188.86685,263.31287,131.66975,105.28129,185.50919,137.47357,135.25912,99.05092,140.81868,161.41583,61.036583,42.656406,46.263077,186.13422,276.65527,103.224976,88.95943,69.645546,138.6555,94.63903,93.88092,175.81628,146.45102,24.111694,57.799248,144.64684,19.864985,122.1009,187.92067,180.12679,215.60054,253.50998,189.16501,40.033913,141.8976,266.95078,275.26926,109.85783,15.343717,81.65728,69.75838,115.665436,90.90335,109.91052,99.9176,27.471354,78.07191,126.509125,246.99997,178.00383,92.92603,118.39602,113.0269,133.26544,146.14667,50.091064,69.59573,163.32246,175.4733,160.2311,84.31118,209.06944,140.51244,147.54741,185.31534,98.00311,151.85228,234.16537,143.11665,156.7432,30.363575,85.12062,171.06737,255.01613,196.02457,164.18552,123.28907,98.28044,119.684845,156.7458,109.23351,87.95669,64.891365,70.82155,197.83954,236.64273,193.61086,122.612946,111.20131,74.50873,83.11337,46.53702,57.242638,178.7625,154.59427,154.41838,264.8239,253.4882,144.89906,161.71039,229.91261,56.662476,110.56919,74.01556,34.367832,102.07168,179.93245,358.31076,733.1531,259.53824,493.95892,327.3359,86.354126,145.91275,33.72069,203.56871,140.9197,160.3108,171.41367,164.98582,171.10608,205.84106,96.15398,128.66235,230.98636,160.76395,89.743484,85.32927,64.08472,146.63626,177.15527,94.1571,128.43806,358.97867,414.87137,462.18088,87.219574,145.19057,352.55066,360.28027,300.10837,753.77167,887.09845,321.22986,727.7024,687.0806,40.795494,792.29865,895.2133,82.05649,759.181,1007.50366,490.09854,241.05374,143.34239,75.96272,239.71873,160.47208,43.615345,48.82664,183.28139,270.27335,233.21152,60.484985,27.453487,199.998,285.10333,132.42361,120.43496,264.40695,234.04225,119.59511,109.556984,113.10292,116.35543,105.137566,110.415535,148.24908,102.42136,166.92941,179.83234,30.36074,42.11004,102.14443,107.778755,180.40181,180.14613,60.16702,184.83147,188.46645,326.15396,307.99588,174.59186,111.68711,146.03404,104.90431,142.03314,280.612,268.77237,134.14989,199.03848,134.01727,102.659904,107.24986,94.243225,155.61607,161.90788,54.833385,150.58307,125.53307,292.19608,326.23798,175.86615,2.2584646,59.56314,41.97537,96.25386,206.81236,203.26582,84.72807,134.70386,32.577213,33.13565,27.20954,118.37659,114.68483,106.59415,87.99894,106.03126,80.66661,7.281395,83.08254,78.59375,none,
567275.25,242306.88,1461.6937,975.5778,1404.4462,910.50726,377.19467,264.91782,460.17957,553.3843,500.53354,382.3014,1971.3033,1310.9714,351.77728,98.51216,18.903421,187.55867,242.48434,133.26491,137.56674,135.40375,115.62002,125.11574,70.9532,149.1329,91.34323,213.45303,315.07626,136.93141,140.07343,168.21822,134.77263,170.9029,111.22341,143.94725,160.82724,172.0171,118.825005,4.695994,163.31879,180.34006,85.755196,15.510601,79.455185,252.63324,312.6239,217.53236,257.27127,151.17451,149.2526,27.495047,73.184906,48.39991,72.208435,78.61233,154.6919,218.79228,228.94499,262.2477,201.86809,107.51078,96.734634,118.365,96.08594,109.00275,116.115204,22.430676,139.75374,146.92767,106.35551,215.76912,229.91814,162.29692,183.41106,102.80193,50.182682,143.47383,229.09879,153.10942,216.71288,194.23949,190.77971,209.82152,240.70088,251.62053,131.0377,162.85117,220.45485,64.46431,48.28111,72.98071,232.5572,315.27734,148.24344,88.496704,182.7733,94.24321,180.56335,246.25432,272.08093,217.98456,176.6609,138.66122,119.050026,73.63678,156.87355,198.63908,43.145363,50.39902,60.704506,44.487137,124.0057,180.02838,162.27861,174.37912,179.98245,206.38132,145.48857,69.60794,100.49619,103.53462,151.85605,76.89473,42.30657,89.91841,136.59131,169.10431,138.0754,44.88039,185.6008,499.6236,802.28687,255.90465,503.73535,350.50583,295.74075,179.82603,268.19473,213.49443,177.66576,106.0273,60.954998,42.313316,48.465225,34.34774,91.70491,187.73616,109.17762,200.43622,206.3592,207.6696,225.77011,98.99641,59.952774,174.03688,271.44757,101.824814,238.07735,250.10025,28.553768,76.56051,136.75067,30.26169,289.093,200.20383,341.3138,752.0583,509.81693,815.4674,820.49945,868.07404,861.89154,837.989,696.4826,427.94516,684.87445,548.7117,195.5288,104.70256,47.480896,182.50883,182.14778,66.466064,168.4426,287.2429,108.00836,156.85478,98.40286,74.90126,255.54134,243.8155,153.02261,179.44841,311.91913,304.7793,309.66245,98.60049,72.168365,12.192898,41.310394,92.4402,196.87221,10.82273,30.810268,139.92557,93.933754,48.431065,64.47079,27.979673,145.46333,190.15205,231.15916,164.95468,91.66111,56.964172,140.84842,289.2597,240.11975,288.994,272.37308,165.93962,181.98143,211.41843,322.19238,192.51598,30.47798,107.59149,154.9331,108.69267,172.44547,253.2346,278.3511,187.00961,271.72003,296.60968,42.86661,109.26452,239.87692,236.10345,161.3274,92.504105,172.14583,209.74327,183.18109,266.79517,390.86148,406.81314,400.66043,227.42899,171.3932,60.110435,141.26195,163.59756,256.02917,256.11084,6.28125,none,
567849.75,243042.22,1001.2895,471.2762,1159.2058,215.62416,216.25842,365.801,403.9792,363.7701,411.0552,510.23267,2044.3741,1643.1475,342.26523,144.0897,272.23712,420.19098,56.601974,159.2026,152.38765,156.32709,164.3248,147.24272,153.23146,59.114952,67.93305,168.03957,107.20444,223.26256,234.55745,43.20287,81.053566,107.7909,170.01465,131.63863,52.033527,57.71213,9.200363,19.86993,77.460014,59.21476,91.3386,103.52154,95.079124,233.95868,42.447155,121.828156,184.25992,161.0507,61.15002,118.50879,138.56017,107.466644,83.53956,231.71613,212.96193,42.7912,84.75562,119.968124,117.46959,128.64885,73.949165,72.084946,79.06683,132.0965,100.4938,206.3955,170.86931,131.46771,145.81859,50.271366,97.617325,220.45618,298.39105,337.19104,268.92703,210.23251,48.497215,111.09295,230.9986,182.32614,130.45131,86.89482,49.474667,91.51219,176.60149,228.8672,306.12143,247.06763,87.42783,91.2761,214.83629,144.74525,102.295525,72.20647,98.26728,149.76785,145.63728,65.514725,22.53475,127.97228,113.42794,127.2164,147.20982,135.95401,280.49045,309.16428,150.2613,61.74173,151.96973,134.84167,75.67089,104.09893,115.266266,128.06946,194.31505,105.26691,184.14293,377.0791,327.3723,258.8363,277.24634,81.3315,81.6194,173.62172,134.5628,143.457,109.31343,245.0013,349.3707,453.21036,942.0344,238.02927,481.87286,271.83963,303.88702,324.72983,97.78778,84.75995,157.19273,120.374916,71.83012,57.662514,156.81804,208.09642,176.50858,10.092921,65.494606,274.99146,174.72366,77.65756,52.32081,148.99907,148.39377,178.45218,233.4974,99.47251,94.810524,209.50249,43.583813,220.0811,61.69597,197.77625,463.80872,656.8002,413.35043,49.091698,365.7982,278.21298,631.7019,147.64345,582.41754,253.34766,775.0978,517.05096,326.8609,450.827,304.0718,82.05256,163.44672,267.01965,147.9356,193.7686,123.22906,93.38712,175.71368,126.55568,59.878952,115.76346,53.550323,169.41287,228.29666,319.4445,149.4172,259.45035,40.323483,215.53204,210.66704,110.1706,78.50209,147.94167,159.13228,102.95692,104.358696,23.264362,124.45888,25.34438,55.007236,126.18945,112.436356,74.470795,80.126656,74.08198,64.704636,29.549196,48.409893,274.88712,310.72223,184.0327,73.29622,87.740974,138.56139,273.1873,236.56992,59.145412,76.12087,184.8097,90.44839,207.32532,190.70197,119.47179,22.276802,87.49472,79.55843,245.60672,156.06813,204.51395,246.85724,199.97516,175.31337,66.37103,91.46113,152.39365,205.65761,262.484,151.96422,27.735626,213.04523,206.87115,193.16092,320.1319,222.74274,98.28338,123.81921,203.36925,291.625,none,
567068.9,241887.66,91.65447,960.844,945.67365,458.03452,959.0853,609.2462,347.2652,229.31325,213.92242,382.2734,1846.7628,1527.111,237.61722,148.23105,148.1899,144.99513,382.4707,173.56493,85.64458,158.22786,209.76118,146.73093,67.48854,230.09502,175.422,192.90108,220.41399,271.6221,133.61798,152.92685,158.32349,167.2409,93.39743,132.52144,127.57904,106.33311,143.65355,194.93658,82.74595,191.04991,161.30083,59.54324,71.181244,126.26217,156.90298,72.66451,24.610409,21.94655,108.05991,179.5642,131.0289,159.43816,136.18945,47.81875,164.75063,174.1356,183.64738,246.67656,176.16689,182.3591,158.49417,63.8163,13.698923,224.30144,218.31802,15.784442,120.88181,146.66031,120.62078,29.253029,106.73537,184.12209,249.9813,73.41773,56.099968,43.547028,55.230278,108.145485,185.54723,126.45612,54.737988,69.43077,95.53888,63.73692,118.790375,100.973076,125.55687,203.0851,248.83195,128.15381,154.94572,163.94276,267.76065,173.86009,155.73581,79.79873,57.759567,7.8521295,86.46376,220.00099,169.73871,25.853477,46.986156,82.37776,118.99904,198.17686,165.59335,150.15443,282.2288,258.05222,93.07741,124.080795,47.023174,139.79808,83.457565,50.24835,93.273636,153.60567,272.5064,214.31693,255.76381,35.91442,51.60661,192.99147,342.0348,299.5855,290.59326,336.80972,389.21783,567.961,1049.2662,402.33685,404.362,247.57654,194.242,284.78503,231.3005,238.30948,165.33139,195.04015,213.93265,128.31883,204.86172,131.80429,194.63715,269.71158,163.26425,153.8598,275.0987,77.44373,140.63768,190.75244,230.8489,134.42516,82.74237,39.862118,272.04654,319.7143,295.89197,489.9659,529.66956,197.45575,222.75713,379.20447,397.67322,820.9065,859.3972,539.9275,400.25073,674.7383,310.03598,648.0365,791.70416,453.1071,498.2641,750.8992,280.6706,95.92697,110.385025,172.89287,467.43057,333.81027,241.90427,115.013466,175.38406,172.22594,70.311165,98.92487,246.90678,319.34235,144.45462,113.165504,201.60277,187.46663,252.43817,240.59152,204.10753,72.78665,59.780193,12.499794,36.383987,32.914894,126.492035,194.93166,148.92514,198.59164,265.0154,282.00815,107.16797,29.513048,44.055347,18.102652,81.031364,89.52849,166.73029,245.40865,116.8254,91.71349,106.99984,203.5882,137.59033,214.37747,242.00739,118.61463,112.157036,234.993,265.03494,140.30742,48.71764,69.24032,73.58713,170.8853,118.80197,122.045715,75.86944,207.09976,215.7837,132.26315,120.67538,135.65126,84.682816,171.98631,170.59222,72.459435,105.87088,124.58213,58.3447,42.739235,126.13613,251.39272,172.54262,174.05328,42.88231,160.70601,170.25,none,
567876.94,242717.42,673.05835,127.8655,997.56213,967.43524,188.73254,454.8346,418.23285,443.30972,211.91113,336.0327,1911.105,1655.3528,299.33957,154.77895,67.53009,74.0886,199.3629,145.12685,70.953804,136.19199,171.73543,37.73313,125.353294,169.8462,43.98696,120.09578,112.13967,133.63303,223.4796,255.1926,125.21964,109.76241,111.22141,109.97825,103.28399,119.27027,109.16787,71.9907,77.33792,75.44714,67.08003,188.08278,148.75623,137.27113,274.46106,203.65659,32.95672,51.923203,86.09425,137.62653,82.58084,67.63091,84.76469,156.31078,96.51208,57.299225,157.94386,168.85478,206.49635,170.42853,141.54839,147.9299,224.44843,150.808,85.34302,56.09227,248.93254,330.72308,252.00014,203.1251,156.15169,54.797947,150.98834,196.15863,179.21207,201.8788,190.97505,143.96082,133.61673,113.94561,91.82404,166.24504,268.76157,333.10852,242.64917,190.80997,109.0954,52.259724,193.24936,130.49301,157.80597,369.71198,398.78235,239.51437,154.6811,225.48502,175.754,131.23772,168.51036,58.71016,36.976536,50.89576,119.53718,242.8881,98.99898,80.256325,39.33827,93.918625,214.80646,153.82176,172.65628,64.37749,171.93977,290.4522,247.20045,202.563,219.76938,123.954216,173.75125,93.56268,133.86636,212.23929,128.6618,215.27328,239.12689,96.598076,66.74443,41.08947,304.5645,579.0917,878.7404,46.460125,499.82117,260.7632,128.67015,159.58652,368.43558,233.36761,261.3812,325.0951,188.52539,119.456696,186.33827,48.325314,189.31201,232.02554,75.623344,206.67693,177.21304,237.8815,48.51217,214.22934,166.42146,217.57787,226.8843,85.36608,222.57727,231.74574,159.3702,51.982857,413.57825,446.74918,200.74857,379.45358,307.85626,348.4371,142.76067,224.75096,338.82086,451.1269,685.80426,388.17322,81.861786,130.84326,248.08719,425.73944,310.91452,130.13925,157.93878,40.116882,319.6168,276.0751,213.8632,81.57324,96.40672,81.471,97.00399,226.33148,251.88239,303.3546,168.0934,157.76349,195.63136,182.20071,289.75894,165.9611,273.0879,179.13011,114.54915,61.38234,152.33127,213.70296,161.87695,44.156372,83.24554,29.496778,171.75313,35.51448,160.4434,67.40898,61.69945,101.66647,151.4702,208.39117,150.4683,261.11893,225.558,230.90227,338.36633,226.02988,81.69293,68.480225,141.55113,190.89726,89.10195,178.40363,200.23657,229.55588,168.3681,215.51677,242.18146,86.92504,88.890854,186.51271,128.88872,40.66514,134.349,73.69146,235.8694,345.97702,203.4408,97.22006,130.75157,140.71863,110.83499,131.49197,117.61093,12.864125,145.30968,113.82669,250.99878,315.33694,91.91204,93.85923,2.4375,none,
567881.4,242539.77,397.38882,169.18831,803.961,205.1517,90.88117,168.61769,213.89311,442.31924,366.71805,777.08234,2443.8726,1891.2773,484.82773,281.08743,192.71745,170.28125,79.904526,148.57127,86.82472,133.38799,149.42926,170.39198,115.784164,255.90443,118.498825,92.404335,226.91463,186.20032,99.90151,209.01723,181.87505,49.497627,122.37959,42.583332,40.119568,47.59622,167.3867,161.32713,143.20712,171.04897,126.05975,38.955948,98.4854,177.27861,134.5229,284.88702,193.50818,85.78326,125.58101,17.82026,128.5795,183.31575,188.14215,103.356575,39.628975,113.84716,53.60019,78.31403,80.15708,18.030281,135.12076,115.28877,98.61686,72.32579,149.46527,199.88211,334.68896,239.5319,114.95727,76.58326,202.33582,100.60497,67.04737,153.6119,410.77396,235.06477,190.32504,193.93266,89.02146,147.3647,198.999,194.2519,146.06,18.272127,100.511444,60.840004,100.81001,53.59229,110.52971,66.88484,101.033,218.08575,80.830536,102.11448,268.6377,98.25552,88.165085,107.51436,60.227306,183.17131,144.15224,265.44916,250.78812,49.63394,134.56941,13.585913,61.257008,58.63399,200.6456,106.299385,65.61792,147.59181,62.805977,25.784122,86.9138,91.46568,254.42067,55.651398,156.22224,305.4351,258.8016,66.00165,105.223305,179.2279,160.81711,66.510025,76.776886,258.30798,427.92575,676.9142,1016.0904,283.57382,418.32422,175.7591,210.64644,264.8646,140.07748,153.98825,231.33014,228.51921,177.08067,282.049,278.95044,275.0889,172.03453,88.3052,47.50583,140.41269,189.21512,203.5129,46.670746,63.752205,40.246727,130.76685,347.34003,335.68002,276.65182,327.5813,165.82855,124.28511,322.57883,298.83514,197.37659,370.5108,473.83487,617.19696,649.1869,547.1367,550.19525,490.13693,182.52861,223.83377,568.8728,471.83835,460.6544,527.6016,422.72696,553.0095,502.92386,507.86853,426.1673,162.11797,339.46933,391.4419,142.50987,89.748116,274.8294,262.54715,111.16329,81.71893,37.570477,109.9218,141.42485,117.032074,264.54764,132.95195,30.783003,136.28618,193.26202,174.66422,48.25293,162.90643,43.36838,56.936016,116.4043,177.40318,83.90919,67.23898,130.7047,108.94319,61.193733,132.696,252.76945,171.52771,97.83563,197.0364,94.26236,216.317,128.25002,169.81168,187.79848,126.36777,103.978134,81.85751,41.769836,39.350426,240.87245,162.07596,89.40491,152.34128,188.22531,103.08697,103.06641,111.74647,12.003225,148.03107,257.72632,133.17154,63.24624,60.69008,36.083435,206.86511,338.44113,127.48819,134.23209,117.38072,75.54472,60.04566,62.2171,32.106308,124.51944,22.503588,224.75954,250.63379,238.34375,none,
567296.9,242003.44,316.9294,1094.718,448.2364,84.51488,143.24626,306.61725,303.46643,360.72473,316.35892,344.30682,2081.8674,1606.9554,176.14864,266.18597,385.58124,379.18402,241.86995,51.995132,185.88022,58.32698,157.25467,158.19443,354.65695,424.6505,229.65001,190.74867,197.61752,148.00117,193.50827,115.31645,182.09314,198.83035,112.66422,104.102684,175.50757,99.92823,188.57724,166.41312,110.18424,125.20117,69.204636,161.81499,172.98615,54.827206,139.62157,39.7299,61.25823,189.20769,220.3853,170.7194,187.1819,136.19812,128.08885,63.043285,12.328631,147.68967,128.17015,30.262115,90.74438,97.28724,58.683197,222.64932,264.37567,167.0604,70.33655,82.331924,55.516605,43.75993,66.27016,163.4519,84.89197,115.50057,114.64441,108.48532,325.57394,283.355,102.862236,69.63802,89.57763,210.64362,204.28267,42.365658,236.84088,156.25232,42.607853,114.54218,166.0309,142.33669,204.57054,302.8487,322.83206,243.91794,218.78702,196.13359,116.96983,32.798637,8.990124,99.72218,224.3362,336.25446,213.94347,84.29688,119.21341,21.256838,124.505714,97.06857,145.0245,114.02973,307.72147,178.20149,176.29202,137.0675,182.38383,206.28545,215.8108,248.63657,271.5637,82.312485,121.42361,146.05493,94.36216,69.40767,108.67089,143.29156,186.10046,216.21542,209.84358,240.06136,325.78748,499.62683,896.98486,230.35406,531.30585,322.38705,254.01262,330.61475,116.56861,99.04007,116.5714,178.5909,75.34246,75.30324,131.25856,222.0759,137.06122,125.44672,168.59402,67.32956,100.47616,9.007375,90.95159,83.83736,89.26967,72.28559,131.19807,254.45601,211.92259,185.05902,153.38405,185.84344,112.69877,104.55481,74.561615,308.54495,664.848,828.5535,829.219,643.1594,73.98143,389.12338,430.4827,80.02828,696.1816,415.91953,360.71378,722.3708,538.1956,268.71442,18.186672,28.116215,45.098442,371.26978,509.95648,286.9113,92.4016,174.23561,116.92652,41.72093,164.56993,165.84642,227.05862,159.55783,96.68032,154.81418,190.8279,139.09415,153.61902,73.219154,175.16127,188.83107,93.2763,47.420208,142.4296,42.5116,163.0871,195.35086,94.90563,17.093384,52.0545,135.12338,183.71802,177.6708,172.01239,230.12288,103.27239,145.84283,92.528534,290.28592,213.26596,116.494675,207.88516,98.36867,94.0067,131.6611,87.2674,136.43208,157.59886,100.588844,179.46571,56.99035,254.71935,149.96306,108.73711,35.23102,96.50857,104.19719,246.18225,198.87672,99.35669,138.32082,132.24937,204.5937,260.49066,337.2053,345.32477,308.33698,233.96085,171.47202,164.75455,144.61168,133.44215,76.343475,157.7523,332.40915,293.53125,none,
