bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class,frame
566852.6,242217.48,5024.773,14076.289,12225.122,3018.5679,1501.8796,1543.0164,572.8391,878.5755,759.23535,382.8467,2175.2783,1760.8322,364.74396,129.19383,263.29544,233.49217,298.1201,414.0341,275.79358,185.93536,58.731625,93.087204,321.80475,215.60637,97.40612,148.04706,215.2787,144.6097,46.72325,36.478073,75.79098,127.338585,211.41788,105.79114,124.367874,179.89938,40.34454,49.520626,145.49341,125.544174,70.75312,88.705444,55.372116,50.897957,78.01002,44.152412,64.83473,156.33928,173.16032,88.155106,110.04213,143.36592,123.8647,153.08853,110.02107,187.03159,141.69226,59.644337,151.88301,149.78256,141.28226,130.16191,136.2472,206.86499,267.82278,272.64197,276.50882,275.4045,248.60574,109.16107,132.5484,171.97466,143.09634,167.38678,111.47326,22.749958,163.73848,76.3941,110.03792,86.80705,69.36631,94.665344,158.58023,102.99339,68.71288,130.24982,202.54527,226.89137,126.1218,228.92361,220.33383,143.23663,152.43066,172.47003,45.424637,238.72556,246.22482,276.688,229.81248,150.49525,125.40271,368.88605,316.10983,195.45718,194.96742,244.79674,341.1579,313.40363,186.7843,113.928185,133.67697,102.57846,108.37713,117.97068,216.44966,168.42255,119.8741,59.12316,91.681,163.13576,153.34288,133.0255,111.11039,160.09383,99.79609,234.82327,380.18268,291.70416,325.92804,678.24005,1037.1875,275.87875,594.4022,411.04514,273.93063,217.50063,113.91665,43.64616,131.26881,73.22018,80.855156,130.11732,122.561775,35.20209,115.56922,239.27197,347.61063,371.48914,234.12216,154.87584,248.13547,262.92908,170.87146,66.45596,155.52104,265.1123,116.3603,78.29324,146.13387,78.68462,171.00157,332.515,387.1841,632.6034,568.27026,722.7004,506.30847,507.4579,297.75217,475.60712,769.62506,374.52435,347.17,476.8246,542.1193,570.5076,539.2733,287.98785,338.44287,243.01768,250.4333,270.22202,281.8277,247.62543,234.80128,236.57831,115.39912,162.81857,108.571754,327.88998,337.66565,204.23187,134.05536,98.90468,167.70117,302.87985,256.26242,142.99078,192.96931,173.80795,282.14838,141.59995,133.88084,76.69807,206.14969,190.4879,2.4830604,33.190163,271.7177,186.01701,178.71216,173.40987,158.67824,182.30814,302.74655,294.99927,219.11438,200.58188,238.74657,162.1177,130.29425,163.88281,80.869064,216.67142,88.68985,66.58895,76.46669,61.327156,117.13793,98.44263,257.79892,147.74066,211.27092,351.5772,267.5009,360.04807,391.3266,297.38785,121.74134,66.63669,168.81163,102.99447,173.89275,115.41722,200.01414,191.18571,42.31969,71.550995,88.128784,148.65608,142.51312,127.20032,182.31097,104.25744,51.125,none,,0
566496.06,241101.61,3811.6802,5448.2275,10442.883,6198.0684,2177.219,835.56744,303.4523,684.4244,515.35297,595.64294,2252.2986,1805.7043,460.60474,207.10757,60.380615,170.26855,429.3925,326.2795,26.108543,240.67644,134.63046,102.23724,341.9462,211.52963,73.91602,53.290165,143.56,205.3908,168.71872,95.31327,173.2703,247.32945,274.57532,40.004845,150.82277,203.00871,314.70056,319.10986,112.574844,92.29876,87.382256,61.083298,105.6422,121.90163,83.26313,177.62723,151.33693,186.1711,233.53381,186.1502,129.2209,67.055504,116.66066,36.33751,119.61216,116.24947,124.56512,103.39444,129.607,194.8979,149.71698,116.6974,37.99038,26.885761,83.24173,25.750414,57.339428,80.34963,51.984325,155.54387,54.06005,153.65742,229.40303,238.13577,90.33152,107.06516,195.02126,105.28095,118.87256,95.8996,46.979237,137.76239,192.43436,155.54277,154.93024,106.623474,13.063201,86.859344,91.67012,176.39632,159.5375,115.84827,136.3796,140.08838,156.45982,90.883606,85.52838,129.70128,97.27185,195.0346,160.71306,220.9924,91.72785,24.114193,113.9598,203.52295,128.84563,22.020735,205.07904,229.15973,170.38002,150.84656,169.09346,204.52592,59.922726,93.64076,33.840996,125.72236,238.25652,66.18887,85.15973,111.3923,258.22586,266.8587,302.53668,201.33905,317.70782,250.94296,282.16418,538.7651,959.6144,178.25638,591.2105,316.16736,252.06876,147.90302,118.884964,156.12822,117.23959,86.824356,50.813442,99.0173,239.60774,284.41483,179.78935,103.237045,93.91119,275.24884,208.3909,194.37949,222.47261,130.74455,200.88013,121.17469,212.11404,145.52719,151.93109,240.11688,278.62332,115.24789,278.8374,137.67226,266.61453,578.2819,816.6228,864.8239,930.2282,650.9034,509.94656,721.9707,444.8202,336.62653,465.11447,613.54395,648.13617,582.8613,437.05112,231.64723,94.74189,271.958,353.23355,339.72696,238.32349,169.95163,182.44795,76.14843,183.16504,267.88312,300.40854,197.3025,159.8881,136.44887,55.935406,120.917496,136.3081,265.25452,309.04245,250.93307,138.72208,150.22356,35.346226,221.5413,244.27309,38.655827,35.573364,274.3415,219.18048,294.64325,332.39398,226.04282,255.66174,239.44794,186.46503,117.16187,130.67705,117.92046,90.78875,62.485962,29.28989,166.20908,187.9531,60.934834,163.91357,9.111272,108.85458,21.801079,64.11578,94.81981,204.11998,311.47293,183.2926,110.400406,137.43657,98.41134,140.02756,173.81995,147.17693,61.266674,154.57013,283.02872,133.37436,136.70018,92.4306,33.74751,81.38173,61.3701,149.76602,137.82936,78.40882,67.47118,157.7986,221.62291,179.49278,148.04108,212.1875,none,,1
568003.75,241928.17,5718.462,14397.086,14922.818,4381.2427,2310.7795,1281.3419,513.6536,511.44437,511.45493,436.03442,2084.9795,1649.4491,259.77075,181.09964,70.80779,45.238495,336.19016,272.1152,137.30362,75.981026,208.52605,160.50635,52.630184,89.69622,287.8231,279.7151,321.73605,225.51476,116.97353,39.412724,94.13718,116.11445,117.67519,141.16527,154.2209,87.55379,145.36401,116.21366,90.948586,186.88902,112.20136,112.3368,277.3937,252.80225,127.751526,117.012955,121.31415,145.29843,263.8337,273.6438,217.41304,62.44796,93.11332,120.89617,33.729725,94.95663,154.42857,90.655624,195.5575,198.24956,200.96721,313.00122,202.71437,187.46422,149.19243,35.479225,156.71336,61.995235,45.90682,4.3348284,54.513523,91.70021,100.241684,145.36467,136.58806,94.81503,179.3693,236.28218,123.938736,59.291492,212.57913,136.95041,10.740664,41.844494,42.505383,54.44323,22.813417,137.91444,114.61772,199.37505,160.25372,69.955414,135.37816,216.97829,131.70941,99.902596,259.6356,276.84354,128.76105,161.02217,197.79616,25.11988,81.03828,94.62837,69.79542,51.788193,70.538376,189.15395,243.29797,90.19452,55.851456,132.78462,125.25648,126.75065,166.48517,71.43107,63.40474,204.28024,213.11746,171.00928,216.56773,194.77051,189.81293,213.73949,348.0586,308.9998,341.8006,239.25143,189.23997,452.47232,1034.5348,288.44354,532.33264,384.3891,177.1771,283.97644,118.61391,99.838554,112.97472,164.15234,210.6742,54.368305,141.79634,69.34106,128.44685,106.07703,55.335735,113.93261,131.88252,235.45465,321.8426,134.25879,38.984753,296.45184,458.32193,302.54916,109.92862,251.81108,130.79648,336.13895,330.35574,205.73866,298.51205,248.04376,38.419537,404.7206,634.0561,479.14172,256.2581,245.41101,383.49203,248.01144,274.5953,261.2857,354.86734,335.20596,323.67804,153.83885,102.66717,184.36116,345.81906,274.703,73.29258,159.97041,174.86852,222.24269,190.6492,106.5756,40.145527,159.63303,287.11874,287.11847,219.14177,253.236,235.45157,163.4893,183.06075,73.5881,122.62789,14.744763,74.270676,103.83359,35.72296,104.5827,37.06144,193.66106,266.3893,131.84532,52.01878,91.32145,99.80655,147.35707,78.47047,82.69324,63.789658,97.84814,220.66786,54.796227,137.61081,135.53632,162.4774,82.17277,171.65865,179.35426,157.55844,128.20732,47.384758,8.113756,151.29863,184.18524,38.10825,104.244644,129.39941,124.194145,136.09282,202.77287,168.29951,197.89986,141.50604,110.20699,44.920303,200.79094,211.02667,191.95796,134.6908,180.61696,160.41101,203.42188,195.53387,140.8583,147.77446,157.00835,173.50769,140.31807,69.0,none,,2
567575.5,242639.86,3487.573,431.12088,7480.9937,2230.0413,1481.1276,646.3979,425.25912,185.87473,399.48962,711.9716,2058.9753,1379.8317,315.6262,527.731,527.53503,324.54382,531.83386,344.9916,192.44437,226.58298,253.39857,353.0682,333.09976,336.1725,269.30142,172.5252,193.15678,288.75037,152.82478,53.1225,148.62115,192.51091,240.40799,120.56614,102.622894,77.34693,65.2046,109.25576,75.705376,56.298176,109.438095,175.70749,284.71234,204.06857,146.40643,157.50136,168.0478,91.04819,160.41386,220.19284,163.99942,147.8698,74.57305,12.076503,76.69014,38.105824,145.32619,77.429504,220.33043,211.55508,37.972282,139.70229,80.797264,89.92893,52.81529,30.941383,80.35018,86.71964,32.761425,37.01187,148.05609,246.10596,249.5862,192.58684,209.38554,246.63094,219.50754,76.02188,33.952236,175.72513,213.60324,206.01608,89.66192,6.468362,182.68448,275.12427,221.54166,221.94824,311.83374,296.19363,76.09947,65.95559,177.07674,125.68626,211.96489,384.54642,418.63608,143.15091,151.20026,261.7556,170.33624,131.37224,199.24103,207.79689,179.51396,164.23643,136.92163,139.97118,40.55968,177.9802,261.75143,97.66488,175.75479,74.38145,97.174614,123.32998,149.09373,129.82616,152.28677,224.43956,82.50834,109.75441,125.750656,193.02768,166.66585,25.764202,192.06538,336.6844,375.83487,753.23846,1108.9414,215.22229,481.27042,160.351,254.33223,294.5766,85.56433,45.87907,133.49478,173.68082,68.91938,143.65329,162.13257,353.35117,179.95161,56.383854,128.32167,184.18457,175.22859,265.61142,370.9439,346.74387,327.89053,324.80115,292.44278,384.1512,447.74487,260.286,263.36954,209.28683,557.88385,737.6067,421.91614,299.35464,456.67517,305.9866,420.61493,184.60957,624.76624,174.156,813.92377,659.1133,576.28613,489.51245,496.78802,153.84525,286.7083,373.07803,611.6825,401.6045,344.73386,495.893,531.1921,414.63312,344.47278,264.3769,241.6629,181.05591,227.78502,245.96803,125.46246,159.30963,77.453224,52.50345,89.61422,80.425674,32.186195,110.86979,185.03157,87.40985,89.430115,117.06591,203.14648,142.56644,93.67277,90.42602,53.897427,180.03528,175.5403,233.11699,214.96915,116.66204,82.99876,68.28843,79.458466,186.60033,326.55978,236.70316,148.61215,116.29181,92.45941,171.78513,207.92168,83.805244,226.69295,131.32352,102.397026,91.3198,217.7288,267.3314,41.609608,130.15456,133.52164,69.25872,162.93825,276.72974,105.331505,72.255264,112.14871,132.74098,170.00526,195.94003,277.81534,42.81811,81.26525,133.56435,142.91089,145.65733,298.86407,365.16956,340.46875,260.1979,210.70537,100.656006,35.34375,none,,3
567176.6,242842.8,991.3643,7639.351,9489.817,4730.84,1873.4572,573.2801,983.2874,1023.42175,702.7001,823.2757,2222.2522,1748.4285,311.7347,331.74606,408.1348,210.10919,232.04373,182.84784,52.686943,24.579136,82.643715,102.93729,53.663216,198.98433,159.84953,100.883995,37.98237,127.71645,147.2495,54.028194,101.463585,88.42312,107.81039,162.54498,76.469826,22.334927,109.02432,60.587452,36.15666,59.671883,119.30147,96.11632,149.39758,67.1932,90.789444,99.799805,22.075636,143.93564,72.50888,36.29906,62.897102,89.16238,28.09702,67.39527,26.46525,37.909405,7.212767,226.93393,144.04793,81.09132,132.53778,144.37592,194.29639,125.05862,99.00609,167.71173,151.5829,163.91199,157.40358,179.9985,99.621574,141.82445,199.68922,134.86096,117.47065,93.1272,221.82945,158.46582,231.89539,172.68263,113.61847,43.368317,113.54971,129.9342,49.543503,50.481445,31.82095,115.22058,143.6271,229.54327,123.37487,22.860315,66.5867,90.487946,57.20825,20.349169,37.79771,211.5082,190.88188,106.067924,88.364494,95.72559,21.251461,156.46414,192.3303,198.09807,68.91364,35.970917,116.94479,152.045,164.34021,165.92432,71.669846,168.42767,24.966515,111.75762,208.98701,132.64212,192.7003,86.74349,62.49027,67.856995,38.91592,25.242044,136.1975,164.58861,190.14554,217.40126,426.15323,512.15076,937.3892,195.74745,474.40668,206.11292,92.97573,160.3861,52.136864,116.827286,175.3341,129.96396,57.387226,240.87183,322.0582,69.67284,145.41158,125.32147,130.09897,100.0571,75.6639,130.36118,41.46142,106.8567,222.87932,291.32785,309.03937,143.2261,234.10265,203.59326,150.8222,306.83057,62.146915,183.66391,103.98933,295.29465,343.986,264.61838,676.3037,385.70673,564.92523,737.61664,335.86813,764.8632,398.87936,101.56759,183.39099,155.98642,395.67877,226.55527,185.9796,129.01007,196.21797,281.27075,242.2042,354.20343,229.4865,103.54141,87.03153,48.636356,84.0842,168.22488,211.64603,222.2714,168.41786,98.40477,185.19456,148.02856,90.86054,60.948997,107.32148,84.967606,75.71756,126.064545,119.38433,51.383156,64.78149,133.2477,120.94778,158.6028,59.16384,59.771923,94.423195,30.30618,58.761063,37.585785,56.19992,14.754303,152.87376,192.70633,165.9595,221.28325,243.64703,239.85274,359.1497,383.86313,271.5445,67.09597,72.29536,37.408516,156.59561,129.2754,81.449745,78.264915,76.25679,185.20216,92.99745,248.75319,143.41888,93.04538,90.404564,146.44786,235.51686,303.2614,227.13924,127.57877,120.65729,222.12491,129.45303,116.29368,143.79329,64.327896,143.30556,246.92401,153.51741,82.6582,66.84375,none,,4
567470.0,242255.89,3386.4944,4298.302,628.7655,1995.1881,1646.858,1446.3278,493.04984,615.0146,145.3063,455.17053,1841.4331,1431.133,176.37494,129.69743,116.47051,151.58269,192.8006,182.40773,92.89967,35.02375,40.889233,28.284302,167.94101,55.53976,100.58354,177.7605,213.70174,69.35222,121.517105,132.352,30.268261,66.583015,98.95949,29.77316,117.78795,153.1216,248.09161,216.85129,205.14685,105.30921,4.6074452,176.74583,133.66437,125.49026,138.99417,104.98772,23.813063,60.109364,69.56946,65.84748,121.65866,107.355606,114.31966,318.3042,284.0986,128.60289,120.716385,197.95033,117.54174,64.04526,108.246605,194.2913,120.69329,77.51067,183.63396,149.74573,34.533607,54.035492,62.628593,153.04245,99.631966,332.0823,389.8643,253.98183,51.120453,218.45383,300.75034,123.1136,327.70764,382.07657,371.87036,189.70021,157.82086,94.37273,194.21964,244.54382,239.65947,190.02292,157.36356,60.68168,150.8766,193.37314,227.1209,201.9742,321.34616,378.2905,343.8417,130.2751,76.90352,96.19351,122.426254,246.95135,233.6618,180.22382,222.37547,270.2642,205.05101,171.93651,197.7779,158.73682,119.41058,187.19048,199.31798,195.5332,211.19406,138.31831,135.01526,76.3782,88.17234,60.935635,162.49493,133.06638,97.684166,121.45623,191.89719,195.34483,168.97401,321.42853,502.82816,716.7681,1118.6201,281.83676,467.77078,331.3994,264.4153,297.2293,346.81613,342.8056,241.62988,210.6693,163.5844,132.1184,74.17525,232.67964,161.5512,89.09555,137.3895,159.65207,96.64364,157.9694,132.91043,210.56711,166.54604,156.60089,299.08124,295.5404,157.07903,221.53186,124.06718,83.96987,222.10469,165.96219,123.25176,103.98079,390.82672,588.9627,94.146645,475.5831,647.1944,636.76324,208.8803,614.3892,574.1216,453.43683,191.03781,174.14452,67.18698,59.603863,120.21179,199.62851,22.530296,49.895744,113.32606,104.73403,99.37438,110.72272,145.1639,161.84033,86.31419,6.7993836,62.397476,143.44772,191.54424,165.50764,63.067036,83.10935,126.96483,328.624,297.66888,129.78864,86.19674,172.1974,128.36928,80.0561,211.00316,313.1579,124.665215,87.39627,93.379654,114.09972,273.49,316.12192,285.23782,227.84612,180.38658,93.311806,145.14928,110.879585,137.36368,36.580025,236.6787,357.98746,269.49762,163.3666,98.66171,44.197643,117.44565,139.76195,234.79077,189.77835,180.50635,197.46938,53.088932,164.27434,246.64851,132.8813,47.01114,118.44383,208.43887,257.26987,193.6535,112.82104,55.041515,146.80698,211.8691,143.0578,109.573074,241.53568,219.33693,217.5882,218.16711,33.10125,109.978,83.923355,81.40625,none,,5
567534.9,241870.3,3755.3796,4707.793,3479.0505,3497.8442,1487.0891,579.5405,571.631,406.4594,106.41761,597.6106,1967.0996,1428.1395,173.33624,133.77043,348.877,273.77216,134.97714,203.11041,105.7461,56.560562,153.63622,183.94987,134.13646,346.80826,378.10318,190.13539,211.04175,210.38588,204.37079,319.24045,158.94476,204.86908,159.82668,216.82295,135.78854,25.918612,107.16191,130.93736,58.903275,101.2198,214.53882,185.70853,97.465675,67.74871,96.04525,186.52834,197.80331,132.02702,33.279278,97.17402,131.15604,46.564056,58.236404,114.81074,181.93005,99.39665,123.0081,12.98352,91.960846,135.10281,79.91714,149.77,85.42676,22.714924,45.103,51.70332,87.93882,100.14831,113.057274,168.33687,30.883057,173.72653,289.60977,208.10162,148.26129,78.14369,58.983406,78.93866,154.69775,113.7522,141.40027,66.769806,47.330063,155.23726,278.0111,213.66724,113.74571,70.244576,201.97923,46.53018,49.577263,47.528885,60.21003,77.638504,119.03148,145.94814,143.62529,91.37893,148.18797,113.5693,108.14492,63.137913,164.18095,94.45508,119.721214,64.27329,30.157455,78.41532,118.22253,57.506973,132.61081,227.57962,224.75749,126.19391,125.80553,57.073635,63.50403,137.58228,171.51167,144.33742,107.861115,77.41232,116.35935,70.37471,97.05627,75.26104,79.85956,92.187515,248.71243,626.1677,1106.3499,249.8973,512.86975,151.68835,261.43115,312.94342,114.00471,135.47934,90.54636,160.54735,92.36057,201.73357,47.969593,130.50534,76.70299,36.073925,131.78764,58.742847,75.32018,67.60202,100.21493,55.217636,54.862495,84.03963,99.52337,188.94681,155.25763,50.85798,165.85077,122.58458,179.53784,230.14523,233.89404,255.30281,415.2471,482.42584,346.69794,233.24362,397.35498,494.3091,559.13104,458.26706,286.75827,190.41846,519.05975,253.4289,59.684715,155.00986,116.116,191.31723,144.65547,236.21538,186.90811,250.98639,186.6757,46.46891,102.18229,184.8217,76.44551,164.76994,247.12318,145.81142,204.06169,87.12937,170.73114,163.53754,176.15787,54.111404,131.62369,65.71856,147.01263,140.15694,185.93759,30.063093,179.40552,104.38474,54.39639,60.0039,57.45307,80.217514,89.24628,181.88202,153.69563,116.07592,150.11636,65.83345,60.739624,132.17072,170.50179,57.05232,209.07861,171.50337,35.166092,78.7361,167.69838,143.672,94.77289,24.536434,153.16089,146.09439,87.96939,102.951225,159.64235,113.11366,28.659393,159.56767,127.0165,116.01688,116.54649,160.65765,42.98801,57.299835,55.50987,110.5099,179.32114,100.255424,98.675,103.26533,112.24881,96.17932,172.71535,76.92672,145.29703,90.429214,17.375,none,,6
566377.75,241818.19,1422.9291,3103.1467,3243.7893,3424.9258,1277.4077,1309.6357,1358.8103,685.9982,234.40239,538.3439,2071.483,1794.0884,252.4798,394.26477,551.4499,198.97069,464.58908,331.12076,263.42572,175.49751,189.71266,400.99982,465.817,231.09885,294.05557,164.59412,42.82634,237.0933,161.5161,83.157906,250.5477,124.134766,83.12593,74.48391,127.371025,63.805855,239.33327,178.24084,86.52822,128.23044,95.515114,78.844986,12.382871,23.370125,163.92029,191.35085,106.432045,215.57016,144.67175,123.96957,130.74693,26.040964,98.4441,56.99273,242.01814,120.256584,206.83344,148.75568,43.829514,79.32723,144.63411,82.049164,168.19453,276.61908,180.10042,155.55542,200.71075,50.623272,46.982773,82.66577,128.50565,98.45829,97.884636,122.28713,49.449722,242.13702,283.31036,241.65239,113.58481,152.57964,242.07545,199.86937,131.6435,125.42808,130.68443,212.56671,192.37108,178.71477,129.73994,35.158875,106.83049,62.666824,195.4382,249.00383,270.18054,186.82495,44.0866,98.761314,34.811283,86.010155,48.45832,142.62679,41.926952,129.2446,176.79243,177.88692,199.36264,234.88321,192.05115,180.34889,103.78324,166.3765,237.80249,287.29196,168.3657,31.60977,121.705246,214.31589,72.59267,250.53166,204.62463,173.6585,154.96678,72.5671,83.730965,78.902626,118.44923,118.42293,224.35971,486.37216,978.7862,391.5905,592.70825,460.9139,373.8545,222.84413,95.40124,17.254297,97.67105,50.730045,13.919471,228.991,291.81384,167.39607,188.55658,388.07788,350.75537,386.74442,472.8631,445.9913,364.98508,222.915,33.650826,194.07722,52.867348,201.01468,123.819885,207.63564,402.98676,366.6302,206.07399,307.4261,124.729256,394.0817,489.48196,343.14194,836.10974,382.95972,434.0385,765.40283,209.37495,956.33246,646.66766,200.34415,453.84317,178.61255,276.27182,276.60132,142.25894,232.88359,227.98764,54.70792,238.76228,265.4577,212.16487,135.70573,178.58038,404.64792,387.54697,263.7007,227.04637,19.2766,199.57959,171.53046,185.22264,96.6861,75.92585,140.91736,209.45226,351.5368,297.69257,156.80772,172.26645,234.13199,83.56983,59.758865,105.83374,150.72495,146.87772,132.92542,204.91415,149.7153,122.557526,69.93375,21.11963,27.095146,140.22911,78.25819,76.5222,92.07797,42.89954,162.65227,151.6064,130.44916,106.64517,285.76846,427.5859,382.27884,241.13728,170.98228,256.22318,229.84729,197.59903,205.58986,264.08124,193.29364,34.38874,167.62157,119.54864,207.57616,199.20251,91.783295,98.98176,164.34999,67.45927,148.0727,73.96759,34.71676,169.40364,180.91368,152.0216,164.06828,86.30356,202.0226,245.75,none,,7
567290.2,243248.3,2863.2095,5052.087,10207.076,7160.4893,3109.094,1851.7134,1049.9901,1072.1145,514.4255,249.46175,1864.8125,1538.2004,129.02992,111.10812,350.2411,279.05096,462.94824,343.2196,127.617096,105.84766,111.1984,169.07335,67.561325,138.49333,248.70395,121.68529,90.952965,82.709305,129.85617,99.58487,71.31021,162.87044,229.7806,242.12943,166.60327,205.64224,240.21193,167.75826,113.1953,91.73074,96.71708,88.02062,31.831478,18.910437,80.50427,50.43683,135.37862,202.4841,197.3925,33.586914,143.88177,137.14621,101.657455,279.31976,386.44968,284.91895,270.13028,113.71336,150.81573,204.80753,231.86578,194.72888,38.2423,168.39543,282.45676,195.9627,171.6894,152.51732,118.14829,153.68672,88.18699,128.5358,95.01471,167.93382,144.5254,87.834625,13.255005,102.62483,58.04053,21.109354,125.24135,50.854794,196.79799,173.79257,133.98045,133.18068,153.33592,242.97395,183.41486,152.98698,184.41896,141.65012,80.14641,133.69485,83.12713,176.43506,71.07468,214.03896,259.40613,146.17374,156.04858,162.00749,64.36198,21.914888,134.59012,190.41158,242.92659,230.94206,198.76534,199.18828,200.5023,267.6795,148.7237,122.308235,310.30325,238.74054,24.810478,124.70524,218.60509,155.78676,246.00146,141.10602,170.68144,245.3891,141.9271,195.55128,249.51953,343.91663,435.68307,539.6343,943.7168,334.42377,253.22691,33.319134,163.02966,319.70996,257.58536,264.2729,240.34773,92.07321,50.208725,81.645035,153.81128,106.56335,102.80418,146.19327,126.138565,113.42161,13.392104,113.0187,96.83064,239.23906,296.62933,264.82178,178.9995,95.92088,52.28103,76.45322,117.09311,140.4728,90.05057,163.68478,56.80866,212.42505,271.69998,398.2129,509.6635,644.5652,937.9651,252.38478,594.6561,241.03879,157.05302,422.51297,223.91939,147.03136,116.24436,188.21802,36.13817,90.80817,172.1667,170.49702,248.63829,272.95218,237.63112,198.80286,72.34398,68.98549,145.64203,245.52654,244.01599,286.47742,146.48683,77.70611,84.15223,29.828821,128.8912,137.58841,175.08331,114.52309,265.4403,235.64928,294.17667,232.16058,122.288956,66.8458,217.19054,204.35985,130.87387,124.49535,116.39178,72.16713,110.84216,209.96797,278.26746,94.69904,63.00057,42.83233,71.86251,115.64195,215.14314,275.71844,247.64008,188.76291,192.30803,284.44736,87.72896,184.80844,260.9572,174.63507,6.885536,96.51737,165.14449,247.52838,128.24004,130.9961,42.55592,154.13162,206.02234,90.689354,19.064766,234.93129,307.50497,141.27975,131.61725,100.73757,82.57065,163.45374,248.8105,178.88297,170.00548,166.08058,15.68665,96.36556,63.5625,none,,8
565738.7,240984.9,986.92114,3880.7507,8650.776,4693.7876,510.93256,2101.3345,1600.3275,1315.4818,760.4548,746.2391,2322.1787,1519.6343,173.15085,306.53806,435.10898,326.73654,348.96396,165.10733,168.38974,129.06346,160.66443,131.69783,322.03812,367.42456,249.48582,256.76584,247.88391,252.04102,120.75212,205.03166,346.1855,248.84702,142.82736,162.27856,171.68283,219.15271,151.69913,55.231556,167.90974,214.38869,68.989975,65.658646,62.183228,158.09766,217.02603,141.73703,228.64876,220.96225,198.38943,244.27353,162.69516,242.15918,200.91574,85.15227,122.13266,132.2594,103.819534,313.6872,333.37454,192.7343,234.99963,168.7839,126.422424,24.371933,163.37584,56.824917,120.891365,74.84002,100.06251,131.37102,27.353329,90.75351,40.413216,35.70964,118.54586,183.24629,123.41737,149.27896,68.577286,93.13315,137.94505,95.229515,209.0341,214.20795,307.59625,60.756275,191.08028,148.2448,134.34334,126.70259,106.58222,207.77013,163.90944,219.19987,332.81537,270.11612,158.71768,149.28932,57.500896,142.55779,251.11116,171.58585,236.03525,89.65926,45.057934,120.15736,146.13283,225.66116,225.43611,301.8667,265.37564,54.220306,102.81025,70.178505,83.38228,168.84131,78.39987,110.351364,193.59067,129.4553,73.0753,84.47219,126.63702,197.32361,170.23157,65.48352,133.64241,211.35849,477.95905,679.23505,1050.2856,454.982,464.3344,440.91748,321.4522,143.00583,131.97615,104.72283,150.75867,38.912395,234.77496,229.09706,73.35211,148.77074,170.08887,222.2089,222.16696,250.60043,206.18011,168.81822,104.893684,269.95877,20.347725,42.149837,220.12518,404.65097,205.84306,83.275406,47.212193,212.38562,132.12898,376.38675,324.91013,178.96515,149.02095,169.04793,625.6019,686.2665,1242.8647,611.0151,847.39044,748.33325,478.99023,82.03445,53.3873,260.04935,270.35977,288.65283,388.1946,339.85718,359.66794,298.24615,85.17297,121.67049,63.53792,274.98737,228.35106,162.68103,198.0609,46.187916,121.361374,203.60985,259.74408,164.13026,112.015526,143.228,245.18417,188.49481,160.43422,264.14783,309.27167,159.41948,112.8941,52.688244,270.09613,379.05167,154.32365,149.83536,133.60017,26.108164,115.20864,176.1075,102.52928,233.94473,278.99435,156.16306,113.68047,145.82123,282.3684,303.29315,198.57268,228.49667,91.632164,164.36314,190.40273,26.384708,80.07973,149.88017,48.94574,78.97951,131.39352,120.70947,169.62334,237.89526,162.31735,106.90498,68.297,45.407593,59.790775,144.49152,70.55226,301.5092,362.19983,163.42047,146.50339,266.94937,344.19308,268.2699,126.93772,48.489033,285.06497,309.5908,117.93179,71.307945,23.5625,none,,9
