bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class,frame
566809.25,241881.97,537.6775,488.90494,1733.2172,2893.6824,2802.8452,921.0195,237.34578,324.67374,327.4383,527.08417,1461.1786,954.6302,141.32518,57.28563,149.02618,141.45695,203.78093,137.27942,217.45456,75.04797,172.73186,77.12548,91.36434,106.79929,79.49442,131.79004,149.5383,236.22237,260.82715,258.96338,201.59567,288.91815,130.17986,141.22011,79.554695,126.24348,66.379974,25.06068,39.046318,61.79627,40.349365,44.545147,21.502146,156.49669,153.8851,132.9285,177.23592,42.866543,113.19382,75.14827,120.228485,80.348404,51.76759,233.60323,124.916245,142.22797,101.38478,186.5335,221.04437,148.99861,106.615295,147.5904,291.98065,306.55557,103.56123,96.84753,189.7316,186.37672,434.31134,212.52284,36.323845,188.48593,281.06848,105.560394,160.22404,118.69989,116.73296,34.911472,111.668495,115.28386,57.51061,22.280182,85.36139,39.57293,48.585484,210.39398,259.25858,48.62454,152.89374,197.55617,148.52823,29.704159,100.3268,189.88837,217.62761,109.39012,236.7983,45.78676,79.04543,234.29338,200.48528,78.39649,157.10686,295.84225,69.6192,121.92866,116.9157,204.11496,190.0559,136.47937,288.1383,249.62022,131.33719,41.849922,248.38377,273.0394,7.119884,167.75208,91.76239,170.52861,103.200294,168.9052,223.90933,230.68666,254.22754,250.33174,240.4429,135.64017,226.88824,561.63556,1050.6892,291.23383,428.67987,210.61238,168.59665,210.56969,211.25487,286.66324,245.61423,79.344826,255.63405,171.6159,150.55312,246.08603,156.69339,27.773073,78.98561,12.195724,93.57125,27.212044,64.20832,112.48935,60.78252,173.22467,28.388193,143.8885,24.056305,84.19184,52.17708,31.396105,54.22849,53.167076,134.68924,346.6973,407.527,410.4862,582.0823,869.528,393.302,1224.1403,747.05383,620.09735,561.50836,170.18137,116.46711,199.65482,233.88832,111.64284,70.67025,169.12706,34.284966,138.32677,148.41125,44.67874,93.78861,130.47736,156.06332,51.084087,132.9787,229.47464,39.883045,282.95688,134.76082,144.44577,15.347526,152.53159,169.58777,278.70517,185.61023,44.81815,108.437584,76.419945,9.827742,110.43873,406.73602,337.92468,65.3597,68.25279,96.71034,109.27162,165.30214,140.46968,173.8172,221.05504,224.95226,222.15248,126.50615,92.05829,86.94747,184.76833,168.53014,113.398254,6.7547874,102.39014,180.72029,161.93773,67.24954,28.540493,10.497374,110.048096,80.23104,94.45452,53.259483,214.53369,174.5423,163.72003,132.26265,198.3187,76.00907,243.52837,86.39737,223.9853,16.577145,189.70813,31.672985,260.57828,253.21594,217.82736,230.29645,163.35023,131.8657,113.4084,34.239162,86.801575,49.28125,none,,0
566341.44,240954.58,966.17957,905.5712,1097.5065,3341.2793,2762.057,247.36865,584.0792,404.84546,196.49564,412.07047,1384.0519,1323.4255,428.47125,255.82237,175.44035,95.050934,96.83851,201.16437,245.35303,102.16874,143.41466,322.65775,202.18385,79.06759,125.9935,147.7066,308.51248,234.0986,104.081345,271.94794,283.08994,234.05006,122.04304,118.35448,305.5481,341.4921,208.04147,122.078766,118.99014,162.12221,207.87152,214.13023,164.73718,190.92029,116.41953,145.2278,146.30435,215.29665,188.03763,49.093307,19.388159,130.37608,92.03849,132.92688,132.46571,40.501644,51.91933,181.08751,200.36319,32.806545,167.34358,165.10971,103.782364,189.34099,204.19498,81.222496,126.50278,208.44766,64.703186,33.636852,222.50021,249.4623,151.39499,90.96797,145.36206,136.12738,141.19467,186.39986,211.10556,119.61626,14.290492,101.57901,176.50111,106.17255,72.84848,144.94145,259.68707,216.87125,105.59694,130.348,144.62196,59.47961,121.390976,243.63338,272.9373,105.652725,89.42623,263.65878,248.70425,157.60277,168.57788,124.12622,160.71246,114.884735,115.56433,133.96797,69.80303,195.32153,119.501335,136.4341,262.70856,155.18471,132.9849,127.637825,47.508255,209.43617,133.7944,172.31894,269.09177,224.26721,239.53156,189.84094,218.69786,157.15723,36.885254,78.96024,155.02505,281.73544,318.17545,465.41223,865.1359,268.01102,516.70825,354.9773,312.11716,139.60773,140.7794,175.60313,135.27553,146.77098,347.40436,344.96225,258.24506,42.182796,83.18841,96.79331,172.35312,163.40466,96.03121,268.29626,217.45367,91.950584,44.91268,146.85818,241.98682,232.95746,191.65833,206.3862,170.23389,152.79279,296.7603,353.58658,406.01935,32.072216,316.5722,647.73315,878.49,1215.9272,1324.5209,962.7065,536.39667,916.03796,653.2034,945.4608,814.00195,512.7955,341.95355,247.75873,251.84242,248.25513,297.11542,150.14983,56.78464,110.86782,49.290073,42.847546,150.01472,269.74542,319.47507,56.21373,236.78107,214.64905,139.61996,71.00299,24.337322,185.88882,341.26233,165.85464,88.03452,103.84634,64.03172,90.72059,53.37735,78.44624,157.99376,210.39032,143.26762,73.10495,113.25981,104.67793,144.89975,124.63015,98.37979,59.31723,142.13939,157.33038,162.98354,142.03822,236.97182,379.27518,214.51396,76.970894,73.26519,120.362686,152.03143,231.87817,167.38522,93.020424,41.400574,66.93116,47.24539,39.277443,54.469078,280.68243,219.22226,141.37854,110.7557,109.79325,22.050808,119.77977,126.686966,166.55766,226.9346,84.09506,55.444653,45.127224,16.093859,49.548237,29.317108,72.94815,231.58476,199.5575,64.77473,119.06246,211.8125,none,,1
567374.25,242196.53,1747.0199,270.83215,597.34326,1731.8193,1162.3875,716.0349,535.97205,468.1844,397.49915,439.29953,1448.9028,1207.6494,351.67,286.53912,143.93562,61.27435,101.70937,198.32433,221.56926,168.14034,97.85622,124.70894,134.82024,69.517204,21.79526,157.81464,213.74135,125.82747,15.869697,91.937706,85.933685,106.75366,118.25536,253.02342,296.0406,121.440125,153.65681,39.969288,59.523518,75.595726,68.69301,216.0895,195.13846,101.13966,101.44424,157.81323,136.62044,68.608696,139.36148,201.21408,195.87064,74.103676,139.82162,82.175766,139.99307,121.120415,174.56076,167.0351,88.80283,143.42218,101.02356,102.821434,68.45318,33.825493,115.867874,72.25741,33.786682,38.14773,95.749825,246.65688,163.98776,216.86516,270.8047,183.06665,12.71813,56.389698,64.93302,96.19945,162.96147,92.95585,97.64696,72.686035,78.0576,211.95302,283.96887,215.5449,153.97021,106.841934,147.92363,13.532659,91.47538,53.324833,110.391975,120.28324,124.09182,146.07033,94.78735,151.66188,117.49988,7.450001,124.775055,250.51366,135.3987,86.866066,89.126465,55.217445,152.9976,190.301,59.214382,73.89244,89.6656,206.90874,232.63483,157.25482,134.092,99.09717,117.17081,127.18299,105.26341,89.20216,70.14407,96.45176,197.63522,120.830894,169.04973,228.60938,237.67548,320.2451,478.5522,615.0958,960.40845,389.41852,376.29584,229.32738,331.77405,442.6452,123.75251,123.471504,178.07726,177.88167,134.33675,71.222725,30.807487,35.05056,52.34539,11.038582,49.055054,79.251564,63.1008,155.15022,269.02158,278.01587,314.99258,294.89713,216.9261,241.86414,237.8423,258.4241,397.55533,512.59033,586.0462,540.44604,519.95026,174.88078,200.3867,690.6482,836.5623,916.4706,965.23236,629.7862,193.38219,1036.392,1098.1383,1171.6584,874.1649,564.6424,408.43155,229.7022,141.0764,39.55641,125.22518,287.7883,201.12335,100.12102,165.44539,155.47716,110.699,183.11621,358.32968,299.97864,133.32916,163.1129,266.57916,216.49057,59.354034,136.93848,159.63158,29.090525,66.69159,66.0346,106.377335,184.75731,126.78943,160.28958,105.36154,13.618641,93.347824,177.4488,116.69643,66.48322,105.539474,199.1413,237.09709,135.18803,90.27695,141.93222,194.3774,149.55873,70.73733,243.35059,132.28796,99.52697,82.25372,60.32259,75.47231,179.50792,118.63695,89.482895,71.51198,224.24414,212.44446,110.448074,138.01317,175.11337,52.7951,274.03976,353.51013,197.5771,63.8288,37.032295,87.6371,152.52255,135.4241,140.79642,174.48015,51.21768,90.902176,56.10511,134.22249,205.98515,140.94257,7.9030433,124.65569,172.57248,108.125,none,,2
568133.9,243410.52,1195.0117,455.29562,1193.6649,889.28577,2287.4407,441.70773,124.49226,299.3786,355.77588,226.39406,1454.4443,1054.9359,6.0116906,187.20853,333.2647,211.85112,105.07194,95.74125,112.282684,169.40271,112.26491,45.353348,121.53679,129.57668,21.390093,85.94134,4.17204,57.59332,69.75777,86.30191,37.143074,88.13341,23.811882,87.85782,109.23997,95.85585,31.621075,45.744797,69.2581,99.64354,141.69748,179.5429,101.00817,97.09358,67.056046,137.74434,93.23085,114.459045,143.42476,126.25441,228.6189,199.37068,211.9951,199.28624,174.5782,127.69552,158.03233,64.78945,57.175713,145.28032,185.49489,77.55002,50.8668,31.793957,59.245487,118.04354,155.95288,13.989115,201.43814,213.1253,245.20866,264.70538,114.33453,181.65633,108.257164,164.60492,170.77556,184.26213,157.5279,26.0231,76.46581,12.595451,44.84317,77.51509,207.78467,131.28178,125.854996,143.79088,120.671555,67.65437,71.51225,81.19358,128.5145,28.781063,62.322395,58.076794,75.48936,142.1495,83.628746,51.70637,57.221718,107.21025,30.00158,59.014126,28.587498,68.927284,85.65832,93.800354,187.53203,138.69984,62.89307,159.43008,162.32681,141.56078,46.62458,59.97933,88.55186,148.93498,243.39572,222.3733,233.60916,257.9412,183.09541,199.61034,327.27914,257.01276,181.2012,187.73468,329.55542,510.00092,922.2588,274.58005,364.51978,221.35161,141.83496,291.10742,136.98521,129.19926,48.49632,23.94381,64.67553,65.48044,140.33652,114.04775,88.30453,115.390656,168.45992,112.577,68.255974,40.612797,123.37444,98.07484,55.35896,243.71916,303.05722,296.64938,272.06387,81.98247,113.382484,239.21788,109.606255,167.5989,251.11772,293.90265,388.79108,279.41776,236.24335,492.7198,405.3337,637.7794,183.94818,623.19086,241.3044,208.00148,368.40408,296.00543,221.76474,252.70544,159.66753,151.61925,87.73083,26.670202,179.30367,169.55748,213.892,141.61922,92.89322,47.105297,196.66727,123.98154,89.53479,44.574173,112.85692,41.5017,107.63816,42.18667,163.03374,62.489704,130.74251,42.283287,130.90521,33.662796,207.77122,216.86711,79.85828,43.746223,100.74395,110.69828,82.29185,155.13641,131.17125,177.65036,73.069695,223.03522,110.774445,69.58843,81.08203,139.30754,305.52756,377.1428,229.02435,102.42598,96.65822,40.436096,83.85825,180.04153,218.65126,148.70038,166.56303,48.363266,74.02684,148.25198,260.81488,357.81638,270.2457,119.06183,118.18986,94.12157,106.37613,107.56069,117.95479,161.0664,101.70185,182.67416,273.34113,183.42416,79.51459,112.70698,60.601337,44.010357,128.61206,223.84744,183.44699,87.78858,125.46875,none,,3
568285.1,242775.33,708.35254,312.56866,1390.2332,3247.849,2925.8303,1340.9152,189.2722,259.3754,494.91656,222.87761,1248.4426,1001.8522,103.86091,74.92576,194.3615,68.33097,106.704254,116.48837,110.9443,150.42317,214.689,81.11367,170.32497,108.11715,143.03458,120.58126,49.60847,109.88135,220.18362,198.0304,191.28227,305.0874,173.4512,49.786167,28.173458,117.46945,139.81702,130.20502,151.2969,103.25842,59.4852,112.2742,26.461239,112.04886,107.095985,125.80301,141.75583,109.97698,86.90443,104.789795,171.63507,41.684807,97.93814,58.622307,109.34955,215.11234,213.45767,139.65529,67.972916,97.00081,192.88719,204.39117,107.75886,59.38092,118.8976,123.30681,40.22101,104.11204,64.843666,120.49729,114.5456,175.84079,4.675568,168.35095,236.30731,172.15811,241.09085,85.532684,78.25951,126.989174,231.81107,242.00946,135.96909,26.666578,67.07261,110.62852,76.89779,78.78069,129.0517,165.24533,94.45258,140.45346,170.13565,165.6377,151.53339,88.314705,96.022644,107.97579,77.54789,122.811485,138.85855,61.682163,100.60185,149.3937,151.53235,167.62015,108.82829,135.60922,167.35269,164.69527,207.39777,179.7395,118.94676,244.60608,152.11208,125.64966,109.73849,77.31542,76.10723,71.08631,118.98625,275.5595,201.67882,222.57228,343.36606,257.67645,123.213745,67.269516,196.51753,414.05365,844.03625,240.85733,500.44495,390.6649,405.048,511.28387,267.57486,220.14996,115.81361,104.13405,148.39062,242.34456,261.75314,199.65393,91.0333,136.74443,127.3292,120.65395,73.59828,133.38943,85.30141,141.70918,66.23072,168.02693,287.00775,76.52816,236.3329,249.04483,156.45215,221.68651,146.59561,135.74956,268.375,209.3146,480.11002,451.01993,277.92386,163.26476,157.82141,724.5728,315.36795,260.6092,166.59978,277.6198,394.58392,181.26741,188.02751,156.66133,167.28146,92.38064,140.95287,147.84314,80.838936,165.40256,77.24552,151.35054,340.34045,144.74545,98.293846,57.64852,108.878944,215.99583,173.78723,145.04996,105.11034,114.43778,115.26814,140.06525,210.90341,198.66695,265.09628,221.39629,67.918365,200.01118,211.07262,171.45064,132.56877,228.44281,157.96263,20.380009,194.52136,115.46051,197.81952,152.14857,122.85051,114.26994,103.65069,121.89807,199.7805,240.92108,102.116844,136.10252,208.03487,59.553307,94.10893,28.336422,83.0487,77.84252,61.6562,43.327923,88.12584,113.0733,175.57135,208.75488,47.862846,140.58093,71.43971,3.1049728,124.911896,176.40453,131.91309,81.10368,152.12402,65.630615,84.91813,78.416756,42.502857,141.4978,73.46123,80.275986,194.85983,332.72833,199.27452,88.61131,162.21875,none,,4
567751.8,242352.69,81.02677,477.3663,1050.259,2602.5461,947.7119,264.14456,990.9486,768.13916,656.69965,168.77496,1244.2474,830.25037,124.95698,44.04967,62.872696,144.31085,227.78801,72.58593,65.02666,133.60739,225.76997,208.99757,152.08832,238.72424,215.51604,78.36417,133.96822,149.94942,230.57086,207.62991,236.66156,189.70755,139.17,66.05094,159.00899,180.18942,271.97702,325.70236,233.17271,165.2785,30.34482,180.49329,248.33997,122.20176,133.44778,72.16732,140.10736,165.62646,305.5289,270.8734,243.13586,257.29852,163.75392,66.06988,206.6716,327.01715,148.05885,88.033325,14.684036,115.81608,109.16659,123.439514,85.41403,26.944714,57.324177,50.19822,40.943604,83.07014,84.42254,143.89146,91.33344,119.10525,81.71603,226.6161,402.10904,284.81274,65.125435,143.17937,137.2097,125.298355,258.21368,201.56673,44.553493,54.239437,121.03563,120.668434,17.03055,168.64127,206.44772,118.3493,180.38876,71.733925,184.20264,254.33241,153.23372,82.236984,208.4413,51.166767,102.49126,39.859158,42.752346,76.027176,135.41856,205.17365,195.52142,134.88632,155.53522,142.12659,67.17598,105.21253,115.94798,120.42287,87.95922,64.541885,85.64007,172.57196,185.75482,110.020515,24.821348,166.59624,194.05142,307.19168,265.98077,223.2233,321.15634,429.18372,434.1001,354.83945,397.65045,613.9431,1043.9542,334.83447,346.2437,154.82098,194.3406,185.2711,52.95291,111.48656,156.27158,146.6597,142.47008,108.642365,149.34746,231.44406,219.96591,138.90083,230.0644,185.97285,175.70444,275.85568,251.35356,147.34978,168.45291,344.69675,364.28915,237.79036,220.03494,160.88298,137.43419,28.773542,142.82237,224.2641,378.56564,640.7877,737.3695,353.8956,163.09384,415.59943,536.91077,324.96616,661.8024,347.72568,803.2461,935.14636,594.7432,237.82204,237.47458,194.54045,144.11824,373.06628,378.66287,232.86285,115.15837,234.8205,233.92621,162.5511,339.7221,273.5241,99.24804,76.58824,81.48375,132.72133,193.17636,251.97054,155.98892,128.50282,56.73202,84.83186,103.91842,153.97935,269.94623,339.0789,243.56813,144.83118,103.18621,111.98541,142.52861,72.49729,104.46334,75.874886,61.93926,206.69305,211.89273,53.670277,211.36061,131.74284,127.719734,70.2797,94.36489,64.36592,191.26486,189.14827,144.7685,150.06876,101.3751,69.74895,81.15918,119.27587,111.71566,125.05538,186.5471,228.09416,177.30434,138.54956,22.759869,64.65032,131.10489,206.15923,69.56392,118.86244,175.61371,212.04755,139.68585,184.72186,235.13676,96.4756,60.357502,56.98172,140.97412,139.69493,164.97087,149.68768,178.56313,93.234566,237.4375,none,,5
567939.0,243055.02,1549.7988,1155.4215,1310.4727,2072.8079,1867.27,246.76791,752.05896,130.67812,217.81676,61.04454,1164.4844,1039.4423,266.63205,58.14018,127.76851,59.066124,160.49951,105.578636,165.62744,210.51321,77.68242,16.768368,151.89888,174.94794,70.659294,167.95709,51.05212,215.70845,171.37863,33.661636,86.56747,103.69888,20.040525,71.37714,70.69916,178.6973,95.84001,199.9425,232.84343,129.96468,113.16483,139.23297,100.24945,200.73616,134.47784,65.84614,150.89119,266.78943,143.09831,147.11456,171.45706,142.32927,230.35681,196.68056,57.078022,154.31937,204.93787,67.25549,79.17253,55.386578,101.42217,90.29444,69.61862,89.20769,116.151146,142.32489,320.7532,263.00275,148.78531,174.69463,99.5061,59.408535,54.508327,314.16046,278.26877,96.07079,91.25358,133.59444,100.60088,272.02475,103.0102,94.10792,251.85153,288.00934,106.7298,136.08226,197.02948,136.77007,111.16348,62.26842,306.2329,241.87126,117.077545,44.00006,89.49846,108.339554,244.43123,261.31427,93.07952,141.66824,150.27803,167.18932,47.40314,91.039474,87.0144,184.40358,216.49408,223.95306,140.0194,194.35635,158.69234,94.135345,112.87793,97.64372,179.64903,134.92686,69.48914,43.132793,158.62985,195.07338,51.088005,174.1277,159.15846,156.85481,271.68155,306.36057,15.470463,83.46498,258.40762,588.85345,1316.6588,695.0407,315.68152,400.34836,177.65985,154.86064,179.40768,268.1149,271.5566,41.609993,93.1045,28.874704,158.34721,179.05624,84.66672,70.22543,106.821434,123.25521,113.0984,157.22266,113.23869,111.60198,79.3925,154.97636,195.49452,144.49046,194.60243,190.60274,175.91922,69.803375,178.69296,149.48473,72.80553,197.40465,271.43378,598.94037,607.4724,185.83423,488.5942,1004.7068,284.59402,667.86975,493.7729,780.04596,319.94647,19.657064,91.83359,159.54091,179.4207,62.999725,70.315445,51.506355,130.44531,268.61868,84.31565,89.838745,88.69371,201.73471,256.92487,176.81625,147.74571,69.38872,108.60216,161.53304,102.21845,120.828,93.540306,46.52345,107.44875,125.34532,101.91445,118.86723,73.82039,78.11882,153.5356,187.8516,147.30022,64.13786,98.49512,115.65222,85.05046,180.51813,127.51082,140.08582,188.41867,105.98748,128.55168,127.09853,181.98126,54.61226,58.81643,107.843666,72.11942,182.65555,183.03899,164.14026,226.00601,235.49147,159.52249,85.29864,47.59469,179.20552,154.87793,216.89713,209.32521,188.02507,186.7925,269.47305,131.04099,126.61375,115.82587,61.672337,44.856922,238.47473,101.35336,133.96262,47.517754,130.94287,245.1552,90.30145,166.65723,149.61394,279.0153,162.24246,21.84375,none,,6
567466.25,241959.3,462.7098,366.91412,821.418,1216.6201,1160.0948,1980.5898,620.2976,177.1747,173.12442,461.25543,1626.5485,1203.0691,311.6457,274.7037,319.17807,254.88795,311.10718,300.72403,341.17007,321.83456,285.8933,60.404606,104.23039,163.51955,46.01797,103.9329,259.46643,325.24448,65.18823,61.74636,65.28486,121.40769,55.79826,164.60666,277.18176,275.0605,175.27913,186.76604,288.48093,286.4759,175.99158,107.75684,118.4177,94.54833,52.25909,90.55008,164.01627,98.843735,223.52013,154.44525,109.76065,225.56499,137.75978,122.66404,158.97687,98.47112,67.689995,124.3312,138.5119,50.405693,20.165936,102.32157,97.215225,76.7186,134.89752,152.92606,113.6304,86.32745,180.75706,106.209,156.02899,79.41924,94.86326,152.6846,258.94888,292.7149,257.19995,195.36293,223.82745,104.47206,256.4419,183.44666,93.00612,142.89082,155.87216,156.42943,54.02517,46.728325,66.27818,139.62694,224.31158,132.45493,168.56892,326.48105,291.8863,110.39135,52.72195,45.795692,24.4562,41.963825,183.14177,178.2271,118.748375,36.760983,112.24871,111.350746,123.8978,155.28726,97.088646,67.31928,195.8555,64.53528,179.17023,132.73189,190.43417,282.77548,169.25876,130.70775,175.44395,221.51898,189.10284,201.74268,121.79785,34.939377,202.97548,224.9764,179.45612,320.39325,374.91528,624.8987,984.3358,141.17314,579.51624,172.25343,201.85625,309.65512,48.073734,206.92972,35.15441,124.12264,99.68366,72.30589,137.42659,106.756676,314.96848,339.41678,234.16231,179.29282,175.66331,205.6384,158.94661,207.13174,101.24826,53.589157,61.29823,105.38099,178.52791,109.9516,202.48457,115.580635,287.9517,13.051064,279.11172,673.7938,871.7126,456.1219,27.174253,344.97586,617.6916,883.13654,584.22644,404.56876,599.09863,820.97754,654.6367,193.15604,163.20213,354.36218,390.41266,301.96472,200.71065,55.442596,116.11053,123.98936,278.38513,364.7978,215.50862,166.71248,319.5421,255.32442,307.64975,245.89197,126.051636,143.63751,104.170204,127.14391,122.545364,41.597713,106.35027,114.17211,97.86497,129.3078,158.83725,81.06592,53.712715,138.63,63.33474,34.261818,78.43767,45.769604,59.44923,88.835625,16.309464,175.29338,50.450623,106.97502,32.846466,132.01527,60.88951,52.122204,162.78615,232.77963,54.762028,152.48837,132.83266,225.06955,126.01977,181.57861,173.87245,203.95999,236.20418,113.71338,147.64151,26.87666,147.64107,162.13498,111.51564,124.48962,67.87301,104.26361,26.931934,89.69888,139.29202,208.42043,200.31454,175.80003,198.51399,95.86267,78.138596,147.19012,83.022514,35.264996,94.72036,174.488,80.5625,none,,7
566938.5,241506.25,531.1127,467.24728,763.79254,2218.9897,1474.9423,792.7872,1072.4368,171.82185,150.70064,137.91457,1320.4623,1175.0809,323.7069,207.97125,158.06337,182.37544,254.92046,173.07698,242.36781,281.43362,257.7155,93.642845,191.42426,113.3373,279.03644,225.78377,171.4802,234.1745,157.41957,88.65551,125.25405,180.95375,139.10506,130.77744,122.651085,92.55618,141.42726,291.28192,200.05074,46.105503,115.26425,205.60292,150.34639,140.57306,102.53425,72.81803,224.5114,240.24515,47.349213,128.64493,29.491306,157.85503,220.5122,298.013,225.04213,96.123825,97.55789,81.90045,101.89978,184.20045,104.58253,80.283066,30.278717,116.14287,140.31116,74.13182,32.258778,100.09763,70.779076,53.6937,62.138634,32.687805,82.015564,186.30249,198.16661,77.606636,214.66216,238.99916,136.5193,158.96365,241.08798,99.78112,52.121822,107.46563,139.49913,94.24273,108.141624,134.49394,194.40912,192.61295,125.95294,44.925724,96.861664,134.69485,47.838608,109.646965,72.77488,129.10637,124.782845,133.55637,166.75175,150.4828,114.80167,126.13377,226.16008,198.88322,105.20734,67.80825,106.731674,117.62696,173.75925,183.75623,71.325195,91.8972,157.56511,135.00073,253.37083,171.79047,57.28328,92.4286,131.06473,111.15371,60.809814,153.87517,304.46744,294.91846,187.53658,166.41252,345.88974,492.4215,827.75275,277.76163,370.15356,216.00287,115.52546,148.66821,90.91914,162.44872,79.7154,155.69788,213.91281,93.38057,196.37338,111.10026,250.8641,195.44696,141.45065,131.94366,144.26915,37.880795,108.805824,269.85876,340.98227,278.83484,125.533195,120.92683,222.59325,171.40398,120.72216,352.6723,207.86047,188.72253,342.06775,489.9642,578.8389,572.36084,655.37463,690.89813,910.79376,769.45355,609.29254,673.4194,671.4646,497.10562,680.6375,549.764,461.90997,341.9616,476.64587,571.92975,565.78595,351.88263,166.77824,42.351135,47.281017,176.94046,300.84232,212.27956,283.46683,124.908195,233.65524,128.41435,141.92409,183.12054,146.52528,109.012474,153.4368,50.62785,22.08254,72.881195,170.20648,182.45245,185.1992,120.34613,150.52588,231.22333,157.18027,80.66906,146.29247,188.31798,143.33226,99.31334,126.58913,157.93309,125.03574,21.029589,148.59563,53.445877,117.05962,151.67412,54.090286,149.21463,138.8796,92.67929,69.84452,105.50337,82.43194,95.38769,42.118332,79.120094,168.91054,230.57596,164.32375,75.52574,168.34024,197.5267,158.09915,118.08651,95.69906,131.41325,136.81923,158.27657,104.9776,154.13805,206.65489,39.681416,130.92786,70.48085,78.536156,80.77454,155.55304,203.94067,100.49219,117.018486,10.65625,none,,8
567366.4,242755.97,586.75134,959.6932,1055.3162,1814.6459,1015.09894,1205.7859,737.10114,180.87881,92.58777,484.2081,1434.6582,984.1907,117.81589,223.53545,263.5809,318.8122,82.18727,154.07999,125.82221,26.463392,78.95274,178.444,225.75568,179.63855,360.5829,174.04993,58.876476,145.55734,144.50752,153.52583,67.868576,119.73022,177.98456,87.67803,79.75602,59.356895,55.023407,204.4769,133.91454,160.98643,139.87076,148.26248,245.6344,249.10956,211.97704,153.1178,154.67928,214.09468,101.94023,132.62392,187.00928,305.26343,235.41841,126.064735,63.52671,136.75546,92.29274,190.84183,198.36293,188.46735,63.141376,141.38762,82.78748,12.47128,179.78915,196.29004,169.36292,254.00911,424.70612,306.81354,130.5283,75.86496,161.04565,141.46101,227.7148,257.95102,150.23863,108.05715,74.37247,77.01124,91.65986,186.86336,190.63025,109.82149,107.66072,59.90222,171.20692,191.24307,95.93864,98.12709,207.20683,186.82333,83.69925,117.20375,222.0146,220.44867,291.04303,251.07103,139.14912,117.34424,29.341715,41.033344,56.063835,23.323442,106.448326,160.1648,157.06816,295.1855,187.07596,91.00687,103.54306,173.16313,216.31029,242.27008,206.10107,241.61996,289.20575,128.27872,166.8955,78.89358,67.03738,116.40955,196.77716,134.14984,265.34253,103.65571,80.42447,124.576614,328.7235,619.44244,866.0767,92.94584,565.14746,369.6898,327.51758,263.73004,282.40118,257.31833,192.22858,40.709816,150.72127,47.28322,148.85187,223.04044,201.01965,115.43907,65.491585,118.76708,49.07901,84.8875,145.6951,128.4365,59.67009,155.32182,35.82484,186.9124,177.23051,99.934746,155.79648,63.569836,55.776257,183.42012,189.54541,291.19836,398.28522,568.59064,467.5684,286.03018,891.3214,536.54803,559.5447,813.8207,391.32565,51.621433,381.3877,233.35896,56.09924,164.68541,79.575264,111.66572,232.98848,62.789665,28.748833,65.73874,25.387493,111.03583,279.8059,226.85405,244.82944,145.25186,246.05501,89.97674,42.239265,110.40469,117.435196,77.95274,144.64679,107.903984,90.96845,104.92182,63.929066,109.74143,277.96265,135.04504,31.373854,120.54291,4.3982496,86.15505,142.14091,78.90904,223.20932,231.08978,191.40097,206.06439,179.787,203.19283,338.70822,253.76775,226.7074,228.41628,115.12033,138.58275,58.89088,172.4292,90.29832,98.799515,103.14413,97.69916,120.7829,86.91013,183.32231,158.35245,84.38161,90.59386,76.74902,81.90209,24.681349,211.67778,228.26979,173.72716,159.7309,183.36937,185.36705,223.94019,235.14188,125.666336,179.08273,172.42442,24.343643,28.957403,70.90154,49.527264,206.58559,216.29489,298.25,none,,9
