bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class,frame
569669.3,243942.89,2093.8445,3562.6912,4335.579,2308.667,588.4803,403.39868,556.76495,187.81117,312.30206,559.93616,1423.9036,1234.4419,442.18463,211.36781,74.38258,120.947266,239.47133,153.11072,165.4287,175.83633,90.91291,89.18576,138.82986,67.12718,109.520134,195.45035,229.03212,267.54022,165.8619,124.880226,127.02408,179.86342,131.23686,28.668945,80.62836,56.482185,200.89253,161.11455,140.98058,70.64181,29.730135,68.9215,179.83374,221.52632,172.36108,263.32397,171.79492,182.74078,163.56593,135.27654,145.6637,154.62009,75.197655,41.162766,154.12592,205.82454,143.93523,103.532616,103.60123,144.83409,137.20088,19.94564,120.92829,108.72999,80.80626,41.056896,225.86516,284.42316,226.96988,204.20015,278.40683,241.75426,158.11046,212.75743,176.7073,69.01142,143.85818,231.06139,78.42632,138.23827,112.628136,51.12347,118.69763,57.70719,76.04187,179.20824,196.61818,122.863556,106.708,144.57924,272.69977,182.70226,110.27742,170.96326,153.55504,150.98714,184.52194,147.09474,218.96817,182.90181,24.480087,156.51497,196.06625,222.66156,152.84581,71.88906,20.706724,20.306866,98.743835,149.81267,21.141447,104.00534,193.65376,152.87888,71.46692,93.0799,74.09624,96.970085,183.08252,104.46562,122.91051,229.31805,163.02094,115.422295,210.26434,228.2609,269.84958,412.43518,544.3081,774.0139,1104.5299,149.12729,533.35144,344.7633,414.00104,467.25397,436.2309,332.2603,97.958466,28.01865,36.257736,107.73027,104.2762,122.304245,141.40082,120.89323,195.14488,109.750206,65.638626,111.60404,147.34708,42.701065,59.836243,313.346,438.26602,275.99088,132.55615,247.80153,198.83224,122.106316,325.80652,32.62433,359.82727,134.88458,491.87704,216.97351,324.2551,850.65295,772.45325,789.0896,608.5255,172.50163,590.2132,341.147,245.54906,295.79697,164.51575,331.02896,419.88986,267.49823,201.21022,164.69586,204.6026,242.57822,231.89589,253.6213,145.50217,21.146965,37.514458,86.42301,21.788622,17.755733,183.16739,209.7078,65.83255,163.1068,100.21106,93.67203,136.12209,121.44019,96.596954,138.30945,212.34023,179.4658,159.33995,156.78944,63.444332,80.64905,8.446463,27.485018,11.567978,30.082766,14.36668,98.61556,228.29173,248.45674,232.11967,235.79898,174.75111,89.108376,155.29326,151.42383,77.57193,170.9138,146.14317,37.32213,130.59741,254.92911,285.10815,185.27925,152.53493,192.57059,180.49112,138.44884,64.682724,117.94484,175.3385,230.89969,234.1604,262.9011,279.9602,276.46777,259.46158,58.627396,164.42494,230.57675,273.97473,225.97064,164.90536,89.45667,135.49263,30.990688,114.03586,181.80269,221.8125,none,,0
566616.25,242254.73,802.7768,2197.5889,2568.7356,1491.9688,1065.7593,490.2294,204.1493,144.57353,146.13625,118.46297,1184.4596,1046.216,188.18765,101.72246,174.5225,62.880985,131.11594,58.090977,149.18373,190.63881,176.54483,171.8303,180.49084,103.85815,167.72469,260.8342,292.30536,350.4857,189.35152,83.70894,130.81377,158.18303,36.50326,153.79488,116.436584,73.12785,85.13991,133.98015,76.2954,156.37587,249.40399,195.02513,65.04514,85.015045,35.478382,162.06044,225.45839,258.57516,171.35289,133.22469,119.93156,100.97165,80.25107,113.89498,140.36485,123.02731,100.540665,84.613914,134.86696,212.35802,176.74644,161.6309,146.31927,187.29852,62.644928,49.16669,55.889004,65.961494,38.885952,188.12802,207.9159,155.941,199.10501,178.17215,115.79178,65.060356,49.55273,114.77308,83.89479,162.13249,110.15484,16.809128,159.07133,86.369896,102.74769,80.48626,75.727684,174.66191,124.39102,85.889626,212.9866,88.1153,142.8142,106.74694,63.1282,102.211845,198.24426,135.61377,115.95786,86.81785,149.64728,198.62021,203.81395,182.21326,103.8446,99.13754,67.8565,49.585705,34.46345,67.99014,212.34615,144.84274,48.827187,71.07669,72.62648,116.31986,145.30046,105.05938,83.4858,169.96233,48.77018,180.60455,115.69225,30.460361,112.337494,135.66475,135.01602,166.89859,422.26984,657.5897,984.59015,201.27579,590.5907,351.17422,224.96085,260.09006,103.98186,48.705044,165.44138,154.01942,195.43678,173.44809,133.2514,142.91837,135.79808,132.20778,101.35022,56.111237,59.45865,54.81486,50.65001,70.37071,65.99989,142.82764,80.479965,180.20883,114.901596,207.1271,268.31018,417.1046,325.4994,116.3328,259.28152,169.24863,281.4071,465.41074,243.45651,542.5144,1581.1317,1041.8602,1024.785,776.3798,442.6875,86.31467,317.48807,325.7942,296.25864,305.1281,351.40808,284.22675,146.30034,175.43884,242.1934,111.81232,165.29506,191.57455,109.32013,78.76474,49.16011,63.302784,49.755375,15.984067,62.313046,203.60971,245.05704,157.13507,110.22868,136.81927,176.50264,156.1234,123.49696,181.16826,259.9054,60.66815,130.84578,179.39749,237.43271,239.99495,134.41495,119.43821,139.95474,78.704,45.13312,49.709274,47.518803,169.0482,205.77144,258.54135,284.53378,225.61325,186.44801,184.40034,157.78345,143.70299,122.326706,92.67371,86.87235,176.45593,226.58359,315.70126,223.82968,236.61162,149.69489,84.29141,65.87376,120.90693,136.32921,106.52872,142.22058,208.28378,140.97649,147.0632,122.89686,68.87962,156.37321,76.505226,51.05395,66.63965,119.10931,145.42021,145.8237,42.69761,94.21961,90.71665,74.96875,none,,1
565523.56,241560.14,1168.5494,2184.791,3640.1138,1733.4825,576.4572,513.85583,420.39297,36.85923,101.22019,354.11606,1435.5828,1058.9266,142.39848,129.68459,277.8706,324.9795,318.18805,230.08313,53.243874,61.784805,60.550953,76.96879,186.68932,93.91564,154.49171,124.221825,107.71397,98.45064,326.188,320.11472,166.85764,71.287025,138.08745,181.99973,186.39586,200.00766,45.81077,93.42633,120.2908,22.872993,203.1159,151.84993,127.89199,150.88513,179.658,102.80753,29.477753,169.35135,186.13916,137.24168,110.89619,152.74649,86.62657,88.607086,182.20607,286.00906,107.021065,148.46019,91.72705,93.79602,169.56664,226.7955,122.54398,356.71603,256.27774,226.73062,199.48807,97.32844,60.67789,144.14578,165.30011,154.00633,77.245285,21.672342,140.56195,171.61742,115.140434,35.198605,79.03909,51.04698,77.26461,101.3431,152.14932,112.21372,264.57605,175.80075,177.00644,107.643036,126.98356,105.801094,78.0612,195.41461,176.19336,114.20904,60.48219,130.41478,138.50804,78.06484,178.93492,84.64999,169.46063,184.97058,172.66684,149.86812,109.65587,108.4272,172.2773,157.57535,168.69463,112.57353,169.32256,66.71821,190.92769,103.78281,34.236984,92.94703,202.42468,170.86671,69.4582,79.06187,71.42234,36.453827,54.58137,34.89251,135.6851,158.14935,141.82582,100.28804,338.1731,616.7352,1053.2557,304.33524,536.26654,238.49754,142.31824,171.4667,128.0568,143.01622,38.34339,98.34562,193.12483,191.19891,234.1144,297.12994,224.95468,56.45852,46.645763,144.74437,147.69046,188.59698,162.55164,35.58683,12.482709,111.35043,89.21118,133.41039,164.67606,96.32993,254.19725,343.6982,77.58805,233.46165,306.67145,160.62265,586.4629,619.4868,452.7473,423.77924,645.44763,918.55176,760.19196,725.20593,331.4758,560.0033,204.24236,349.02356,306.32098,131.75546,189.05997,238.53584,283.50226,87.29199,185.92973,60.008247,161.25462,227.56079,89.07634,101.73121,113.462616,80.87997,30.036114,44.208,111.14367,210.94888,292.93594,323.32193,316.7245,277.7905,203.67009,182.9779,138.47034,284.73172,174.8117,177.73553,115.353714,47.957245,154.26953,49.232876,120.39737,98.23826,78.85503,168.34933,148.77351,27.636433,53.74897,106.76753,123.68291,39.220425,145.53116,71.46124,123.81317,107.53467,120.2775,115.497604,154.31882,159.28029,145.01517,137.13982,165.19972,45.753807,169.00339,293.17346,281.2643,232.94754,90.98594,91.6745,174.28413,90.71093,155.02013,130.53877,63.968983,123.4817,180.58595,186.50468,157.80064,158.93007,86.963264,91.62598,168.40857,130.45831,29.672709,65.86941,127.52746,118.26,0.8125,none,,2
568471.06,243114.84,818.7784,1347.2069,1133.0444,677.62634,1348.9794,1081.5431,352.71863,565.92426,521.056,255.29478,1115.664,813.55005,221.00157,94.448235,194.9126,250.61382,198.80545,121.762054,162.41753,166.99557,162.03648,60.069023,41.522038,164.86902,114.818275,83.09538,63.198776,69.88705,152.1053,75.360435,70.31963,208.3086,16.999125,70.26128,161.2871,232.54588,66.80777,201.11537,216.8946,141.86081,52.6334,166.89627,114.773315,41.641422,104.33803,138.55244,100.30573,109.86163,112.391884,32.929512,129.52576,43.211277,96.67927,72.254944,101.60407,171.59798,258.27692,197.51848,143.04561,101.63238,94.727,110.21113,214.86694,178.07086,158.07611,236.01541,82.43644,166.74721,173.02611,156.78076,143.53062,185.21138,208.73694,202.26729,267.93646,257.90372,132.11253,75.51413,194.96368,199.61272,103.55474,88.89839,86.532776,51.96796,193.44316,229.70961,178.44644,61.05654,162.93521,28.62866,76.67892,115.81544,104.15281,41.641415,47.387085,107.471504,169.03177,197.48688,41.136604,197.22559,139.34207,132.41818,45.458996,55.979954,100.94163,137.69531,172.01154,145.6014,191.88028,242.49178,117.72512,196.93115,150.26625,186.15015,109.604645,73.21361,210.3168,215.34833,118.60666,40.899334,56.48426,28.958624,123.229004,182.05713,326.64325,214.65504,145.4976,218.42311,173.1519,319.36884,1059.1217,398.76382,563.0611,406.84402,253.00314,195.93784,150.01495,258.11667,135.73358,64.05894,229.81287,172.51532,205.66132,149.79579,44.53726,127.27783,48.468983,125.60864,259.4131,42.859604,75.59657,203.9016,203.99162,48.76717,176.1245,220.33974,15.255357,65.451126,155.20801,80.709564,173.14937,260.0714,158.99219,327.46265,622.21655,611.3142,515.29565,640.99835,447.24835,816.3119,268.5676,577.79407,171.09373,201.58861,593.44904,288.52332,241.03107,410.10626,325.9311,337.59592,350.98257,101.76132,96.05136,150.78177,155.73854,104.45835,97.98258,32.4847,74.69925,188.5667,194.34717,161.1368,170.28813,43.84481,177.53778,259.68195,151.80232,81.18276,116.77064,181.2708,136.28838,10.988641,241.62296,117.8055,167.13551,140.96425,39.2102,68.63339,193.12706,233.25764,119.574745,97.38964,138.18797,85.35512,76.32816,183.53851,202.77444,217.8769,142.93005,131.33904,171.26894,69.90624,160.42453,137.25545,17.028484,237.62157,236.57108,107.39197,132.96442,95.118416,151.12407,84.90308,178.34064,272.48163,87.22937,78.15125,38.762608,109.33919,177.34206,55.248726,48.293076,131.75803,230.2227,196.21077,107.98826,88.8883,160.70242,170.93503,115.558815,43.883514,179.3859,72.44076,133.3483,50.603336,78.6875,none,,3
567896.9,242545.6,751.70215,573.8923,263.32736,894.0151,974.364,195.74353,541.52563,483.32394,564.0233,482.19617,1455.2073,1074.2037,61.55233,256.19638,160.60129,146.27463,97.73722,244.29834,43.109516,252.34392,315.3153,55.93561,123.39932,169.7276,48.73527,171.08052,168.204,169.0455,320.3391,230.64984,52.64233,175.63351,193.0127,227.65121,62.725224,259.8259,175.85458,213.49545,216.81882,140.37358,75.98342,190.92805,122.778755,317.02176,144.68893,286.3692,269.8121,169.4405,70.94602,131.22937,244.29463,90.701385,32.381973,273.9798,425.4393,210.54465,111.43129,57.856125,227.90625,214.06842,121.60968,136.73705,188.85355,139.73154,308.47983,257.16455,163.78099,102.78629,172.86288,119.784096,102.39069,422.3767,397.29337,108.433685,112.89771,198.23601,359.8295,106.53247,39.168957,144.42499,102.221954,213.17017,265.23276,106.56945,85.24898,102.95506,106.046425,144.28566,398.6702,193.5701,102.26018,181.34381,88.52521,200.76611,128.34717,197.61366,332.288,236.71332,89.15957,158.12704,253.56032,172.97801,90.967125,163.03166,203.64095,134.03091,262.96936,69.0056,143.77074,91.797516,198.683,208.99112,293.2167,211.33154,183.24937,49.375957,177.93842,82.48528,145.07431,95.70567,265.07983,163.29137,81.73782,170.06372,8.88466,299.09583,195.33665,70.95515,34.33556,497.68756,1161.3104,341.95773,539.1264,152.19075,88.95574,107.7821,42.002594,40.61323,253.61224,178.70221,188.2905,163.54036,230.01016,81.0581,220.54128,175.22452,120.44407,138.43343,191.39348,179.60999,145.4329,176.98381,274.21948,14.063728,202.15747,77.15018,214.37323,185.78876,96.65913,130.35637,441.28702,269.44,420.16824,349.18008,115.05991,379.26154,266.28418,654.27814,316.94272,389.44348,233.56174,451.31808,406.9041,446.33954,470.13766,151.30247,211.4721,151.90176,449.02155,453.03152,81.35275,39.356636,122.64725,59.29811,139.02173,120.6971,60.14973,129.62682,187.4186,104.05594,66.74254,125.13946,84.78384,80.19263,104.65604,98.38226,68.94569,169.40076,193.52217,179.7043,66.756966,185.4254,58.939808,223.3172,88.84881,30.299387,59.683304,176.47958,261.11542,262.99893,190.26276,178.1384,146.46368,39.38612,124.09805,60.58925,21.450747,135.31325,104.01905,97.03091,12.607785,200.869,217.53665,218.50082,97.22695,99.7295,205.42923,82.82825,37.706608,119.18255,48.84127,205.57956,157.61516,125.70089,116.279785,223.62634,174.2137,163.18355,210.56987,92.53081,95.44195,99.77453,29.806507,48.817696,109.72941,210.94713,353.10187,169.12526,91.32173,117.80946,215.03258,120.99507,238.21321,204.45665,58.75,none,,4
566480.7,241186.33,858.1976,724.0508,988.6652,1746.6681,1214.5195,886.30725,731.0096,508.37274,388.5307,433.16452,1436.1274,1096.1433,137.23682,54.14936,214.15106,471.92386,392.83487,290.1917,147.23041,135.54149,280.1845,206.84764,82.4014,287.33728,311.37787,247.6012,171.26926,50.18888,237.01753,234.1678,112.396194,130.19446,80.44251,164.93613,278.4909,185.96165,116.312775,176.88838,303.0992,213.59508,131.50063,313.80103,365.63754,296.29944,143.6084,278.1603,293.43912,293.36417,217.9713,32.40246,288.43988,318.55203,124.727745,203.3103,222.34122,205.16516,238.61395,105.76495,285.7715,384.2534,83.677895,305.87622,369.26202,193.06476,242.22537,305.42365,318.33093,182.63538,283.62207,202.21494,251.35526,273.3809,230.81935,40.919746,203.02203,251.60316,238.2238,207.8958,108.36419,99.85161,233.24272,335.7859,207.65855,86.68708,81.33612,150.99805,210.76402,65.80349,233.18971,216.42482,335.1446,153.36029,152.35674,18.769205,172.0378,238.29124,263.96658,213.87146,254.03973,277.70364,137.61848,153.35542,90.93249,95.59493,224.16322,266.14392,250.99126,261.32007,237.39778,141.3724,181.2674,74.55115,198.97072,138.38377,292.68597,63.175217,140.42824,242.60974,354.6936,458.0448,324.49286,142.73712,189.52882,355.01788,295.35825,60.156796,289.14685,395.0736,249.62996,648.2637,1155.8469,514.5897,698.7545,470.88623,145.62367,214.77557,184.8107,101.16968,21.834904,200.3589,300.13477,283.70273,152.66656,80.7316,128.35756,169.19029,36.77243,231.16182,270.04318,220.87164,95.17678,119.00237,166.69432,219.48746,123.068375,192.77827,144.2675,128.59877,243.36565,309.93753,478.1196,519.89355,586.54553,478.77383,650.6407,1100.4395,1077.282,701.04315,211.49918,305.96942,570.5964,464.3318,282.04788,359.21478,116.24173,50.934288,376.399,541.8784,362.70337,545.2871,614.99255,499.06772,265.39813,119.917786,213.73125,284.51025,227.83,91.17174,146.33401,147.94774,10.189064,126.002426,94.64297,49.6845,207.75539,193.19681,156.32016,67.31224,100.11578,225.87419,228.71184,104.98426,159.08826,129.32835,115.923775,155.60138,103.937065,45.04261,118.867744,85.929016,62.41431,166.5195,99.39389,220.47166,359.0759,292.2036,172.1703,139.78156,161.90381,85.919334,183.76675,123.162025,109.5517,203.54912,121.69711,29.694738,138.7452,188.9303,64.273094,103.11626,139.0373,81.060585,209.94536,249.86458,45.860622,266.90442,236.85645,182.63113,223.2358,168.46844,66.62682,125.86033,105.88927,28.408844,22.173632,57.189888,185.3757,197.7929,32.535713,128.1637,54.100136,62.76977,143.06627,9.934211,7.1875,none,,5
566642.7,241978.58,535.44995,413.03305,525.3124,730.864,361.27133,239.56456,188.95741,251.11887,319.15625,570.9719,1602.6467,1234.1866,171.25186,73.29154,177.38147,154.48961,78.364075,170.1798,118.73994,75.77285,128.32426,66.8693,185.82329,153.39362,125.73759,72.675575,49.61026,102.26878,142.82161,269.41394,207.41643,123.79414,96.85567,150.9608,213.26852,223.33235,151.25201,79.78471,180.26913,235.74617,207.12886,267.54037,248.84064,228.84691,168.56706,186.52946,257.09308,338.2307,279.3979,211.35365,175.35614,214.85527,309.92035,125.93427,167.90347,213.20683,173.80762,101.65394,81.277176,159.85812,118.52512,181.51955,174.45001,252.41257,213.50496,144.74011,163.32361,125.709625,226.97308,497.4396,340.67126,101.91237,84.31423,204.0265,207.60605,163.66406,144.27037,133.47498,34.99682,185.37193,325.8036,400.7866,372.47,345.29608,338.6741,357.66824,321.72308,171.62524,93.34564,315.5325,287.6272,188.27853,117.54405,65.818634,216.15756,226.71097,210.15121,419.20618,432.69437,96.07441,79.89436,138.38052,76.25745,106.14793,176.36516,65.30721,94.31073,158.53,116.852554,65.09052,131.5879,288.95905,232.21317,6.7618275,280.37796,255.16945,62.99808,121.04016,187.79399,189.3104,280.0121,391.3517,381.5406,166.24152,184.02063,222.88875,235.1013,271.15228,361.9821,522.98944,852.95764,96.31199,607.5589,323.9951,151.50706,70.88551,69.30032,79.17891,121.225685,131.39723,171.15758,289.86273,354.7842,218.58064,60.562603,84.52563,26.593668,63.195644,73.8262,73.29098,92.15656,107.88442,207.45952,241.83412,227.36488,66.43226,225.83594,274.51895,311.5957,199.63783,174.79434,279.74966,301.8387,267.4972,341.96838,442.41513,376.29422,204.68002,1790.8824,2117.1968,867.2584,545.0609,552.3442,496.28735,221.9846,295.07318,334.3894,303.02155,448.5811,416.13248,424.04666,400.1287,314.88916,133.57516,61.27715,68.72252,203.79863,22.045795,154.2282,140.74858,146.43596,138.99863,63.684013,249.3752,250.64767,125.704124,188.49704,73.084755,101.67039,115.88719,82.70987,69.39962,313.64362,310.32254,199.69804,38.4867,204.60583,241.53764,126.14702,70.70943,187.54704,195.66052,156.75618,107.328514,63.69106,172.60043,259.04132,332.52698,330.69357,152.4947,38.808113,38.542194,42.70422,33.4426,164.66202,207.21146,292.3555,330.61093,249.14575,94.849594,89.04534,149.3392,115.9406,169.68738,250.36922,114.9359,168.66187,152.6912,93.93066,107.42452,78.18769,75.052734,91.05584,137.74397,120.74753,96.53717,69.09867,200.0498,104.7573,100.22943,96.67524,126.137886,221.06544,171.07137,88.5625,none,,6
566382.8,241894.08,667.64606,437.52545,884.9939,544.43494,322.22873,427.29828,582.1901,338.47543,157.76407,300.80756,1500.7885,1189.3297,112.65757,197.06,300.8751,261.41556,211.96121,245.4237,128.67274,134.50818,242.95926,263.7331,285.33322,128.5863,170.27625,233.71286,248.7555,320.52615,129.83339,135.08534,169.71924,93.84613,111.95137,104.65578,51.56689,30.66791,86.28551,102.44582,69.36424,72.713875,134.55602,130.25821,92.8298,184.76692,147.1474,127.6181,126.65822,88.14485,113.84578,61.77102,127.596695,178.14168,128.2592,86.481285,152.80249,148.56801,148.21017,149.74825,141.76701,65.362595,154.05081,162.08656,107.45805,135.48195,51.738113,62.564884,132.21242,135.50629,118.212746,136.13403,114.13742,59.585175,94.70506,98.469765,99.499,70.04264,20.865454,74.29959,168.32147,187.76082,168.95146,121.726395,154.92407,316.87216,136.2996,112.94067,192.31613,116.59129,68.44132,244.10426,218.0116,123.13926,134.85823,283.98825,276.96387,128.63228,55.173515,160.65092,97.73824,90.977234,54.59703,172.64497,202.29443,65.031075,97.77082,30.147106,119.911934,193.02829,180.02779,97.75005,91.13633,45.71364,76.97515,148.31615,244.17897,136.0885,90.11735,160.1777,154.50063,240.61617,326.45816,164.74086,203.97318,355.73257,349.65277,303.4589,265.00027,214.6829,274.01633,558.67114,1060.3741,274.33395,585.1931,293.55804,193.05391,151.17667,71.44939,146.09537,155.50668,148.37744,33.67865,109.36347,267.98596,209.44098,255.72305,236.49286,126.04849,115.51124,136.9885,143.3952,215.53712,308.08392,399.1903,254.28313,228.25235,199.98688,132.16415,278.8925,404.60165,283.46436,438.59375,690.45233,669.37274,741.7785,702.7082,645.42365,874.1175,570.2627,1506.8365,1964.031,571.7738,555.13934,135.18413,292.7123,432.45074,401.8217,389.72156,356.38275,347.24774,241.60548,252.05925,272.6276,252.26402,221.37079,92.990204,125.221054,105.80468,129.87085,169.54848,155.19151,161.37874,188.51129,342.91415,385.65854,278.71567,125.29659,95.341385,190.64778,131.60037,198.48479,201.81076,145.57756,128.70222,130.74898,209.45146,215.72504,17.256668,101.4686,169.19536,213.85033,190.68297,182.5508,229.44371,144.05981,161.26788,293.66638,185.01405,122.143906,257.1087,193.0749,38.169018,98.67141,135.56544,200.60323,141.37175,80.85521,58.916214,105.8898,62.02032,71.061005,73.0779,46.105396,157.42256,161.68222,96.324036,104.68452,152.94417,91.01281,71.8517,79.89536,92.53832,20.111763,32.566956,147.27266,116.07212,34.024883,76.14359,147.70865,297.3152,159.4763,81.08759,111.11602,46.88521,79.65636,84.9375,none,,7
568476.1,242904.56,425.5586,1052.2926,1181.4528,706.9883,436.7593,158.15477,467.81473,472.28818,112.5362,317.25366,1412.1271,1101.8812,121.548965,48.344357,126.281296,27.817629,241.23268,133.44235,169.42555,192.93869,126.29087,74.43925,147.78996,111.135956,30.464804,85.364685,96.61188,126.42144,220.38623,170.87614,106.26021,77.55165,70.35617,155.36095,109.686775,135.38788,118.0408,109.96722,122.38012,42.06715,152.0014,246.79425,272.87973,204.50589,176.28749,268.54636,78.1017,53.053066,93.96109,167.76773,65.052124,33.78906,173.86624,136.74124,52.920593,157.6255,233.08035,278.39722,317.48203,241.60692,289.5358,238.34265,111.75324,14.018202,69.28222,77.311516,43.282322,42.46411,86.98739,45.69958,137.10835,240.04514,141.52046,134.43127,181.00934,146.9639,82.13241,138.20142,47.25862,210.12735,149.21693,115.48762,209.40245,170.02855,157.65524,197.02925,74.167,110.51947,83.745415,22.362123,26.767262,99.45595,153.10423,253.84361,156.01675,69.57126,244.69002,349.46143,246.78458,169.95564,116.45051,28.199165,54.2101,51.46561,150.9907,60.19374,91.028824,186.42137,234.71553,355.0949,188.0992,166.74548,199.99025,128.69254,101.857254,170.17857,37.71776,177.85025,212.30946,39.098785,130.9528,107.12482,85.22635,111.33715,183.78828,135.4941,155.30446,39.3473,279.31522,574.5268,1017.7982,264.6697,503.0187,245.51271,206.96965,277.23328,169.60135,123.04248,166.50046,130.62427,129.25534,117.861374,123.48761,217.49846,88.02997,167.465,122.53051,180.43607,41.25395,150.46117,278.47723,337.9615,326.06683,159.90866,123.52883,128.295,280.58618,140.07608,132.80986,250.21877,346.22433,463.61755,389.11902,377.4662,463.66446,455.16742,378.35333,499.67017,85.15949,496.72028,235.08559,617.72516,860.06335,434.6051,313.1725,344.17694,240.54535,242.24504,364.23032,240.35847,80.09605,67.57386,82.42881,169.9392,74.36367,137.82365,96.24614,52.440163,89.55863,90.63516,172.45758,262.5652,63.06623,107.051926,196.81111,243.42238,284.19882,290.0685,189.90958,165.31787,199.33774,57.71688,58.609787,40.32833,101.28935,82.57739,61.55301,151.41557,275.40002,168.16591,109.29283,151.03116,176.40518,150.08269,113.98864,107.90085,174.37607,149.65988,255.40942,129.5778,153.2797,68.03013,125.524734,139.56902,151.53653,94.12684,68.064926,111.84029,199.51788,254.2527,145.45619,45.796753,202.70056,241.90874,37.47833,88.59101,81.93644,246.49652,266.88626,109.699196,153.96292,179.82939,119.836945,255.5384,214.00348,59.376633,48.407143,74.71269,171.5716,109.78411,34.214027,43.68158,177.33626,259.00616,353.84375,none,,8
569388.9,243365.58,705.1055,667.477,1103.9208,773.64716,433.05923,310.50192,381.7655,151.50894,243.1488,273.93036,1393.8353,1100.6533,262.38434,180.65752,59.17576,127.25765,97.545715,157.8163,71.82814,161.01747,118.072075,96.232574,25.793335,91.581604,145.23557,64.04936,134.3772,288.5416,277.35114,185.26419,50.643974,253.55838,258.5417,212.31541,170.74628,117.771545,106.36592,179.032,272.43182,135.53941,88.44932,103.05452,226.12798,126.8092,61.81506,97.69724,138.0282,39.992245,150.94624,82.74879,128.94713,86.21656,51.89972,63.239513,100.55694,215.38359,190.26076,64.41889,138.82942,45.1587,115.34681,150.7989,197.23589,118.99939,4.6066804,99.20214,120.11563,66.83772,14.44683,59.69734,186.96054,180.03958,45.74519,72.61771,185.9244,213.51485,216.08105,107.32059,135.01372,56.77862,143.99397,198.79205,87.554054,133.00917,179.39328,109.17093,207.53534,178.4045,81.19979,40.45981,67.40439,64.62068,165.9376,203.38144,168.65831,207.72775,261.79068,112.86108,126.72649,113.78818,144.65138,193.6332,109.09458,13.815918,212.038,195.29947,148.91187,43.0481,107.534874,150.30446,120.435585,337.731,263.8261,158.75789,158.19862,223.36935,170.01205,237.12653,231.57787,193.05476,82.493706,74.52571,145.34872,151.84453,103.47812,114.92164,209.78285,461.55936,468.93933,554.55133,986.9386,387.84167,430.9673,133.16429,206.6962,331.99612,95.65537,162.86282,125.65794,69.80047,45.59671,226.59833,90.231575,131.31207,89.75445,45.805447,123.24601,138.31172,77.88768,253.26614,288.3259,202.08107,204.84991,179.94647,187.23605,76.390015,190.47908,228.12357,181.38869,103.97856,57.68395,163.77507,306.11398,394.1201,20.269087,47.32063,539.0848,726.59424,660.87115,758.71326,567.7337,364.7149,404.37723,79.61835,208.97717,230.01385,65.71082,273.5912,183.70099,158.15578,3.8911836,25.737778,127.67231,296.06076,185.9042,145.9166,53.33207,137.97574,162.73651,142.37715,106.938835,151.9419,26.69218,48.66834,197.63533,186.13097,147.32126,242.70003,225.28523,123.043976,124.992325,20.0086,84.56467,15.920366,164.13173,192.3423,199.56679,48.337955,17.569258,196.10931,258.16287,124.67978,80.898895,99.94011,81.69062,92.677025,51.980583,241.47083,222.17017,70.90016,73.107025,100.212944,99.11016,80.22671,227.40263,97.58192,80.92951,193.8997,106.791016,145.87016,155.85527,117.653046,81.65406,91.69101,98.61313,124.478386,217.16571,252.40166,230.87743,365.3151,149.31053,55.479053,119.9657,131.26665,31.556555,85.52476,92.52749,25.8311,19.886406,45.07405,74.38257,63.045868,156.63081,151.6658,410.03125,none,,9
