bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125,bin126,bin127,bin128,bin129,bin130,bin131,bin132,bin133,bin134,bin135,bin136,bin137,bin138,bin139,bin140,bin141,bin142,bin143,bin144,bin145,bin146,bin147,bin148,bin149,bin150,bin151,bin152,bin153,bin154,bin155,bin156,bin157,bin158,bin159,bin160,bin161,bin162,bin163,bin164,bin165,bin166,bin167,bin168,bin169,bin170,bin171,bin172,bin173,bin174,bin175,bin176,bin177,bin178,bin179,bin180,bin181,bin182,bin183,bin184,bin185,bin186,bin187,bin188,bin189,bin190,bin191,bin192,bin193,bin194,bin195,bin196,bin197,bin198,bin199,bin200,bin201,bin202,bin203,bin204,bin205,bin206,bin207,bin208,bin209,bin210,bin211,bin212,bin213,bin214,bin215,bin216,bin217,bin218,bin219,bin220,bin221,bin222,bin223,bin224,bin225,bin226,bin227,bin228,bin229,bin230,bin231,bin232,bin233,bin234,bin235,bin236,bin237,bin238,bin239,bin240,bin241,bin242,bin243,bin244,bin245,bin246,bin247,bin248,bin249,bin250,bin251,bin252,bin253,bin254,bin255,bin256,class,all_class,frame
567360.9,242315.33,708.56256,1471.5607,1063.6459,1575.836,2033.0975,1176.8438,192.38333,287.74588,280.23383,379.69952,1336.2002,1044.1792,466.85068,419.5125,172.0044,142.89217,263.17993,307.77762,388.61487,275.7506,34.14527,170.17822,287.57095,300.73245,355.53,364.42548,148.25093,294.01654,231.18611,91.5409,45.67699,108.07812,175.80612,285.44815,355.2841,280.3914,69.8209,58.425236,25.102684,91.490685,199.93387,261.43945,267.6294,302.97818,368.8887,271.88593,67.86988,230.19965,42.817524,17.716444,139.13521,175.48753,146.05418,99.68542,132.14528,145.39441,310.22266,151.57233,100.05715,313.42935,319.88177,124.09491,44.327545,73.45661,129.30588,180.55531,73.07325,129.41562,133.00839,107.64348,36.11318,146.42294,158.00723,224.94534,208.73315,119.72535,183.11237,133.9333,97.43823,300.49985,162.70322,185.93213,117.53003,108.6998,169.10078,158.95741,242.01146,169.455,83.84424,105.59098,190.65198,133.31017,275.88867,64.81803,239.70238,225.37833,166.53784,58.44894,129.41321,95.54687,143.30719,205.09482,182.38597,229.02126,289.13254,64.49137,274.96048,269.2729,167.21353,106.3138,275.61978,164.79816,185.51128,126.07831,140.17545,143.40912,135.29846,204.59355,148.97087,155.46613,135.00887,155.93452,156.6139,118.44305,203.22684,288.66296,260.51727,424.92654,697.0488,764.6317,979.3725,103.05982,516.2014,334.30832,238.1102,46.86041,190.83487,174.36807,132.83711,295.56146,425.30362,134.22562,109.69053,368.35187,305.40274,218.28522,305.34683,385.1705,397.94876,78.89733,217.9718,131.53534,56.14764,230.4764,443.51843,560.90204,308.51694,162.3118,496.87076,762.20337,394.98923,63.767506,406.09586,180.1637,400.4412,518.5855,368.4473,652.3114,531.61096,434.7958,785.0535,361.19815,242.53342,639.5387,674.99744,654.46796,208.91583,250.67894,364.8037,471.20547,261.74088,299.061,491.89212,446.34735,138.89098,226.70009,85.537125,85.998146,182.25089,310.8355,337.72327,286.8008,307.74176,458.7114,296.05133,209.77046,255.12636,92.544945,120.99697,86.42551,227.59752,156.28221,184.16617,183.5108,109.98831,137.19452,175.90373,52.70713,100.58388,147.32375,287.07626,141.92212,342.01245,162.70444,56.988136,89.786835,194.9809,284.27682,186.47768,196.92377,132.2556,191.95927,78.41972,147.63641,219.75188,173.89954,385.68698,198.07332,240.05077,107.71871,66.99946,197.37862,265.19727,244.90955,112.12935,229.47284,128.416,71.47983,116.399605,188.99872,140.16168,90.81439,170.67274,163.4661,132.77264,214.73105,55.7719,245.55888,209.65982,187.71213,176.66608,81.177505,194.53262,271.76254,436.46875,none,,0
567318.44,242362.3,1197.9716,911.7605,611.40027,208.44353,480.6889,210.68475,528.3299,142.85284,282.15564,606.53143,1358.0846,719.3377,244.1464,43.755573,278.43414,292.4558,260.66623,210.7398,188.52713,129.74117,78.01496,138.51227,418.18146,272.6599,238.44453,366.50342,143.62029,129.17793,282.4332,332.76855,126.836395,40.23714,14.554312,77.19272,145.2199,131.33684,148.66273,159.29858,75.334305,161.23495,230.62186,279.20108,197.768,136.16875,388.1093,172.2777,194.9791,10.5283985,279.17847,238.0044,260.16754,203.4059,149.86375,225.6236,280.65845,376.1876,192.66809,176.1604,173.6332,121.9033,101.81274,66.99607,79.9414,206.84448,209.72018,84.81867,212.67451,221.91412,147.94528,122.903496,188.11127,295.2309,151.72531,143.82391,385.54877,472.8701,335.9829,61.76583,397.74844,299.4925,202.03537,216.45972,49.47373,276.34738,305.96255,317.64578,320.6359,240.00563,101.72218,90.502266,82.02994,219.31172,47.464386,396.7367,296.53815,72.83576,247.99178,376.88943,221.66814,145.36809,151.9501,155.22153,264.55615,128.71292,190.94778,172.55782,132.02296,15.745561,176.09518,155.51685,270.50275,249.47868,178.63184,56.49136,215.04271,177.17032,220.21173,282.66815,36.93958,196.98419,313.67947,422.3176,417.21008,241.92638,173.74405,284.69385,106.10954,182.4591,373.97952,563.67084,866.58704,171.21568,512.284,362.83228,273.35364,289.20142,234.26746,522.332,311.61145,197.02466,316.48398,137.10489,337.58655,402.7513,360.89124,106.133316,40.038406,166.62599,267.87607,89.46232,171.70428,103.76836,308.41983,319.6824,266.45383,389.23566,217.40741,260.22067,42.29717,399.9741,161.08702,354.35663,207.7922,341.21713,561.4579,384.5243,237.7748,371.89075,159.8735,169.1195,609.0989,544.732,487.10455,142.36238,980.101,710.1238,307.75464,445.39435,467.38162,173.6271,238.25304,106.02321,315.81647,151.37404,309.13116,98.084755,135.00569,284.19614,184.74153,102.04905,232.72359,250.4503,103.6415,128.92145,107.25644,198.71056,253.87547,127.46297,57.37502,159.04071,214.41685,183.7432,167.0772,73.23037,36.811157,40.758316,83.66011,234.54231,168.94707,122.75706,72.67891,148.9191,149.3239,278.37485,128.84508,114.14575,163.89034,158.50406,172.41663,117.62956,239.06152,450.681,349.45358,203.0759,259.44275,417.16885,299.87207,208.5349,212.69217,334.70154,202.82115,352.65875,243.75572,66.08491,287.08905,231.96292,179.22885,315.6777,208.3448,211.8026,199.69753,119.843445,10.114866,108.00557,205.82616,203.04758,142.8291,201.17831,149.67108,158.58734,218.47183,228.16095,156.65639,126.8854,165.9375,none,,1
567289.0,241874.12,406.37927,1971.9087,2001.0823,1387.7288,1468.1187,1031.2999,475.47696,570.4536,193.47604,125.69481,1064.6256,1055.3989,232.07089,323.84946,202.84999,80.27763,60.119564,41.68257,52.79742,83.23679,128.01018,348.94278,261.22708,323.73044,283.94553,106.98564,91.214035,71.10785,155.09085,41.374363,82.922485,289.77704,309.1943,217.78252,299.52658,410.22348,264.27237,58.425735,122.697845,51.631577,61.113396,103.26114,234.1351,124.465294,262.2615,140.3368,164.12363,169.41768,252.63885,53.549976,44.368538,343.20538,313.02777,225.14885,134.69702,302.30365,246.80739,141.11469,286.7619,180.5505,73.73523,110.03467,69.94117,36.35465,86.53397,113.12272,325.16516,386.9886,258.85727,184.24356,252.36157,125.0037,257.2766,344.79504,342.48627,191.25348,211.62206,406.32788,340.92648,82.5078,106.538635,201.21735,370.5027,370.01633,367.64542,323.76486,260.95468,157.96751,227.58528,234.48694,245.71815,53.884605,152.48201,159.31084,45.89165,192.42778,112.61399,63.878265,268.40717,152.93336,54.728775,158.34969,182.89157,129.37123,204.7716,166.98036,211.9878,212.55396,106.67193,14.081242,62.766148,70.09041,123.31278,200.2292,246.14755,145.59001,179.0841,165.24069,188.61285,129.01007,143.64728,197.19164,199.65732,77.803,59.42763,82.738594,329.67145,364.14474,360.87326,516.2642,969.76697,374.71918,256.1995,148.01158,219.82104,350.392,28.122051,313.88803,267.6906,130.16096,140.76007,209.84389,331.16296,148.58043,101.821556,170.9809,170.46976,44.348015,288.5664,210.59172,390.6194,418.68677,83.96226,77.73704,206.79921,185.12657,264.66284,533.4051,242.2473,556.4969,260.8178,295.57083,590.0316,470.41248,393.3649,676.3701,808.67267,412.61542,145.80054,180.5471,161.53473,682.4335,628.9175,466.91,704.60547,925.4968,526.65106,293.58887,575.27374,605.6738,189.60991,234.83846,139.849,467.06754,536.6466,371.0405,164.27061,192.18715,209.12285,286.8976,349.90854,193.56967,76.070366,120.206184,174.58395,72.14289,59.447243,83.22528,20.89187,130.35376,84.95116,27.226082,106.77528,209.11617,272.15915,289.40704,208.57965,13.712006,78.20891,136.34811,103.93113,41.26377,193.31732,243.29216,166.85759,83.84755,221.8476,180.67625,54.54805,136.39755,93.07178,206.33388,116.453636,51.995663,169.5147,144.36922,45.64693,94.30443,157.12898,219.51837,55.62645,165.5743,153.82355,107.11814,279.02393,212.7181,200.55899,225.87892,191.2317,148.85504,364.09424,323.23734,135.52914,45.877422,134.06792,177.6093,86.12552,62.24687,113.87102,156.89452,51.69881,78.0517,50.997158,168.29247,249.0625,none,,2
568014.0,242748.0,621.1592,369.77353,1826.1302,1304.7695,532.95233,595.4822,450.7749,641.0468,446.53537,306.63873,1108.3447,517.1516,240.92369,224.96817,375.0401,463.12985,342.0088,280.30493,256.89523,283.77005,355.4432,288.08142,122.66609,186.27153,298.3113,270.2545,180.87538,177.44159,188.04512,234.73303,61.37077,95.07013,158.20317,49.269333,236.53743,288.17172,381.68185,345.57245,240.84883,171.89096,109.53918,9.358257,261.948,126.44442,120.581764,296.9602,213.14943,202.36317,103.108315,289.7394,308.66736,40.929325,106.5035,279.76367,205.20317,193.89417,208.70876,201.5361,179.73259,221.0556,69.58624,174.86478,87.45209,216.02364,322.25397,243.31027,189.07547,153.50266,56.728447,123.49941,165.56888,78.65784,229.74777,181.07066,216.06282,92.52648,333.515,192.39343,228.45053,201.18016,313.55338,111.06298,103.4847,238.7055,109.40795,307.9221,219.54709,108.61551,107.597275,237.94328,305.41086,178.49046,75.87993,43.454987,124.4059,120.97212,100.889626,141.4994,347.59244,284.6472,260.14322,156.78983,113.52694,102.26833,205.26509,168.71318,207.75043,227.85297,26.51627,30.38277,55.708923,70.53405,91.725975,167.26393,59.27983,180.06161,293.4187,241.41122,156.9243,49.249424,270.52054,242.83221,37.93648,180.56068,304.99063,389.53506,440.1305,258.46024,205.81816,447.54318,1079.0184,409.15683,446.62964,389.8618,327.60074,474.50873,43.407726,269.3944,116.09613,155.38231,64.239296,246.76828,333.01364,150.80965,144.37912,195.61023,84.514244,92.10597,168.92801,308.84497,127.48082,292.19196,393.0175,455.99377,358.3398,350.59003,67.77682,424.66144,217.88531,349.12317,361.66483,432.95938,763.077,574.4572,184.77849,509.436,671.2215,334.98343,188.36188,184.1846,534.8855,797.29535,146.94379,614.07935,700.5475,887.37366,643.45996,202.20724,412.5412,508.99683,603.7318,573.9424,356.27228,221.44504,158.7698,351.80658,115.171906,79.34156,183.48955,153.08737,146.53236,433.19193,330.6689,162.53186,126.393974,313.1926,200.7994,205.7691,309.87036,274.77252,153.20154,183.60638,259.34308,295.3458,93.59384,158.34254,206.75626,227.37776,142.63931,101.42345,169.91728,204.09776,185.21242,253.3681,224.30644,117.752686,173.0419,186.09424,351.94348,292.31546,152.90623,108.23872,57.465137,50.25329,127.71465,289.77823,176.04222,209.43666,256.13782,297.97754,270.88934,304.32297,511.0384,458.96127,104.316826,213.78482,204.04887,140.06628,90.186485,121.36697,202.72516,86.50094,146.72874,41.537838,94.19862,146.992,137.8015,303.26447,287.30273,155.8729,40.0472,43.162193,184.44104,118.59979,156.65625,none,,3
568101.7,242771.08,1014.03546,2111.1162,2867.8416,1193.4053,335.54913,515.1945,1017.18115,306.72195,662.85596,430.79602,912.09644,624.85626,334.46606,278.2835,159.48647,134.95131,272.58688,134.28738,20.242573,111.05964,145.8043,116.37998,151.48973,111.16854,237.58736,221.93341,37.73009,234.9384,138.0057,196.94678,30.136538,255.32425,306.53674,223.0342,30.962456,278.76807,323.56677,281.7414,331.7772,241.67964,352.4846,457.6298,424.58734,290.24463,251.65594,150.9481,149.18103,162.70021,61.72014,180.21121,219.43282,231.75311,370.84845,256.95676,130.50769,179.59076,214.77518,70.44955,128.90065,154.91713,101.03074,195.97531,299.76767,216.28648,139.99278,139.10318,97.06283,163.27028,215.9475,294.99493,147.24133,181.00633,170.67276,310.9747,412.33362,300.766,164.83878,181.02065,479.57687,406.0401,187.46298,286.38855,133.48878,283.9083,454.61383,179.59886,226.87196,239.8145,143.7818,66.87195,179.9549,244.19907,208.52078,36.446445,269.06204,234.91605,114.53195,241.1479,132.00449,38.552574,22.552893,134.70256,40.58247,123.91343,112.44382,189.65968,98.20002,102.368706,226.94792,232.4083,157.1604,167.92065,74.54903,146.39827,176.74208,41.99228,272.49023,287.15012,203.45445,389.1524,284.02725,127.046364,151.98703,198.94336,156.91579,71.78203,194.94156,197.51283,394.86896,648.9835,977.87054,327.62643,640.871,289.9394,313.90955,302.31308,116.42185,348.9958,411.31552,375.39883,148.43312,91.50321,169.2026,191.46344,318.83273,198.21898,205.93135,335.01224,462.84473,369.0831,227.5223,343.16016,326.42166,273.13135,91.91602,32.317554,167.524,213.27693,242.84436,276.94464,267.92737,286.6283,170.36949,122.83105,340.50528,345.63644,309.97995,454.11176,103.83192,16.673918,247.18312,587.21405,207.35141,497.76785,116.8718,274.6291,157.56508,290.73898,58.60956,128.01988,399.57785,606.0551,397.33997,180.51472,58.789017,143.31314,72.4506,105.527374,123.22025,231.87753,115.50968,93.668564,116.40756,92.846375,272.47324,370.8556,212.83128,70.82978,134.20311,371.36725,196.34604,198.79143,188.75487,149.21588,143.04047,85.67733,156.17717,79.88768,131.2176,209.69102,190.95038,88.8093,106.25818,256.41284,110.77281,275.78418,155.79874,216.522,274.6802,216.87538,161.89801,52.26669,20.240955,93.3416,173.8075,285.91504,207.94069,90.24694,105.56018,61.058197,107.10907,41.15392,233.03569,428.02786,112.75835,312.12906,356.5868,214.04622,84.56959,218.53215,240.35608,176.48401,284.48483,212.73204,42.8099,197.02054,277.05563,204.56413,224.39674,88.71889,36.689545,149.55533,224.31313,105.39034,21.9375,none,,4
567727.25,241966.86,946.2968,1495.6173,1885.1005,1406.2172,679.9455,401.703,592.90656,121.30218,281.51727,392.0782,704.919,710.86835,235.62975,353.38742,171.24393,213.28783,241.29185,44.070053,168.90184,177.00322,206.84262,356.00735,431.35422,374.43646,209.09535,99.88923,119.45398,264.4822,270.96173,101.806915,127.52414,165.50468,207.38933,96.507866,134.51344,58.34733,126.8291,200.20421,244.94835,272.91083,256.35245,89.05355,115.085686,250.42119,290.11755,320.1526,156.77002,99.96263,243.81917,208.63333,232.82576,304.305,255.41107,411.3905,215.8205,116.5403,104.71899,115.620705,169.2198,164.94902,152.57375,51.066025,157.47588,162.96724,206.9583,185.16606,130.85895,303.2524,197.28075,132.18657,72.94653,51.19489,53.83323,125.56283,182.30176,109.94155,70.84864,89.93568,207.11197,263.4867,69.49262,54.48827,97.905304,90.30659,210.53282,303.49097,330.93707,248.29985,122.081726,264.12286,244.19304,270.54092,286.6662,196.92473,71.30234,210.50171,296.05115,19.47389,232.1347,276.11084,229.82571,131.29231,195.4343,145.22432,96.471436,105.51963,270.3388,141.11514,30.943802,110.63599,74.990715,233.13333,259.72388,159.20125,91.76693,51.58501,160.68144,360.6334,328.0072,191.06734,453.1142,326.44772,157.89572,43.651127,130.63277,326.86523,379.20154,204.97891,263.47345,453.42728,903.8715,360.45468,485.46857,472.49487,330.0353,414.7795,288.48447,122.92784,86.58909,140.94849,188.9158,247.9624,215.85583,176.91574,127.40665,196.53967,157.84824,230.51973,376.9667,207.7492,257.12283,90.308075,203.10379,254.24324,303.04462,141.15636,126.80535,242.89563,193.94464,287.06342,134.46431,712.89465,526.52795,491.8174,308.1861,511.27087,767.2491,648.8788,347.8737,144.98624,199.30635,600.4145,260.30756,1065.1736,890.498,332.19846,380.3364,427.47314,517.3335,600.41974,300.00418,243.88605,183.49365,270.76035,339.5144,325.45245,376.22787,419.48187,352.96567,327.07596,219.51898,177.06978,255.4264,275.18323,124.19405,118.64818,287.37518,178.60426,34.55771,172.15297,258.5057,292.90558,193.05972,70.274185,233.33992,329.58508,291.66364,267.72812,341.34595,294.55066,332.0906,307.58478,309.74,62.88461,264.27216,281.0402,55.238506,169.52237,277.76508,31.312105,66.37528,170.7598,270.9201,297.43112,237.25539,159.40959,87.31118,121.14455,132.12927,135.20534,144.5287,168.56981,40.264713,244.382,375.53638,133.02722,244.58937,188.20303,156.05429,108.70129,115.91435,278.6264,201.06055,15.638264,105.6128,265.10016,301.3624,150.91698,76.99797,142.87143,182.49626,79.13221,121.314316,120.431435,136.6875,none,,5
567752.1,242378.17,100.39382,332.77655,1672.7803,1718.543,1101.6716,309.76837,424.13077,301.72693,272.27594,253.14268,1304.7421,967.1672,88.39169,185.1103,33.102947,317.24957,250.97655,349.5331,99.28203,84.064354,121.57473,210.69916,45.853275,181.55162,345.0833,264.38684,196.11917,107.55824,208.61206,259.75845,136.45088,200.53226,40.396717,393.68292,366.72562,123.11356,170.16905,56.447582,183.4987,295.59583,437.90863,200.65128,313.63553,318.47284,63.771057,50.216602,173.74757,223.48558,191.38853,101.18451,258.77634,101.30904,261.8814,155.21603,192.40302,237.32181,176.19089,240.96733,414.152,262.10086,68.2312,53.479008,203.1823,103.98921,227.20328,168.62947,149.55153,138.08102,302.64865,297.96942,178.8466,75.21542,211.10544,258.79282,275.27307,215.98312,214.03777,100.789894,194.23524,289.21564,192.70537,62.088207,65.12758,179.29265,95.81596,40.915695,127.482864,242.34308,70.99941,29.104488,36.56556,184.27054,106.30902,49.789993,55.30167,213.17552,344.12555,231.38724,55.05903,92.214745,153.76854,134.5777,32.253803,31.384357,89.05622,153.41881,429.08722,395.2558,194.68184,131.007,239.19003,163.26797,88.61492,126.42543,281.37585,368.41946,367.95566,322.20538,236.0935,264.13318,395.5582,225.44528,210.10426,92.6767,113.00756,153.38087,322.46246,249.92422,187.31805,414.8243,917.8581,206.38658,425.92487,164.38794,175.48169,157.74399,363.36224,417.26715,265.42816,35.14089,27.98113,103.64282,229.72113,196.41638,155.89856,180.52972,57.034153,62.45005,266.1592,260.7166,289.75253,308.37628,339.6054,178.24345,142.8497,192.83945,314.34296,577.33295,576.15546,212.58072,500.28104,239.41243,760.65326,843.4032,600.5071,481.47272,351.7339,374.50247,467.6506,344.47412,484.80566,617.1408,360.1218,936.8053,775.8598,284.42972,148.00441,131.84825,570.85095,638.59174,373.5736,90.68976,212.67097,453.53885,155.5759,235.71904,382.28116,207.90851,318.10706,291.7653,97.95034,233.7269,289.60175,55.590313,201.40833,215.49004,301.71478,194.75435,164.00935,55.119358,169.01672,326.4323,298.16205,122.45614,176.0429,244.20181,274.17163,232.80846,90.16254,68.921455,214.11818,171.20253,338.94446,367.9556,241.89607,232.33723,396.7943,222.82866,249.87491,231.90239,85.43275,48.304653,137.8981,99.785995,51.661655,116.486244,147.53624,142.8949,150.88028,149.0431,189.72192,122.6311,118.51128,24.97188,62.995235,125.03367,103.122894,181.27753,170.9929,72.22005,101.84762,198.88086,172.09886,104.22789,218.1175,116.87745,112.540855,145.48273,262.41302,143.9093,167.19995,271.24545,221.37485,259.02515,341.625,none,,6
567208.4,242161.27,225.02953,1328.35,1415.9468,521.8731,503.42538,672.6582,368.6469,456.14215,339.92432,356.42966,1308.9818,1172.0194,304.1753,119.51851,367.49496,355.88037,531.7609,333.22067,81.32582,327.076,300.68237,77.62144,176.4352,239.6781,96.53665,44.65373,28.367393,4.0868225,101.0818,31.39596,293.16867,111.08282,169.28075,49.851463,316.51917,360.41287,168.5055,200.5638,341.68066,309.5245,161.35646,143.01494,310.96503,166.23575,127.664665,359.21622,305.6521,224.91731,182.5226,159.67957,78.24221,105.052155,225.79706,174.81673,228.81665,195.57654,122.708046,173.74533,155.88548,149.90846,78.04779,269.70306,177.861,255.04317,218.30634,268.10876,173.17322,100.244934,398.84467,460.33603,157.20355,103.82049,105.34321,120.37218,153.80363,135.97372,59.144367,271.50018,233.0562,104.76625,61.783154,183.81242,206.4411,87.10676,93.08612,69.03014,142.78897,194.53645,111.05239,50.042233,213.39926,154.80638,145.7158,187.92654,125.896545,140.95174,216.94592,215.38562,85.87692,116.91504,156.06377,484.49188,481.92218,327.97656,295.02872,417.6222,324.5985,164.00188,239.6695,243.34692,202.49672,164.89746,204.35893,201.18861,15.647237,302.6711,285.38837,112.559586,198.79921,280.10397,209.78789,178.37077,169.34512,301.59125,331.39792,347.28677,407.71228,208.81482,174.67076,672.88983,1198.8453,377.03394,224.13936,134.0505,157.04012,417.57608,269.68726,135.20175,146.51305,90.866295,123.54978,275.74677,340.8245,495.48053,372.14493,173.80742,82.756096,214.97699,211.58537,142.87694,166.77007,176.74376,198.25198,167.1706,137.91629,157.99197,269.3678,449.2869,323.67484,105.366516,458.37024,497.65005,238.56836,136.9266,434.41953,560.55994,705.3426,290.13367,141.62056,423.63214,766.958,1125.0989,412.50714,394.87985,517.6094,579.5281,538.07886,185.02864,171.98457,253.00229,205.32642,151.31891,419.9879,448.04852,492.94403,205.68503,206.82405,292.518,399.2555,338.66083,218.47604,140.56326,32.2543,136.16907,44.85696,61.80391,116.67653,258.36893,292.34375,93.10854,101.860176,80.40908,158.53094,170.49945,236.38493,304.49695,364.88425,265.81238,192.20891,128.2724,295.435,438.48038,494.46133,332.25394,226.93575,204.51872,42.269363,309.056,147.89023,184.14653,49.59795,127.013535,285.50317,181.02858,102.42273,300.58096,306.34702,174.41156,37.689075,166.67873,290.2652,149.37018,93.52976,159.87361,288.11392,225.32413,61.64794,7.8005223,122.39138,330.18094,308.1481,163.52872,143.86385,206.19269,155.95212,192.12819,240.3691,155.467,189.27539,79.96813,193.51717,214.54468,146.23425,106.22908,141.125,none,,7
567619.9,242536.64,1174.1814,753.53235,3020.498,2742.3313,204.74994,757.30194,537.5145,790.2441,703.8949,245.41733,858.7821,610.66113,66.5168,31.733402,279.46664,389.32352,417.78043,428.91403,292.94955,166.21988,292.40552,356.63477,288.8143,100.621895,125.000145,108.326706,60.136364,76.63386,85.751915,212.09366,147.1424,57.8517,144.31818,163.2596,241.87637,195.05347,31.773054,170.87152,138.61273,275.4954,200.8058,260.39883,196.52402,117.67976,58.62325,50.344067,302.58328,264.2598,113.39598,274.1321,30.465729,162.92105,247.70695,326.17715,221.36511,207.66925,119.701485,125.6268,36.021595,239.44212,224.70493,245.26132,263.48294,169.39359,330.88724,383.07367,124.09679,208.09863,357.50497,304.252,203.7619,212.24539,243.24083,84.78083,102.666725,160.52148,218.2081,348.83603,82.770805,114.19937,150.3834,105.306465,54.158802,150.68973,232.3881,78.27465,107.36592,157.0346,173.47672,91.93197,106.153244,106.41677,295.7318,257.6523,129.23116,84.64788,191.36807,124.48933,236.24207,328.908,363.50504,87.3831,207.64458,324.4073,263.80255,85.25055,178.99268,64.82807,44.989815,186.64438,225.74873,48.92002,240.855,139.35304,160.4937,413.24133,295.19412,152.51347,169.1215,123.376495,134.92093,84.447,231.75612,164.86143,122.878365,224.5969,334.65848,260.36594,215.00006,698.51184,971.6412,58.234035,624.25586,481.11276,480.7638,293.3111,186.2893,168.64787,154.69914,104.35034,169.328,251.41415,300.84366,454.97668,176.29153,133.19489,62.112953,77.944145,222.17044,115.79465,88.988525,174.91011,158.94768,103.47822,210.71672,259.21768,340.46783,246.36792,26.746716,283.28912,315.28552,344.9829,544.8852,631.4408,545.15436,611.5716,658.21576,320.18362,361.07593,284.15347,291.98444,243.03654,466.5179,746.1649,355.3969,134.84998,150.1389,484.04523,674.12274,228.82529,177.46701,200.94504,252.6128,261.709,130.55229,74.098404,330.27933,365.2844,140.01222,122.65079,26.194212,118.191246,189.656,66.84727,134.37155,163.31056,124.52479,93.768486,225.21881,455.40842,258.46698,74.50572,121.03968,191.03601,194.52151,127.01525,103.92788,197.84315,293.54257,272.76193,96.11199,127.77243,186.00757,388.52277,172.99805,52.256668,225.33807,330.7685,197.0856,52.779198,105.29034,281.1272,324.00626,102.61849,73.01115,148.97867,56.32081,213.27496,285.03436,84.095375,256.64636,343.94846,136.9506,58.530205,255.21745,119.12639,230.57523,250.5523,284.76614,193.78543,9.824465,141.75703,78.932945,36.20959,127.973885,163.49394,233.44112,243.6525,40.320847,72.51637,131.08078,117.80006,66.09767,146.34325,197.5,none,,8
567624.6,242604.55,342.8069,2216.1665,3602.9678,1957.5503,625.6725,317.4473,204.48265,254.04305,371.12408,649.5806,1465.4363,1053.177,193.2137,61.965855,75.85608,251.90231,430.494,372.57672,136.21326,245.3021,146.07451,121.04546,254.89684,266.32092,234.57031,189.52167,59.350475,235.1773,304.26236,175.52275,29.06096,112.07842,152.3778,128.36357,95.39984,141.96516,91.68903,177.9927,275.21307,153.11024,103.050934,60.979973,121.13415,181.81433,168.53877,297.74942,274.52747,438.39383,438.51947,193.7062,49.404118,136.39427,126.95709,256.28915,190.59258,188.79153,283.36343,132.05498,324.73584,293.76355,205.60832,174.25319,134.44127,55.824562,58.842133,94.40758,49.330597,273.99472,295.701,286.5859,159.5885,179.04182,249.18518,153.00288,72.82573,106.85564,160.87154,258.00653,123.18239,86.16701,34.665997,125.099594,204.61385,341.92233,307.3065,133.68506,159.21368,93.5083,128.45526,119.17983,204.58867,113.03113,159.3175,261.3055,175.20978,284.7619,237.00728,205.74492,103.25895,117.060295,128.74799,176.25323,184.04958,210.38104,100.722755,132.16594,161.70323,201.23526,105.40311,42.122025,90.49054,121.43941,273.99292,282.96524,226.22127,156.9411,153.66939,153.56662,111.978035,12.054717,121.64973,160.26678,271.4684,86.61241,328.39688,317.6418,242.7731,243.82825,453.97592,579.972,1000.1,348.0679,300.43033,146.64789,196.53679,100.405106,340.99084,319.40897,145.57083,149.09808,88.09103,133.43837,122.301445,218.18445,151.78183,115.34879,158.23889,50.085854,312.0399,377.94232,351.3624,372.40784,422.47714,294.76907,185.37553,167.38336,181.78894,517.65485,500.72562,233.7691,251.76646,478.95633,739.8511,514.87823,392.3161,291.84732,746.72156,524.54034,122.17737,529.10645,632.47516,114.20722,279.18634,118.750725,273.14804,111.68204,290.0023,170.45895,512.38043,719.113,549.9136,242.23721,86.330666,218.93855,218.11487,326.7358,282.2983,304.19226,278.36874,176.96732,204.14413,88.357994,303.0133,521.07263,525.2557,304.44925,386.48245,304.68832,74.091705,216.34572,292.74234,259.939,57.382877,82.72898,100.5708,73.52795,296.70233,297.61642,168.87274,58.16327,156.9937,174.79852,112.8504,282.92053,190.52628,87.727455,37.55243,226.47084,235.84793,221.18591,228.65761,77.62967,83.15714,62.920864,252.44403,288.60553,76.93374,76.78996,179.91768,72.42675,112.034225,213.95921,88.1637,76.11202,131.97202,116.17821,142.1723,41.06368,130.55185,199.9548,208.11302,127.77117,240.8404,98.222374,173.85588,199.97202,240.37714,71.55569,56.826145,153.06937,270.25513,60.180428,77.26912,144.81715,108.21875,none,,9
